"","CellID","CompID","BaseID","Comppartialprofit_Mean","Comppartialprofit_SD","Comppartialprofit_CV","Comppartialprofit_Max","Comppartialprofit_Min","CompCropFailureProb","CompMinPropSOSDBase","Basepartialprofit_Mean","Basepartialprofit_SD","Basepartialprofit_CV","Basepartialprofit_Max","Basepartialprofit_Min","BaseCropFailureProb","BaseMinPropSOSDComp","Diff_Mean_CompBase","Diff_SD_CompBase","Diff_CV_CompBase","Diff_CropFailureProbCompBase","MinProp_CompSOSDBase_Divdbasepartialprofit","MinProp_BaseSOSDComp_Divdbasepartialprofit","Riskiness_Comp","RiceArea"
"1",1,1,1,95826.3879345912,10316.3813919273,0.107656999437034,124775.973399356,77439.1544693522,0,-37495.9684101625,57395.0267339729,9382.17936420786,0.163466765294743,87355.2415447949,38955.4156405407,0,-39268.9670417286,38431.3612006183,934.202027719393,-0.0558097658577096,0,-0.653296470859002,-0.684187625240443,1,1
"2",10,1,1,91750.9464362379,11750.0209984907,0.128064302929631,121734.725306883,71899.0672189195,0,-30641.1282562952,61109.8181773111,16353.1624545572,0.267602865502041,115833.36296795,35441.5192555853,0,-36457.547964679,30641.1282589268,-4603.14145606643,-0.13953856257241,0,-0.501410888957147,-0.596590679731641,1,1
"3",100,1,1,78770.2361905048,10586.0570805967,0.134391587388344,103291.373312626,59456.2851530671,0,-14361.8556088918,64408.3805763183,29077.1483935507,0.451449766837357,115557.213724047,27334.2571690385,0,-33485.0577714726,14361.8556141865,-18491.0913129539,-0.317058179449013,0,-0.222981163016112,-0.519886658721309,1,1
"4",1000,1,1,77402.2133752486,14925.3349213389,0.192828270284473,103589.555396142,50244.5463156482,0,3943.51865941862,81345.7320287299,24429.5020102267,0.300316948424517,111045.104497764,29949.8199159011,0,-20666.9693103478,-3943.51865348127,-9504.16708888781,-0.107488678140045,0,0.0484784949507349,-0.25406335151116,0,1
"5",1001,1,1,77573.9314807037,13670.0065013774,0.176219075666904,103137.195604053,50402.2338693966,0,3789.28042755438,81363.2119051924,24941.4947214981,0.306545109730437,112111.654646216,26844.7462452261,0,-23995.9570285259,-3789.28042448878,-11271.4882201207,-0.130326034063533,0,0.046572404638718,-0.294923915448261,0,1
"6",1002,1,1,83372.9034712048,14227.583637837,0.170649971939036,116029.717954141,53015.441635837,0,3323.67846618959,86696.5819300028,25150.935318081,0.2901029632101,120745.816983291,31297.3345087548,0,-24112.3642939333,-3323.67845879792,-10923.351680244,-0.119452991271065,0,0.0383369031650299,-0.278123586387767,0,1
"7",1003,1,1,88499.4403175962,14429.4716125861,0.16304590809618,119613.314869398,57184.2933584384,0,3487.71361423105,91987.1539315383,26275.1526898832,0.285639369921571,128218.215946435,34814.943864501,0,-25235.5059233421,-3487.71361394209,-11845.681077297,-0.122593461825391,0,0.0379152247369974,-0.274337283465947,0,1
"8",1004,1,1,87921.1784348957,13426.6904511959,0.152712812660242,112560.178867984,58060.8573610544,0,1186.05720924416,89107.2356371277,25138.62493232,0.282116539162906,123643.185962488,33458.3343304375,0,-28428.5043018846,-1186.05720223198,-11711.9344811241,-0.129403726502664,0,0.0133104478077869,-0.319036990639619,0,1
"9",1005,1,1,77660.8368349848,12656.5601252634,0.162972234669017,100756.899620727,52687.6793430078,0,754.468234881854,78415.3050645979,23408.656902793,0.298521530758685,106910.587564587,23497.9662098894,0,-29516.6344209705,-754.468229613092,-10752.0967775296,-0.135549296089667,0,0.00962144104725893,-0.376414201241134,0,1
"10",1006,1,1,85378.5625908565,14077.6302280196,0.164884835265746,108952.165566152,55200.0262134297,0,586.235730255723,85964.7983192523,23637.1447732744,0.27496306901683,119147.97568188,33997.6722851166,0,-21202.3539357452,-586.235728395812,-9559.51454525482,-0.110078233751083,0,0.00681948590257359,-0.246639954379988,0,1
"11",1007,1,1,82768.7959096249,14431.4946871261,0.174359123248378,105799.791168775,53484.6487062354,0,3093.97078783407,85862.766689908,23001.8828937937,0.267891238315959,117206.316836172,35900.2715001466,0,-17584.3772088587,-3093.97078028307,-8570.38820666756,-0.0935321150675806,0,0.036033905115216,-0.204796303295984,0,1
"12",1008,1,1,78391.0851989643,16133.8269709055,0.205812012041373,107932.599833891,50794.349939609,0,5224.97351145935,83616.0587026873,23085.611806552,0.276090647714421,113946.560598699,32189.7603611339,0,-18607.1722618575,-5224.97350372301,-6951.78483564645,-0.0702786356730479,0,0.0624876799089243,-0.222531084944087,0,1
"13",1009,1,1,77557.6222721271,15954.1662501289,0.205707263615565,105567.864095183,49256.3156413315,0,7302.36609252029,84859.9883616207,23528.3196897247,0.277260463311185,115188.661170963,31520.2628552164,0,-18566.4086567427,-7302.3660894936,-7574.15343959588,-0.0715531996956203,0,0.0860519337028674,-0.218788724995155,0,1
"14",101,1,1,85519.2126901124,10029.9605039282,0.117283124907532,105851.485938434,67106.0454496865,0,-12531.1844156369,72988.0282687102,30437.8215398585,0.417024849990463,123989.275327539,35710.9039194171,0,-32349.4451737887,12531.1844214022,-20407.8610359303,-0.299741725082931,0,-0.171688216723741,-0.443215770327322,1,1
"15",1010,1,1,77994.5112164615,16473.2376660312,0.211210217348658,99756.0256324746,47622.444377013,0,8364.15787885257,86358.6690879041,24049.786165909,0.278487225659173,116830.739610051,31357.0565429771,0,-17854.2663406711,-8364.15787144264,-7576.54849987784,-0.0672770083105151,0,0.09685371448162,-0.206745501398329,0,1
"16",1011,1,1,75545.7787363199,16370.9028501274,0.216701755200212,101832.635986657,48297.8902536861,0,9256.52323213256,84802.3019635471,23243.460139305,0.274089966912648,115133.595066954,31646.3218611759,0,-16651.5683948206,-9256.52322722724,-6872.55728917763,-0.0573882117124359,0,0.109154150510107,-0.196357504563713,0,1
"17",1012,1,1,68037.9945663669,14698.4070358471,0.216032337953608,90213.0072511364,45664.6281999567,0,11558.1569510503,79596.1515123259,22926.4235367702,0.288034322026486,106859.829444015,26269.9184866343,0,-19394.7097175425,-11558.156945959,-8228.01650092309,-0.0720019840728773,0,0.145209997360996,-0.243663912752605,0,1
"18",1013,1,1,69915.8059189408,15545.9820139894,0.222352897312136,95563.7343402015,48918.3255487336,0,10023.7328250238,79939.5387436208,22885.458161612,0.286284591095896,110188.155085814,27113.318130056,0,-21805.0074195375,-10023.73282468,-7339.4761476226,-0.0639316937837609,0,0.125391426852881,-0.272768742004751,0,1
"19",1014,1,1,70391.2473455077,15191.4570736032,0.215814574204625,97272.2691277702,49231.6688135251,0,10087.8419356008,80479.0892801761,22879.9044327804,0.284296264252287,111307.306143381,26994.0447158601,0,-22716.4825559064,-10087.8419346684,-7688.4473591772,-0.0684816900476624,0,0.125347366947474,-0.28226565135227,0,1
"20",1015,1,1,69220.7651051619,15219.0739400798,0.21986283909111,94543.3495996427,42538.7241580917,0,8259.56148845391,77480.3265865248,22432.6418863565,0.289526940252442,107101.133309239,26402.7315189152,0,-18569.4911242626,-8259.56148136282,-7213.5679462767,-0.0696641011613319,0,0.106602047930583,-0.239667176719053,0,1
"21",1016,1,1,71838.1673161641,16277.6330856533,0.226587532697131,101677.89384672,41544.5857253697,0,6156.02910745705,77994.1964211006,23174.0074277123,0.297124766855637,110414.257816959,28440.4634236388,0,-16115.6227262052,-6156.02910493645,-6896.37434205897,-0.0705372341585062,0,0.0789293228206349,-0.206625921744163,0,1
"22",1017,1,1,68512.5116384569,14673.9470856199,0.214179085464782,94138.4992600113,40333.5419346906,0,6116.16996623244,74628.6816022709,23242.9313757907,0.311447701832152,104469.528890053,25998.478379922,0,-16009.8293472579,-6116.16996381406,-8568.98429017077,-0.0972686163673702,0,0.0819546833056519,-0.21452649307918,0,1
"23",1018,1,1,71552.314586386,13278.1467449698,0.185572567732088,96146.0922825121,45375.8775188723,0,6597.99911231876,78150.3136966648,23257.7318133683,0.297602539429869,107700.638947457,26090.1830163442,0,-21117.7896313159,-6597.99911027878,-9979.58506839852,-0.112029971697781,0,0.0844270329857977,-0.27022015181261,0,1
"24",1019,1,1,78591.1877176729,13421.4602690349,0.17077563857731,103159.92985409,52849.7973376525,0,7602.5582855309,86193.7460005165,24642.2872714328,0.285894144469427,116628.032330964,31416.1495756617,0,-21433.6477681425,-7602.55828284363,-11220.8270023979,-0.115118505892117,0,0.0882031311817605,-0.248668247554922,0,1
"25",102,1,1,75797.3198180269,8701.15106783705,0.114794970174759,92663.2110342456,57505.0560213738,0,-13744.4142050491,62052.9056121849,29099.0208785468,0.468938893214903,110400.373871155,27055.9820959908,0,-33975.9841136939,13744.4142058421,-20397.8698107098,-0.354143923040145,0,-0.221495094701096,-0.547532525326618,1,1
"26",1020,1,1,73104.1643814986,12321.8444178366,0.168551881032855,95311.200525256,50860.45683346,0,9925.34849616227,83029.5128730808,24590.9757715779,0.296171504813809,113957.995549184,27909.1625987465,0,-22951.2942386597,-9925.3484915822,-12269.1313537412,-0.127619623780954,0,0.119540006350925,-0.276423327615364,0,1
"27",1021,1,1,69277.7180822816,11950.4038728432,0.172499963966042,99390.7372897546,47741.1797335021,0,12029.5024935928,81307.2205748133,24451.8835687992,0.300734466089641,111611.732283021,29787.7723746551,0,-17953.4073621425,-12029.5024925317,-12501.479695956,-0.128234502123599,0,0.147951220181288,-0.220809507879107,0,1
"28",1022,1,1,63903.5834185571,10546.7999453985,0.165042387002288,83601.8187654424,45050.1658163814,0,9615.04654030581,73518.6299547759,22858.8804468415,0.310926366023182,104409.953141489,27907.4304763079,0,-17142.7353406173,-9615.04653621883,-12312.080501443,-0.145883979020894,0,0.130783810120243,-0.233175391749853,0,1
"29",1023,1,1,62561.5654636139,9782.07432403062,0.156359167989809,80311.8653904428,46344.3841039324,0,9279.56410588899,71841.1295683479,23652.8988185313,0.329238960476372,101609.234881474,26354.7714816175,0,-19989.6126264315,-9279.56410473405,-13870.8244945006,-0.172879792486564,0,0.129167848023055,-0.278247471142751,0,1
"30",1024,1,1,67319.8484522294,11122.2439679278,0.165214928786125,87353.2505450545,45071.5809985873,0,11168.936153656,78488.7845992717,24531.7875336527,0.312551502216539,110408.625124337,30619.5673367493,0,-16533.8852479192,-11168.9361470422,-13409.5435657249,-0.147336573430414,0,0.142299772007931,-0.210652838266432,0,1
"31",1025,1,1,66592.1128460441,10876.4941714871,0.163330065778701,85684.4931037274,45281.6117482458,0,11687.249912145,78279.3627543524,25662.7148911978,0.327835000033529,109404.096857003,26463.2896167788,0,-20538.7687838524,-11687.2499083083,-14786.2207197107,-0.164504934254828,0,0.149301801917072,-0.262377822981325,0,1
"32",1026,1,1,63373.396700381,11703.3722740003,0.18467326801705,91259.8188461675,41506.0036144176,0,10492.6319184895,73866.0286165353,23327.4583250451,0.315807669126848,103912.850055718,24875.9333992399,0,-18182.3199281494,-10492.6319161543,-11624.0860510448,-0.131134401109798,0,0.142049493048563,-0.2461526667765,0,1
"33",1027,1,1,59614.7312519927,11213.9913566113,0.188107723059415,87961.4409005226,38994.5292501258,0,10643.1894095429,70257.9206597093,23235.3902104532,0.330715597505264,99935.1270151162,19603.4534527868,0,-21434.41360589,-10643.1894077166,-12021.3988538419,-0.142607874445849,0,0.151487395436775,-0.30508181005963,0,1
"34",1028,1,1,68001.223341732,13637.6251910781,0.200549703680239,107162.812591616,45005.5280532863,0,15676.3055204326,83521.3957297672,25683.231643221,0.307504818601438,117686.724893975,27431.6262927477,0,-19203.8926022314,-15520.1723880352,-12045.6064521429,-0.106955114921199,0,0.187692092349045,-0.229927821900456,0,1
"35",1029,1,1,64981.666423824,11461.4132223531,0.176379182823649,93667.8912904064,45611.7182399013,0,15969.2514491518,80950.9178725322,25530.0672920404,0.3153771194076,113549.522634612,24944.377124819,0,-21453.8634457775,-15969.2514487081,-14068.6540696873,-0.13899793658395,0,0.197270789125547,-0.265023103006187,0,1
