"","CellID","CompID","BaseID","Comppartialprofit_Mean","Comppartialprofit_SD","Comppartialprofit_CV","Comppartialprofit_Max","Comppartialprofit_Min","CompCropFailureProb","CompMinPropSOSDBase","Basepartialprofit_Mean","Basepartialprofit_SD","Basepartialprofit_CV","Basepartialprofit_Max","Basepartialprofit_Min","BaseCropFailureProb","BaseMinPropSOSDComp","Diff_Mean_CompBase","Diff_SD_CompBase","Diff_CV_CompBase","Diff_CropFailureProbCompBase","MinProp_CompSOSDBase_Divdbasepartialprofit","MinProp_BaseSOSDComp_Divdbasepartialprofit","Riskiness_Comp","RiceArea"
"1",1,1,1,101112.486466354,17568.9325301784,0.173756309870043,133029.288642975,68811.2757916134,0,-29855.860145976,57395.0267339729,9382.17936420786,0.163466765294743,87355.2415447949,38955.4156405407,0,-43717.4597330597,43717.4597323814,8186.75316597055,0.0102895445753,0,-0.52018200608841,-0.761694213258076,1,1
"2",10,1,1,94809.1146696654,18594.7809097531,0.196128620908877,126679.229392932,62501.4257273116,0,-24563.5973524135,61109.8181773111,16353.1624545572,0.267602865502041,115833.36296795,35441.5192555853,0,-34689.8152612539,33699.2964923542,2241.61845519591,-0.0714742445931635,0,-0.401958279128598,-0.567663532570181,1,1
"3",100,1,1,85758.0114675085,16969.5581067065,0.197877234048691,110463.314440974,42659.8404303446,0,-15325.5832590349,64408.3805763183,29077.1483935507,0.451449766837357,115557.213724047,27334.2571690385,0,-33425.689319048,21349.6308911903,-12107.5902868442,-0.253572532788667,0,-0.237943930927985,-0.518964908292353,1,1
"4",1000,1,1,90472.2947662964,18493.5172778678,0.204410834561446,118248.077414591,41472.0739331092,0,-9126.56273106488,81345.7320287299,24429.5020102267,0.300316948424517,111045.104497764,29949.8199159011,0,-23795.9301905257,9126.56273756654,-5935.98473235887,-0.0959061138630712,0,-0.112194733558259,-0.292528318291136,1,1
"5",1001,1,1,91115.0858951527,18532.4361339931,0.203395913551775,124569.67842671,42106.3153534063,0,-9667.30680573788,81363.2119051924,24941.4947214981,0.306545109730437,112111.654646216,26844.7462452261,0,-24778.6879478893,9751.87398996027,-6409.05858750498,-0.103149196178662,0,-0.118816681143348,-0.304544122185864,1,1
"6",1002,1,1,97114.1152227907,18562.4142838077,0.191140229628036,130903.997551643,44424.2391237207,0,-10255.7815800151,86696.5819300028,25150.935318081,0.2901029632101,120745.816983291,31297.3345087548,0,-26186.4290671962,10417.5332927879,-6588.5210342733,-0.0989627335820646,0,-0.118295108661786,-0.302046845264773,1,1
"7",1003,1,1,104309.249493793,18353.2444977997,0.175950307253355,139275.651096583,45413.5242993184,0,-10598.580430883,91987.1539315383,26275.1526898832,0.285639369921571,128218.215946435,34814.943864501,0,-30957.1292245617,12322.0955622546,-7921.90819208345,-0.109689062668216,0,-0.115218049237299,-0.33653752618112,1,1
"8",1004,1,1,102411.988428475,16486.268424654,0.160979868447414,131590.688321074,54996.9130010301,0,-13304.7527884836,89107.2356371277,25138.62493232,0.282116539162906,123643.185962488,33458.3343304375,0,-35474.8582337058,13304.7527913477,-8652.35650766595,-0.121136670715492,0,-0.149311699474829,-0.3981142269767,1,1
"9",1005,1,1,91691.3777339495,16127.9244210588,0.175893577124072,120440.77323812,48187.5779154356,0,-13268.131630504,78415.3050645979,23408.656902793,0.298521530758685,106910.587564587,23497.9662098894,0,-33435.3594793604,13276.0726693516,-7280.73248173417,-0.122627953634613,0,-0.169203341357581,-0.426388183426903,1,1
"10",1006,1,1,95914.2266634731,17514.8713542341,0.182609733336924,126262.691200832,45279.036916354,0,-9949.42833732863,85964.7983192523,23637.1447732744,0.27496306901683,119147.97568188,33997.6722851166,0,-24472.7000346706,9949.42834422078,-6122.27341904027,-0.0923533356799053,0,-0.11573840143705,-0.284682806371335,1,1
