"","CellID","CompID","BaseID","Comprevenue_Mean","Comprevenue_SD","Comprevenue_CV","Comprevenue_Max","Comprevenue_Min","CompCropFailureProb","CompMinPropSOSDBase","Baserevenue_Mean","Baserevenue_SD","Baserevenue_CV","Baserevenue_Max","Baserevenue_Min","BaseCropFailureProb","BaseMinPropSOSDComp","Diff_Mean_CompBase","Diff_SD_CompBase","Diff_CV_CompBase","Diff_CropFailureProbCompBase","MinProp_CompSOSDBase_Divdbaserevenue","MinProp_BaseSOSDComp_Divdbaserevenue","Riskiness_Comp","RiceArea"
"1",1,1,1,104266.706828065,73036.460698718,0.700477294436416,182019.087310354,0,0.272727272727273,77872.2911367479,89860.8739019416,10080.663734885,0.112180789003736,121078.322599482,69656.336050697,0,-14405.832931824,14405.8329261235,62955.7969638329,0.58829650543268,0.272727272727273,0.866587289388306,-0.160312628915049,0,1
"2",2,1,1,94603.8345458617,76691.5117762511,0.810659653960146,177464.516431966,0,0.363636363636364,78730.8333146788,89464.9777540796,13833.6290840874,0.154626194868266,148624.258418057,65428.9806379846,0,-5138.85679386025,5138.85679178205,62857.8826921637,0.65603345909188,0.363636363636364,0.880018475286422,-0.0574398711413743,0,1
"3",3,1,1,102482.179896567,72754.6668687917,0.709925051772137,174278.891780999,0,0.303030303030303,76003.1310044254,87745.215254255,13113.8260551419,0.149453460421091,144469.739420499,67573.2572479248,0,-14736.9646425895,14736.9646423118,59640.8408136498,0.560471591351047,0.303030303030303,0.866179777258451,-0.167951774918859,0,1
"4",4,1,1,116974.10428684,67622.8528975816,0.578101053304575,177782.152646833,0,0.212121212121212,75263.1858677213,90906.1510214428,13397.7633962798,0.147380163451421,146737.802332378,69346.1135906335,0,-26067.9532718659,26067.9532653976,54225.0895013018,0.430720889853154,0.212121212121212,0.827921818513341,-0.286756759349728,0,1
"5",5,1,1,109662.776758717,71047.6600264278,0.647873983555502,178982.595611125,0,0.242424242424242,75618.296326752,89704.3198380906,13749.2112724628,0.153272565883996,149976.552968775,68376.320050567,0,-19958.4569270237,19958.4569206265,57298.448753965,0.494601417671506,0.242424242424242,0.842972740479358,-0.22249159196622,0,1
"6",6,1,1,109528.020695037,76416.3659661025,0.697687819803405,185952.85312693,0,0.272727272727273,79422.0449893869,93286.8272617504,14669.0589651982,0.157246841765116,157644.753393831,71226.2581703698,0,-16241.1934388753,16241.1934332866,61747.3070009043,0.540440978038288,0.272727272727273,0.851374704453602,-0.174099537047226,0,1
"7",7,1,1,101006.795135129,81547.4012086911,0.807345694906912,191055.10211155,0,0.363636363636364,82419.6907466996,94350.6100628481,14832.1428648904,0.15720240552775,158269.166905966,71213.602719043,0,-6656.18507231529,6656.18507228125,66715.2583438007,0.650143289379163,0.363636363636364,0.873546982810168,-0.0705473453524203,0,1
"8",8,1,1,106873.442544784,78533.6571673735,0.734828553262564,188255.271005046,0,0.303030303030303,79294.8080359633,92404.9240412369,14897.4246495681,0.161218948060819,157843.576911089,69911.7506769616,0,-14468.5185060632,14468.5185035472,63636.2325178054,0.573609605201745,0.303030303030303,0.858123188333307,-0.156577354033714,0,1
"9",9,1,1,98724.5125820356,75157.9918802842,0.761290077961452,179135.417996715,0,0.333333333333333,76533.8186161466,88660.2931914524,13806.1821470993,0.155720014564878,146779.876057337,66354.2843556117,0,-10064.2193939692,10064.2193905831,61351.8097331849,0.605570063396575,0.333333333333333,0.863225417615978,-0.113514393328664,0,1
"10",10,1,1,96744.0800828137,79857.1832684811,0.825447750395917,182630.653752185,0,0.393939393939394,81196.1941935605,94766.0132086795,16762.0198164082,0.176877967626405,149731.002128106,66763.5602712103,0,-1978.06687549174,1978.06687413421,63095.1634520728,0.648569782769513,0.393939393939394,0.856807113060274,-0.020873167589481,0,1
