"","CellID","CompID","BaseID","Comprevenue_Mean","Comprevenue_SD","Comprevenue_CV","Comprevenue_Max","Comprevenue_Min","CompCropFailureProb","CompMinPropSOSDBase","Baserevenue_Mean","Baserevenue_SD","Baserevenue_CV","Baserevenue_Max","Baserevenue_Min","BaseCropFailureProb","BaseMinPropSOSDComp","Diff_Mean_CompBase","Diff_SD_CompBase","Diff_CV_CompBase","Diff_CropFailureProbCompBase","MinProp_CompSOSDBase_Divdbaserevenue","MinProp_BaseSOSDComp_Divdbaserevenue","Riskiness_Comp","RiceArea"
"1",1,1,1,148130.702868195,9073.54621763272,0.0612536499317516,160290.620902203,129593.044058368,0,-57768.7388353441,89860.8739019416,10080.663734885,0.112180789003736,121078.322599482,69656.336050697,0,-59936.7080119293,58269.8289662534,-1007.11751725229,-0.0509271390719842,0,-0.642868651582254,-0.666994492812675,1,1
"2",2,1,1,146732.155072594,7578.45706876554,0.0516482366459908,157350.099750465,133220.964567052,0,-57267.1773170083,89464.9777540796,13833.6290840874,0.154626194868266,148624.258418057,65428.9806379846,0,-67791.9839345669,57267.1773185141,-6255.17201532182,-0.102977958222275,0,-0.640107210157965,-0.757748849174397,1,1
"3",3,1,1,143044.345566411,7532.68094138327,0.0526597602411771,153459.209052655,129165.058249877,0,-55299.1303111053,87745.215254255,13113.8260551419,0.149453460421091,144469.739420499,67573.2572479248,0,-62628.4211921114,55299.1303121557,-5581.14511375863,-0.0967937001799138,0,-0.630223883443305,-0.713753120448062,1,1
"4",4,1,1,145289.729303872,7726.16159455999,0.0531776171074063,157179.008154875,129250.38988715,0,-54383.5782799391,90906.1510214428,13397.7633962798,0.147380163451421,146737.802332378,69346.1135906335,0,-61591.964173295,54383.5782824288,-5671.60180171982,-0.0942025463440149,0,-0.598238707379781,-0.677533516502825,1,1
"5",5,1,1,145209.027226802,7690.65604407244,0.0529626579762179,156949.282537686,129210.344255828,0,-55504.7073879314,89704.3198380906,13749.2112724628,0.153272565883996,149976.552968775,68376.320050567,0,-62280.0083648015,55504.7073887116,-6058.55522839034,-0.100309907907778,0,-0.618751777931243,-0.694281038830818,1,1
"6",6,1,1,151883.755854609,8566.32197529226,0.0564005145059252,164667.202881006,131936.33241659,0,-58596.9285879969,93286.8272617504,14669.0589651982,0.157246841765116,157644.753393831,71226.2581703698,0,-62766.8150926978,58596.9285928583,-6102.73698990593,-0.100846327259191,0,-0.628137222671125,-0.672836850979855,1,1
"7",7,1,1,152187.519691111,8961.75521026505,0.0588862689164945,165432.127670505,131793.706091455,0,-57836.9096272927,94350.6100628481,14832.1428648904,0.15720240552775,158269.166905966,71213.602719043,0,-60974.5726552818,57836.9096282627,-5870.38765462539,-0.0983161366112554,0,-0.612999848000631,-0.646255202956991,1,1
"8",8,1,1,152024.768964093,8848.79769608832,0.0582062893855037,165644.714459223,131767.283071559,0,-59619.8449185213,92404.9240412369,14897.4246495681,0.161218948060819,157843.576911089,69911.7506769616,0,-63677.347751286,59619.8449228557,-6048.62695347981,-0.103012658675316,0,-0.645202033734859,-0.689112062067917,1,1
"9",9,1,1,142450.169261852,8390.4438303029,0.058900904602504,156043.146249296,125244.436596019,0,-53789.8760644192,88660.2931914524,13806.1821470993,0.155720014564878,146779.876057337,66354.2843556117,0,-59200.7775745622,53789.8760703998,-5415.73831679638,-0.0968191099623735,0,-0.606696347690456,-0.667725939578436,1,1
"10",10,1,1,147791.280246351,7738.85201035182,0.0523633870513338,160330.386479658,130513.287797138,0,-53025.2670361913,94766.0132086795,16762.0198164082,0.176877967626405,149731.002128106,66763.5602712103,0,-65153.1139171214,53025.2670376714,-9023.16780605642,-0.124514580575071,0,-0.559538860407971,-0.687515615684401,1,1
