"","CellID","CompID","BaseID","Comprevenue_Mean","Comprevenue_SD","Comprevenue_CV","Comprevenue_Max","Comprevenue_Min","CompCropFailureProb","CompMinPropSOSDBase","Baserevenue_Mean","Baserevenue_SD","Baserevenue_CV","Baserevenue_Max","Baserevenue_Min","BaseCropFailureProb","BaseMinPropSOSDComp","Diff_Mean_CompBase","Diff_SD_CompBase","Diff_CV_CompBase","Diff_CropFailureProbCompBase","MinProp_CompSOSDBase_Divdbaserevenue","MinProp_BaseSOSDComp_Divdbaserevenue","Riskiness_Comp","RiceArea"
"1",1,1,1,164465.174732718,20975.3153310984,0.127536515649508,193074.574739028,91341.3791559966,0,-21685.0431025492,89860.8739019416,10080.663734885,0.112180789003736,121078.322599482,69656.336050697,0,-74685.8023549379,74604.3008307762,10894.6515962134,0.0153557266457724,0,-0.241317963658048,-0.831127042414888,1,1
"2",2,1,1,164815.579645889,18553.4189025305,0.112570783310614,195707.543256028,93165.1216596194,0,-27736.1410214678,89464.9777540796,13833.6290840874,0.154626194868266,148624.258418057,65428.9806379846,0,-76233.9555503743,75350.6018918089,4719.78981844316,-0.0420554115576518,0,-0.310022331841501,-0.852109478637835,1,1
"3",3,1,1,160846.815533191,17510.390046744,0.108863765743193,185653.038241851,92161.7398445746,0,-24588.4825897179,87745.215254255,13113.8260551419,0.149453460421091,144469.739420499,67573.2572479248,0,-74099.0472072093,73101.6002789359,4396.56399160206,-0.0405896946778974,0,-0.280225907685895,-0.844479633362299,1,1
"4",4,1,1,162529.331208468,16813.6904394728,0.103450191509782,186600.523334553,96067.3631676719,0,-26721.2495690406,90906.1510214428,13397.7633962798,0.147380163451421,146737.802332378,69346.1135906335,0,-72615.6945391129,71623.1801870248,3415.927043193,-0.0439299719416389,0,-0.293943251020908,-0.798798472085618,1,1
"5",5,1,1,163139.034714686,16176.0352709942,0.0991549036641317,187604.016468539,95735.3437400977,0,-27359.0236871045,89704.3198380906,13749.2112724628,0.153272565883996,149976.552968775,68376.320050567,0,-74553.6914870199,73434.7148765959,2426.8239985314,-0.0541176622198642,0,-0.304991150219805,-0.831104807679091,1,1
"6",6,1,1,171698.362964697,17195.0883265701,0.100147072049287,198933.994002303,102449.872227976,0,-31223.614055266,93286.8272617504,14669.0589651982,0.157246841765116,157644.753393831,71226.2581703698,0,-79571.6074285604,78411.5357029464,2526.02936137192,-0.0570997697158293,0,-0.334705498855231,-0.852977958027162,1,1
"7",7,1,1,171779.352217558,16805.2333655742,0.0978303454322634,199162.306777697,104502.660597147,0,-33289.0578778317,94350.6100628481,14832.1428648904,0.15720240552775,158269.166905966,71213.602719043,0,-78570.4797285243,77428.7421547102,1973.09050068374,-0.0593720600954864,0,-0.352822921395606,-0.832750097494733,1,1
"8",8,1,1,172514.414076508,17681.716313456,0.102494138870126,199567.88545455,102674.876898379,0,-32763.126216258,92404.9240412369,14897.4246495681,0.161218948060819,157843.576911089,69911.7506769616,0,-81309.0269569563,80109.4900352711,2784.29166388787,-0.0587248091906936,0,-0.354560393357794,-0.879920932792186,1,1
"9",9,1,1,159774.038745085,18303.9291546225,0.114561347377755,184602.950969546,98372.6689769147,0,-32018.3846164968,88660.2931914524,13806.1821470993,0.155720014564878,146779.876057337,66354.2843556117,0,-72154.0790164045,71113.7455536329,4497.74700752326,-0.041158667187123,0,-0.361135559831238,-0.813826307348155,1,1
"10",10,1,1,164156.614447613,18252.6497663292,0.111190461790098,194044.165713274,96920.9658504038,0,-30157.4055760384,94766.0132086795,16762.0198164082,0.176877967626405,149731.002128106,66763.5602712103,0,-70817.3806351345,69390.6012389339,1490.62994992099,-0.0656875058363064,0,-0.318230181422007,-0.747286693164891,1,1
"11",11,1,1,162326.18024881,17964.5250563869,0.110669301950254,192148.210939891,97241.1557045659,0,-30471.1222770956,94158.1061249721,15944.3828051737,0.169336273437906,148834.368840893,66770.0334239215,0,-69181.2523696836,68168.074123838,2020.1422512132,-0.0586669714876525,0,-0.323616558691745,-0.73473496034279,1,1
"12",12,1,1,154184.990091704,17418.744942919,0.112973026314422,184305.954453282,88357.9135276005,0,-26850.6778103521,86863.9135280142,15789.8664508492,0.181777055736234,142589.533294817,61507.2357167505,0,-68679.3416723608,67321.0765636901,1628.8784920698,-0.0688040294218115,0,-0.30911199737383,-0.790654471839001,1,1
"13",13,1,1,158341.940725644,17006.7695034621,0.107405336991097,188481.701689153,90354.4291156018,0,-27895.5731478489,87144.2044493196,15227.6357853877,0.174740659824873,144606.216423548,62458.8559656409,0,-72392.6914454103,71197.7362763243,1779.13371807444,-0.0673353228337753,0,-0.320108185324844,-0.830722959752438,1,1
"14",14,1,1,160996.054547062,17351.2690654464,0.107774498662477,192420.837331054,93673.9725714251,0,-29048.6807166212,88356.2326948295,15497.9845346125,0.17540341028505,147095.412615038,64625.2918545592,0,-73702.9976714752,72639.8218522328,1853.28453083388,-0.067628911622573,0,-0.328767760130193,-0.83415731322583,1,1
"15",15,1,1,163576.018440018,17187.8932762773,0.105075875059155,195336.01398696,97788.4235960056,0,-31575.0594879807,91657.4147486243,15500.7512484784,0.169116173426778,149117.936165863,66213.3641030096,0,-72871.686782106,71918.6036913935,1687.14202779886,-0.0640402983676229,0,-0.34448996379155,-0.795044099617699,1,1
"16",16,1,1,163878.314503741,17019.4925166493,0.103854451811931,196068.703766389,97411.1436439885,0,-31958.7485020497,90862.4984800653,15690.5088854582,0.172684101229074,150123.917983909,65452.3951417733,0,-74106.9802664287,73015.8160236757,1328.98363119109,-0.0688296494171429,0,-0.351726499234019,-0.815594788896185,1,1
"17",17,1,1,156530.827970053,15783.2728342279,0.100831721386202,185130.553883387,93402.8415810886,0,-29739.9282436136,85622.2400425745,14186.5174931644,0.165687296736343,142312.996054368,63662.9133289703,0,-71820.0185271886,70908.5879274781,1596.75534106349,-0.0648555753501404,0,-0.347338824922425,-0.838800976142145,1,1
"18",18,1,1,157545.324104573,17300.1161838014,0.109810407145554,183296.505538508,92433.2415918731,0,-28205.9368933919,85321.093223156,13379.5667105365,0.156814290641382,144609.215412553,64227.3046946395,0,-73272.2602885346,72224.2308814171,3920.54947326498,-0.0470038834958283,0,-0.330585741788607,-0.858782482977476,1,1
"19",19,1,1,160325.50765711,19173.0478409214,0.119588255924484,186737.381615357,98675.8198239886,0,-29561.2644565389,90543.5689211367,14205.1523964311,0.15688748042176,149276.291245762,67735.293233443,0,-70791.9652542296,69781.9387359735,4967.89544449028,-0.0372992244972753,0,-0.326486627474191,-0.78185525595848,1,1
"20",20,1,1,149555.082089011,16630.8714311062,0.111202315553596,176137.926996576,86910.1954133658,0,-24422.3013202279,92852.1494283138,23660.7958138883,0.254822273469883,143457.041141407,62487.8940928809,0,-63270.1294692848,56702.932660697,-7029.92438278211,-0.143619957916287,0,-0.263023543026142,-0.681407267993643,1,1
"21",21,1,1,154228.733503475,17805.5595841133,0.115449042338872,182006.402950346,85560.0568307304,0,-22658.5292232268,93467.8978333296,24183.2178954629,0.258732874666616,142937.330191373,62901.5276031321,0,-67581.4632939516,60760.8356701453,-6377.65831134961,-0.143283832327744,0,-0.24242044325883,-0.723044648061538,1,1
"22",22,1,1,149499.775327386,16182.6802217019,0.108245515327791,175923.300240953,91283.313160348,0,-31260.0838217082,90136.9827249523,23443.787155272,0.260090658091023,139673.99702478,60023.2293315538,0,-66196.237888887,59362.7926024335,-7261.10693357011,-0.151845142763231,0,-0.346806414821944,-0.734395981401784,1,1
"23",23,1,1,153516.344482723,17374.8453934115,0.113179124033708,182197.681150817,87290.6937462481,0,-25489.6493892984,93422.5899153127,23852.7735810628,0.25532126226307,145362.74103454,61801.0443533614,0,-66907.3888010944,60093.7545674102,-6477.92818765129,-0.142142138229362,0,-0.272842461468952,-0.716179982397681,1,1
"24",24,1,1,160735.862082795,14559.0109708975,0.0905772413339726,190612.304421634,117402.155299061,0,-52143.6890081531,98894.3457533401,24192.5688026915,0.244630455041708,150265.873655607,65258.4662859615,0,-69311.0364984213,61841.516329455,-9633.55783179408,-0.154053213707735,0,-0.527266636034063,-0.70085944722558,1,1
"25",25,1,1,169385.204246922,13685.8609275186,0.0807972631869783,192339.161035421,140004.266123396,0,-64960.0181660362,104425.186074513,25173.9756521909,0.241071877374755,155964.943692981,68315.2059309855,0,-73593.9083814051,64960.0181724094,-11488.1147246723,-0.160274614187777,0,-0.622072323813568,-0.704752475412323,1,1
"26",26,1,1,159313.635550924,12034.2649199412,0.0755381978342624,180843.204426263,142231.730495292,0,-63531.1530193819,95782.4825291222,24619.7359333934,0.257037981093337,147052.5504068,62110.9486301179,0,-80120.7818689831,63531.1530218014,-12585.4710134521,-0.181499783259074,0,-0.663285721374632,-0.836486795428619,1,1
"27",27,1,1,160547.802132521,12298.1165033874,0.076600964572758,182589.096325582,141185.445697043,0,-66249.1450903612,94298.6570405212,20622.465960477,0.218693103461859,147277.014094525,65543.3843177856,0,-75642.0613813436,66249.1450919993,-8324.34945708968,-0.142092138889101,0,-0.702546008284012,-0.802154174357322,1,1
"28",28,1,1,153544.91522365,13959.9736000177,0.0909178501918084,175346.869438147,107126.972236556,0,-44863.0909606919,87852.4184090745,17894.711048292,0.203690591247783,141359.940902305,62263.8812739502,0,-68572.7822435681,65692.4968145751,-3934.73744827426,-0.112772741055974,0,-0.510664268248054,-0.780545185725758,1,1
"29",29,1,1,162195.640775521,14557.4951992436,0.0897526908222595,190210.688007215,117709.17976101,0,-50704.8070440229,92898.0200547376,17017.24617302,0.183182011446456,149889.310688479,67004.3727091258,0,-71107.5101334874,69297.6207207831,-2459.75097377643,-0.0934293206241962,0,-0.545811493228236,-0.765436228797872,1,1
"30",30,1,1,166512.976692113,11573.5850162091,0.0695056039843005,188019.868925867,148297.641112424,0,-76747.6900460117,89584.9003787598,15276.3279174775,0.170523468273002,150968.561354136,65551.3386781882,0,-82746.302441458,76928.0763133531,-3702.74290126839,-0.101017864288701,0,-0.856703414543376,-0.923663497884257,1,1
"31",31,1,1,161096.795168393,11156.7039086501,0.0692546608204593,180131.478182747,141060.936861984,0,-76224.0214872209,84292.8296251459,14595.1972544581,0.173148740164064,144897.822223448,63774.7576749833,0,-78348.8463756769,76803.9655432476,-3438.49334580801,-0.103894079343605,0,-0.904276458937168,-0.929484117736916,1,1
"32",32,1,1,159362.070876124,10766.2081819236,0.0675581593708857,178416.81002691,141105.334689869,0,-76281.9090974323,82131.6080501792,13653.9311619573,0.166244537104585,141411.33305766,62620.8834915653,0,-78487.4936351432,77230.4628259449,-2887.7229800337,-0.0986863777336996,0,-0.928776519885341,-0.95563079182853,1,1
"33",33,1,1,168161.225323094,12983.4550088915,0.077208375378723,190019.386882794,144310.890731207,0,-75614.0306507493,90283.2660611209,14767.7501330341,0.163571288205685,152849.522307863,68602.8718088,0,-79150.0872218836,77877.9592619731,-1784.29512414265,-0.0863629128269617,0,-0.837519885463153,-0.876686131052234,1,1
"34",34,1,1,177772.390860733,17019.4486434506,0.0957372995944216,207801.547957933,114222.156474818,0,-39688.1761028549,97965.3438631088,15688.3353035367,0.160141685670584,161249.916923503,74533.9803679884,0,-80846.2787478029,79807.0469976239,1331.11333991389,-0.0644043860761628,0,-0.405124654676993,-0.825253865905609,1,1
"35",35,1,1,161700.615598949,18165.1334606012,0.112338060021085,183773.930106751,92207.4032410132,0,-23330.4869773267,103792.693581517,28008.706673823,0.269852392373125,165596.756179973,68876.9162596404,0,-67124.9768357954,57907.9220174326,-9843.57321322175,-0.15751433235204,0,-0.224779665815334,-0.646721599753809,1,1
"36",36,1,1,139615.121820165,14002.6399265083,0.100294579440648,163010.58320029,97792.4215995274,0,-40500.4326627073,87010.5418485191,25188.1119188705,0.289483450898648,140862.449952328,57291.9889350368,0,-60826.0620634813,52604.5799716454,-11185.4719923623,-0.189188871458,0,-0.465465813708142,-0.699065432432042,1,1
"37",37,1,1,154202.739723467,14447.3683053255,0.0936907368262981,181846.289946556,115612.245197444,0,-51422.1944305044,97645.9766651326,26325.6213770888,0.2696027248247,150532.688774957,64190.050759829,0,-65334.6650569741,56556.7630583342,-11878.2530717633,-0.175911987998402,0,-0.526618670699069,-0.669097358522337,1,1
