"","CellID","CompID","BaseID","Comprevenue_Mean","Comprevenue_SD","Comprevenue_CV","Comprevenue_Max","Comprevenue_Min","CompCropFailureProb","CompMinPropSOSDBase","Baserevenue_Mean","Baserevenue_SD","Baserevenue_CV","Baserevenue_Max","Baserevenue_Min","BaseCropFailureProb","BaseMinPropSOSDComp","Diff_Mean_CompBase","Diff_SD_CompBase","Diff_CV_CompBase","Diff_CropFailureProbCompBase","MinProp_CompSOSDBase_Divdbaserevenue","MinProp_BaseSOSDComp_Divdbaserevenue","Riskiness_Comp","RiceArea"
"1",1,1,1,153973.131364769,23793.9209167363,0.154532941597242,188706.790570923,67152.8820562536,0,2503.45399581951,89860.8739019416,10080.663734885,0.112180789003736,121078.322599482,69656.336050697,0,-64112.257466657,64112.2574628269,13713.2571818513,0.0423521525935065,0,0.0278592215623381,-0.713461317287186,0,1
"2",2,1,1,159644.669864611,20840.6449759845,0.130543944834855,188915.655391546,70041.7107025339,0,-4612.73006097223,89464.9777540796,13833.6290840874,0.154626194868266,148624.258418057,65428.9806379846,0,-71113.7013371907,70179.6921105313,7007.01589189709,-0.0240822500334103,0,-0.0515590589387017,-0.794877538925536,1,1
"3",3,1,1,157489.266586016,19904.3134002126,0.126385205999682,184731.445833521,77630.8040642905,0,-10057.5468155972,87745.215254255,13113.8260551419,0.149453460421091,144469.739420499,67573.2572479248,0,-70665.3746112379,69744.0513317613,6790.48734507066,-0.0230682544214085,0,-0.114622168131378,-0.805347327560532,1,1
"4",4,1,1,155251.798272037,18899.7342442785,0.121736008565658,185280.801055347,68811.1101573558,0,535.003438894918,90906.1510214428,13397.7633962798,0.147380163451421,146737.802332378,69346.1135906335,0,-65151.9800179879,64345.6472505938,5501.97084799865,-0.0256441548857632,0,0.00588522814884905,-0.716694957227042,0,1
"5",5,1,1,153345.609517474,19382.8626966658,0.126399854274648,184989.27186463,66159.9460520894,0,2216.37400109594,89704.3198380906,13749.2112724628,0.153272565883996,149976.552968775,68376.320050567,0,-64535.9325216526,63641.2896793832,5633.65142420303,-0.0268727116093476,0,0.0247075503732298,-0.719429483865827,0,1
"6",6,1,1,158704.827553762,21308.1210065503,0.134262588825989,195060.715412818,70916.2384532041,0,310.019719118917,93286.8272617504,14669.0589651982,0.157246841765116,157644.753393831,71226.2581703698,0,-66293.0639940249,65418.0002920117,6639.06204135212,-0.0229842529391268,0,0.00332329577732388,-0.710636924203837,0,1
"7",7,1,1,158631.56938992,23064.3541681555,0.145395738419903,195053.459210602,71961.9687378346,0,-748.366013372118,94350.6100628481,14832.1428648904,0.15720240552775,158269.166905966,71213.602719043,0,-65140.2301773927,64280.959327072,8232.21130326506,-0.0118066671078469,0,-0.00793175595657116,-0.690406030591663,1,1
"8",8,1,1,165506.160772291,21452.3176091711,0.129616429437245,199061.149621005,81477.1826790122,0,-11565.4320010118,92404.9240412369,14897.4246495681,0.161218948060819,157843.576911089,69911.7506769616,0,-74097.6012321781,73101.2367310543,6554.89295960292,-0.0316025186235742,0,-0.125160343142002,-0.801879358713731,1,1
"9",9,1,1,151744.826773944,18984.095100317,0.125105385823781,182014.854643864,79129.5209647361,0,-12775.2366061667,88660.2931914524,13806.1821470993,0.155720014564878,146779.876057337,66354.2843556117,0,-63954.8321804668,63084.5335824916,5177.91295321775,-0.0306146287410969,0,-0.144091973377304,-0.721346951135872,1,1
"10",10,1,1,155471.570249461,19652.7020929437,0.126407047033809,183008.143980204,65884.3006659415,0,879.259605674134,94766.0132086795,16762.0198164082,0.176877967626405,149731.002128106,66763.5602712103,0,-62564.9230274126,60705.5570407811,2890.68227653545,-0.0504709205925957,0,0.0092782166929188,-0.660204232604377,0,1
