"","CellID","CompID","BaseID","Comprevenue_Mean","Comprevenue_SD","Comprevenue_CV","Comprevenue_Max","Comprevenue_Min","CompCropFailureProb","CompMinPropSOSDBase","Baserevenue_Mean","Baserevenue_SD","Baserevenue_CV","Baserevenue_Max","Baserevenue_Min","BaseCropFailureProb","BaseMinPropSOSDComp","Diff_Mean_CompBase","Diff_SD_CompBase","Diff_CV_CompBase","Diff_CropFailureProbCompBase","MinProp_CompSOSDBase_Divdbaserevenue","MinProp_BaseSOSDComp_Divdbaserevenue","Riskiness_Comp","RiceArea"
"1",1,1,1,114794.746606762,12425.0920035489,0.108237461824903,152821.093028262,94300.0748795084,0,-23185.375769887,89860.8739019416,10080.663734885,0.112180789003736,121078.322599482,69656.336050697,0,-25681.1951362729,24933.8727048205,2344.42826866385,-0.00394332717883238,0,-0.258014136332432,-0.285788397342951,1,1
"2",2,1,1,111926.853553998,11830.3025334757,0.10569673101521,152510.967646591,91093.5200396497,0,-22327.4049787472,89464.9777540796,13833.6290840874,0.154626194868266,148624.258418057,65428.9806379846,0,-25664.5394061533,22461.8757999179,-2003.32655061169,-0.0489294638530556,0,-0.24956586967607,-0.286866884119724,1,1
"3",3,1,1,109238.880196551,11661.5067135023,0.10675234579959,145173.945270002,89044.6152304743,0,-20957.1082068855,87745.215254255,13113.8260551419,0.149453460421091,144469.739420499,67573.2572479248,0,-23111.4496253542,21493.6649422965,-1452.3193416396,-0.0427011146215004,0,-0.238840467211336,-0.263392705327411,1,1
"4",4,1,1,111746.363140596,12244.3820862987,0.109572980651667,150120.150065831,90134.2405695663,0,-20436.2747730731,90906.1510214428,13397.7633962798,0.147380163451421,146737.802332378,69346.1135906335,0,-22677.220431615,20840.2121191537,-1153.38130998112,-0.0378071827997545,0,-0.224806292461471,-0.249457491894756,1,1
"5",5,1,1,111970.959058247,12165.3283277396,0.108647174500052,148087.772047549,90850.4566087938,0,-21610.6804963585,89704.3198380906,13749.2112724628,0.153272565883996,149976.552968775,68376.320050567,0,-23753.159386487,22266.6392201569,-1583.8829447232,-0.044625391383944,0,-0.24091014273743,-0.264793929984193,1,1
"6",6,1,1,117450.521900436,13219.3528863271,0.112552525714047,156110.90654424,95525.1760291962,0,-23387.7831105058,93286.8272617504,14669.0589651982,0.157246841765116,157644.753393831,71226.2581703698,0,-24966.74281028,24163.6946386858,-1449.70607887106,-0.0446943160510688,0,-0.250708313242156,-0.267634172402784,1,1
"7",7,1,1,118029.792232761,13423.0632011675,0.113726059728178,157020.461861381,96220.8380140827,0,-23116.9823885879,94350.6100628481,14832.1428648904,0.15720240552775,158269.166905966,71213.602719043,0,-25007.2352965217,23679.182169913,-1409.07966372296,-0.0434763457995714,0,-0.245011477649052,-0.265045825139489,1,1
"8",8,1,1,118133.316399084,13625.1301856386,0.115336897337323,157242.163085953,95704.4201708014,0,-24695.5218818853,92404.9240412369,14897.4246495681,0.161218948060819,157843.576911089,69911.7506769616,0,-26551.1988074602,25728.3923578466,-1272.2944639295,-0.045882050723496,0,-0.267253310774485,-0.287335324204275,1,1
"9",9,1,1,111250.26287977,12568.1458978507,0.112971831009814,148436.038373741,90443.5080715081,0,-22010.6001921275,88660.2931914524,13806.1821470993,0.155720014564878,146779.876057337,66354.2843556117,0,-25404.9391630336,22589.9696883177,-1238.03624924854,-0.0427481835550638,0,-0.248257696876752,-0.286542467304663,1,1
"10",10,1,1,111938.76933071,12899.667846171,0.115238606992904,150823.245814696,89492.4265939195,0,-17172.7561201976,94766.0132086795,16762.0198164082,0.176877967626405,149731.002128106,66763.5602712103,0,-22728.8663230459,17172.7561220304,-3862.35197023724,-0.0616393606335007,0,-0.181212182920287,-0.239841959722372,1,1
"11",11,1,1,110890.004692602,13110.6386163981,0.118231022288637,149532.403586261,89152.3447704171,0,-16731.898562784,94158.1061249721,15944.3828051737,0.169336273437906,148834.368840893,66770.0334239215,0,-22382.3113483389,16731.8985676299,-2833.74418877556,-0.0511052511492691,0,-0.177700032969827,-0.237709871932129,1,1
"12",12,1,1,105218.229750073,12020.0819688414,0.114239538123697,141560.724930106,85111.9000374652,0,-18354.3162154025,86863.9135280142,15789.8664508492,0.181777055736234,142589.533294817,61507.2357167505,0,-23604.6643282779,18354.3162220592,-3769.78448200783,-0.0675375176125369,0,-0.211299669447694,-0.271743044603502,1,1
"13",13,1,1,107458.050059864,12510.057254241,0.116418055671694,144301.666887399,86953.5489370565,0,-20313.8456045085,87144.2044493196,15227.6357853877,0.174740659824873,144606.216423548,62458.8559656409,0,-24494.6929718257,20313.8456105448,-2717.57853114673,-0.0583226041531786,0,-0.233106099629636,-0.281082294876776,1,1
"14",14,1,1,108903.281111348,12688.3474928342,0.116510240677331,150794.941860482,88623.2587801996,0,-20547.0484100043,88356.2326948295,15497.9845346125,0.17540341028505,147095.412615038,64625.2918545592,0,-24247.4276815655,20547.0484165183,-2809.6370417783,-0.0588931696077184,0,-0.232547809965722,-0.274428039109735,1,1
"15",15,1,1,110961.066514344,13587.7437338436,0.12245505708155,153600.928786371,88912.7536738463,0,-19303.6517624775,91657.4147486243,15500.7512484784,0.169116173426778,149117.936165863,66213.3641030096,0,-22699.389571382,19303.6517657192,-1913.00751463478,-0.0466611163452272,0,-0.210606548476398,-0.247654700207685,1,1
"16",16,1,1,111307.619209352,13280.6233774476,0.119314593841674,152052.120586801,89929.3559341452,0,-20445.1207251328,90862.4984800653,15690.5088854582,0.172684101229074,150123.917983909,65452.3951417733,0,-24476.9607997385,20445.1207292865,-2409.88550801062,-0.0533695073873996,0,-0.225011650209226,-0.269384632925415,1,1
"17",17,1,1,107300.585958734,13313.0816940954,0.124072777190755,144425.391846368,84665.4753176982,0,-20831.4724472415,85622.2400425745,14186.5174931644,0.165687296736343,142312.996054368,63662.9133289703,0,-23447.9468990441,21678.3459161592,-873.435799068977,-0.0416145195455877,0,-0.24329511160749,-0.273853462457709,1,1
"18",18,1,1,108476.730751837,12884.7310560869,0.118778755284978,146119.530143549,88390.4563041834,0,-21700.8618997968,85321.093223156,13379.5667105365,0.156814290641382,144609.215412553,64227.3046946395,0,-24163.1516110637,23155.6375286809,-494.835654449584,-0.0380355353564044,0,-0.254343458106409,-0.283202555174315,1,1
