"","CellID","CompID","BaseID","Comprevenue_Mean","Comprevenue_SD","Comprevenue_CV","Comprevenue_Max","Comprevenue_Min","CompCropFailureProb","CompMinPropSOSDBase","Baserevenue_Mean","Baserevenue_SD","Baserevenue_CV","Baserevenue_Max","Baserevenue_Min","BaseCropFailureProb","BaseMinPropSOSDComp","Diff_Mean_CompBase","Diff_SD_CompBase","Diff_CV_CompBase","Diff_CropFailureProbCompBase","MinProp_CompSOSDBase_Divdbaserevenue","MinProp_BaseSOSDComp_Divdbaserevenue","Riskiness_Comp","RiceArea"
"1",1,1,1,105038.856141499,18762.3750484398,0.178623185149358,144493.659849394,71679.5158428829,0,-2023.17978562862,89860.8739019416,10080.663734885,0.112180789003736,121078.322599482,69656.336050697,0,-15177.9822410485,15177.9822395577,8681.7113135548,0.0664423961456224,0,-0.0225145794579781,-0.168905348701717,1,1
"2",2,1,1,100079.764016817,19454.4000478643,0.194388948045432,149393.878560451,60198.7806921477,0,5230.19994976128,89464.9777540796,13833.6290840874,0.154626194868266,148624.258418057,65428.9806379846,0,-10922.4477085938,10614.7862627378,5620.77096377689,0.0397627531771668,0,0.0584608645870119,-0.122086295473267,0,1
"3",3,1,1,98008.1694133243,18602.6756053006,0.189807397859341,146774.580169411,68642.4002515197,0,-1037.96542321255,87745.215254255,13113.8260551419,0.149453460421091,144469.739420499,67573.2572479248,0,-10511.6452061705,10262.9541590694,5488.84955015866,0.0403539374382502,0,-0.011829310808628,-0.119797360753078,1,1
"4",4,1,1,99567.7558881297,19318.8585761641,0.194027257156122,146353.287605394,71163.2809156677,0,1277.28330149047,90906.1510214428,13397.7633962798,0.147380163451421,146737.802332378,69346.1135906335,0,-8944.29611027419,8661.60486668692,5921.09517988427,0.0466470937047005,0,0.0140505706944868,-0.0983904390382168,0,1
"5",5,1,1,100398.315635343,18801.5261276228,0.187269338221886,143333.773234623,75476.8567729414,0,-1735.04984020842,89704.3198380906,13749.2112724628,0.153272565883996,149976.552968775,68376.320050567,0,-11235.7700351279,10693.9957972529,5052.31485516006,0.0339967723378904,0,-0.0193418761029575,-0.125253388637333,1,1
"6",6,1,1,105751.756104258,19906.9300212338,0.188242075163349,152899.716701787,76493.8525674387,0,-3664.1698461757,93286.8272617504,14669.0589651982,0.157246841765116,157644.753393831,71226.2581703698,0,-13002.7402712293,12464.9288425073,5237.87105603563,0.0309952333982328,0,-0.0392785343196905,-0.139384526764377,1,1
"7",7,1,1,106502.994866473,21057.2457729137,0.197715057678087,153662.197408714,73209.7768463947,0,-145.367315636698,94350.6100628481,14832.1428648904,0.15720240552775,158269.166905966,71213.602719043,0,-12676.1146267379,12152.3848036245,6225.10290802322,0.0405126521503373,0,-0.00154071410391377,-0.134351167610832,1,1
"8",8,1,1,107254.204227615,20712.8681395949,0.193119405330144,158535.532763944,72133.9475439729,0,-2222.1968650328,92404.9240412369,14897.4246495681,0.161218948060819,157843.576911089,69911.7506769616,0,-15291.6965744599,14849.2801863785,5815.44349002678,0.0319004572693247,0,-0.0240484680669303,-0.165485732855922,1,1
"9",9,1,1,100064.983380407,19769.9010527577,0.197570622458412,140331.052166547,60845.5295823294,0,5508.75477963639,88660.2931914524,13806.1821470993,0.155720014564878,146779.876057337,66354.2843556117,0,-11962.6125113994,11404.6901889544,5963.71890565838,0.041850607893535,0,0.0621332795250386,-0.134926381142993,0,1
"10",10,1,1,99194.8940701151,19773.5354991248,0.199340255206564,141284.691135731,66220.8257517257,0,4054.01009467777,94766.0132086795,16762.0198164082,0.176877967626405,149731.002128106,66763.5602712103,0,-4831.23061447047,4428.88086143552,3011.51568271659,0.0224622875801596,0,0.0427791563389993,-0.0509806253411954,0,1
