"","x","y","variable_z.1","variable_z.2","variable_z.3","variable_z.4","variable_z.5","variable_z.6","variable_z.7","variable_z.8","variable_z.9","variable_z.10","variable_z.11","variable_z.12","variable_z.13","variable_z.14","variable_z.15","variable_z.16","variable_z.17","variable_z.18","variable_z.19","variable_z.20","variable_z.21","variable_z.22","variable_z.23","variable_z.24","variable_z.25","variable_z.26","variable_z.27","variable_z.28","variable_z.29","variable_z.30","variable_z.31","variable_z.32","variable_z.33"
"1",84.075,27.525,28805.9594726562,29980.1611328125,28549.7192382812,26091.9189453125,27131.3208007812,22366.6796875,32562.6416015625,24293.5986328125,27249.12109375,27958.0004882812,31045.478515625,26544.4384765625,27837.6391601562,31325.0390625,30687.158203125,32961.9189453125,21380.361328125,20516.1596679688,27779.560546875,24448.8403320312,29606.6015625,26978.4399414062,22843.4399414062,29061.318359375,22002.2802734375,21289.6801757812,26945.439453125,25630.6787109375,34265.3198242188,26917.119140625,25974.4799804688,22118.0395507812,24521.7602539062
"2",84.125,27.525,29324.8388671875,30616.7993164062,28704.6801757812,27014.19921875,27983.720703125,27821.6796875,32793.1982421875,24857.119140625,26499.4799804688,27960.478515625,31510.0390625,32544.7998046875,28478.359375,31579.23828125,29123.9990234375,32557.2802734375,26208.8793945312,21095.6005859375,28372.8002929688,24444.7998046875,29509.560546875,27576.640625,23329.8803710938,29865.2392578125,21974.7607421875,21063.28125,26878.359375,25767.119140625,34553.4814453125,27741.240234375,25881.71875,22994.560546875,24986.3598632812
"3",84.075,27.475,35166.71875,-7920,37252.119140625,-7920,26076.71875,-7920,25913.2006835938,-7920,30456.8408203125,-7920,-7920,37989.3994140625,31490.87890625,-7920,-7920,31717.919921875,-7920,19731.9201660156,27425.439453125,23188.0810546875,21975.3198242188,20638.9990234375,16405.9997558594,23117.958984375,16264.0405273438,20154.6398925781,25381.8798828125,20146.5600585938,27013.8793945312,25250.400390625,24654.19921875,16436.0803222656,17412.51953125
"4",84.125,27.475,36292.880859375,-7920,37571.240234375,-7920,27941.7602539062,-7920,-7920,-7920,31336.6796875,-7920,-7920,34781.1206054688,28092.8002929688,-7920,-7920,33499.9194335938,22783.5595703125,21229.7998046875,28497.3999023438,24573.759765625,22209.3603515625,22197.7587890625,17788.3203125,23893.4008789062,16885.7995605469,21416.240234375,26130.80078125,21404.8388671875,28196.5600585938,27265,25219.521484375,18280.2001953125,18802.7197265625
"5",83.875,27.425,32825.3198242188,28503.5595703125,28804.8388671875,-7920,-7920,-7920,-7920,28397.7587890625,36529.7216796875,-7920,-7920,-7920,-7920,-7920,-7920,38157.1997070312,28588.5205078125,21538.8403320312,28878.4814453125,25052.1997070312,28337.7587890625,27955.400390625,17519.16015625,28863.2397460938,28062.6416015625,25837.48046875,26119.3994140625,26207.2412109375,33839.0405273438,26652.7587890625,25535.439453125,20843.1201171875,23591.0791015625
"6",83.925,27.425,-7920,-7920,-7920,-7920,-7920,-7920,-7920,29432.2412109375,36617.44140625,-7920,38027.8002929688,-7920,-7920,-7920,-7920,38154.6801757812,28654.4799804688,21176.6796875,28802.51953125,25466.240234375,23878.1201171875,27772.8393554688,17446.7602539062,28571.9604492188,22509.12109375,25413.9208984375,26537.1606445312,25796.9189453125,33248.0004882812,26460.1611328125,25677.6000976562,21754.19921875,23504.3212890625
"7",83.975,27.425,-7920,-7920,-7920,-7920,22890.6787109375,-7920,-7920,21016.9189453125,27273.798828125,-7920,33417.6806640625,-7920,28427.51953125,-7920,-7920,33081.5185546875,18107.1203613281,17481.9604492188,25098.720703125,21045.2001953125,18751.9995117188,23939.8388671875,13924.7998046875,25291.7993164062,14333.6804199219,17552.2399902344,22460.2392578125,21938.3203125,29570.5200195312,22255.6005859375,22930.3198242188,12613.0395507812,14489.2797851562
"8",84.025,27.425,27895.2807617188,-7920,-7920,-7920,25849.12109375,22170.4809570312,26613.5595703125,19224.9194335938,30263.720703125,-7920,27609.6801757812,38223.5595703125,31072.51953125,-7920,-7920,36101.1596679688,-7920,20325.7202148438,28038.759765625,19228.5595703125,22442.880859375,21098.359375,16810.83984375,22955.6005859375,16777.9602050781,20389.5202636719,25652.2412109375,20231.7602539062,27733.28125,25584.8388671875,24724.0405273438,16221.1999511719,17854.2004394531
"9",84.075,27.425,29091.5600585938,-7920,38758.9208984375,-7920,26987.080078125,-7920,26792.1606445312,24752.119140625,31349.2407226562,-7920,-7920,34729.6801757812,27820.1196289062,-7920,-7920,34742.880859375,-7920,21081.71875,27917.1997070312,20549.8803710938,23002.51953125,21819.5190429688,17854.8400878906,28349.4799804688,17782.6000976562,21219.599609375,26681.3208007812,20824.7192382812,28382.919921875,27387.48046875,25304.560546875,17982.919921875,19020.5200195312
"10",84.125,27.425,29895.439453125,-7920,37667.8002929688,-7920,21660.3198242188,-7920,26599.3994140625,24309.3994140625,31349.2797851562,-7920,-7920,34623.0004882812,-7920,-7920,-7920,34687.041015625,-7920,21383.2006835938,27832.8002929688,19779.3603515625,22509.2797851562,22256.4794921875,17856.6796875,28482.080078125,17353.2006835938,21765.6396484375,26304.3212890625,20835.3198242188,32108.3203125,27246.0791015625,25113.6401367188,17933.4802246094,18936.7199707031
"11",84.175,27.425,34198.359375,-7920,33724.16015625,-7920,-7920,-7920,-7920,19738.0798339844,30553.5205078125,-7920,-7920,-7920,-7920,-7920,-7920,34601.4013671875,-7920,21506.0009765625,28195.439453125,19778.7194824219,22576.3598632812,26894.7607421875,18200.7604980469,23338.2006835938,17331.7199707031,22014.7607421875,26330.0390625,20862.3193359375,32002.6416015625,27241.8408203125,24823.5595703125,17951.8005371094,18645.3601074219
"12",84.225,27.425,30751.0400390625,-7920,24993.759765625,-7920,-7920,19532.9602050781,-7920,-7920,33140.76171875,-7920,-7920,35794.7607421875,-7920,31373.8793945312,-7920,31092.841796875,-7920,17728.2397460938,25012.6806640625,21373.359375,18743.0798339844,24575.2807617188,14998.5595703125,25705.478515625,14311.240234375,18733.359375,22670.5615234375,22849.6801757812,25448.759765625,23095.1611328125,22917.44140625,19042.7600097656,15108.9196777344
"13",84.275,27.425,-7920,-7920,37646.640625,-7920,-7920,29951.5991210938,-7920,27970.6396484375,39470.478515625,-7920,-7920,-7920,-7920,43782.63671875,-7920,42216.8798828125,-7920,23112.7587890625,30977.919921875,26569.4384765625,25221.4404296875,29862.919921875,18980,30799.7216796875,23903.1201171875,23787.8002929688,28837.958984375,28178.4008789062,36646.9189453125,29353.0395507812,27441.3598632812,25030.5615234375,25469.3994140625
"14",83.875,27.375,34374.521484375,25555.361328125,29316.8408203125,23413.0810546875,28777.8002929688,24181.5991210938,26776.7602539062,22140.5590820312,23887.6806640625,28464.7607421875,31455.80078125,26948.28125,26982.919921875,30084.0405273438,31128.9599609375,32589.8388671875,23103.6401367188,22918.3203125,29660.400390625,21609.0405273438,25119.2797851562,23516.9604492188,18332.2802734375,23409.4799804688,19640.0805664062,26370.5615234375,26532.44140625,26748.759765625,32812.7197265625,27569.19921875,26517.3193359375,18578.8793945312,19339.7998046875
"15",83.925,27.375,-7920,-7920,-7920,-7920,-7920,-7920,-7920,-7920,-7920,-7920,32873.3984375,-7920,32775.400390625,-7920,-7920,34266.8017578125,29209.0405273438,22378.4399414062,29515.439453125,21358.6401367188,24733.9990234375,23393.6401367188,18690.3601074219,28412.119140625,19440.4797363281,26515.2001953125,26374.8388671875,26534.599609375,32185.2001953125,27488.4814453125,27077.55859375,18006.640625,19192.9602050781
"16",83.975,27.375,-7920,-7920,-7920,-7920,32205.3198242188,-7920,-7920,-7920,-7920,-7920,37545.6787109375,-7920,32539.560546875,-7920,29567.880859375,34380.6005859375,23699.0795898438,22701.201171875,29304.7998046875,21103.0395507812,24154.2797851562,22467.5610351562,18659.4799804688,23516.240234375,19383.0798339844,22352.3608398438,26514.599609375,21749.7192382812,32136.8017578125,27694.599609375,26641.3208007812,17575.0402832031,18612.8796386719
"17",84.025,27.375,-7920,-7920,-7920,-7920,32405.3198242188,30866.4404296875,-7920,25108.9990234375,-7920,-7920,32349.16015625,36090.87890625,32345.6005859375,-7920,-7920,36623.1982421875,22497.6806640625,22353.9990234375,28909.7607421875,20356.9201660156,23804.6801757812,22700,17837.0397949219,23346.4013671875,18663.1604003906,22255.9204101562,26080.1611328125,25548.5986328125,27963.4008789062,26961.640625,26619.3212890625,17636.8005371094,18718.759765625
"18",84.075,27.375,-7920,-7920,-7920,-7920,33029.3212890625,25187.48046875,26476.0009765625,24620.5615234375,-7920,-7920,-7920,-7920,27242.8393554688,-7920,-7920,36341.71875,-7920,21618.1591796875,27968.2006835938,19786.6003417969,22562.48046875,21980.361328125,17390.9204101562,27634.8388671875,17856.6003417969,21335.1196289062,26239.8803710938,25047.7587890625,26935,26447.8002929688,25257.1997070312,17164.3994140625,17976.7199707031
"19",84.125,27.375,-7920,-7920,-7920,-7920,-7920,23398.9208984375,26675.5200195312,28327.919921875,28032.3608398438,-7920,-7920,-7920,26226.9189453125,25315.1196289062,-7920,32554.12109375,-7920,21214.9194335938,28624.4384765625,19371.5600585938,22338.28125,26994.3603515625,17417.6000976562,27942.55859375,17714.7998046875,21705.400390625,25708.9990234375,21017.6806640625,27756.3598632812,26819.521484375,25075.3198242188,17151.1596679688,17983.359375
"20",84.175,27.375,28928.359375,-7920,-7920,-7920,-7920,-7920,25256.4404296875,24683.4008789062,28204.0795898438,-7920,-7920,-7920,-7920,-7920,-7920,33748.9599609375,-7920,21371.640625,28233.9990234375,19361.7199707031,22718.4399414062,26962.2412109375,17091.9995117188,27130.2001953125,17772.2399902344,21384.8388671875,25749.6801757812,20528.5595703125,31719.7607421875,26892.2802734375,25260.6396484375,17128.359375,17905.3601074219
"21",84.225,27.375,-7920,25191.5991210938,-7920,-7920,-7920,-7920,-7920,20504.3603515625,26921.9604492188,-7920,-7920,-7920,-7920,-7920,-7920,33993.0395507812,-7920,21357.958984375,28617.880859375,19730.1599121094,22411.279296875,26834.8388671875,17075.9204101562,27153.8793945312,17816.0803222656,21938.4790039062,25714.7192382812,20829.8388671875,27654.3994140625,27379.521484375,25127.2412109375,17113.8793945312,18352.1606445312
"22",84.275,27.375,-7920,-7920,29386.71875,-7920,-7920,-7920,-7920,14846.4404296875,26086.0791015625,-7920,-7920,-7920,-7920,-7920,-7920,28454.3603515625,-7920,15557.3999023438,22927.041015625,19315.9997558594,17383.3203125,22980.439453125,12304.6398925781,23911.6015625,13180.2001953125,16398.3203125,19907.7600097656,20514.6801757812,23585.400390625,21427.7587890625,21187.041015625,16692.6391601562,13061.1596679688
"23",84.325,27.375,-7920,-7920,37064.521484375,-7920,-7920,-7920,-7920,22634.0795898438,38773.5205078125,-7920,-7920,-7920,-7920,-7920,-7920,42179.8388671875,-7920,23635.7202148438,30735.439453125,26614.2407226562,25640.478515625,29048.28125,18959.16015625,29527.51953125,19285.1196289062,23840.439453125,27420.400390625,27913.359375,35806.9995117188,29557.8393554688,27534.12109375,23923.0004882812,24853.8403320312
"24",84.375,27.375,-7920,-7920,-7920,-7920,-7920,29780.478515625,-7920,28380.361328125,38700.6005859375,-7920,-7920,-7920,-7920,-7920,-7920,40543.3984375,-7920,23618.9208984375,31023.5986328125,26525.2392578125,25236.5185546875,29282.48046875,18886.8798828125,30092.3999023438,19231.1206054688,23569.7998046875,28156.0791015625,28551.5185546875,35966.71875,29085.478515625,27472.958984375,24133.1201171875,24413.0004882812
"25",83.825,27.325,-7920,24710.2807617188,-7920,-7920,-7920,22464.16015625,-7920,21269.0795898438,-7920,-7920,-7920,-7920,32508.798828125,-7920,-7920,33674.16015625,-7920,21663.4008789062,28120.400390625,20944.9609375,23955.5200195312,23018.2397460938,17925.3601074219,27816.8408203125,18546.5600585938,25423.1201171875,25616.4404296875,25875.80078125,31446.1206054688,25968.0810546875,25562.080078125,17990.9204101562,18821.3598632812
"26",83.875,27.325,-7920,-7920,-7920,-7920,-7920,29647.119140625,-7920,-7920,-7920,-7920,-7920,-7920,32649.4799804688,-7920,-7920,37468.0810546875,-7920,21637.48046875,28882.880859375,20780.2392578125,24589.0795898438,23432.880859375,18240.7604980469,23194.4799804688,18784.6801757812,25895.83984375,26001.1596679688,25864.3603515625,32106.8017578125,26352.3999023438,25867.080078125,18361.1596679688,18516.7993164062
"27",83.925,27.325,-7920,-7920,-7920,-7920,-7920,29138.2006835938,-7920,-7920,-7920,-7920,-7920,33341.6015625,32930.2783203125,-7920,-7920,37152.841796875,-7920,21968.9599609375,29178.0810546875,20593.28125,24542.041015625,22990.6787109375,18347.3193359375,23215.0390625,18704.9597167969,25867.6391601562,25831.7602539062,25549.0405273438,32080.2392578125,26738.0004882812,26445.400390625,17767.3596191406,18463.4802246094
"28",83.975,27.325,-7920,-7920,-7920,-7920,-7920,-7920,-7920,-7920,-7920,-7920,37427.48046875,32868.1982421875,27696.9604492188,-7920,-7920,37379.8803710938,27393.6791992188,21933.6401367188,28931.1206054688,20763.6010742188,24051.0009765625,22877.6806640625,17836.1596679688,28178.2006835938,18624.599609375,22370.9594726562,25777.2802734375,25968.6791992188,31834.6801757812,21473.0004882812,26107.919921875,17240.0805664062,18283.2800292969
"29",84.025,27.325,-7920,-7920,38587.841796875,-7920,28009.2797851562,28306.201171875,-7920,27907.3999023438,-7920,-7920,33560.6787109375,-7920,32523.4399414062,-7920,24784.12109375,36687.2412109375,26714.19921875,21989.8388671875,28558.0395507812,20338.4399414062,23189.3212890625,22111.9995117188,17430.83984375,22886.4013671875,18222.48046875,21958.0004882812,25761.0009765625,25719.4384765625,31995.2783203125,25808.9990234375,25749.3212890625,17277.1997070312,18342.3193359375
"30",84.075,27.325,-7920,-7920,-7920,-7920,33041.5600585938,25189.16015625,26160.6005859375,-7920,-7920,-7920,-7920,-7920,27347.6806640625,-7920,-7920,36822.1997070312,-7920,-7920,29040.6396484375,20305.3198242188,-7920,-7920,17811.1206054688,-7920,-7920,-7920,-7920,-7920,-7920,-7920,-7920,17144.599609375,-7920
"31",84.125,27.325,-7920,-7920,-7920,-7920,-7920,23010.9594726562,-7920,-7920,-7920,-7920,-7920,-7920,26046.9604492188,-7920,-7920,33374.3212890625,-7920,21274.6801757812,-7920,19488.8403320312,-7920,-7920,-7920,-7920,-7920,-7920,20589.2797851562,-7920,26575.0805664062,-7920,-7920,-7920,-7920
"32",84.175,27.325,-7920,24801.0009765625,-7920,-7920,-7920,-7920,-7920,-7920,-7920,-7920,-7920,27308.2006835938,28204.3212890625,24391.0009765625,-7920,33614.19921875,-7920,21456.279296875,28315.1611328125,19452.3999023438,21738.0810546875,26950.2392578125,17202.6000976562,22708.359375,17785.5200195312,21421.8408203125,20577.7587890625,20983.0810546875,31068.2397460938,25727.1606445312,24849.3603515625,16778.8793945312,17676.7199707031
"33",84.225,27.325,-7920,29988.5595703125,-7920,-7920,-7920,-7920,-7920,20499.8388671875,-7920,-7920,-7920,-7920,-7920,-7920,-7920,33757.2412109375,-7920,21058.9599609375,27888.8793945312,19035.7604980469,21894.16015625,26615.0805664062,17129.0405273438,27549.12109375,17728.3996582031,21424.4799804688,20185.1599121094,21135.2807617188,26847.919921875,25375.6005859375,25606.0009765625,17136.7199707031,17551.8395996094
"34",84.275,27.325,-7920,24296.201171875,-7920,-7920,-7920,-7920,-7920,20462.8796386719,21183.759765625,-7920,-7920,-7920,-7920,-7920,-7920,34086.5185546875,-7920,21236.279296875,27894.3603515625,19040,21821.3208007812,26637.1606445312,17108.7194824219,22428.9208984375,17728.1604003906,21404.8388671875,24707.55859375,25711.5185546875,27285.0390625,21080.2001953125,25398.9599609375,16765.3198242188,17749.2797851562
"35",84.325,27.325,-7920,-7920,-7920,-7920,-7920,-7920,-7920,-7920,-7920,-7920,28582.7197265625,39614.7216796875,-7920,-7920,-7920,34137.919921875,-7920,21916.8408203125,28688.2397460938,19527.8796386719,22299.599609375,26975.0390625,17055.6005859375,27171.9995117188,17792.6000976562,21539.9194335938,25005.3198242188,20807.5610351562,27578.798828125,21084.2407226562,25497.55859375,16714.2797851562,17842.3596191406
"36",84.375,27.325,-7920,-7920,-7920,-7920,-7920,-7920,-7920,-7920,-7920,-7920,32145.76171875,-7920,27327.1997070312,-7920,-7920,34958.0004882812,-7920,23458.8403320312,29838.4399414062,21072.8393554688,23489.599609375,27273.28125,18197.8393554688,28784.7192382812,18915.2404785156,22526.9604492188,26402.6806640625,22275.2392578125,28802.080078125,27845.6005859375,26640.361328125,22280.361328125,17988.6804199219
"37",84.425,27.325,-7920,-7920,-7920,-7920,-7920,-7920,-7920,-7920,-7920,-7920,37762.041015625,-7920,28443.5986328125,-7920,-7920,34744.3212890625,-7920,23844.5190429688,30308.9208984375,20991.3989257812,23848.2397460938,27682.7197265625,18176.240234375,28985.80078125,18898.5205078125,22898.9990234375,26793.2006835938,22260.9204101562,29158.1591796875,27860.400390625,26184.0795898438,18637.2399902344,17773.8793945312
"38",84.475,27.325,-7920,-7920,-7920,-7920,-7920,-7920,-7920,-7920,24335.87890625,-7920,37918.3203125,27148.4814453125,29730.6787109375,-7920,25231.5991210938,37703.5205078125,-7920,24176.7602539062,30226.4404296875,20965.1611328125,24128.5595703125,27383.9208984375,18175.7995605469,29363.4008789062,18890.5603027344,22890.2807617188,27226.4013671875,22278.9208984375,28664.12109375,28008.2397460938,26143.5595703125,18264.7204589844,18220.3601074219
"39",84.525,27.325,-7920,-7920,-7920,-7920,-7920,-7920,28524.4799804688,-7920,-7920,-7920,45398.603515625,33799.6801757812,34938.8403320312,37037.55859375,29822.919921875,45159.31640625,23998.0395507812,23863.359375,30297.919921875,26045.361328125,24565.1196289062,28795.478515625,18196.4404296875,30114.8388671875,19544.4396972656,23323.8793945312,27628.9599609375,28140.6787109375,35838.1201171875,28530.361328125,27437.6391601562,23575.80078125,24429.8388671875
"40",84.575,27.325,-7920,-7920,-7920,-7920,-7920,29879.9194335938,33094.0405273438,22819.7192382812,-7920,-7920,46108.28125,33303.6401367188,29748.6791992188,37246.8798828125,29938.9208984375,45519.716796875,24519.7607421875,23800.9204101562,30228.28125,26652.2412109375,24509.2407226562,27836.3598632812,18178.9196777344,29807.958984375,19619.7595214844,23308.6791992188,27327.7587890625,27644.7607421875,35408.359375,28012.55859375,27365.7202148438,23941.6796875,24551.9995117188
"41",84.625,27.325,-7920,-7920,37929.8803710938,-7920,-7920,-7920,-7920,-7920,-7920,-7920,-7920,-7920,-7920,32237.958984375,30614.3603515625,43642.197265625,-7920,24131.9995117188,30897.2802734375,26566.7602539062,25160.1196289062,28489.3212890625,18726.1999511719,29712.3608398438,19880.9204101562,23522.8393554688,27678.5595703125,28429.8388671875,36248.9990234375,28781.7993164062,27448.9599609375,24102.119140625,25029.8803710938
"42",83.875,27.275,32681.279296875,-7920,-7920,-7920,30424.8388671875,29026.8408203125,27404.0405273438,28022.2802734375,-7920,-7920,-7920,27307.44140625,28327.080078125,-7920,-7920,33285.439453125,-7920,21120.3198242188,28490.6787109375,19507.1606445312,23928.2397460938,22583.0810546875,17597.51953125,28139.3994140625,23088.4008789062,25633.28125,20836.4404296875,25671.8408203125,31661.4794921875,25832.55859375,26050.7202148438,17423.8403320312,18250.7202148438
"43",83.925,27.275,-7920,-7920,-7920,-7920,27717.6391601562,23045.439453125,30032.3583984375,21852.1997070312,-7920,-7920,-7920,33439.23828125,28426.9189453125,-7920,-7920,33239.12109375,-7920,21930.0390625,28642.55859375,20603.4399414062,24106.240234375,22784.2797851562,18344.2395019531,28170.7592773438,23465.3198242188,25884.7998046875,21165.2001953125,26120.9204101562,31785.6787109375,25901.5185546875,26558.9990234375,18172.51953125,18199.7607421875
"44",83.975,27.275,-7920,-7920,-7920,-7920,26641.4013671875,-7920,-7920,-7920,-7920,-7920,-7920,32251.279296875,27709.8388671875,-7920,-7920,33385.76171875,22265.1611328125,22403.0004882812,28921.0791015625,20521.1206054688,23496.0400390625,22548.6401367188,17877.8796386719,28402.48046875,18249.0405273438,22419.3212890625,21100.9204101562,25940.2392578125,31793.6401367188,20859.7192382812,26458.9990234375,18091.9604492188,18130.6799316406
"45",84.025,27.275,-7920,-7920,28828.798828125,23148.1201171875,-7920,23057.041015625,27015.6396484375,-7920,-7920,27370.5615234375,32951.71875,26490.9594726562,27084.3994140625,-7920,-7920,27944.8803710938,22495.7592773438,-7920,-7920,20082.6403808594,-7920,-7920,-7920,-7920,-7920,-7920,21049.6411132812,-7920,-7920,-7920,-7920,-7920,-7920
"46",84.075,27.275,-7920,-7920,28743.2006835938,23011.201171875,-7920,26795.361328125,27074.560546875,-7920,-7920,27447.958984375,-7920,25715.400390625,27180.0805664062,-7920,-7920,28560.87890625,-7920,-7920,-7920,-7920,-7920,-7920,-7920,-7920,-7920,-7920,20617.958984375,-7920,-7920,-7920,-7920,-7920,-7920
"47",84.125,27.275,-7920,-7920,28839.4384765625,24150.9204101562,-7920,-7920,-7920,-7920,-7920,-7920,-7920,25623.9990234375,26941.5185546875,-7920,-7920,28398.5595703125,-7920,-7920,-7920,-7920,-7920,-7920,-7920,-7920,-7920,-7920,20973.4399414062,-7920,-7920,-7920,-7920,-7920,-7920
"48",84.175,27.275,-7920,-7920,-7920,-7920,-7920,-7920,-7920,-7920,-7920,-7920,-7920,27341.5600585938,28186.640625,-7920,-7920,34021.71875,-7920,21619.2797851562,-7920,19565.400390625,-7920,-7920,-7920,-7920,-7920,-7920,21010.9204101562,-7920,-7920,-7920,-7920,-7920,-7920
"49",84.225,27.275,-7920,25300.87890625,-7920,-7920,-7920,-7920,-7920,-7920,-7920,-7920,-7920,-7920,27210.0390625,-7920,-7920,32997.44140625,-7920,20846.5991210938,28317.55859375,19108.5998535156,21674.4799804688,22013.28125,16827.2399902344,27901.9604492188,17819.4396972656,21456.5600585938,20457.6403808594,25269.12109375,27626.0791015625,25401.9189453125,25807.48046875,16798.4802246094,17736.3598632812
