"","x","y","variable_z.1","variable_z.2","variable_z.3","variable_z.4","variable_z.5","variable_z.6","variable_z.7","variable_z.8","variable_z.9","variable_z.10","variable_z.11","variable_z.12","variable_z.13","variable_z.14","variable_z.15","variable_z.16","variable_z.17","variable_z.18","variable_z.19","variable_z.20","variable_z.21","variable_z.22","variable_z.23","variable_z.24","variable_z.25","variable_z.26","variable_z.27","variable_z.28","variable_z.29","variable_z.30","variable_z.31","variable_z.32","variable_z.33"
"1",84.075,27.525,35044.7216796875,31795.7202148438,34243.0004882812,29160.6005859375,31779.3603515625,24771.9995117188,35346.9604492188,29049.0795898438,32928.3203125,33526.318359375,33824.12109375,33235.3198242188,33135.5615234375,30704.19921875,35438.3203125,38966.8017578125,28564.4384765625,27933.359375,33159.16015625,30592.919921875,29592.2802734375,27128.0810546875,23601.1596679688,33967.44140625,22532.958984375,27261.5185546875,32315.6396484375,33172.44140625,35904.16015625,34628.0395507812,33820.361328125,30165.87890625,30164.0795898438
"2",84.125,27.525,35158.681640625,32252.3608398438,34649.8388671875,28924.9609375,33178.5595703125,31827.041015625,36241.8017578125,29275.478515625,32337.51953125,33623.2397460938,34156.7602539062,33563.1982421875,33418.5986328125,31017.6416015625,34476.8408203125,39596.279296875,29389.7607421875,27727.2802734375,33981.6015625,31047.8002929688,29444.0795898438,27470.400390625,23705.0805664062,34103.28125,22611.3598632812,27321.9995117188,32376.318359375,33139.0795898438,36389.16015625,35326.6015625,33570.6787109375,30528.9599609375,30397.1997070312
"3",84.075,27.475,34723.1591796875,30674.16015625,27360.400390625,22127.958984375,26649.12109375,20720.6396484375,33515.1196289062,23331.640625,26377.958984375,26131.4404296875,29442.6416015625,23351.640625,25936.0400390625,24561.640625,30041.4794921875,32496.4013671875,21884.3603515625,19197.080078125,26126.7602539062,18883.359375,21282.7587890625,21016.8798828125,21366.7993164062,23178.8793945312,16793.5205078125,20304.8400878906,25900.400390625,25950.478515625,28421.1596679688,29872.3608398438,25598.0395507812,16287.3596191406,16944.560546875
"4",84.125,27.475,35579.9194335938,31895.6005859375,27890.9204101562,23432.2412109375,27301.240234375,25175.5615234375,35288.8403320312,24633.720703125,27646.0009765625,26923.0810546875,26355.83984375,24355.6787109375,26649.3603515625,25945.0390625,28487.2802734375,33390.400390625,22783.759765625,21229.7998046875,27598.28125,20073.8793945312,22344.0405273438,22350.5200195312,22688.4814453125,23862.8002929688,17667.1203613281,21371.9604492188,27608.4008789062,27341.3598632812,29757.2802734375,30460.2001953125,26914.599609375,18123.9196777344,18400.2392578125
"5",83.875,27.425,35443.798828125,30675,28583.3203125,22585.2807617188,27368.28125,26235.6787109375,34157.841796875,24894.560546875,28425.2807617188,33689.4384765625,37340.439453125,31496.9189453125,26624.2407226562,35207.7197265625,29463.1591796875,32462.841796875,26315.5200195312,21861.5600585938,27774.4799804688,25394.6801757812,23090.83984375,28193.5986328125,23773.2006835938,28972.2802734375,27946.640625,26084.599609375,19932.48046875,26682.880859375,33892.8002929688,29412.1606445312,31173.681640625,22244.0795898438,22892.080078125
"6",83.925,27.425,35671.6015625,30791.7993164062,28025.6787109375,23380.1611328125,27273.28125,27012.8393554688,33818.1201171875,25034.0405273438,28190.6396484375,33373.3203125,38017.841796875,26155.3198242188,26488.9208984375,31325.6787109375,30302.51953125,32669.9194335938,21246.71875,21878.798828125,27763.9599609375,25375.5200195312,23058.759765625,28047.8393554688,22932.1606445312,29484.12109375,23069.3212890625,25985.1611328125,19901.8798828125,26048.359375,33470.7202148438,28938.6791992188,31399.0795898438,22295.2392578125,23006.9995117188
"7",83.975,27.425,36590.6396484375,28419.9609375,24774.599609375,20104.8400878906,18548.359375,23241.5600585938,31493.4399414062,21064.9609375,23722.3193359375,24113.2006835938,28416.0791015625,20836.3598632812,22916.5991210938,22294.4799804688,26428.798828125,28715.0390625,17095.6005859375,17477.8002929688,24581.4404296875,16478.0395507812,18862.919921875,23923.1591796875,18225.5603027344,25952.041015625,19953.8793945312,21549.599609375,16184.599609375,22548.720703125,30650.478515625,26227.3193359375,24025.9594726562,13170.7202148438,14402.8393554688
"8",84.025,27.425,34720.439453125,31037.880859375,27342.1606445312,23255.0390625,21031.7602539062,22223.5205078125,34309.8803710938,23600.5200195312,27050.9204101562,26681.3208007812,29310.0390625,23793.720703125,25480.9594726562,24191.5600585938,24116.0400390625,32628.4814453125,20338.4399414062,20553.3203125,26358.9208984375,18513.2006835938,22521.3208007812,21098.359375,21364.0405273438,22795,17753.4802246094,20448.5998535156,19659.2395019531,25600.0805664062,27886.7602539062,28932.2802734375,26676.6796875,16934.4799804688,17229.3994140625
"9",84.075,27.425,36062.44140625,31720.87890625,28505.6005859375,23912.2802734375,22409.8803710938,23110.9594726562,30461.0791015625,24674.9194335938,27707.3608398438,27672.3608398438,30479.7607421875,23988.1591796875,27046.1206054688,25234.2407226562,24851.0009765625,34099.7998046875,21420.87890625,21969.6801757812,27413.0395507812,19869.7998046875,22909.9609375,22161.3598632812,18192.919921875,23898.9599609375,18316.7602539062,21219.0795898438,26408.2006835938,27227.958984375,29214.4384765625,29812.880859375,27228.9208984375,18349.9597167969,17952.3999023438
"10",84.125,27.425,35604.8803710938,32100.439453125,27753.0004882812,23624.4799804688,22333.28125,22711.279296875,30444.8388671875,23950.2001953125,27457.6000976562,27891.6796875,28837.6806640625,24738.720703125,26533.6791992188,25889.19921875,24993.9599609375,34166.9995117188,21884.12109375,21684.560546875,27323.5986328125,19934.7998046875,22369.3212890625,22626.201171875,18413.6401367188,28437.919921875,18295.5200195312,21793.720703125,26643.6791992188,27908.1201171875,29461.4794921875,30457.2802734375,26537.2412109375,18305.83984375,18264.9597167969
"11",84.175,27.425,35571.640625,32113.720703125,27752.6000976562,23775.0390625,28031.7993164062,24734.0795898438,30670.6787109375,24964.3994140625,27584.2797851562,28124.638671875,28469.8388671875,24642.6806640625,26707.6000976562,25751.7602539062,28033.9208984375,34423.0395507812,22411.0400390625,22186.7993164062,27327.6806640625,19930.439453125,22184.0795898438,22610.5200195312,18858.8793945312,22915.361328125,18007.51953125,21844.7607421875,27703.798828125,27437.3193359375,29431.0400390625,30826.7602539062,26633.2397460938,18308.0395507812,17951.6003417969
"12",84.225,27.425,33035.76171875,29113.3203125,24882.1997070312,20622.48046875,24409.9609375,22396.5185546875,32453.5986328125,22368.0810546875,24676.5185546875,24762.51953125,26505.478515625,21268.4008789062,24449.8388671875,22490.3198242188,26010.6396484375,32086.9189453125,20410.1196289062,18697.7197265625,24222.48046875,16670,18893.8793945312,24723.0810546875,14866.3598632812,24844.3994140625,15212.080078125,18673.6804199219,24122.080078125,24394.599609375,26792.55859375,27508.1201171875,23827.041015625,18972.119140625,15165.2392578125
"13",84.275,27.425,44885.95703125,38812.041015625,29850,25102.3193359375,28476.3598632812,30667.1997070312,37901.1206054688,28257.1606445312,30100.2807617188,35920.76171875,38646.8798828125,25932.51953125,29711.6796875,33833.8403320312,31193.5595703125,42151.201171875,30682.3193359375,23317.119140625,30041.6796875,20847.1997070312,25380.0390625,29972.2802734375,25637.6000976562,29840.400390625,19811.0400390625,24149.8388671875,30201.3598632812,36328.0395507812,33421.9189453125,37536.8798828125,29049.6801757812,25433.0395507812,25445.2807617188
"14",83.875,27.375,34273.9599609375,32253.8793945312,34554.0795898438,28613.4814453125,31994.599609375,27832.8002929688,35948.359375,25225.7592773438,29053.9990234375,28646.8408203125,33506.8017578125,33085.478515625,28439.3994140625,30514.0405273438,31075.6005859375,33901.3598632812,28929.16015625,29598.0004882812,35238.9599609375,26200.0805664062,30006.1596679688,27966.8408203125,23676.0400390625,30039.19921875,23985.6787109375,27669.599609375,27884.9194335938,28630.2001953125,30375.7202148438,29888.0004882812,33505.2001953125,24565.1196289062,24013.0395507812
"15",83.925,27.375,36705.9204101562,32346.6796875,28704.2407226562,23990.361328125,28118.720703125,27694.7192382812,30344.2797851562,26100.80078125,28442.6391601562,28634.8388671875,32511.279296875,26205.2392578125,22246.4404296875,26188.4814453125,26073.4399414062,27799.560546875,21571.0009765625,22614.9609375,28743.0004882812,20689.12109375,24807.119140625,27869.4384765625,23493.8793945312,28660.2001953125,19512.1997070312,25949.9609375,20823.0810546875,26755.6787109375,33478.4399414062,29535.2392578125,27083.9208984375,18494.2004394531,18552.8002929688
"16",83.975,27.375,36375.0805664062,31895.0805664062,29048.798828125,24102.041015625,28063.2006835938,26299.9194335938,34942.2412109375,26608.0395507812,27655.2001953125,28869.521484375,31895.6005859375,25879.8803710938,22751.5600585938,26083.8793945312,25944.8388671875,27993.6401367188,20712.5610351562,22741.5600585938,28317.3999023438,21056.1206054688,24533.4814453125,23037.3999023438,23054.0405273438,23751.5209960938,19214.2797851562,22481.3989257812,20750.2392578125,27400.0805664062,30245.1196289062,29694.16015625,27179.599609375,18421.5197753906,18391.8395996094
"17",84.025,27.375,36232.841796875,31476.7993164062,28696.4404296875,24157.8393554688,26930.1611328125,27073.2397460938,35532.3999023438,25683.0004882812,24120.6005859375,28755.2807617188,31095.2001953125,25938.4008789062,22251.279296875,25544.4384765625,26018.5595703125,27813.0395507812,20312.8002929688,22177.1606445312,28372.1997070312,20715.6787109375,23963.720703125,23022.1997070312,22597.8393554688,23398.5986328125,18994.2395019531,22118.3203125,20326.7993164062,27294.0795898438,30173.4814453125,30083.8793945312,27043.3203125,18464.5202636719,18458.359375
"18",84.075,27.375,35773.8403320312,31250.2807617188,27770.2807617188,24149.6801757812,26121.71875,22401.279296875,34697.2802734375,25347.8393554688,22909.3994140625,27897.3999023438,28565,24831.640625,26221.640625,24728.720703125,24953.5205078125,27688.720703125,20479.3603515625,21717.880859375,27462.119140625,19810,22564.0795898438,21980.361328125,22216.4404296875,27914.4799804688,18560.5603027344,21294.7192382812,26076.4013671875,26830.7592773438,29609.9609375,29686.5185546875,26611.7602539062,17948.8793945312,17438.8403320312
"19",84.125,27.375,35682.3193359375,30733.0395507812,27979.0795898438,23500.0390625,26226.0400390625,22714.7192382812,34919.7216796875,24958.798828125,22907.3193359375,27535.0390625,27573.681640625,24595.5615234375,26736.1206054688,25157.6806640625,25262.7587890625,28096.240234375,21031.8408203125,21721.5600585938,27725.83984375,19725.3601074219,22226.1596679688,27219.7607421875,18324.560546875,27694.2797851562,18403.2006835938,21647.4389648438,26031.5991210938,27451.5600585938,29871.9189453125,29691.5185546875,26213.2397460938,17941.8005371094,17945.8801269531
"20",84.175,27.375,35487.1997070312,30881.71875,27439.4799804688,23767.8393554688,27643.359375,25068.9208984375,30623.4008789062,24644.638671875,27787.6000976562,27586.3598632812,28052.6806640625,24229.8388671875,26824.2797851562,24916.7993164062,25597.4389648438,28423.0810546875,21156.4404296875,21681.5600585938,27716.240234375,19311.3195800781,21979.12109375,27218.28125,17592.8796386719,27496.201171875,18057.7600097656,21685.2807617188,26260.2807617188,27279.638671875,29828.359375,29580.0390625,26377.7587890625,17916.4001464844,17956.7993164062
"21",84.225,27.375,35141.6796875,30732.6000976562,27397.7197265625,24092.2802734375,26999.560546875,22201.5209960938,30241.6796875,25720.439453125,23292.4389648438,27121.240234375,28467.2412109375,24255.6005859375,26401.5991210938,25272.44140625,25201.3598632812,28188.2397460938,21261.9995117188,22076.4404296875,27683.9990234375,19696.5197753906,21746.240234375,22497.6000976562,18021.6003417969,26802.3608398438,18082.3193359375,22162.041015625,26909.12109375,27860.0805664062,29495.6005859375,29625.83984375,26425.6005859375,18305.2001953125,17848.2800292969
"22",84.275,27.375,31223.1201171875,25678.8793945312,22735.478515625,18944.8400878906,22168.0004882812,22751.1596679688,30220.2392578125,20582.48046875,22024.7607421875,23253.759765625,23138.6401367188,19486.640625,22617.48046875,26670.6396484375,23505.5615234375,29171.6796875,16544.7998046875,16511.1206054688,22549.0795898438,14458.6804199219,17294.16015625,22833.5205078125,12942.1606445312,23478.681640625,13521.0400390625,16821.7602539062,21182.041015625,22276.4404296875,25687.55859375,24263.9599609375,22459.9609375,16915.1599121094,13886.3598632812
"23",84.325,27.375,44044.7998046875,33251.0009765625,30103.6401367188,24555.0805664062,28636.8408203125,29756.7993164062,38150.5615234375,28556.8408203125,29587.041015625,34537.3583984375,37757.3583984375,31040.0805664062,28760.2807617188,33092.2802734375,31385.9594726562,41985.6005859375,29924.6801757812,23532.3193359375,29795.83984375,26571.5185546875,24751.6796875,29708.6791992188,24846.4013671875,29049.3603515625,19680.6005859375,23804.4799804688,29172.3608398438,35897.2412109375,32804.4384765625,36916.6796875,34512.041015625,24501.1596679688,25433.4008789062
"24",84.375,27.375,44000.517578125,33256.0400390625,29930.361328125,24555.0805664062,28683.759765625,29168.4814453125,36107.2802734375,28672.2412109375,29495.439453125,34376.279296875,37416.0791015625,25348.28125,28915.0805664062,33369.7216796875,30642.55859375,41972.44140625,29644.0795898438,23379.6801757812,29247.2412109375,20523.0395507812,24749.4799804688,29828.6401367188,19685.2807617188,29231.8798828125,19710.2807617188,23071.0400390625,29184.9609375,36116.201171875,37838.798828125,38302.919921875,29420.0805664062,24518.5986328125,25418.1591796875
"25",83.825,27.325,35367.6000976562,31213.4814453125,28394.7998046875,22953.359375,27389.8388671875,27379.8388671875,35096.5185546875,24793.9990234375,28778.9990234375,28244.4384765625,32705.2783203125,27323.9599609375,27047.7587890625,25278.359375,25427.3608398438,26972.119140625,19814.7204589844,21777.5610351562,27674.3603515625,20880.2001953125,23983.28125,23148.720703125,18123.8793945312,28389.521484375,18598.4802246094,25815.6787109375,19900.439453125,26055.87890625,31949.9194335938,28049.8388671875,26507.3999023438,18336.4001464844,18419.8400878906
"26",83.875,27.325,39555.9204101562,31323.4399414062,28999.3603515625,24108.798828125,26929.2407226562,27809.8388671875,30494.8803710938,25173.5205078125,28189.2797851562,28398.3203125,33172.6416015625,27064.16015625,27516.4404296875,25349.0405273438,26026.3208007812,28274.8388671875,21189.4409179688,22193.5205078125,28433.5205078125,20780.6005859375,25101.640625,23554.4409179688,18102.2802734375,23734.16015625,19223.359375,25967.48046875,20283.6401367188,26552.2412109375,32294.7998046875,28966.3208007812,27038.9990234375,17753.8793945312,18285
"27",83.925,27.325,35585.6787109375,32205.6396484375,28698.0004882812,24159.8388671875,27238.9990234375,27732.8393554688,30522.44140625,25637.6391601562,27920.80078125,28722.1997070312,31738.0395507812,27093.8793945312,27263.4814453125,26074.560546875,25974.7607421875,28348.9208984375,21198.9990234375,22200.9594726562,28186.71875,20749.7607421875,25036.1206054688,28173.9208984375,18221.6003417969,23738.5595703125,19079.1198730469,25481.9189453125,20140.1196289062,25609.3994140625,32603.681640625,29192.51953125,27312.2802734375,17633.1994628906,18283.4802246094
"28",83.975,27.325,35701.4404296875,31303.5986328125,28703.0004882812,22784.8388671875,27183.8793945312,27633.9990234375,34823.28125,25184.7192382812,27948.0004882812,27693.0810546875,31966.318359375,25859.560546875,22047.8393554688,26348.8403320312,25865.361328125,27710.83984375,21051.9604492188,22048.28125,27556.7993164062,20403.0395507812,24029.3212890625,27152.6806640625,18069.8803710938,28074.7607421875,18685.83984375,22097.2412109375,20131.7199707031,26217.7587890625,30226.3208007812,30019.9609375,27113.0810546875,18041.7199707031,18012.3596191406
"29",84.025,27.325,35023.6401367188,30487.080078125,28098.359375,23626.0791015625,26547.080078125,28029.521484375,35055,25193.2397460938,27520.478515625,27602.51953125,30188.0004882812,25251.5600585938,22442.119140625,25686.9189453125,25526.9604492188,28062.51953125,20637.880859375,22453.9990234375,27122.2802734375,20046.9604492188,22767.080078125,22438.759765625,17303.0004882812,23400.6005859375,17988.0395507812,21702.6000976562,20138.2397460938,27038.1591796875,29438.6791992188,29388.798828125,26782.8002929688,17688.0798339844,18157.7197265625
"30",84.075,27.325,35443.5205078125,30796.6796875,27904.7192382812,23845.5200195312,26625.3198242188,23504.599609375,35975.2392578125,25545.2807617188,27729.2407226562,27386.9189453125,29419.19921875,24835.83984375,22282.8393554688,25096.640625,26078.1591796875,27912.8393554688,20766.1596679688,21971.9604492188,27125.6005859375,20115.6396484375,21937.3608398438,22371.640625,17535.3198242188,23471.4404296875,17939.3200683594,22515.1611328125,20909.5190429688,28335.0390625,29297.880859375,29776.201171875,26466.1596679688,18037.6403808594,17991.5197753906
"31",84.125,27.325,34473.8403320312,30280.6005859375,27312.6000976562,23170.1611328125,26427.55859375,23611.640625,34952.44140625,25244.521484375,23224.4799804688,27174.19921875,28270.0805664062,23629.6801757812,27022.1606445312,25271.640625,25233.5205078125,28027.8002929688,20835.9204101562,21541.8408203125,27048.0810546875,19111.240234375,21285.7592773438,22527.3608398438,17622.080078125,27889.2797851562,17915.400390625,21833.1591796875,20382.51953125,27090.87890625,29939.3994140625,28391.6796875,26437.3999023438,17558.9196777344,18104.4396972656
