"","x","y","layer.1","layer.2","layer.3","layer.4","layer.5","layer.6","layer.7","layer.8","layer.9","layer.10","layer.11","layer.12","layer.13","layer.14","layer.15","layer.16","layer.17","layer.18","layer.19","layer.20","layer.21","layer.22","layer.23","layer.24","layer.25","layer.26","layer.27","layer.28","layer.29","layer.30","layer.31","layer.32","layer.33"
"1",84.125,27.475,26963.2850436221,-1304.48377834291,0,-1304.48377834291,67456.3043177544,-1304.48377834291,-1304.48377834291,-1304.48377834291,0,-1304.48377834291,-1304.48377834291,0,83053.4528349916,-1304.48377834291,-1304.48377834291,53793.4851018679,92698.7268324362,98086.6388483293,103855.35342789,97049.6375540104,108125.898447152,109705.765524701,110808.649838128,96060.0797541156,100519.041200583,91647.2299871357,99569.0067782644,95088.9614789049,93059.7644903715,102268.891614542,111143.340722309,86993.2573776637,99984.0697986463
"2",83.875,27.425,109623.140083939,94564.2791525424,103637.162947357,-1328.13116455078,-1328.13116455078,-1328.13116455078,-1328.13116455078,33260.9662739486,11608.4028330632,-1328.13116455078,-1328.13116455078,-1328.13116455078,-1328.13116455078,-1328.13116455078,-1328.13116455078,34173.2179829329,93724.4696515203,95676.4199994206,103641.184967041,96493.4271380305,107561.18684262,108336.598175049,100016.323350251,94982.8443215787,102378.788277298,89730.6892617643,99283.844130218,92431.2200094759,90200.2305825651,99651.4265969694,106669.058333099,82774.7699807584,99548.1248861849
"3",83.925,27.425,-1316.9322230901,-1316.9322230901,-1316.9322230901,-1316.9322230901,-1316.9322230901,-1316.9322230901,-1316.9322230901,33668.2369357681,8465.61312046673,-1316.9322230901,98111.4506202125,-1316.9322230901,-1316.9322230901,-1316.9322230901,-1316.9322230901,31469.3585440497,93037.9372739509,91706.371171547,102531.817494147,95216.8588994947,106321.660976824,109814.851758206,100340.925056541,93293.3384139847,101383.827659406,89740.2870770077,99891.3018751229,92427.360905939,88304.9587810676,98059.5727710874,105962.497643254,87865.9813733709,98437.3580895631
"4",83.975,27.425,-1275.49821637521,-1275.49821637521,-1275.49821637521,-1275.49821637521,102543.615944569,-1275.49821637521,-1275.49821637521,115061.537071746,8089.75112325341,-1275.49821637521,43105.3971742056,-1275.49821637521,87830.2930849679,-1275.49821637521,-1275.49821637521,30914.7269716396,81101.0699325043,92735.1597242903,102377.415920015,92401.4700349596,102959.760826065,108178.997715095,100666.440800664,89478.1324517761,98289.3759428734,90792.2821292536,98800.8661278314,92123.1782568376,87470.8357549022,91761.1479372552,104565.086102032,85024.1932343857,93758.1400942063
"5",84.025,27.425,90888.5738877218,-1243.22547439424,-1243.22547439424,-1243.22547439424,66334.2391977293,105276.079562341,92085.3329270379,106538.141786347,7882.5519742763,-1243.22547439424,85434.7033043316,0,83697.9574428039,-1243.22547439424,-1243.22547439424,27681.232059713,-1243.22547439424,87327.1712013891,99404.0417220195,89646.6054229859,100280.576017931,102440.523306778,98606.6193217767,89897.7620844797,95674.3652988368,87123.7318528773,92603.9751120753,87511.7738002888,89899.0129623837,93288.3770146458,103026.976564067,82658.1713169214,93160.2846645822
"6",84.075,27.425,83908.6263483904,-1273.19396252443,0,-1273.19396252443,67215.6388397368,-1273.19396252443,90468.7916475728,112290.568300275,0,-1273.19396252443,-1273.19396252443,0,107055.032864358,-1273.19396252443,-1273.19396252443,45110.9333351442,-1273.19396252443,91116.9618634909,98979.8978670473,91455.1916871646,102391.804243449,104434.056289693,104602.530686102,91758.7018068709,97818.5931585093,88664.4534056716,94332.0981324919,88956.3902907221,91851.3002432433,98421.7514666613,105730.396721529,84380.610864505,94996.9908247466
"7",84.125,27.425,87116.2503263216,-1342.98399437186,0,-1342.98399437186,105314.361724805,-1342.98399437186,89609.5922618559,117618.272216211,0,-1342.98399437186,-1342.98399437186,0,-1342.98399437186,-1342.98399437186,-1342.98399437186,32313.0088342804,-1342.98399437186,98123.2915574584,104003.93359342,96165.7932939605,106599.016740649,109751.636428944,110164.026148926,96633.8028677567,102981.09660327,93293.9753756768,99075.5919484328,93842.0266683611,96397.7645813801,102788.470550061,111211.278380372,88714.2695989413,99829.8347892193
"8",84.175,27.425,53634.8790247594,-1319.44759561291,121802.33915461,-1319.44759561291,-1319.44759561291,-1319.44759561291,-1319.44759561291,101797.38116456,0,-1319.44759561291,-1319.44759561291,-1319.44759561291,-1319.44759561291,-1319.44759561291,-1319.44759561291,31632.0888340947,-1319.44759561291,96375.6536474816,101826.704825317,94147.250660703,104430.946555927,106172.880032591,107778.874328261,94667.0330468535,100997.715955097,91157.8381557397,96848.7888964135,91840.2152298656,94850.953441953,100903.087603772,109432.85634573,86923.6082685596,97715.0928733311
"9",84.225,27.425,55567.9109025847,-1371.87610457753,113440.293807661,-1371.87610457753,-1371.87610457753,97841.0965449734,-1371.87610457753,-1371.87610457753,0,-1371.87610457753,-1371.87610457753,0,-1371.87610457753,26660.1259706038,-1371.87610457753,84984.2576384698,-1371.87610457753,99503.976671734,105296.342446617,97738.5536237451,108160.649405196,110161.653904086,111048.523305025,98326.1032486119,104905.562910318,96257.199164468,100383.917405478,96530.1913584551,97292.3447498871,104780.846900811,112403.767901824,90164.1332930951,101360.85947995
"10",84.275,27.425,-1219.01614665985,-1219.01614665985,105618.509327387,-1219.01614665985,-1219.01614665985,82869.7039159597,-1219.01614665985,93805.1418845775,0,-1219.01614665985,-1219.01614665985,-1219.01614665985,-1219.01614665985,21687.4060468108,-1219.01614665985,50014.1398386389,-1219.01614665985,90096.3752031326,93589.6592323901,86727.4566498934,100944.387578964,100568.832099438,98399.2272193311,87244.6150151431,93899.9506441294,83466.8986948789,92070.1938922284,86479.9582297681,85837.2078689397,94271.814540273,101342.10458349,79914.5132573904,90050.8136088727
"11",83.925,27.375,-1272.75853634925,-1272.75853634925,-1272.75853634925,-1272.75853634925,-1272.75853634925,-1272.75853634925,-1272.75853634925,-1272.75853634925,-1272.75853634925,-1272.75853634925,90990.6660723058,-1272.75853634925,106324.188632157,-1272.75853634925,-1272.75853634925,56250.783592421,88443.862129441,88170.0287128896,99511.7176814636,89198.5204594345,102212.79538631,99946.2592108281,99045.0420624351,88763.97893007,92844.5186790036,85630.939713607,92649.1090136093,88569.8498574266,85915.0555366577,93936.0105669567,103290.13797985,80305.9211849049,94072.2807014415
"12",83.975,27.375,-1241.70977001496,-1241.70977001496,-1241.70977001496,-1241.70977001496,29814.8324804371,-1241.70977001496,-1241.70977001496,-1241.70977001496,-1241.70977001496,-1241.70977001496,78861.1129188792,-1241.70977001496,107718.947225232,-1241.70977001496,80459.0291152346,82637.6677977905,79953.5678908895,87870.4046893873,96922.3459372786,86553.4397817957,99478.5096605877,97223.3664875852,95153.850204227,86234.8609242436,90540.712720489,84135.2438107104,91408.6516326392,85161.2197366274,83271.0652057275,89827.0382663806,100503.236233635,78196.3592036187,91498.9602474427
