"","x","y","layer.1","layer.2","layer.3","layer.4","layer.5","layer.6","layer.7","layer.8","layer.9","layer.10","layer.11","layer.12","layer.13","layer.14","layer.15","layer.16","layer.17","layer.18","layer.19","layer.20","layer.21","layer.22","layer.23","layer.24","layer.25","layer.26","layer.27","layer.28","layer.29","layer.30","layer.31","layer.32","layer.33"
"1",84.125,27.475,25021.0533186171,32170.6782305476,38596.9072709752,32513.2699299103,32157.5016267259,30675.1336967908,29157.1895799261,33695.2106493231,29294.2249728935,37696.944586568,27241.3094540922,28956.9058452259,29233.6145254805,23421.4132929749,32747.8141213245,32792.6132875404,61595.3535114419,29240.2028273913,27309.8303675202,31876.839321936,29038.6001455313,31554.0125283057,34898.2352216282,29444.4401866268,27973.9299133535,26185.865418145,28031.905683391,28985.8937302447,28365.2744034675,28503.6287435947,34504.2560541387,31986.2057770445,28493.0868171486
"2",83.875,27.425,28019.544242233,33172.4228862077,34264.4438088834,32214.5599018782,32800.8151245117,29940.6383625716,36634.9560505599,33262.3058554232,31311.6983642578,32382.2532307357,47650.39347139,27900.1446269304,29857.4631265104,25235.8333455697,29378.5283590853,29504.6357075423,91679.9538961947,28384.4442707747,28155.0384867936,28006.1287759244,29785.0176432878,28800.3237263411,34131.6287272722,29763.5548623502,41404.154323265,27032.1646118164,29385.2360922396,29779.6527668685,29161.1984599382,30526.8935852051,33230.1100463867,32920.2114645541,28267.730368942
"3",83.925,27.425,26079.2487208903,32400.5227421942,33710.8037924404,33298.4310761193,32259.5198264896,29406.166676461,29331.6722415522,34200.3307632793,29442.0823602894,34077.9498324803,31308.4021098134,28062.6297619953,29439.4225406805,24855.4329176147,28835.4940978695,31116.8463833236,89891.9325187912,28627.9794537259,26660.5605779177,27521.2216943884,29346.306120866,27320.3582230887,33724.1061381282,29301.0761969418,39778.0049596935,26610.012638597,28949.8955698416,25916.960753028,27619.6610010637,30781.6279215201,32714.459399483,32185.0253915808,27755.3442775505
"4",83.975,27.425,26892.3988820218,31245.8405259896,34259.367997209,30955.9545677225,31589.8379007071,30305.3216391675,28109.9199067436,32931.0448591418,28246.48651536,32755.8236439592,28386.9220446433,26946.5102984722,28337.9628981543,23430.5154056552,26942.6445232692,28801.7804313816,86061.3407739635,27495.3623043102,27302.1049987988,26486.5585404479,30297.5932342254,28054.5188500709,34319.9213238431,28147.2817276236,37698.0583950896,24712.4555322141,27557.2021257027,28518.3363832983,26585.7633281843,29448.5475847337,33454.1292242449,32991.5981857759,26338.3946062225
"5",84.025,27.425,26031.1309541725,32259.8161592183,33251.8849721188,30030.800788461,30545.6719445233,29428.0248008759,27124.9194413288,30919.8959833244,27472.7708043222,31920.7546662017,27594.5811719713,26106.4779526206,28365.6339622835,22713.352069015,27887.179295787,27960.0153407956,83656.5190463592,26685.3952837147,26486.9809079591,27590.8162747506,29480.7701524914,27227.8930593658,33235.5622418235,27391.1448893368,36382.5533708143,25859.0892542247,26827.2994106341,27779.183770871,25787.5102188744,27618.4428943395,32571.2510326461,32140.5167450088,25562.7247002497
"6",84.075,27.425,26474.7193493752,32915.2778116129,33914.5446758437,30591.3779443353,31101.9409558963,29981.7893636453,26866.9659741933,31531.4850453038,30100.1057503882,31337.2895587435,28099.0036806493,26639.3318145228,28952.9457575649,23121.9743061264,28473.2467982736,28573.5596778228,88265.7765083155,27202.6243168081,27052.1565673752,28156.8761334913,30040.945987126,27805.7857647416,33842.5243675055,27903.5240234503,36804.3085264656,26304.9592124375,27419.9694124615,28401.2264899354,26328.1072516398,28104.1497825486,33355.1109650375,32839.4018515771,25746.8112421607
"7",84.125,27.425,27731.9418714119,34635.4208975236,35660.9736361629,32143.4401481224,32574.8235480862,31486.8715200737,28224.3699983926,33133.7212752854,31634.7340896482,33038.7628110369,28419.7118000913,28016.8172641574,30351.4369480486,24293.0889161264,29934.9769172221,33825.5615148103,92965.6943735409,28573.0025547559,28465.8331579709,29571.4209917215,30493.8746444214,29256.7021725898,34473.9928330565,29316.3923372505,27471.4833759066,27562.3731852538,28868.7310057932,29941.7596646684,27670.897144395,29464.254906825,35165.8330725814,34456.3570273183,26974.9865940246
"8",84.175,27.425,27081.9950937923,32822.2578716137,33753.869792945,33465.9890160002,31867.992673963,29908.8129107802,27684.408900818,32383.776083297,30985.6927897793,32293.1467087887,27829.683366178,27361.8779171041,29622.2662107228,23703.4095838137,29259.7487126897,33166.1145624518,91141.8422484736,27948.2990707098,27917.6445869112,28987.8638430109,29884.8223037271,28606.6887916287,33647.2477650167,28825.2659011894,26918.0630750832,26903.4028716277,28302.8186151099,29413.0178778366,27133.9736577919,28482.7432872389,34528.2103184668,33763.1985696196,28580.0332846467
"9",84.225,27.425,26891.5427782836,34069.6436837029,35045.1986714805,34700.152398433,31949.4715220831,30987.7704855569,30143.8601744811,33533.3621363119,32142.0871168442,33609.5774754551,28616.7826013669,28456.0361691914,30610.8516667854,24612.0112711826,30337.8628559366,34447.9462060303,93363.7904504151,28986.7727529435,28988.1564564995,30039.9301665586,30966.9844839723,29687.951843178,34848.4251997748,29902.7405262179,27983.5014048175,27596.8814370318,29419.1209092736,30544.3357850874,28124.8455389645,29380.3196963549,35944.5383201149,35185.1591020715,28688.8400635656
"10",84.275,27.425,23820.0680375099,30041.9763044745,32805.0783677667,30600.9986682504,30383.053958416,27270.2525301545,26686.6035775573,32774.2951317399,28415.3889103502,31763.3754643262,26865.1463465125,25732.3232607276,28900.5345138372,21693.5626940161,26839.2872257798,32339.6352378069,82824.1423216998,27431.5578894049,25745.8660808741,25330.9086604684,27474.6544198424,26227.3170948029,32732.4311332137,27227.1559997171,23462.9824995995,25025.5398609355,25955.1920858561,27052.3078203201,23677.2341229633,27831.7399577529,30780.7739691169,30139.2501278489,25312.4387188524
