"","x","y","layer.1","layer.2","layer.3","layer.4","layer.5","layer.6","layer.7","layer.8","layer.9","layer.10","layer.11","layer.12","layer.13","layer.14","layer.15","layer.16","layer.17","layer.18","layer.19","layer.20","layer.21","layer.22","layer.23","layer.24","layer.25","layer.26","layer.27","layer.28","layer.29","layer.30","layer.31","layer.32","layer.33"
"1",84.125,27.475,87978.8647699673,83990.3106534884,89602.2249343495,88206.8238764149,94345.8023101419,87773.3084635719,78956.8479936198,88886.731486501,92545.8769413274,95923.0379272597,80987.3574954245,74723.2013253919,90475.8311941691,78018.6712279632,83203.6648317807,92498.4398807917,72217.0151388481,78751.2916872244,80049.1871636565,79718.4531209554,90797.3390406396,78415.2882897724,94441.9889444844,81395.8322138955,74387.1979279399,77217.5362891626,82285.2529718565,79476.0048974149,67505.0603254499,80366.7446025358,94907.1269197217,91587.9352699383,80518.2755464848
"2",83.875,27.425,86172.904976517,81625.0618979037,89589.8268655241,82973.3162619174,92957.1089089811,84663.6650168002,77688.9653930664,86367.4292379916,91137.9703674316,93297.8604431152,83475.0533917546,74221.0673522949,87879.3549111784,77593.7142721713,80979.7766583562,89159.1890869141,70613.6497720182,77303.9388898015,76905.5034707487,79423.5825665593,89167.2396768034,78434.8666299284,91089.6733786166,81913.4944235384,74859.6448586881,74730.8550720215,82360.233381927,77061.1241900325,65631.1468951106,79856.9060586393,92199.1350625455,89541.529876709,84285.3527972102
"3",83.925,27.425,85511.4661866341,80987.3436144493,90964.1028802834,85532.7512387917,93953.1360591557,85758.8911154839,77017.9184649873,87324.5798010499,92114.7557822762,92904.9138170731,82828.3869585807,75542.6896272698,86840.3757170719,76910.1746611451,80916.8372851325,88783.8432258276,70047.4893245912,76580.2725909166,76226.4288965645,78651.4504126181,88424.6798922576,77806.7514614442,93567.3680342101,81115.0409368232,73748.2044930457,75674.3815505216,81788.140927682,76505.7781560078,65104.3428632414,80934.1342316982,91607.9351125147,88948.7975085849,85749.5833706741
"4",83.975,27.425,82848.1172325129,78602.8984214459,88252.8798766483,81856.0630642211,90257.6035840054,82853.2695024743,76596.8913647944,84638.9682635852,88839.0937033662,92697.7979034104,80235.28097837,73346.299711536,86297.1184612441,74495.5390046816,79848.7663673472,87318.8029000099,67785.6415827692,76039.0181683281,75814.8409521205,76153.6829114126,87732.3747919898,75523.665353631,90814.1871402494,78422.524936302,73303.7856206946,73104.0864049995,79101.5047860365,74109.0243936588,63103.662519432,78137.7912479963,89007.8730083651,86116.7449761002,83139.2928310023
"5",84.025,27.425,80474.3592398294,76408.1353429468,85722.2825871455,79282.6221073922,87627.3021855233,80329.9441594704,74359.9515421141,82037.8094576282,88145.9443705606,86940.3923953904,78084.6060584178,71241.8440423705,85044.1596011123,72359.4911860178,77583.5497450886,85302.8460570474,68043.3615055454,73907.8695514252,72692.2737624971,73860.1522384432,83312.4295147091,73327.7013424273,88350.6345969762,76076.6097761258,71081.1000999618,71249.3799685662,76876.5400639309,72079.4478293996,61316.134006487,75748.8491065256,85812.6953062307,83859.9522631165,80817.191761821
"6",84.075,27.425,82115.867620708,78035.212900354,87495.4311141754,80941.696087531,90791.5925848932,81868.9426434235,75796.1970262721,83520.2353752699,90050.8239326027,88748.0469486656,79804.8251587248,72695.5183525348,87055.6042403139,73796.3822669534,79168.2281774626,87351.396777062,69376.2104125055,75473.3960889518,74067.7347444067,75276.6259815511,84976.0515896988,74778.9266548475,90317.0334479382,77597.9543677699,72552.7650462786,72470.4588137047,78307.8589677905,73662.6275745125,64014.6504262319,77087.3944959903,87666.4801314241,85658.9477891472,82401.3679536575
"7",84.125,27.425,86383.7136021188,82182.4838081327,92235.8667740505,84683.9597415811,95260.9721351104,85923.8446500135,79849.2186865978,87544.9212896846,94740.0584559882,93355.0201026937,83925.6499018376,74949.3592818637,91826.1928025587,77458.975837003,83171.4070610512,92025.6016032145,72940.3081635076,79411.0492272993,77760.1324731305,79031.2153703052,89236.5411523081,78766.6882198986,95057.4897117207,79301.1673939135,76014.2506309363,77865.9406837824,82064.461353056,77525.4454372216,67341.8323955791,80743.1834752677,92340.3237342346,89901.2504020477,86516.6594263328
"8",84.175,27.425,84565.9299775331,82278.8861769323,90312.8533782541,82676.0506278884,93246.2932231703,84011.4941307674,78123.295241503,85508.1982447343,92807.8114348535,91431.057102306,82417.4935117007,73354.6211377938,90198.2399043848,75789.6043036836,81399.2544465237,90183.5780740063,71439.4268657467,77800.761003943,76033.4995894928,78854.9876066227,87310.1131197997,76915.7994736765,93264.9507765193,77552.8634874713,74427.5052938225,75977.5269294457,80186.4288788391,76288.0609827101,65969.7116268704,78792.344562138,90570.0829252464,87812.5720294888,80918.1212439588
"9",84.225,27.425,87708.6109327346,85451.2525139123,93689.4378085724,86329.8061609622,96598.0909437092,86951.9991218032,80921.2912551839,88337.7325607704,96280.759339441,94780.0127315502,85318.2207505162,75964.5200374876,93812.7667313851,78397.8693095693,84313.564007265,93530.0784630911,74088.2383143813,80767.4734902032,78744.3026693111,80786.8724050934,90236.1873721555,79967.9025894085,99132.5960503249,80146.6676160565,77250.4847286151,78586.3304105242,83353.2534405713,79165.5642815018,67600.2316466263,81396.595118239,94098.2291730677,91210.3620395153,83825.7898965145
"10",84.275,27.425,77737.5191981671,76929.7718947055,81298.5263466835,76645.333591348,85807.6571648242,77199.4318398298,74399.3898933055,78191.8845718028,85461.6523894132,87186.7461388232,76256.2322854996,67322.9371905327,84054.2392308591,69544.2542997538,74717.0704841614,85172.2899707616,67304.4672489166,73084.3264428317,70114.36343838,73064.6239693044,81635.9094110667,70520.7021539332,87881.2147411169,73123.7313898862,68769.7492837906,70270.7386699854,74139.5781787694,71659.6818869235,61487.6681717695,72420.6410765648,83830.1408799947,81339.1578132985,74268.8677700819
