"","x","y","layer.1","layer.2","layer.3","layer.4","layer.5","layer.6","layer.7","layer.8","layer.9","layer.10","layer.11","layer.12","layer.13","layer.14","layer.15","layer.16","layer.17","layer.18","layer.19","layer.20","layer.21","layer.22","layer.23","layer.24","layer.25","layer.26","layer.27","layer.28","layer.29","layer.30","layer.31","layer.32","layer.33"
"1",84.125,27.475,29938.5628299385,99347.6424076162,103199.161131128,95276.0718267277,102108.140908251,112103.90742024,109195.828383248,117265.185710734,114202.937835473,118916.211596031,92653.9276662203,101548.135245831,110352.74449301,111932.611570559,103653.753962975,29256.0141085884,92698.7268324362,98433.1809552831,102282.068218364,95907.2298630069,106203.426802463,109219.556564348,118134.841562963,94557.9469184481,101163.375840684,88516.4740662236,102818.35856746,104702.612913955,95065.2461655814,106314.108987787,123429.198404945,94648.8641980397,99330.5089623149
"2",83.875,27.425,30068.0852925032,113701.448392272,100393.299263626,89448.9644692838,115142.26161319,112563.80636847,106144.512290329,119145.442000091,121867.43225348,113677.290072083,98685.5130227506,108170.247702926,106781.746939987,111580.455308259,95569.0962689519,120702.972398102,80255.3414776921,98268.2907104492,105607.893637985,92020.7054303288,101190.176652253,110617.22744751,119507.659590423,95086.1394818425,99132.2454306185,84926.6094665527,90316.9412091374,99413.970223099,91355.3035418391,107871.078873932,120689.556931794,96226.454118073,96713.4394753873
"3",83.925,27.425,29600.3789749168,113019.392030621,99439.0221217385,86321.5842352486,115210.290963512,111409.808202399,104782.576982634,120029.72820808,116958.211392543,128390.252472849,98114.1136874645,103772.930243988,107425.75566891,111239.54077571,96976.7631311594,118393.539688483,76026.8937112478,96956.8096126277,104436.715994751,91391.1029806323,102203.25345283,111326.006022681,117173.7119908,93451.641523898,97006.0243945009,85345.1868655368,91074.5097513775,93319.9431053602,90446.6364368,106485.277230669,118617.016497924,95822.1156282886,95686.4355994448
"4",83.975,27.425,29999.9757255523,110035.551197299,96952.0379051057,88544.0554751377,106000.348723706,108458.57913344,104643.678664459,115177.491455053,115239.331276445,118936.987721896,93889.5512873973,98009.800815457,104884.602330773,103870.649442414,94393.3099219493,111971.999464008,79551.1488586741,93383.2196633286,101956.112477629,90097.8454696349,102646.686507508,108178.997715095,114166.11155621,90794.8614096983,94018.3894910716,85602.6818016254,86429.8192946575,97908.013601812,91201.9851005666,102226.672705345,116977.363676753,88518.2878344029,95783.472881409
"5",84.025,27.425,29007.3373928738,105944.158734616,94236.4934117849,87466.564374869,106387.447789451,105276.079562341,101232.457312291,111699.411180044,113982.422780321,110910.781715655,87884.7377635544,94168.676207778,104604.235492845,101026.510076217,90347.3300558518,98713.3609029116,81137.4165052256,91112.1008637495,99085.0678565188,87295.7766187023,98746.0063635022,102440.523306778,112877.333469748,89814.8791598359,91527.7663648726,84740.2575880031,86611.3747161318,91924.5951163837,89141.7780806817,98502.3856282041,113804.111361467,86055.0651636248,93157.7706452655
"6",84.075,27.425,30106.5360229262,101972.549218059,96227.7412207824,89868.2016806982,108406.683687322,107220.938919489,103357.626155007,113874.977406338,115027.289780623,115123.743868693,91173.5470059127,95691.4602588508,108351.373296194,103144.146130395,93892.2649790674,94946.8296752997,84844.8715180983,93019.0352243193,101136.613788118,89020.6930161021,100815.100161218,102976.959044407,109225.890361362,91408.8987485414,93543.7492311581,86421.5756003291,98241.7038355973,98702.108837493,90621.8308780647,99410.7261270935,116238.755638608,87834.9482482693,94081.3175035099
"7",84.125,27.425,31732.4049904975,114978.41896157,101243.355382767,94676.3046042588,114032.901318042,112131.029532136,108213.310632874,123964.208077479,122778.578524841,116370.246686087,93809.4641815973,100594.927376409,114422.233670971,109968.684347227,98815.1317969833,91234.735900484,90565.9596517874,101202.658898089,106213.758010453,93751.1352030697,108073.582061214,108089.863304595,116235.942987629,96537.4865292636,98404.0999512469,90749.0938328381,103202.218144286,106879.818510661,95319.3077374148,108055.949567364,122389.246171911,92334.8988610329,101718.147704009
"8",84.175,27.425,31027.0101271399,112702.151674005,100028.785673222,92733.1747137653,107185.78929791,102784.968999784,107548.306795943,119880.474498125,120326.954240075,114169.532127215,91900.1901205753,98449.4468845337,112664.836567307,107882.834710107,96844.7866657509,88662.8800991402,89207.9839153853,99231.7886175345,103977.802937232,91614.9774974055,105987.625560604,105753.055797623,113992.275608861,94633.7136631259,96576.8975190426,88725.523143625,100721.828854756,104622.86490466,93372.9068813352,105534.481941909,119968.445480397,90195.5717506098,99202.4649567774
"9",84.225,27.425,32139.3163265939,117059.832256754,103763.719909864,96196.2282464087,117751.31865582,114291.139552208,110703.470265701,123216.643219575,120159.720666234,118753.201225683,97705.2906081887,101080.938618768,117382.705441523,116138.319519841,101746.090669472,78399.2563962636,97656.7899378248,102921.196685482,107708.905717114,95228.9890125202,109791.660369371,109736.231031813,117451.992113471,94477.9187820894,100237.028307692,91922.6276738892,103683.350076914,107541.230617744,97522.3778540109,109211.039411699,124885.071693113,93538.3942169802,103032.0553606
"10",84.275,27.425,28421.5455575555,104145.844125748,92153.9279016317,85471.5006200015,105473.214858281,102487.240963685,100844.648691767,106862.152062869,109898.61767937,104802.140312898,85136.5826194407,91551.8090074183,104064.581192518,102997.016162169,94827.145320666,38427.329798165,86465.1858838857,91150.3944071592,95480.9764439939,84464.2755421461,98212.0687516988,97138.347074145,110123.948562145,86833.3521842957,90235.5130250333,81360.092818737,92125.6037170766,95503.1439813436,88149.6421543299,96115.1111061452,110909.534340608,86053.9230530383,91298.1539400876
"11",83.925,27.375,29581.9938599962,108295.033430507,96440.3854588272,85234.966624738,108603.580954471,106855.144985345,100217.518887047,109353.10435863,111946.179130742,115554.902057397,89111.0948945289,96630.6539209718,104370.054313722,99128.6070168419,85780.0659949237,114419.706803114,74744.3508099805,88808.9754439813,97015.0577331753,86330.3128457744,101779.540727112,105285.414479113,109264.391923558,86511.585771586,93101.6416156398,81623.6762351655,83273.1173627206,87891.0478156731,84281.0442962669,99953.9678769949,111525.793173206,85888.0626502432,90487.9894756989
"12",83.975,27.375,28783.8346459253,105529.027621175,93963.5660030785,81861.2868533137,104811.592859899,103893.477731752,98143.9864457507,108727.370968183,109701.927449512,108272.079835555,86357.7813235194,93435.5245628931,101280.87265526,96933.6329830593,83780.2928615187,111852.970131912,71889.9811244057,88384.6481294945,93407.9285627369,82656.4815821847,99600.1745827149,100449.30583475,106686.700037851,83996.0205813378,90609.6965966009,80653.438220641,80834.0493259692,88718.2804642735,85468.5115483988,98661.996317304,110584.91371461,82586.2422289241,87909.2877353244
