"","x","y","layer.1","layer.2","layer.3","layer.4","layer.5","layer.6","layer.7","layer.8","layer.9","layer.10","layer.11","layer.12","layer.13","layer.14","layer.15","layer.16","layer.17","layer.18","layer.19","layer.20","layer.21","layer.22","layer.23","layer.24","layer.25","layer.26","layer.27","layer.28","layer.29","layer.30","layer.31","layer.32","layer.33"
"1",84.125,27.475,29906.9370506,98347.5330304424,100159.316055919,84597.7469425553,103606.316902439,111603.196475018,102329.505278899,115844.750392316,120488.177858398,117435.169047144,93045.26893939,97973.3187686854,108459.263950284,110070.760024116,100049.952817754,30389.2020372499,91453.5377712907,99061.7075311311,102871.064982747,86514.9427986048,103935.73199798,109195.828383248,118432.627662221,94319.4491024986,96642.4817826992,84012.707019652,98808.7141642,101753.685118338,94864.959213937,103801.334499332,119082.24452485,93602.6431413788,93042.6374789588
"2",83.875,27.425,30866.3055378646,106247.807450593,100446.961128861,82973.3162619174,114137.451047301,112659.064039886,102015.227830231,117727.424591064,121271.793410003,88442.8044961393,97529.0972067416,102809.426055908,107520.940443695,106756.258864105,93988.7569580078,118801.998201966,80652.4405905306,98190.4836260676,105685.700722367,84604.6382751465,101070.78031221,111196.778212249,116679.68191278,92947.7154623568,90119.7377847135,80267.4206377864,87113.3304748535,96639.6544106901,93009.4279174805,106292.082419723,117300.815382659,91525.6760336459,96370.0022277832
"3",83.925,27.425,28872.7413153239,111331.319166613,101691.113143851,80436.6213067464,114400.172914898,113179.020178874,103029.330419099,115608.023305234,119807.57643698,120587.088698055,95993.7145886037,102467.96883296,108532.506932961,108003.076172702,94813.8004232694,118542.528558301,75892.54521603,97679.1243853597,104149.384028838,81773.5070483682,101656.525746006,109427.75869492,118335.004171228,94699.3989512973,89495.5187201238,78320.2233040496,88026.9410552502,96102.7964213579,91506.8359862303,107154.38262065,119447.08806507,91496.1967077945,96016.3311743874
"4",83.975,27.425,30381.3380666137,109579.471505406,97578.1928331482,77346.7259356219,107832.417914469,108282.068278035,105385.787975809,118335.310794367,115962.108566315,117838.000360926,91853.907669344,96542.3286428648,107594.067237672,103908.011263294,93085.6021546555,101153.452985109,80683.6354107853,94388.1576519879,101841.447734544,86070.3619645918,103837.150251273,107739.664473309,112442.258907419,89145.7324026677,85480.2855081349,74056.1994719668,84255.0329330071,98483.9228886072,91817.8354886863,103457.077550434,117970.70119434,87441.1991935004,92541.9024187789
"5",84.025,27.425,29186.9150190173,99327.437713913,94084.5424052302,77970.3285510872,105200.732563893,102297.365236077,97436.2268265139,114079.120547698,111655.458764283,107454.863600799,87097.365308824,92995.7758249529,103426.313203141,100250.438444903,91693.5322141603,85602.983172936,80507.0108321744,91702.3190182599,97206.4209339489,82717.1894533197,99465.5738777346,104513.816642005,114013.817363008,86635.2333726228,83034.906309162,74584.7355278001,89892.7340458463,94683.5473638402,88025.3879466927,98538.8021177699,113100.872709285,85007.7369797922,90511.8388954811
"6",84.075,27.425,29817.1737587161,109075.432031274,95883.0811245707,77958.049629898,107854.961279911,107357.255673644,97987.0675549176,116119.142522101,115621.44947496,109823.905707396,86301.9750429474,92162.5216663448,106175.379116635,102687.596780197,92243.5468680614,90392.915687537,84025.6585644947,93327.6883061434,98438.4676634349,84347.1721913948,101094.17022163,106037.768772496,110475.937854575,88043.2915903258,88247.7730011217,76453.3658560055,95793.0573090386,95052.2886567482,89526.1099257639,99702.663012144,115224.053608461,86770.0976278014,92300.1320104833
"7",84.125,27.425,31463.8075292455,111686.070701614,100584.077630006,81451.2983343977,113627.300969284,112554.262374743,104012.074215111,118504.09638319,117699.665185567,113499.780018272,94946.2566278671,94003.4547328282,112608.524354314,105995.352217926,99577.5152594607,49999.7017376887,89997.5601167641,101952.834739918,102728.777073511,89300.2950040375,104191.141397205,110641.534218657,114217.399997114,92459.6974397792,98965.7101150471,81772.8032128641,100451.131805792,101056.154202759,93984.4643647339,105051.192448643,121363.700057049,91226.5952787931,96742.3268268979
"8",84.175,27.425,30316.6402152983,109483.499205919,98565.4009429826,85765.4277917267,111579.952226983,112295.655192528,103884.508662795,116080.737183984,114881.23936979,110768.286833225,92871.7820485336,94303.187979625,110620.353975628,107530.983319482,96506.263028617,24439.1009257499,88829.4770177782,99014.5488387075,103589.964009104,87749.928985004,103210.12303461,105962.304130509,114766.612880536,91009.8987904507,97012.7176612765,81239.3214046312,99519.6693944794,99251.7802477711,93026.3852905681,102634.36148072,118896.888893563,89379.9106338813,94676.3650773741
"9",84.225,27.425,31773.4806688236,116426.549368636,103446.388305596,90992.7991830869,119175.849924568,116292.130518545,107974.96247763,117190.096613038,122137.164990151,118142.084659566,94944.9136575319,100092.913383295,115287.473775294,111749.699012121,103781.73173806,42142.9246692428,93875.1247361386,102695.318075165,105347.610524093,89744.2520013221,108828.575629289,109561.627265247,118823.868218049,95191.5715031575,100681.850094856,86361.6820898244,103381.256127454,105472.3265336,97559.7885970971,107057.6110008,124776.987191384,92687.5552387097,98330.2577424182
"10",84.275,27.425,28142.0343756676,105043.488098169,95270.4239194514,74564.3868359388,107370.700741792,99411.3824248314,97260.2474863408,106309.292358649,111318.338119984,105526.159619307,86423.3218853595,88209.9760944722,102243.440139294,99480.3380760015,94099.4284185232,49717.3882408708,86232.4658219935,91764.8265957832,93993.5328841209,79920.6699045957,94993.3747952105,95771.5713945567,105171.539145219,83869.5398146985,88897.0615300001,76419.9966962216,92495.0025493978,95408.3292094409,86372.8361758054,96881.0004234314,110531.513797259,82410.4144270299,87802.4108593585
"11",83.925,27.375,28593.357424113,102171.653205482,93642.8866527421,76143.1033517308,106177.636091173,103450.839815247,96955.9182022659,110849.552316954,107387.394486114,110318.595963767,88135.3146054775,94632.8099587915,105127.286384048,96932.7733715194,86089.9003890534,111584.9264267,75040.0421871122,88811.5491843139,98327.6653027708,82683.0214786236,102040.524274247,102562.485091102,110314.741630683,87579.9265513772,84648.7250737243,72738.7919042181,80699.3205334414,89554.6319602263,86501.2970876713,100492.64545118,108383.745865579,87087.538638685,92643.9678103597
"12",83.975,27.375,27532.0933072783,100238.587774968,92477.2770359394,75493.4455123235,102409.69971891,104752.640552419,91591.7736922649,108383.700940493,104506.812002425,105122.644978838,85882.4148050704,87771.3199831005,102221.561874969,96534.7832036145,83208.3525910802,110558.579315882,69518.1888135921,88868.7907394268,94949.4095301885,82416.9181693766,99356.8508627394,100454.321619066,107399.112890532,83753.9523385111,82268.9188485206,70160.3623130124,79202.2719922716,87076.465437665,84458.8384525786,97623.4717441787,106190.021029268,84794.9817416549,90276.0642618219
