"","x","y","layer.1","layer.2","layer.3","layer.4","layer.5","layer.6","layer.7","layer.8","layer.9","layer.10","layer.11","layer.12","layer.13","layer.14","layer.15","layer.16","layer.17","layer.18","layer.19","layer.20","layer.21","layer.22","layer.23","layer.24","layer.25","layer.26","layer.27","layer.28","layer.29","layer.30","layer.31","layer.32","layer.33"
"1",84.125,27.475,84726.8815203406,63480.9268050971,57949.3846604371,56324.7119827837,57531.6901796241,64906.631478266,62787.8361573008,56481.5122814835,57680.5832292533,64193.7759247372,67618.3804050938,56161.323382173,60734.9174215553,60334.349952155,56021.6500948858,74861.5556655192,53240.0677413588,60103.7593852762,61803.5412782685,60413.4095750849,65653.7474885087,52168.8092072701,65323.0134458077,58783.4675426805,66216.3846113598,45244.5038989954,56833.3301770769,56938.7430076501,58065.3426344008,60910.1701127163,64488.936997453,61611.1615756947,55964.9868381196
"2",83.875,27.425,85066.129006058,57901.1525878906,58410.9403076172,57081.4662863314,57349.7756125033,67282.585557282,61460.2731793523,58499.483695358,60715.7147992253,73557.0017700195,69085.6294695735,58888.5322183073,65177.7002035677,62242.3987954557,52171.4056173861,56150.4342346191,56291.2966308594,62412.7712872624,61354.2923056185,62552.2973772883,65687.4879232943,55219.4021829069,66218.7416992188,59427.8300336003,66076.5364462435,48855.1030009538,56495.2143389583,60770.7195211947,50219.4552694857,63190.8683331609,63186.8463134766,61962.0168597102,58071.531630218
"3",83.925,27.425,86966.7480011058,60350.0793182005,57689.6101806447,56714.5508398449,56577.5392773752,66674.0196543993,60584.2019013626,57851.90139615,60202.4284772949,69925.1116414352,68465.8417213715,57403.6097483575,64441.8821508184,61294.5458620328,51752.7758983034,58929.3913968601,55323.124181846,61091.0225711241,60882.1731457116,61875.8609667031,65125.621420113,53330.4353959312,64883.5226257671,58979.9377123592,67454.8634491003,48065.3663231797,55978.9337214251,59464.1482916232,49967.6017565321,62454.5130041215,62099.3377761434,61915.7680037664,57533.9766332693
"4",83.975,27.425,81071.4396620304,62496.8333219407,55709.6392687516,55714.791538713,55737.9861899311,64270.9379029064,58849.4288086646,55882.2812034895,57705.3417854804,67180.1020255001,67109.2410134793,53533.5632668789,62397.6316796682,57848.3534497444,50601.2044930671,59052.9906540988,54248.615297271,59536.1339178772,58837.8283375916,59858.2294270629,62808.6242912035,50630.8379090049,63336.860926268,56724.8817973336,65261.7024309759,45722.1023490155,54186.7691849506,58952.499371604,52645.8661562848,60332.351500213,63124.2778902055,60066.9498333864,55705.7766390125
"5",84.025,27.425,79537.5497978611,60120.6258450748,53932.1281585697,54026.3119066299,54040.1206176085,62550.5665450272,59084.6046164129,54128.0254491313,54799.8695186272,63579.0518474933,64451.8212461842,51483.3507090053,60486.0600138991,56036.8160764841,48341.3784210163,58471.7848150699,52719.0402572038,57820.02837309,56959.8168074737,57978.2582961819,61365.1083291274,49255.5892820291,62013.0937421322,55067.3550421707,63177.2011891033,44473.565834012,52525.6508542045,58833.4479549191,54231.0021330455,59279.2510290706,61370.1302360064,58490.6215646819,53917.0563061783
"6",84.075,27.425,80447.852412525,62041.8440674854,54962.114003145,54974.974548221,55066.2793946102,63949.0603904317,57752.852284638,55063.7110533329,53809.8079084224,65452.456853904,65956.5927327085,52548.1871805538,61571.1468617911,57848.0190622878,51109.0934424615,64001.7898811559,54638.0257554045,58874.2880475277,57957.3336954338,59006.7554295484,64440.3357241602,49718.8672638328,63880.902013354,56105.4152044892,64300.1507591814,45110.9333351442,54109.4560968681,55669.4439823253,56347.1909400929,60342.9648070326,62688.7269729832,59786.0994375038,54839.938824923
"7",84.125,27.425,85959.1162614897,64687.0623955777,57612.6568090634,57638.429924604,57776.8006220197,66723.2445037191,63242.3371895111,57204.3340880394,56724.1168935951,62384.9952627852,68230.3723110474,55242.765513696,64592.1039313292,59944.5640563537,53901.1360816803,70910.9088028126,54252.4843865329,62361.9378957338,60759.851624157,61885.7877002465,67374.3882585661,52346.5323541163,66891.4553156326,58920.369191959,67952.2796657481,47036.995666002,57046.9730225294,58864.7493381438,59419.5833782744,63253.1869359144,66001.5575259197,63007.656777379,57504.1328499222
"8",84.175,27.425,84178.0910494054,63430.7745868274,56265.7795161983,56280.4348388847,57137.4132929738,64970.1301150425,59304.5073121553,55851.2850810885,55534.0806433865,61035.7811891029,67203.8629016791,54050.7042829107,63049.6060431374,58478.1865957108,52447.3748871694,68607.2792489009,53072.4484782068,60101.5043678426,59543.0727981065,60477.3496193668,65639.1859433695,51337.1723705966,65499.2445317136,58029.038699986,66288.25014146,45770.1703881586,57072.1086024062,57555.9034510541,58316.9194769308,61763.4778312521,64696.9111684762,61802.1270148377,56143.1615810039
"9",84.225,27.425,87370.4933268819,65830.6541048311,59841.5114751042,58002.6472613607,58464.0937900261,67370.205308779,64033.35512798,57294.5361207931,58540.3091291693,62855.4817048579,69537.4910540683,55997.4882686645,65186.2880557113,60538.5394546707,54485.651733496,73492.3729356254,54696.2859227296,62231.9016573226,61551.5051855344,62405.1183371935,67898.1643360042,53316.094064263,67884.3070016145,59628.1098787586,68478.7920599527,47047.0373396307,58961.5707413601,59332.9513627692,60646.6239563995,63886.4660301942,67203.9172961029,64166.3868913762,58095.4873420056
"10",84.275,27.425,77912.3703837395,58403.1879218877,52505.1198991598,51751.5438762843,51932.551709062,59364.857417834,59082.8781659482,50829.2793273926,52981.6407854436,55686.8739724159,61673.6001198413,51310.7303413213,56524.1779923439,55745.975380647,51736.7715304019,67205.960893631,48952.7344616712,56000.8629798889,54712.891182059,55183.2614334882,60514.9179133237,47951.6630248458,60234.1711933492,53488.950920105,60878.1600984395,41714.9794058234,52378.289359319,54086.1456990242,54232.6727000414,57276.5214833082,59633.2848310471,56891.1117608426,51337.8159816144
