"","x","y","layer.1","layer.2","layer.3","layer.4","layer.5","layer.6","layer.7","layer.8","layer.9","layer.10","layer.11","layer.12","layer.13","layer.14","layer.15","layer.16","layer.17","layer.18","layer.19","layer.20","layer.21","layer.22","layer.23","layer.24","layer.25","layer.26","layer.27","layer.28","layer.29","layer.30","layer.31","layer.32","layer.33"
"1",84.125,27.475,83892.7986380973,62679.7854324079,58348.6396165662,55644.7979388091,55518.3012553435,65415.2496725592,61978.7939694295,56467.016730502,57681.9021764132,61056.4317019143,67535.3639406843,53220.3028356263,62118.4608228281,60521.4602999778,54423.3241909871,72665.019668784,53308.5854378424,60019.4304075954,58601.6265496086,53591.8824200078,65871.1614515659,51892.1005270156,65077.9273279474,58264.3042049968,63148.8738152362,48982.7057598074,58082.4696458135,57015.1647362602,57623.9264063756,60409.4591674938,65091.103931769,62288.4441592382,57049.4251929742
"2",83.875,27.425,85343.8317788541,54756.5685952604,50164.4538227767,58288.8582541049,57312.2149270475,67994.9481283724,61629.3093649447,58070.188773483,59765.9024047852,70786.7079772949,67517.3562176824,59190.3802102506,65160.2627175748,62309.4761269987,52589.9707864225,55522.5930315852,56091.4074929655,61729.9253622591,61689.6789633334,49539.2917826921,68506.078704834,54215.924647972,65487.5987854004,59187.6944967806,62188.7369302213,52616.8017190397,57394.050581634,59810.1708233953,47403.550201416,62781.6966107488,61703.094429642,62373.8677450716,58820.1120300293
"3",83.925,27.425,85085.7911246251,60588.1965022405,55393.6305111629,56771.748328188,56959.3127014428,66745.8510220561,60835.6149358044,57411.5924548273,59498.7291941826,69101.6977424189,67234.043211626,56584.1904502191,62655.3797230641,60568.2429837088,51763.4184243822,55731.5087925753,55434.8625865662,61837.2854632657,60030.8230216938,48360.6777479198,64652.0631098569,52822.2831925436,65008.563376175,58265.6056460971,63422.9211720774,52751.7833585128,55857.8810766091,59806.0146786275,48803.6465088515,62038.1521822084,60875.5219728677,61911.7798981745,57757.4534427096
"4",83.975,27.425,83266.8413944543,61459.6857823628,54508.8646941363,54225.4206460529,56567.7029634078,64087.9851373178,58864.8856185487,55435.2164112966,56478.8058610581,65118.6907667119,66485.6653658814,52921.5817994261,58984.7089225226,56526.4722218609,49267.7290850384,57737.5513363989,53579.9462783872,59643.0671105557,57727.2467964762,52676.789212445,62803.4720212422,50054.9317676738,63792.9469090893,56606.3544245101,61518.9526142386,52024.8666436677,54966.2403171799,58647.1503125248,51973.331362198,59923.9381691224,60296.2793195554,58831.3864274079,55619.4525261796
"5",84.025,27.425,77972.8425704039,60754.7964153466,52986.5196489929,50955.9186539911,58415.2745662338,63445.9375905507,56856.8462553139,53683.4793846382,52729.0840709618,63776.2122794677,63778.72016703,49465.304481201,57195.9077483306,55763.0577681576,49266.8901054454,56988.7035025982,52112.4932406437,57482.2238897317,56002.9136062351,54332.7218073014,63634.3050866711,48696.7657102054,62613.3557104006,54945.5416086445,59658.500040628,51053.8703651492,52989.0336683097,57482.2238897317,52612.298676069,58445.4121392621,58609.9209788915,57268.740727462,53982.3594908685
"6",84.075,27.425,80339.8250897992,60970.5568949164,53962.8471389143,51397.1683962514,59019.6159746244,64526.4976084316,58121.9461605815,54602.0187410169,53921.6908828458,62647.5707169148,62281.0451822487,50277.0136642188,57849.306372708,56739.437564911,49452.6546087158,61193.0480924691,53800.803015044,58512.9054749794,56823.031107905,55299.0565163985,64857.0161287102,50015.9471110011,63599.2510525391,56038.5378582688,58970.7421355978,52212.5256981575,54702.3284807845,55834.0564474729,56038.5378582688,59606.0518064398,61428.3935555348,58512.9054749794,55648.865854291
"7",84.125,27.425,85752.9180896108,64927.1743046883,56584.3949457116,56021.4269076668,58621.9283043208,66982.346780924,60655.3946639729,56680.7046604279,55633.4524289818,62018.7269006838,66173.841960567,52893.2224606675,62637.3147925437,60597.0656854453,52140.3374941257,69737.4934945988,55865.4237164014,61697.2286459941,59819.7654776074,57068.6791391129,65038.4073885419,52672.1042315397,66687.9728922429,58832.1934751568,67325.5511521972,53378.8645283135,57131.0817403745,58929.8676878946,59083.1551306707,62437.9059918879,64011.5033994347,61637.5417932219,58463.2159883429
"8",84.175,27.425,83930.1935329337,63652.0165963171,55258.2000507373,55923.2536484017,55904.5960950527,65317.985782697,59603.0476888161,55555.4063505106,54450.5368876419,60682.5957215903,64205.1183661952,51687.6929381801,61238.3591375514,59123.2485631387,51198.5650358282,69045.7610372176,53109.7635849048,60982.4701751387,59004.6328586069,54279.9409921873,65912.4048899358,51674.3651846891,65270.0045685909,57573.2269275155,65671.1712502096,47002.9875860798,55835.2891738224,57607.8803881307,57979.7234089922,60934.4889610326,62745.7293589264,60436.0322820061,57173.3943227844
"9",84.225,27.425,88146.5040527036,66081.4732105395,57153.1886035079,57640.9694805349,58419.7476134686,67148.4879585442,61417.0931017206,56988.2876775261,57711.6432391776,62752.9387836296,65990.0134503123,53981.2461149673,62571.4063498696,60625.837954815,55723.1123711214,70574.0169599052,54703.2145899245,63063.341720703,61178.7442437076,54847.3295143218,68225.1987808558,53681.926338895,67629.3334020999,60710.3690478473,67838.5805046392,48334.3823511759,59170.8178438994,59722.3370460977,60135.2896706759,63009.2994698386,65176.5852151279,62721.069621044,59252.5747635432
"10",84.275,27.425,77240.0633064448,58637.1405156911,51650.578469527,48434.3435645103,54678.4163626493,60964.3531593145,56618.9927642467,52151.7259446322,52050.7605378749,55579.7459061025,59742.8719488322,47915.9526673495,53802.939927578,55541.5795033099,50942.5640409114,67521.1824330152,48993.3659282862,55689.3390362384,55082.2900143801,46336.1593993963,59416.5696469485,47702.9350789846,59996.5270161629,53964.2452868284,60561.7060271441,43110.0762637914,52546.983897686,52644.2577210604,53928.5379355075,56860.3285248158,58432.7386260033,57047.4930047989,52047.0629421412
