"","x","y","layer.1","layer.2","layer.3","layer.4","layer.5","layer.6","layer.7","layer.8","layer.9","layer.10","layer.11","layer.12","layer.13","layer.14","layer.15","layer.16","layer.17","layer.18","layer.19","layer.20","layer.21","layer.22","layer.23","layer.24","layer.25","layer.26","layer.27","layer.28","layer.29","layer.30","layer.31","layer.32","layer.33"
"1",84.125,27.475,56627.42949838,5240.71721293185,17573.4755600488,5240.71721293185,98146.25142745,5240.71721293185,5240.71721293185,5240.71721293185,18031.102898543,5240.71721293185,5240.71721293185,21598.1355689345,122881.27831652,5240.71721293185,5240.71721293185,86260.3077150631,140322.930781271,139092.186233145,148094.539175907,135927.715153869,143849.732399474,156293.781093248,146254.212210372,136582.262876529,145414.485838622,141756.645395164,122929.580269117,141931.089565053,138471.88887528,137834.983685021,156799.565825979,131831.609939658,140004.69337311
"2",83.925,27.425,5232.66065021444,5232.66065021444,5232.66065021444,5232.66065021444,5232.66065021444,5232.66065021444,5232.66065021444,60597.1047236393,15637.5229340107,5232.66065021444,114149.67277534,5232.66065021444,5232.66065021444,5232.66065021444,5232.66065021444,55528.3920691903,133330.159808503,130766.699427045,144687.319235447,134198.509905636,141047.134247583,149691.677076497,134029.731474903,129120.82046848,140846.176582566,134410.924587248,123019.632099701,134472.515980166,130126.200945422,131614.939641605,150016.47230043,127284.544194522,132447.223031593
"3",83.975,27.425,5309.31389067524,5309.31389067524,5309.31389067524,5309.31389067524,138019.532234607,5309.31389067524,5309.31389067524,148695.611203357,24051.7645417181,5309.31389067524,61456.5925413233,5309.31389067524,118830.771544662,5309.31389067524,5309.31389067524,57966.5671954676,130024.429138227,133847.718973032,146649.1252832,133968.489971145,141102.950966735,150339.052913812,138087.034507468,126944.207493787,144029.707349076,141536.925875348,125132.978630702,136209.224913373,131063.214936319,128040.726682212,150792.101799913,131889.055270334,135341.358431439
"4",84.025,27.425,130719.360325106,5233.93384286179,5233.93384286179,5233.93384286179,102989.270809928,153019.246889082,138658.776774303,148689.330286439,24132.2256042561,5233.93384286179,118957.74705522,21466.3236736129,120698.366993935,5233.93384286179,5233.93384286179,59645.7143999699,5233.93384286179,130614.690685899,146270.576036529,137830.7688631,139124.906480574,152106.94105363,137144.021805356,134706.12290651,143507.973952385,140370.095928235,119542.54807974,138483.473955639,139926.100023297,130749.844900789,153058.112119489,130493.270866771,136145.8663475
"5",84.075,27.425,122298.550480122,5233.74558423503,14760.3883284806,5233.74558423503,99764.0799182358,5233.74558423503,134607.983754343,143278.68767478,13974.3150877054,5233.74558423503,5233.74558423503,22228.0747601415,150160.558045469,5233.74558423503,5233.74558423503,76049.6743309746,5233.74558423503,132174.219711296,144056.548239532,136701.119874568,138623.637045009,151818.816110732,139307.828729714,129654.640529113,143012.817381825,139405.315604899,119044.784452782,137722.758767731,139515.295986278,133879.777822336,153678.03506425,128913.482267418,134054.682767192
"6",84.125,27.425,127870.935268105,5095.47346906897,17285.4572139085,5095.47346906897,146637.56071857,5095.47346906897,134315.784654191,151751.985331093,15786.2197608993,5095.47346906897,5095.47346906897,23742.2943755202,5095.47346906897,5095.47346906897,5095.47346906897,64231.0350593394,5095.47346906897,142439.771008874,152687.567537088,145119.529624022,145992.774354251,159968.02468105,149252.453408638,137481.924547284,151342.541130812,146813.147121502,126284.884919977,145825.269308399,143956.027030221,138491.48620709,160839.212990211,136094.366160968,141726.149274204
"7",84.175,27.425,95659.9933027941,5060.14981752698,157330.9419553,5060.14981752698,5060.14981752698,5060.14981752698,5060.14981752698,146655.072435118,18294.3555604571,5060.14981752698,5060.14981752698,5060.14981752698,5060.14981752698,5060.14981752698,5060.14981752698,65234.7334145099,5060.14981752698,142981.898367688,153192.277963423,145567.804378112,145992.906427252,154536.896373889,148645.550446612,143273.409941683,151663.101997195,147249.265339416,124160.546987451,146538.535723928,145577.265008538,138902.742204717,162366.950685971,136643.719162075,142246.467095637
"8",84.225,27.425,97897.3547352561,5067.82355715103,163261.511239421,5067.82355715103,5067.82355715103,146511.102439252,5067.82355715103,5067.82355715103,13721.9598442509,5067.82355715103,5067.82355715103,18484.41504084,5067.82355715103,51174.3122536166,5067.82355715103,121858.134908391,5067.82355715103,146977.734901671,156729.96131798,144532.275739504,150773.774253055,157813.06616687,152709.581351806,141602.619036228,153895.852797883,152788.88956001,129175.47307344,146152.424217147,150574.627979957,144128.942204523,164245.976416467,135927.129249621,146891.919821002
"9",84.275,27.425,5232.54423957498,5232.54423957498,141488.777371715,5232.54423957498,5232.54423957498,119847.799566462,5232.54423957498,126982.404334594,7666.43163772891,5232.54423957498,5232.54423957498,5232.54423957498,5232.54423957498,33411.7860041303,5232.54423957498,76153.8656127638,5232.54423957498,131759.604097668,138234.894698576,127701.793486534,135755.429174458,142622.371443628,135685.67860776,124813.362274074,134525.108833222,133916.878875594,114654.321015957,130099.354829956,127332.045085671,128097.275468977,148058.429936195,119164.527905455,124725.141645277
"10",83.925,27.375,5144.30890880961,5144.30890880961,5144.30890880961,5144.30890880961,5144.30890880961,5144.30890880961,5144.30890880961,5144.30890880961,5144.30890880961,5144.30890880961,117736.627796288,5144.30890880961,149855.25336156,5144.30890880961,5144.30890880961,90824.3667836326,132061.774588213,130118.61726731,148136.62913561,136499.611224953,142246.077829309,148524.869604166,136635.711590851,131419.31307668,141289.531862116,133674.854296575,118511.042683615,136233.056932759,133010.303700995,129336.908398974,152831.777409163,127467.349971098,135717.726693594
"11",83.975,27.375,5167.09115543171,5167.09115543171,5167.09115543171,5167.09115543171,61920.9567832759,5167.09115543171,5167.09115543171,5167.09115543171,5167.09115543171,5167.09115543171,99916.3760989544,5167.09115543171,148819.052038118,5167.09115543171,129780.320829366,119559.715138359,129811.718657627,129753.883158272,146238.059602156,134319.866491806,140163.831937414,147035.390154404,132894.152187886,134170.859078744,139179.911787319,138974.624915622,117422.72052391,137887.664990727,130820.245606852,125390.622823011,151659.666452516,126028.761011078,133996.527351082
