"","x","y","layer.1","layer.2","layer.3","layer.4","layer.5","layer.6","layer.7","layer.8","layer.9","layer.10","layer.11","layer.12","layer.13","layer.14","layer.15","layer.16","layer.17","layer.18","layer.19","layer.20","layer.21","layer.22","layer.23","layer.24","layer.25","layer.26","layer.27","layer.28","layer.29","layer.30","layer.31","layer.32","layer.33"
"1",84.125,27.475,92920.310357755,-2679.28278706815,55144.7157944238,-2679.28278706815,126088.011681356,-2679.28278706815,-2679.28278706815,-2679.28278706815,49367.782586043,-2679.28278706815,-2679.28278706815,56379.2561744032,150974.078609488,-2679.28278706815,-2679.28278706815,119760.227148657,163106.490351584,160321.986037832,176591.939078251,160501.474919494,166059.092751036,178491.53988231,164042.532522872,160475.663755435,162300.285399169,163172.885629539,149060.381050367,163335.928432241,166668.448933874,165099.983685021,182019.087310354,150111.810134971,158807.413099672
"2",83.925,27.425,-2687.33934978556,-2687.33934978556,-2687.33934978556,-2687.33934978556,-2687.33934978556,-2687.33934978556,-2687.33934978556,90029.3459345768,52254.9643402607,-2687.33934978556,152177.473068309,-2687.33934978556,-2687.33934978556,-2687.33934978556,-2687.33934978556,93683.0722449715,161984.639788972,151943.379114545,173489.838766697,159664.750140011,164925.254364771,177464.516431966,151476.491728809,157692.780917698,163355.297676316,159824.845485686,149556.792744232,160269.434925479,163374.201433704,158075.100774417,175694.072398086,149038.743413272,155951.544320656
"3",83.975,27.425,-2610.68610932476,-2610.68610932476,-2610.68610932476,-2610.68610932476,160910.210945545,-2610.68610932476,-2610.68610932476,169712.530148669,51325.5633698431,-2610.68610932476,94874.2732053858,-2610.68610932476,147258.291075912,-2610.68610932476,-2610.68610932476,91048.0857501551,148131.549499555,151329.67942225,171747.845986325,155013.690166457,159854.950478453,174278.891780999,152011.834312155,152236.006810193,158363.387768998,159089.165865582,147593.217888514,158147.545225873,160633.73495585,150296.327268149,173722.421624131,144502.094821115,149830.638216595
"4",84.025,27.425,158614.641086825,-2686.06615713821,-2686.06615713821,-2686.06615713821,128838.391903678,175189.727846113,165272.336344616,167914.249720032,54395.9463073811,-2686.06615713821,146567.427231001,59689.8832439254,151770.886525185,-2686.06615713821,-2686.06615713821,95746.8740679386,-2686.06615713821,150940.410900743,174309.335802154,157059.328433413,161567.787339949,173205.30042863,153954.861649106,157661.723492447,160285.934157463,160759.616191907,145194.789290677,158715.234209545,167659.381273297,156334.683767976,177782.152646833,146714.470817943,154000.066786953
"5",84.075,27.425,151390.110538716,-2686.25441576497,53519.3092269181,-2686.25441576497,126751.159996361,-2686.25441576497,161400.144398874,168030.806815405,45323.5558103617,-2686.25441576497,-2686.25441576497,56957.7549359227,177980.677674375,-2686.25441576497,-2686.25441576497,110792.55519035,-2686.25441576497,153255.938461296,171973.747946563,157251.000245662,161626.156576259,173638.335153701,157162.668817604,158004.120509581,160795.417479482,160624.915214274,145726.105253564,158547.478006012,167898.215908153,161267.258291086,178982.595611125,146896.402189293,153075.202786724
"6",84.125,27.425,157766.37472123,-2824.52653093103,54953.2575068772,-2824.52653093103,168297.880542789,-2824.52653093103,160915.184068254,176061.384745155,47135.4995460555,-2824.52653093103,-2824.52653093103,58365.2948638014,-2824.52653093103,-2824.52653093103,-2824.52653093103,98918.0760749644,-2824.52653093103,163822.971692467,180520.367830057,164898.889975584,168502.054139407,182224.504173238,167109.133096138,165964.004625409,168695.741814406,168578.78676994,152589.20620904,166660.589132618,176064.347342721,165737.565308653,185952.85312693,154027.846385578,160662.869244907
"7",84.175,27.425,129858.352677794,-2859.85018247302,191055.10211155,-2859.85018247302,-2859.85018247302,-2859.85018247302,-2859.85018247302,166393.152269103,48847.8760682696,-2859.85018247302,-2859.85018247302,-2859.85018247302,-2859.85018247302,-2859.85018247302,-2859.85018247302,99836.1347816974,-2859.85018247302,164487.899344251,181387.717416548,165346.523860534,168569.266290534,181431.657116077,166846.310944659,166611.610625277,168994.821967898,169264.026081603,150490.586049951,167400.855059865,177579.9066101,166144.58302503,187190.510256283,154595.519699185,160891.827203059
"8",84.225,27.425,128648.394774319,-2852.17644284897,188255.271005046,-2852.17644284897,-2852.17644284897,166044.06264433,-2852.17644284897,-2852.17644284897,46862.7215630009,-2852.17644284897,-2852.17644284897,54279.1757830275,-2852.17644284897,82548.1916481479,-2852.17644284897,152950.976705266,-2852.17644284897,164705.974647764,181742.641982043,165905.635114504,169516.854087039,182388.346928589,167708.140922119,167308.097551853,168207.093032258,171522.24893501,151846.034596877,169002.104392928,176023.387745582,167224.103337335,187163.417822717,154969.889259386,162000.839498736
"9",84.275,27.425,-2687.45576042502,-2687.45576042502,179135.417996715,-2687.45576042502,-2687.45576042502,149799.398687555,-2687.45576042502,154953.043983031,47136.9101533539,-2687.45576042502,-2687.45576042502,-2687.45576042502,-2687.45576042502,77194.4227228803,-2687.45576042502,118370.745495576,-2687.45576042502,154872.362886731,169212.814620451,154271.231963096,160976.869604145,172485.291365503,154665.67860776,155613.083953761,158428.228950409,157704.679168563,143492.280000332,158277.755708862,163978.964030983,157450.315019759,175499.789799476,144195.089428893,150194.541059339
"10",83.925,27.375,-2775.69109119039,-2775.69109119039,-2775.69109119039,-2775.69109119039,-2775.69109119039,-2775.69109119039,-2775.69109119039,-2775.69109119039,-2775.69109119039,-2775.69109119039,150610.026233788,-2775.69109119039,182630.653752185,-2775.69109119039,-2775.69109119039,125091.168541445,161270.815115556,152497.057208716,177652.068588735,157858.251361672,166980.076852747,171918.509740885,155326.071698273,159831.432217305,160730.011598444,160190.054491888,144885.881550802,162767.656542134,165195.503896308,156825.389844287,179909.336002913,145473.990596098,154910.686898672
