"","x","y","layer.1","layer.2","layer.3","layer.4","layer.5","layer.6","layer.7","layer.8","layer.9","layer.10","layer.11","layer.12","layer.13","layer.14","layer.15","layer.16","layer.17","layer.18","layer.19","layer.20","layer.21","layer.22","layer.23","layer.24","layer.25","layer.26","layer.27","layer.28","layer.29","layer.30","layer.31","layer.32","layer.33"
"1",84.125,27.475,55818.957539,54465.6525281982,55212.2236513365,66241.1338647954,58827.4685198633,66569.5136241497,65592.3890040668,62642.3019508252,46945.7282620615,57122.5422361005,43709.0177584556,49874.2821368166,53424.87595148,45454.1905874498,68966.8080596525,61517.9102378253,87355.2415447949,64602.1428071251,54301.9232147354,62967.5154207794,55162.8430821951,41810.7547686186,55772.0324298168,45897.5911731415,55763.823800767,58179.3028476273,57302.4651571045,38955.4156405407,66114.8987084766,60452.4826697329,63221.1247326605,61554.3797464531,52236.9485644586
"2",83.925,27.425,50142.0309563742,51462.8634796734,46222.5472025526,65339.5034618716,53459.3831016066,62556.9184513501,65029.1867466349,62425.238590213,41619.4340683646,46907.9955168198,42286.0552073081,48428.1009642442,49404.3006367902,39404.7551668641,62606.1373838197,47870.3146124275,115028.457636807,62999.2485802527,51785.3107887793,49797.0781075885,48626.6108981015,37464.3789702418,53668.8992708229,40443.3633558819,64347.8007726795,56794.755974784,57891.8379650195,29853.4191145471,62167.4844304301,56132.0007492679,54365.9096907742,56246.9277932693,43631.0943634665
"3",83.975,27.425,53279.2020635441,53611.5850598496,51615.4933228356,65822.3426058082,61432.5689447765,66682.4024864723,67064.2015305146,63629.5094712061,44025.9804025747,49376.5487075187,46816.1179000423,51011.5975922269,51363.5650021874,46023.2276142915,66776.0370097209,54545.4513783039,114409.500162687,64682.0174820714,55822.0489668178,56078.3559865336,56997.132138747,40982.3750048007,57357.8199888269,48141.7194984544,69246.9412203812,58210.540636968,59042.1186802464,35957.937423706,64142.5999157345,58413.3530989976,58432.3557131905,60181.7885229766,51344.2620956836
"4",84.025,27.425,58855.878408658,55752.3688701314,50702.4710995732,66357.5259864345,59233.4279237544,67204.7011188513,67484.580263136,62877.836510378,43622.6836921146,49474.6853872744,47099.8059617108,50972.9212551397,56819.7584423479,46581.3923419704,70357.0038116863,56528.8602316647,114136.601160503,65917.150747975,56517.8920815387,58834.5484302917,58198.3649465941,40125.13672036,56950.7051078069,45768.8764205305,68711.1011894956,61890.5219799218,59542.6245085462,39556.391910946,65849.1787305277,62073.5439826538,59351.2847763511,65973.3463988247,50937.9676067931
"5",84.075,27.425,57080.2873204529,53012.7708593223,48270.0252727462,63811.2452794145,57037.6831885186,65703.1556191878,63604.2205185593,60662.7745206234,43875.6610724686,45605.7191140905,45306.5305732438,48156.6863598206,55252.5746898192,43913.6974117783,66257.6002749673,57191.3488455024,117052.273183618,63435.2758486392,53894.4618468278,57039.8921248827,56254.5355458461,37844.679425567,55463.01869498,43665.5386704972,65984.1011858241,59427.3301192858,57883.6514432939,38286.8849266707,63973.6389293813,59610.5229869855,57847.8274992016,63484.9732889207,48160.6496566759
"6",84.125,27.425,63401.0497338906,56559.7690643689,52291.6310453839,68069.8714214897,61239.1066949268,69876.9005260705,67438.5371437372,65417.6149470766,47252.433342735,49940.5592609881,48160.2949920121,51100.9524599901,58859.9925203659,47222.4098658945,70351.1777402503,65280.8218737971,124366.232886019,67877.8790207665,57078.5125267167,61128.9152233639,58964.8693567597,40634.4173500573,58512.7597566537,46755.8532884584,58171.2436289395,62363.460715866,62233.101439809,41707.6413474915,68047.8241755602,63456.3746328873,66179.8440216359,67038.3678340972,51731.7181786087
"7",84.175,27.425,65418.2070872368,55632.5903524366,51358.4050993578,71845.914728717,62988.7149872854,71227.164456648,68666.8486954125,66647.5708167437,48659.9287213302,50732.0197892661,49710.2780096914,50037.8564357046,57778.0816540953,48873.9147041169,72466.5731520411,67514.8095963974,124561.046788779,69803.027042456,58901.0054397028,62901.3936054194,60148.1766308421,40897.323422168,59817.4219311286,47758.6654196054,58920.7171605342,63624.1938099799,64530.4219967109,42414.3186055025,69982.8280407591,64660.0432246748,64174.9999952266,68074.0738762218,54954.5582235767
"8",84.225,27.425,60246.1438774122,56890.2569125051,52560.4682827407,72114.6869528591,63143.0447217934,70456.9180301317,69446.5303728738,68006.847681079,50396.8887579701,52336.3592965929,50284.0918209241,50261.0653663366,54396.8549415977,49141.4368120079,69227.0100904953,64325.625940546,126708.938239214,70660.0964956823,59244.6939696838,64844.7387554622,59860.8450923529,41805.5104425866,62018.6571341584,49285.3010692813,60187.174453401,63830.6119844553,65561.3827294069,44391.7575605429,69857.1076915429,66138.5953968114,65429.3283277833,64083.4693277662,54328.7364734474
"9",84.275,27.425,50352.1094256191,40158.3270747601,43343.8119414174,61397.9600074746,49842.0511680178,60429.9656006093,58649.9718476704,55280.6968470784,35329.4987707353,38098.8945256582,36035.1570447085,34019.7729055631,45285.4499112859,33517.0588622731,58685.1767380996,54060.8684177443,110265.195881555,62658.3456689534,48921.2912126335,48734.8611798052,50130.0121660807,27371.8038868617,52765.8941229106,35548.1183994035,47708.7379969731,54501.5751219322,49666.311932836,29029.5280058604,53209.5079801296,52482.3616057906,53085.4183502589,51549.1068593464,38579.9827836651
"10",83.925,27.375,51173.6653842446,51460.2955688071,44846.1075929065,64665.171134179,62166.1915459088,65803.9450079175,66985.0218168408,64305.6450539657,42946.2250485079,49984.7434058887,76623.1430778257,50584.4893892844,57016.1685334397,47778.4050651375,70238.9576344547,60679.4266577959,115833.36296795,90521.1623765143,69020.8690772929,56878.2284303925,56158.6733472982,38247.533081067,54858.5828452281,46821.521003371,97154.7489630631,59039.0753055885,62977.6338128104,35441.5192555853,72694.7721599539,62003.7600104876,57119.7932229637,62826.1399423685,51769.0221322282
