"","x","y","variable_z.1","variable_z.2","variable_z.3","variable_z.4","variable_z.5","variable_z.6","variable_z.7","variable_z.8","variable_z.9","variable_z.10","variable_z.11","variable_z.12","variable_z.13","variable_z.14","variable_z.15","variable_z.16","variable_z.17","variable_z.18","variable_z.19","variable_z.20","variable_z.21","variable_z.22","variable_z.23","variable_z.24","variable_z.25","variable_z.26","variable_z.27","variable_z.28","variable_z.29","variable_z.30","variable_z.31","variable_z.32","variable_z.33"
"1",84.075,27.525,40503.9599609375,35585.6396484375,40101.3598632812,32855.1611328125,37310.400390625,31692.158203125,39290.478515625,28242.6806640625,32089.4799804688,38975.0390625,37866.8798828125,37165.6787109375,37497.7197265625,35423.9990234375,38605.2783203125,41643.4375,40047.3999023438,33653.798828125,38463.9599609375,35328.681640625,40288.8793945312,31422.7197265625,29696.0791015625,35575.2783203125,33841.5600585938,32192.48046875,39192.080078125,36259.0795898438,39727.958984375,38080.6787109375,36305.5615234375,36150.6787109375,33773.798828125
"2",84.125,27.525,41192.880859375,36236.201171875,40219.23828125,33481.640625,37959.599609375,31807.080078125,39899.0795898438,28339.7998046875,37965,39239.2797851562,37773.720703125,37433.8403320312,38136.9995117188,35979.7998046875,39786.6796875,42204.8828125,39983.4399414062,34314.0405273438,39130,34930.1196289062,40801.7211914062,31546.9604492188,30277.8002929688,35446.3598632812,29003.6401367188,32672.44140625,39614.12109375,36641.6015625,40297.6416015625,38716.7602539062,36744.560546875,36363.798828125,34378.720703125
"3",84.075,27.475,34359.8388671875,33374.23828125,37574.0405273438,32011.9604492188,30161.7602539062,28900.2392578125,36993.0395507812,26709.3212890625,30553.759765625,36057.44140625,35057.44140625,34620.3198242188,30949.0405273438,33133.9990234375,32934.16015625,34548.720703125,32245.1611328125,32194.6801757812,37169.3212890625,28419.8388671875,32115.9204101562,29551.9189453125,28289.23828125,28972.158203125,26066.0009765625,30129.9194335938,32814.0795898438,29657.48046875,32355.87890625,31897.44140625,33252.119140625,28226.4794921875,26392.7587890625
"4",84.125,27.475,35159.12109375,34118.9990234375,38529.3994140625,33319.2797851562,31900.6396484375,29444.6801757812,38116.4013671875,27575.2001953125,31716.279296875,33190.3198242188,35462.1997070312,35461.8798828125,32108.8403320312,33914.599609375,34027.6806640625,35308.3984375,33723.0810546875,33600.2001953125,37827.6000976562,29381.0400390625,33286.5185546875,30435.9204101562,29199.4384765625,29903.9599609375,26935.439453125,31654.19921875,33679.9609375,30700.9204101562,33185.83984375,32468.1201171875,30503.6401367188,29496.7993164062,26036.3598632812
"5",83.875,27.425,39635.3198242188,34551.4794921875,38841.7602539062,33688.1591796875,35955,31742.880859375,38530.2001953125,28179.23828125,31721.8798828125,38115.400390625,41313.5595703125,41412.6806640625,36621.279296875,40797.5610351562,38910.80078125,41994.7998046875,33722.919921875,34169.9194335938,38673.359375,35273.0395507812,40555.5200195312,30927.3999023438,29110.7202148438,34421.1596679688,38400.6396484375,32642.1997070312,33570.76171875,36366.1596679688,38768.9990234375,37833.759765625,35477.6000976562,34225.9204101562,32859.19921875
"6",83.925,27.425,39501.9604492188,34729.599609375,39255.0390625,32907.919921875,35868.5986328125,31661.201171875,38419.3603515625,28136.201171875,31611.9995117188,38618.359375,42266.123046875,36810.9594726562,37312.6000976562,38956.0791015625,38341.8408203125,45959.9609375,33595.80078125,34054.9609375,38917.55859375,35116.5185546875,39555.83984375,30377.119140625,29342.8002929688,34319.23828125,32915.3198242188,32494.0795898438,33592.919921875,35575.5615234375,34627.2802734375,38092.55859375,35642.6416015625,34563.8403320312,32793.0810546875
"7",83.975,27.425,35774.9609375,30809.7998046875,34830.83984375,29102.6000976562,27516.4013671875,27180.5615234375,34320.5615234375,24215.5200195312,27456.318359375,34384.7998046875,33339.6801757812,32447.080078125,32591.0400390625,30338.720703125,30361.0791015625,37134.2407226562,30060.2392578125,29575.439453125,34382.2412109375,26235.2392578125,30772.880859375,26853.9990234375,25236.5600585938,25882.080078125,24291.640625,28044.638671875,29662.6416015625,31615.3198242188,30331.4013671875,33339.9194335938,31593.28125,30504.7607421875,22886.9189453125
"8",84.025,27.425,34235.2783203125,33260.6396484375,37872.880859375,32177.6000976562,31095.400390625,30204.4384765625,37495.439453125,26819.599609375,30363.4814453125,36887.8002929688,36022.2802734375,34823.4399414062,30985.0805664062,32889.521484375,32834.7998046875,39316.0791015625,32601.201171875,32535.7202148438,37085.9594726562,28878.9990234375,32635.2001953125,29359.0405273438,28340.80078125,28913.9208984375,26851.240234375,29786.8798828125,33174.3994140625,29789.7216796875,32839.6801757812,31887.880859375,33983.9599609375,27881.4013671875,25812.080078125
"9",84.075,27.425,35023.2397460938,34505.1611328125,39162.3999023438,33389.521484375,32280.9204101562,30191.4794921875,38261.9995117188,28054.8388671875,31548.0004882812,38168.9599609375,36747.119140625,35440.400390625,32065.478515625,34077.841796875,34170.400390625,35890.5615234375,32924.2797851562,33718.1201171875,38148.4814453125,29853.1982421875,33241.9995117188,30531.640625,29299.638671875,29938.359375,27688.0395507812,30658.0395507812,33867.6806640625,30950.361328125,33247.2802734375,32850.6787109375,34687.3999023438,29105.478515625,26502.3193359375
"10",84.125,27.425,35048.359375,34077.958984375,38322.6000976562,33373.8403320312,32028.0810546875,30191.9189453125,38333.359375,27256.1596679688,31517.8002929688,37621.9604492188,36366.4794921875,35281.1596679688,31860.5615234375,34027.7587890625,34451.0791015625,36077.6416015625,33278.5205078125,33679.7998046875,38722.6806640625,29936.9995117188,33072.880859375,30591.8408203125,29281.7993164062,29848.681640625,27816.6796875,31091.640625,33899.16015625,30483.5205078125,33348.5205078125,32853.8793945312,30625.6396484375,29256.6796875,26127.51953125
"11",84.175,27.425,35139.4384765625,34016.5185546875,37863.9599609375,32954.7192382812,31536.318359375,29171.4013671875,38167.8002929688,27255.83984375,31173.6401367188,37424.8388671875,35907.841796875,35767.51953125,32260.6396484375,33500.1611328125,34146.279296875,35748.9599609375,33708.1201171875,33654.560546875,38132.48046875,29804.6801757812,32981.8408203125,30316.279296875,29145.83984375,29667.080078125,27612.48046875,31089.599609375,33473.28125,30458.28125,33335.7202148438,32870.0805664062,34325.0390625,29212.8393554688,26062.958984375
"12",84.225,27.425,37180.9594726562,31156.5185546875,34585.3198242188,30369.7607421875,28579.16015625,27386.6015625,35325.400390625,24212.1997070312,28607.919921875,34353.1982421875,33350.5200195312,32475.6396484375,33507.6000976562,31358.6401367188,34958.3984375,37402.7197265625,31134.638671875,30524.9609375,35386.5600585938,26273.28125,31059.7998046875,28106.240234375,25887.3193359375,26660.76171875,23947.55859375,28232.6000976562,30406.9604492188,27370.7202148438,30793.4814453125,30094.4799804688,31536.4794921875,31366.3598632812,24298.5595703125
