"","x","y","layer.1","layer.2","layer.3","layer.4","layer.5","layer.6","layer.7","layer.8","layer.9","layer.10","layer.11","layer.12","layer.13","layer.14","layer.15","layer.16","layer.17","layer.18","layer.19","layer.20","layer.21","layer.22","layer.23","layer.24","layer.25","layer.26","layer.27","layer.28","layer.29","layer.30","layer.31","layer.32","layer.33"
"1",84.125,27.475,90978.07863275,88584.6515516357,93741.623065399,99560.4136499516,90728.1081683008,96014.193799931,103708.790371254,90217.5021461377,78662.0075589365,90312.8620603192,79171.2174654868,85336.1620196291,85533.7162835112,79368.7901968248,102994.488723715,96826.3086753253,121078.322599482,98202.3430024376,92129.5233123917,92348.5554598419,88449.3616368826,72246.6751787749,84971.4709063793,75801.551134079,82699.263253892,89833.5020663773,90982.4260946045,69656.336050697,99300.7385522266,92920.6027869204,93724.7648693793,91051.1790628593,78273.3084277399
"2",83.925,27.425,89643.9914055929,86192.4630890484,85477.5862650526,98247.4233837466,89327.9817344191,94218.1196232251,103448.547098197,90561.439762088,73231.4335800834,85526.3548918198,84552.1782541831,85239.0604369004,86716.9007344465,78360.8342684266,100947.978204132,93830.2755499275,148624.258418057,97054.2095177527,90702.8693825293,84913.596662276,88182.4507418515,67841.4981108668,83011.6995637917,74762.6016371319,97263.1205968983,89288.8355646278,91484.7578868945,65428.9806379846,96794.7647038676,94224.5593430179,90008.5512923367,90810.7681253006,76424.175418154
"3",83.975,27.425,89054.1630010441,84421.3848645371,86446.3331665856,94924.9427034644,88948.970311964,93862.9640099098,101384.763053952,87845.0294907373,71482.2987619497,83761.3485122062,80155.7980758235,83458.6776703519,83954.6050412499,76361.9483174165,97137.1161112834,91679.6921009601,144469.739420499,94257.4569351964,90204.2901777553,82313.5952443461,87770.012998122,67836.3740282382,82594.3800474206,74023.7995765794,93538.5818453812,86255.179308843,88704.7602818089,67573.2572479248,94474.001282922,91753.2725325914,90025.6369631905,90686.5492651641,74231.1810409961
"4",84.025,27.425,93091.1567289705,89013.0085185689,88575.3519589482,98535.1260840907,90328.8283143794,97409.1395954138,104980.019716261,89697.436119753,73986.1651374271,86362.4856802431,83122.0862351483,85796.361196546,87804.8390087542,79470.9138263454,103191.803616374,95844.9393332272,146737.802332378,98452.8709628188,93603.851554195,87713.5474537292,90833.5651419066,69484.1772477037,85291.5058890569,74682.797318968,95562.3414238706,91677.4018627343,92717.0239226087,69346.1135906335,98688.8589063089,93961.4248420288,93335.2447372886,93854.7477660122,76750.0476849181
"5",84.075,27.425,92103.5270665466,87517.9319921348,87432.42517509,97200.7667637895,89318.6035986748,95894.6351113753,101866.220030278,88717.6133878109,75423.6615607499,83774.679075028,82053.6497138688,83597.0867504456,87318.0532054442,77991.5392086533,100428.000665592,93081.9103689399,149976.552968775,97153.3959658267,92042.9432921403,86893.0903670702,89496.5350575648,68376.320050567,84762.657366855,73603.8980454972,93672.1407366054,90085.369670067,91751.3321073564,69237.2462547957,97220.9192028188,92461.201697923,92535.2274015453,92590.4518045457,74662.9689926134
"6",84.125,27.425,98449.4091088906,90637.7280487439,90614.2311430401,101443.711753521,93267.1877496143,100068.819471383,105771.896518737,92673.7746150454,78770.2336357037,87562.5197102068,84526.7744841996,86382.1121279588,90720.5540438034,81250.168654957,104802.256841813,101358.46347536,157644.753393831,101557.678825454,95801.1931907792,91065.9147350826,92037.7502161347,71226.2581703698,87794.55907306,76604.5349290834,85987.9233164395,93455.101340866,96132.261596059,72191.161855304,101396.344683373,96310.2540274185,96805.4836700734,96295.0475215972,77859.2377098587
"7",84.175,27.425,100557.645563799,89649.1089071241,89222.3650602953,104800.633966998,94525.0333466604,100398.565823836,106834.648988381,93903.4106604937,79833.5688580489,88156.8586564536,85618.1198065664,85805.3759669546,90038.7213025328,82374.0758369294,106612.852448916,103263.769557335,158269.166905966,103457.587589331,97033.4859084528,92706.0737812006,93130.0174511546,71213.602719043,88963.2617748786,77425.7454977304,86533.1976292842,94713.7934193549,98003.7032467109,72872.5998555025,103318.548255603,97530.1237910811,98500.0390577266,97286.9132316906,81017.5172079517
"8",84.225,27.425,97427.1033500684,88046.7754671926,87145.7881069594,102484.447695047,91722.2048780434,97843.5195926317,104771.930763499,92219.0473881102,79004.8086798451,86689.5575387804,83634.6118404554,82736.7050147741,87904.4550392539,80500.0769487267,104185.408527995,101728.345667108,157843.576911089,101185.057433182,94631.2540282775,91118.0200054622,90920.6448970404,69911.7506769616,87905.9764700959,75946.0627880313,84134.733047151,92063.2120821116,95968.3431786256,71762.4777753866,100650.589136855,96233.0753772802,96965.8078199708,95449.8291910475,78627.2960437599
"9",84.275,27.425,93771.1914568691,82761.9257075726,85174.9740507924,97794.7202613809,89906.7728477053,93754.9656006093,100431.934738295,90957.1372767659,75552.2990637041,84361.6972600332,81735.8406384585,79133.0932180631,85920.4889737859,77200.5793700856,99891.9345505996,99150.6682224318,146779.876057337,99423.6654931721,90867.4533220085,86701.3016094927,87071.0522051432,66354.2843556117,85304.0533025981,72827.3981845597,79394.2165125981,89426.2552977135,91572.190839086,67765.1676542979,95420.1476285671,93858.1233245406,90905.2181549464,89833.5453359089,74785.5028031963
"10",83.925,27.375,91054.7054233071,85937.3756469321,83790.467944469,98616.850821679,93500.5518974713,96902.2653204175,106060.300137153,92370.9648781845,74962.6654781954,87181.7038551074,114918.182140326,87848.6104830344,89720.0088654709,82473.243932325,105220.317497736,97516.8265601397,149731.002128106,125032.363548389,108608.427671043,87403.6678835175,90838.3535230795,69319.974487317,84386.8225913218,77038.962409621,125739.187439626,91580.0347782447,96888.3125237479,66763.5602712103,106346.051456829,95553.9602058001,92736.3532815574,92512.9001962747,78723.4606087907
"11",83.975,27.375,94029.0174196189,85512.7546938226,84377.4691437523,100961.214158283,91998.3690220313,96757.4275303536,106725.06529856,93187.5284218912,74678.9745299125,87180.6904092351,113572.308936468,88289.7701078723,88938.3533815706,82562.542858723,104647.355790088,99027.9548973519,148834.368840893,120797.319327069,103158.044506684,86427.1085786231,90187.6553177945,69012.466218259,83879.3369629605,76487.3520880737,117829.253750912,91691.1842067538,93633.8117621556,66770.0334239215,104960.95699508,97801.2390829943,92779.160687051,92344.6052128023,78176.8085625169
"12",84.025,27.375,86074.2128745744,78615.7088549697,79331.9576487485,92360.8518339501,84357.7900479614,88078.1052088665,95992.1160861572,86130.2200187533,68152.6278315804,79465.7323170395,107203.402254092,79725.2558585907,80149.0979163664,75696.2828588609,95050.6300145344,90826.3354476767,142589.533294817,110014.548837336,96483.1676864216,79335.3224071746,82163.7681500002,63493.892551186,78152.1785853501,70252.2006395485,116958.625325562,83054.3132141008,88466.3286125931,61507.2357167505,96017.0022810126,89438.6963915756,85315.3238062893,84498.0205544006,71558.6612976299
"13",84.075,27.375,87957.1755144905,79478.3436456186,80281.9853229341,93580.4177363229,85519.2735205644,89295.3247719798,96629.8317479309,87449.6039199619,69266.4615932611,80688.6143138433,106342.717713683,79954.0307598833,82892.7248605801,76717.8696997777,96640.7723261979,91231.7818106546,144606.216423548,94289.7486991708,87975.2980772695,80822.8298658415,83100.0213946196,64166.4912697012,79629.1247320197,71121.2272186785,117932.606904968,83441.0986237976,90149.4245670674,62458.8559656409,97077.217914231,90300.573857682,86702.2071217988,85661.5369502388,72397.3379835889
"14",84.125,27.375,89369.7336131442,80558.2591122737,81061.9100453383,94434.9982565433,85130.9846778049,89980.5521177391,96676.0399176235,88450.7868502112,70251.9378382537,81594.390674138,107334.064838861,79513.9660371338,83438.0384937203,77603.7020611678,99376.2118294282,92477.5849219112,147095.412615038,95362.2330343264,88557.5266085976,82027.6747134526,83585.2613416006,64625.2918545592,83933.5664532546,69836.9741135851,118362.664294237,85612.6480256352,97706.6039030977,65561.901416025,98484.9489446174,91015.6297054398,87778.418892492,86230.4504118101,72725.3113163121
"15",84.175,27.375,93635.51906135,83155.9433578899,83447.5487399206,97061.6430467343,90188.9726935044,94528.5217526026,102227.050373081,90570.192034648,72486.6362104252,84313.782564497,109099.275417472,81091.7143803096,86177.0828470185,80470.6083270586,103919.67978057,96815.2156896944,149117.936165863,99743.9017701749,93254.5740523474,85671.8336985687,87125.5794022267,66213.3641030096,85618.3331654909,71913.0675779447,119117.530001494,89029.4115794588,104685.125481951,72091.7384520537,102312.139428252,94545.6542230108,91139.2255903363,89029.6840278724,74896.2017077716
"16",84.225,27.375,93149.0098167246,82766.7716527966,82590.2388478982,95793.5035810054,89290.0022584194,93115.4649031718,99886.8646456267,89774.584509846,71966.952762573,83682.6379797133,108729.541763422,78881.4088706381,85095.380148787,78573.2817113158,101031.437118384,95970.2387296675,150123.917983909,98678.6472959658,91820.5668982806,85110.1403560904,84522.9072375051,65452.3951417733,85217.3826636796,71482.2675421741,118467.791548176,87480.7894162681,107461.498341691,74547.4532646059,101851.666204368,93452.7896683575,90479.3852250114,88146.564091472,73868.967662836
"17",84.275,27.375,89453.3389900531,78477.3670198241,77891.6733692393,91608.8784176936,85815.9996532837,89688.0193981729,95674.9451100861,85834.7251105021,69511.2717943708,80172.5308158878,82275.2057212768,75448.942083916,82820.8868719572,74459.5834538661,97074.8113062598,92449.1311493141,142312.996054368,95274.3632486842,88144.157843388,83465.0695480761,83253.9931992791,64296.7023206976,81588.7635433412,67419.0595184359,107563.908317653,84611.0473430191,88179.8921624571,63662.9133289703,94899.0387515378,90322.5777596553,87293.4332117622,84370.9633858066,70217.731602124
"18",84.325,27.375,88592.8151239556,77161.057295255,77951.7399993725,92513.4088164468,83949.2861028052,88770.0062354254,93927.5789582675,85130.6780524141,71134.991286468,79773.1563294035,79089.5064957274,75207.6089643611,82191.481346464,73514.9930472532,95716.3060172069,91639.2754518209,144609.215412553,94931.2743532625,87118.3539946098,81632.9814233411,82632.9262810026,64227.3046946395,83052.7186250598,69118.0517777408,94765.3639304022,83076.3830180668,86742.3982628692,80270.3950105809,94267.5882543018,89923.6244611783,86515.2977539495,85893.1445550801,70555.1650328629
"19",84.375,27.375,96026.6187734805,80962.1146822905,84106.3755587256,98883.176099467,91584.176666536,95593.7515087264,100959.026626626,92222.1910740143,74605.932384939,84650.7590653626,83475.87027677,78943.3870840955,88075.5667354293,78923.712706739,103177.945881078,100782.114184466,149276.291245762,102876.000636795,93539.1495063096,87674.1095881537,88607.4320724954,67735.293233443,87641.2025646613,72934.8240915765,93171.6339222082,91973.8468731375,93939.6488343656,72047.8489253086,99171.5816893805,97986.8621999129,91728.516108275,89997.844841059,74662.9687559215
