"","x","y","layer.1","layer.2","layer.3","layer.4","layer.5","layer.6","layer.7","layer.8","layer.9","layer.10","layer.11","layer.12","layer.13","layer.14","layer.15","layer.16","layer.17","layer.18","layer.19","layer.20","layer.21","layer.22","layer.23","layer.24","layer.25","layer.26","layer.27","layer.28","layer.29","layer.30","layer.31","layer.32","layer.33"
"1",84.125,27.475,122013.79029517,123074.166492821,118133.860396378,130603.794091462,123160.341194623,130895.049500045,126275.434430545,123486.79208884,124777.116534275,123602.181780655,100292.282910155,111492.120640133,126289.706088391,112471.096860085,124880.988629047,121497.498702825,113528.764338962,118777.806413566,115926.136301148,120780.576433885,124309.45407219,112014.302104451,128336.118056414,106220.949658777,113504.003773962,120102.541858791,112334.552785344,107217.829355243,108627.742827327,117099.234381024,131077.420218609,129772.86212302,101439.562613055
"2",83.925,27.425,118959.165573343,117571.349029126,116656.199968451,129180.584791781,123050.542320824,122084.20302924,123388.748049358,120622.961481737,118105.487621802,122794.895885564,98396.4787292119,107745.655584608,123451.011945447,105915.511083954,124166.129894463,108321.388081304,111369.334733592,121382.698918078,111170.297344874,112185.219046671,113313.072328535,113962.049446394,127955.303738891,103935.285856114,107118.235491553,118897.537461379,107723.880447566,104854.502020694,105854.439829305,117441.718650173,126775.46107859,126413.01302279,106743.361843773
"3",83.975,27.425,118691.359554325,117547.417411393,117368.115241388,127499.037433199,121831.083768875,126140.211994511,125121.728583905,120058.889566215,117997.667365763,122854.165510832,103164.527676585,112044.596569011,126093.414579148,110417.992280732,122765.248411841,110487.281307432,111597.645076562,124176.778916713,114385.572891525,112509.695885142,117012.759887013,114114.738179877,127584.117259742,104140.937156127,109620.032956492,119945.818410513,107895.008944726,105264.163872306,106008.076406451,117286.756643135,126466.91795708,126249.153926703,112704.296265512
"4",84.025,27.425,118860.047016231,122351.641005168,115903.236293339,126570.440006607,120198.899827985,125528.607524949,125957.7679205,118828.300088209,115823.750644245,118422.070699286,100595.924717588,112801.080442214,126493.155520471,110213.684322725,127312.453283305,115775.02302676,114164.857828974,123897.640645822,112991.153321676,116872.34393157,117636.372864735,112857.259548485,126581.830050781,105038.148676212,113185.449878097,119717.551790616,111049.975515591,105700.556801354,107704.8655657,116873.217818286,126307.418436872,125943.994650279,110820.469921725
"5",84.075,27.425,118188.250831597,117151.289047424,114115.262784575,125650.560179329,120706.784229721,123876.333207534,121779.99166323,118245.626739923,119546.601853596,120715.351134173,100290.070031902,111311.668105939,125509.844061124,109204.343082981,125427.780002645,114816.060665318,112368.762819555,119934.095341963,111012.986964741,115647.915576548,116425.572502528,111032.106726212,125398.863733411,100021.022966766,112524.304659859,116708.770684617,109250.326404915,104450.939882776,107622.918359303,115009.629594909,125840.80026822,124442.904212871,109857.877449422
"6",84.125,27.425,125671.299954136,127708.963113607,120698.777838985,132499.940464844,128378.005986669,131822.579149614,129544.932086871,125278.82482411,126470.530621635,127941.125532121,106366.96963508,118287.30576645,132463.682373193,115893.655308555,128458.530526023,122542.668355617,118950.40439444,126964.30422201,118740.738004935,122498.399018843,123538.568406102,116628.910575895,132935.37140596,102003.932514246,118407.82672334,124634.918437548,114264.109105935,110900.22741817,114883.037596428,122159.763597606,134251.442838777,131629.459591751,108904.898945402
"7",84.175,27.425,126123.65858325,127196.908694277,120142.866289857,133216.939834503,128248.818193459,132329.256912662,130499.332241483,123200.232079268,122422.115111535,127529.834843259,107664.158767575,119323.160965804,133620.00852988,116374.669460263,129527.80533719,122908.114317279,118782.349809246,128465.433660045,119875.946856652,125818.896620265,124145.276678471,116405.375658243,133065.31766974,105946.105993798,118983.73852965,124503.256158928,115031.35645091,111716.019267421,116632.227020921,122780.359016365,135218.004084881,132536.242502781,104999.402729294
"8",84.225,27.425,128821.151807722,124856.534640719,122738.846119161,136503.658019442,130131.52476462,133426.785031752,133220.107883459,126304.41239377,126435.20055511,131527.711788022,109236.210113614,121527.708705068,137028.713482661,119210.352901552,132661.990061074,126717.831021953,121162.887855284,131444.277811902,119872.142432181,123868.120144593,127706.314160984,115151.08563437,140561.444096739,105856.682485622,121635.73745464,127162.633605982,115371.15239827,114386.292665235,117370.346290196,125086.613378109,138748.894469612,135246.768962721,112249.199466026
"9",84.275,27.425,112819.781113546,107926.215575138,106725.128374278,120856.333715668,111893.664651427,112211.788971458,120524.305917264,105063.089733115,109647.37699603,109075.908320135,88311.852610584,100357.362328468,118793.218716032,97169.5049152303,116783.119473015,106954.807576218,109067.636656384,118474.254594888,104276.353684441,108555.784242557,107891.601230789,99010.9501121888,122863.026682832,88299.5171624252,101374.001313462,112680.91620697,98928.3924349697,98324.4363777173,102459.320349103,109893.88471157,121295.666145622,119376.738017645,96090.3303237013
"10",83.925,27.375,116666.951994202,121377.428887948,112092.703635546,132053.577350595,122243.98886594,127002.981256485,124812.597742681,117689.668459997,121810.677934276,120953.930645327,103601.697426369,115911.542674413,128277.866948408,113482.480308588,127478.747267771,115917.094802102,113048.415362737,123317.748013209,111884.235920193,119219.650006984,117433.524662545,112990.570402492,125818.270757928,99790.2067424504,109684.992116977,117829.690359945,112015.981517997,104831.635915942,110906.778019745,120929.180877673,128653.284307272,125232.517905113,112672.109996767
