"","x","y","layer.1","layer.2","layer.3","layer.4","layer.5","layer.6","layer.7","layer.8","layer.9","layer.10","layer.11","layer.12","layer.13","layer.14","layer.15","layer.16","layer.17","layer.18","layer.19","layer.20","layer.21","layer.22","layer.23","layer.24","layer.25","layer.26","layer.27","layer.28","layer.29","layer.30","layer.31","layer.32","layer.33"
"1",84.125,27.475,156427.191174076,153060.765613915,151915.339888565,158888.154443024,154396.74256181,156617.410339889,158017.51450867,146753.271581027,151931.63801865,155762.901995499,131736.88251953,141596.759312008,157786.825229016,141545.496274147,158446.828472797,156983.458175481,141801.283870212,146042.845476066,149677.896555054,145467.175554978,151691.214326096,137706.621440389,152005.798232195,131178.830518152,134813.083363806,147708.620960354,140087.912160344,137145.348886493,142159.422514827,149791.314459149,160290.620902203,159284.981263645,129593.044058368
"2",83.925,27.425,152982.564010843,152298.348540845,150637.718523138,156422.945631624,153792.861656762,152785.643458928,154890.266604046,144308.601130175,149577.728832739,154743.494518376,135724.718475306,143844.337225233,155634.810773572,139828.470068329,157148.849621025,149627.149800054,138753.33375703,148543.260441516,144543.297833155,142199.579398233,146578.392152754,139122.088508894,150822.703641234,133220.964567052,134253.755511085,146181.136094192,139274.642166316,135895.622626163,139884.278696493,150408.23720486,157350.099750465,155417.693198571,135463.522976586
"3",83.975,27.425,148663.43963245,148667.895927018,147714.594733576,150913.597980074,148637.685331375,148090.011799199,153459.209052655,140074.889322074,145259.547248575,150886.365217863,131555.047696116,139670.075084636,153196.773954148,135660.633882294,152280.687864966,147452.161678525,134901.085017968,146789.139756556,142943.771133713,137952.654869517,145251.998168263,135538.336812689,146687.07746482,129165.058249877,132406.751706492,142176.45805895,135244.130038476,132062.923637931,135919.956289264,145781.917775948,153150.838855517,150807.274043891,131501.415406137
"4",84.025,27.425,151482.527484981,151555.361708293,149046.956996464,153632.639713638,150396.700120953,150529.247173387,157179.008154875,141734.979775709,146413.38931612,149314.829488348,133154.4842879,142580.841184401,156881.595461877,138231.723873506,155459.052404399,150262.742753323,140331.137125849,150018.441427072,145022.312989645,140478.584165945,144074.971497547,137516.619900048,148562.269503906,129250.38988715,134418.889819503,145240.872103116,137382.575613247,134539.878090416,139920.344081325,148548.178755786,155120.057597028,153515.635275279,132763.829296725
"5",84.075,27.425,151547.091163628,150967.690414612,148703.783292388,153474.520140266,152275.42436644,150253.93330519,154006.952112449,141781.146759455,146861.562791096,152581.271544329,133304.149621746,142216.668105939,156949.282537686,138064.943668918,155026.739963582,150927.701290318,139965.00305393,147483.814580245,144703.626613178,140345.91606483,144258.931877528,136867.946569962,149146.024377942,129210.344255828,134127.944796578,143234.81072368,137420.887928353,134718.259218713,141216.277734303,148081.548540222,155581.879369782,153628.582923808,132963.238777547
"6",84.125,27.425,159055.621243199,157890.803933919,155059.25635461,160452.140171875,159444.685674169,157256.377977739,161601.93159859,148398.905390516,153850.611188041,159771.525922746,139606.20791633,148676.304789887,164667.202881006,144605.77444918,162245.371346336,158630.668843898,146807.92392569,154641.984886072,151597.81808306,147075.918550093,151058.768601414,142449.071708707,156674.692695022,131936.33241659,140094.706606152,151160.396953173,142042.988500467,141098.58679317,148189.158201896,154875.684007762,163548.642545808,160918.019162064,136779.859882902
"7",84.175,27.425,160014.5374895,156921.508303652,154060.625078919,161130.780166534,159632.978349709,157782.777420475,162840.772671171,145963.552391768,154038.035521691,159152.754765134,139855.838455075,149677.682450179,165432.127670505,145344.230007138,163205.525063753,159370.995176654,146197.188676434,155720.233464733,152544.826251183,150118.056776515,151323.95587769,142278.656908243,157152.75907599,131793.706091455,140555.899174181,151424.576959709,142395.355474348,142046.138896327,149916.987763108,155518.398567146,164602.764827069,161387.802561374,132786.121479294
"8",84.225,27.425,160077.352979597,156496.695773532,153853.926685567,161442.337218661,158090.365096651,155596.064816908,162049.228977209,146199.532022676,154911.120965266,159502.033077085,138320.448394864,148988.187220693,165644.714459223,144996.432003115,162509.309397011,159998.551236797,145749.728675596,155377.598124402,149671.62241265,149048.159207093,151498.194043797,142113.60516562,160481.324467833,131767.283071559,140317.25723003,150229.87481692,142973.471734208,141918.33368086,148153.986426915,154780.612401546,165142.175719612,161656.207439284,137261.640872276
"9",84.275,27.425,149511.582871359,144922.975829044,143161.368608653,151090.772192231,146985.224710021,145154.069244895,156043.146249296,135579.691295615,144225.936566343,148795.947382635,129099.294016834,139657.682152687,153504.019497282,135581.023469918,152102.357754265,152054.524373093,138345.795836071,147859.054399575,140276.114426629,141037.063539432,143850.282871414,132207.029213751,148733.947092989,125244.436596019,131326.760102524,141767.434761657,133253.912454501,131870.156592561,139583.441442853,145345.725531883,154201.027473747,151207.21653327,127276.570558076
"10",83.925,27.375,150784.991544983,151439.147637948,146710.423362108,160083.738483407,154009.748143283,153890.781549453,157495.317469244,142185.146975622,149555.516801463,153117.570782046,138217.376137306,147617.9831041,160330.386479658,143577.001792963,157274.626174021,152866.015700539,141297.294757268,151363.268032741,146318.796467068,144726.769147609,146479.884525826,139603.72958218,149681.471441521,130513.287797138,136532.792409945,146178.210867757,140667.622142997,135876.474783129,144897.298039277,153812.26193236,159166.685186178,154957.918295738,135882.710582704
"11",83.975,27.375,149174.985651505,150455.776990725,145584.022702228,158117.350489044,152012.861719015,151979.36429612,156154.190129293,140250.258374903,148042.04150466,152078.260111883,136457.103636238,146171.482906948,158271.214849566,141929.498595005,155664.785976719,151185.218805247,140135.697234196,149652.924537826,146916.105787563,143139.077018776,144440.070457003,138392.166999277,149278.34624022,128593.82493753,135968.972623907,144933.686243402,138786.648754014,134863.692062179,143704.009839186,152001.671951594,157960.369456661,153078.738190385,133978.229717367
"12",84.025,27.375,141411.639315196,141440.582283017,138109.49336014,147066.449140156,144668.228455622,143468.464413169,146513.935245936,133600.14644118,140992.194805867,144404.173784232,129683.870919633,137331.988616022,150668.336046589,133883.691155667,146279.826836466,143787.290971793,131886.582148232,140766.085190111,138259.098250061,135154.76814987,137644.069616082,130426.077646565,142588.530701795,122282.063129405,128115.571024099,136107.480307294,131850.256932539,127788.513635164,134318.106456035,143040.614974583,149177.02372388,145163.940062861,127752.211101842
"13",84.075,27.375,144136.596586173,143760.588247755,140136.599406045,149492.73307365,147111.787777073,145765.84726007,149156.734455827,135041.689135,143459.648931354,146958.148634576,132069.548893543,139721.407284233,153463.978582064,133899.894864925,148781.452948009,146688.624475403,133757.091038621,143352.49900073,140666.463413492,137598.510089483,140074.148115386,132433.964428232,145752.51127046,124065.814568349,128630.107887237,137817.24668308,132135.33937157,130147.645126902,136837.354858032,145323.358055657,151007.818984312,147803.0998557,129807.944301431
"14",84.125,27.375,146413.764782271,145862.826508318,141960.892593385,151764.858869765,149484.011436706,147691.722255741,151255.682817448,136879.467321203,145728.040826623,148923.161901056,132897.165395176,141621.961708914,153616.578535812,135775.380920519,150761.674963316,149145.534098607,135762.348839956,145434.68061758,140330.409012267,139645.284590188,141872.600430806,134097.436837582,149627.048703504,125552.588220387,130264.329057894,139227.086801383,133980.505446309,132034.828728897,138943.426683955,147180.557803381,153288.557530069,150816.604598718,131609.981408574
"15",84.175,27.375,149910.940254716,148148.742577634,143121.962217268,154408.156207762,150944.050621042,148102.431419397,154826.62410483,138003.098985956,147123.598389428,150512.038760499,133927.702952924,144485.509736669,155977.6798269,138226.844982957,153774.663577018,149675.009290704,138988.425167129,148611.090433423,142994.346529979,142087.499706881,143248.251026007,135860.133818295,151446.816146555,127601.487017969,131994.378217442,140847.179102805,135853.853787779,134315.899073792,140432.819197161,149805.818318305,155522.519566048,152681.355535115,132376.481198081
