"","x","y","layer.1","layer.2","layer.3","layer.4","layer.5","layer.6","layer.7","layer.8","layer.9","layer.10","layer.11","layer.12","layer.13","layer.14","layer.15","layer.16","layer.17","layer.18","layer.19","layer.20","layer.21","layer.22","layer.23","layer.24","layer.25","layer.26","layer.27","layer.28","layer.29","layer.30","layer.31","layer.32","layer.33"
"1",84.125,27.475,60315.6687104776,140038.652110637,142230.402712947,139776.953206955,134546.776647385,154171.295680286,150776.304199096,148939.900236983,154417.851853386,153263.341053004,119970.796597451,134799.309659939,146185.91470307,148028.503676126,149501.438129412,57950.9787653716,140322.730585959,139438.728340099,147617.568724172,138088.137903984,142224.463239903,155414.570959644,149631.492621563,136595.23446291,144504.005718216,134897.107045408,128613.262761397,147646.808145075,144376.959097845,148150.285091285,166159.975129653,138149.269928153,139078.710317834
"2",83.925,27.425,57493.5200971194,164915.743939622,136265.438244824,130858.245249808,146478.311868427,151231.311844594,146134.747036943,149589.107207458,155672.506065313,157737.282575068,114162.294338686,137887.839001911,143590.743906903,141328.867788686,141355.896358127,143694.608861547,123443.10630357,135755.207403978,147856.407291288,126954.401407503,137703.788383606,149676.471033654,148080.554828496,128366.962933862,136573.998542781,124473.742393673,118518.120397362,135113.6577499,131059.570439457,146395.024230469,154965.884656873,135949.613116266,128196.152816551
"3",83.975,27.425,55571.1001961371,157233.077304351,135558.402971654,134474.369119267,144442.936217552,150227.180080965,146742.020410507,148763.523594476,158391.043932329,155334.774715834,117195.144604638,133943.19991191,144243.054681342,144137.142591278,140567.710319445,140912.80123342,128680.866445969,134499.93906832,146479.410576171,132807.742458125,141941.317017511,150355.732601312,148087.056183672,127758.492319423,134861.412846417,130248.733474613,116468.346258017,143710.123620589,135651.103885051,143156.607035491,160255.662088804,136171.443862223,136081.526905987
"4",84.025,27.425,61346.9237145469,153825.290976843,135110.092772848,135359.599688275,146861.51108222,152966.207338301,146734.982487722,145566.21678708,158970.058631102,149036.329053889,115463.42779318,129758.781634057,144395.058067053,144256.418940292,144449.285161397,130767.867335974,132360.962444771,133720.221652977,147417.198211537,132496.382950832,137511.896884739,152106.94105363,147703.921753711,134967.476259773,139212.212054611,135745.789224915,116829.243688986,140039.097866627,141581.895078433,141907.43165607,159923.843647053,134657.612459502,134979.906067498
"5",84.075,27.425,59672.9023338477,148680.804680271,134258.73403707,135868.15922556,146144.649275375,152290.857194823,150389.356030433,145289.993266706,157501.931451726,150515.26913556,117487.397813665,130116.936482061,145151.321896628,143749.95573824,145258.030994681,124366.241032222,133999.940643033,132750.137384698,146885.846916448,131311.279816087,137139.491556529,149490.335814735,144876.283740056,133985.152655167,139057.356117572,135114.733828785,123914.0592205,143865.662285007,139795.135483901,141411.28751419,160375.095570102,133475.219844163,133894.544856762
"6",84.125,27.425,66844.9918568825,166833.554549178,142968.716751527,144126.291351249,154683.138886026,160590.656356517,159262.291783551,158220.67147759,168676.785662962,149729.125616781,122895.608635594,136880.794834112,154474.162729172,150980.857953606,153427.89429288,126362.023425146,142775.428431169,145217.778486223,155602.637572973,138740.82020572,147991.903550236,157375.339522256,154182.277513712,137637.788768937,146764.526969798,142180.988587487,131736.272593848,154810.21760443,147986.166029437,150869.179980081,170740.241837875,140910.980166314,144191.941732584
"7",84.175,27.425,68931.019972147,167048.586074572,144216.098306351,144702.375982932,144513.740050135,151565.438935171,161355.481256518,155201.830869815,168768.5454659,149411.454414813,123261.766833874,137045.739038557,154816.344026716,151478.752627381,151342.216293407,126249.771578547,143936.885348406,146229.291440369,156428.969573654,138927.002385741,147767.594898975,157816.27714899,155478.279323769,143927.443488946,146133.921948023,142937.752656598,131291.925916464,155848.772523873,149249.052429638,150627.782710292,168754.251483794,141211.870937875,144321.792754753
"8",84.225,27.425,69639.1151796287,170454.56514205,147731.935174199,148139.866123373,155914.696773645,159791.060259155,159156.507549983,157817.696395334,167213.475564849,153960.787698725,128345.386891413,140358.316097927,160606.514619003,158796.167108235,156199.490629307,115485.728501784,149975.769756921,150528.968630337,160162.992265091,142925.142096139,152105.957083063,156674.64033834,160450.421487726,139250.996139718,149685.661747349,146266.627584874,134502.839881456,158909.597063187,153454.684123763,154385.664443431,175342.193107109,140820.929610504,148393.155443478
"9",84.275,27.425,53486.7119456647,143653.551952622,130148.804602257,132255.975103386,139267.597149683,142386.722695925,142445.440635972,136280.551527046,152002.549568612,128390.264760066,103355.398322023,124870.087703933,141509.54128972,134533.957169436,140649.532414478,64520.0041370969,128675.316114833,132609.262950132,141255.277548383,127400.755773677,133684.762041071,138274.142643033,140594.090437099,125842.006763554,134105.801339238,129558.346916229,116381.102990918,132583.737116295,134360.168069883,131805.901786918,155553.270793765,125752.856546768,125811.191586693
"10",83.925,27.375,60215.0454402475,161697.486025774,137212.617839509,133449.131669107,144798.22720648,154291.872352203,152991.483321906,142287.189967535,157285.384986284,155186.59671615,115812.320548478,130955.643039697,150399.257574658,141727.376541342,137805.984926045,150839.394610083,128124.142391771,130521.043002308,146860.251691234,133298.967617701,141739.703052924,151624.412448166,142268.633164053,129176.918191108,141889.376900834,124594.557307287,112178.885767707,133676.912269202,131913.899309305,143625.210028237,160928.991441583,133818.926793693,133230.549083713
