"","x","y","layer.1","layer.2","layer.3","layer.4","layer.5","layer.6","layer.7","layer.8","layer.9","layer.10","layer.11","layer.12","layer.13","layer.14","layer.15","layer.16","layer.17","layer.18","layer.19","layer.20","layer.21","layer.22","layer.23","layer.24","layer.25","layer.26","layer.27","layer.28","layer.29","layer.30","layer.31","layer.32","layer.33"
"1",84.125,27.475,95895.5881440714,171934.252696574,170121.323123103,163209.194417893,161848.01688176,179346.857203723,186065.144531127,173573.620940108,182063.852829949,180186.422107692,146326.636441201,159154.988370877,172835.275054633,173973.542738626,177988.71840285,91341.3791559966,163106.490351584,160668.528144786,175215.849974172,158162.017298515,164568.503767247,177765.090979175,172319.974066875,160458.034755879,162171.126079544,156269.067494627,156221.663640304,174988.168008356,174134.239371282,178610.485286597,193074.574739028,156273.189605887,157478.949575646
"2",83.925,27.425,93165.1216596194,195707.543256028,164291.116955761,154238.40638262,173751.593118427,178244.151200063,179952.867154131,174623.147734801,183863.145713751,191110.602887568,152180.136135561,164043.15882613,170079.66480534,172654.546499623,171658.415889377,176364.528295141,144689.82505357,157634.006232103,175620.367252225,152329.921427034,160762.548149231,177724.310389123,171012.715473027,157851.084027612,159643.319831844,150458.903526486,138420.000280174,161162.0171249,164530.290654301,175333.703429688,186364.964246717,158244.852374078,151203.152328269
"3",83.975,27.425,92161.7398445746,185653.038241851,160333.002581029,154579.209207158,162991.295592552,173468.740139559,178235.460351913,169828.484531976,182113.363268267,179447.975399428,145611.223706201,154779.559775191,167159.653802435,166431.622571747,166996.50914757,169627.84029592,145776.467031907,151977.739361289,171060.851005858,149285.782008906,160804.236939386,174278.891780999,166312.616486406,153710.533335048,154815.292240949,151798.333083988,132652.945867392,166258.844323714,166301.582400676,169383.926371428,184281.62156146,149342.164077067,150484.366261456
"4",84.025,27.425,96067.3631676719,184863.171836218,162452.253417379,158614.638750775,167893.271336127,175189.727846113,181044.862858816,169166.736806611,186020.979041258,175717.64985467,144773.46685568,153552.502337182,169876.017539709,168447.978998886,168565.32520046,163396.348781286,152699.402386178,154273.541965477,173776.119109975,151009.583634426,160033.21768552,173205.30042863,169067.962281055,157762.476259773,156965.69227922,156194.38907843,136488.483190939,165639.178433033,169468.655332339,170839.711929507,186600.523334553,151592.092439971,152209.305481561
"5",84.075,27.425,95735.3437400977,180401.683586521,162764.334623007,159780.439498998,168554.529646469,175401.816667479,180850.435131995,169964.9127003,185209.29229157,178187.629975403,147967.158555853,154105.095661749,172197.442502097,168984.196460896,170109.031971244,158466.04083691,155420.819549283,154719.817560479,174298.886467229,151181.079620774,160049.452494029,171651.695678017,163069.203661931,157884.112616105,157374.116371478,156333.813418629,150322.259904094,171093.621269382,169009.573960464,171224.168373565,187604.016468539,151825.17956096,151846.944759105
"6",84.125,27.425,102449.872227976,198933.994002303,170721.717239808,167750.771331718,177016.420136026,183301.935653392,189707.130650738,182170.871672903,196134.385760619,177620.805304281,151733.289299656,161619.515537237,181007.841928391,176870.057172356,178421.854253817,160529.022936865,164659.549524919,166902.339033098,182926.236205786,158675.620010408,170361.224839298,180001.540694131,172595.917650431,166075.708690812,165060.046989329,163974.709290612,158379.951793066,182718.337721618,177447.645521625,181326.460253518,197277.483048812,159216.820010064,162456.901449381
"7",84.175,27.425,104502.660597147,199162.306777697,171968.698404007,168477.415045432,172545.539366542,176299.518525015,192026.159967456,180166.230283878,196352.825251056,177536.093086688,151731.605701062,161688.41970262,181523.944124372,177230.512881287,179376.137191845,160672.811129328,166347.925387469,168416.090756776,183756.650237717,158857.441838866,169951.674488819,180426.797168522,174337.158718301,166842.804817071,164141.441479273,164782.513398785,158995.724744589,183286.091859811,178680.092468701,181454.542964198,195387.491229887,159519.910488656,162273.39309655
"8",84.225,27.425,102674.876898379,199567.88545455,172614.13488123,168762.346592123,180324.657711145,182187.578813843,191610.106182795,180185.777450021,191889.994119536,178723.307229975,154850.865407038,161626.716976833,185056.353486191,181286.486932454,182210.130277744,147572.647447097,170385.889385828,169226.688356899,184385.472733841,159595.142096139,170999.836477595,181397.721393027,175316.781351007,164095.39555378,164897.741825474,164940.308004796,158624.919959581,183304.196672562,180247.242717513,181893.784560619,199169.234122734,159793.048751129,163558.39470129
"9",84.275,27.425,98372.6689769147,182465.592968247,159998.804602257,157358.294439324,167743.957012964,173053.922402956,180346.561241441,164537.712171578,182102.830330331,164311.026478816,142002.278204835,150802.607235183,171221.22097722,168367.797501467,171843.09198479,106671.205308972,159357.63545077,155926.382090757,171296.957235883,148247.955480708,159064.801103571,168246.422916471,166231.690534755,155682.407154179,153916.8413783,153708.185783417,146582.462854199,168911.776667076,167782.087015196,169342.781669731,184602.950969546,151185.896097549,151256.472348412
"10",83.925,27.375,96920.9658504038,194044.165713274,165916.858562165,157439.492997232,172916.947909605,181986.591590484,183335.763107062,168387.990748785,185728.02414644,183821.435583338,148323.599845353,157160.882297509,172645.698004346,167915.857986654,163879.424867451,178638.955156958,149695.143368333,153136.003939808,175603.252179515,153988.088711451,166546.822193549,179493.850924729,165762.512558584,157837.11838642,161401.576607865,150544.518244787,133001.966822395,160432.590980139,165392.339250711,173160.44928605,188012.91234002,152313.127233146,151783.349376682
"11",83.975,27.375,97241.1557045659,192148.210939891,165936.330008321,154324.047200689,169457.331049125,179262.62349546,182003.326355142,169785.919434984,183895.696155234,176976.683543425,147416.329790321,155822.096458848,171434.088934818,165342.104221552,162155.044182818,177710.719017517,143616.982981382,152969.327770254,172513.854511239,150504.73765712,162949.94657142,174061.490375638,165061.724554193,155930.622993788,159051.753018125,149988.475913492,130889.846613709,163350.147236619,166612.26655198,173379.339094755,186276.144812168,149205.695015965,149489.886046173
"12",84.025,27.375,88357.9135276005,184305.954453282,156026.867166475,146416.205183124,158228.136912563,167628.091930459,172890.581458351,160830.185466895,167358.429866844,165134.105329776,143617.89136886,149103.136360126,163512.47706593,157998.269285833,152931.750159237,171017.81922912,134555.436249762,144647.463419688,163288.345640855,143657.784646998,156349.008427168,165642.933754091,160118.373101307,146483.523718971,151536.089379083,142116.10074713,125019.827939641,161678.956791887,159780.258686018,165281.964884887,178446.372792689,141866.069866104,142278.348215489
"13",84.075,27.375,90354.4291156018,188481.701689153,158811.959278556,151718.841946608,163451.392081078,168916.265453239,176128.242241057,165638.293190887,175104.114384782,168249.819668766,143715.265946873,151864.473695731,168700.439781615,160943.336005623,156671.873519367,173505.91130488,144063.933378553,150699.690217155,166485.100968421,147250.839187992,160576.755605591,168508.079910262,163620.680700974,148593.06790696,154241.004550046,145338.887056388,142032.52077014,164426.42269386,165502.787766981,168032.154010828,182016.150953903,146149.97645942,145489.63250496
"14",84.125,27.375,93673.9725714251,192420.837331054,160760.464029478,154698.279088776,166283.071697336,171670.453487211,178499.787056331,168465.875385713,176637.880098514,166361.646736883,143195.648843713,154214.522809096,170501.88891546,166659.075845364,161287.268533598,183874.856775184,145518.199856082,153963.135085594,169196.144890978,149230.774470277,158730.29462988,172128.354081849,166054.37646822,151185.227738781,156646.920924797,147661.052940249,145239.595982732,170037.116958898,168142.709965537,167979.965184823,185358.432902802,148367.149276313,148224.819490106
"15",84.175,27.375,97788.4235960056,195336.01398696,163013.18250109,156709.705174059,171294.341726055,176157.330980544,182007.49871957,171376.51411966,182670.794155052,167566.325388929,145092.558051097,155228.103971739,173895.992567233,172007.33119721,164501.22061768,181959.426911725,152477.385138936,155771.585116121,171523.079775723,151215.13608166,160636.296317331,173953.225774222,165574.819711628,153341.258651215,159246.869400298,149846.6451176,148397.231295056,171308.328983242,171364.583530946,169491.088690949,187191.083887153,150090.730705935,149974.496677964
"16",84.225,27.375,97411.1436439885,196068.703766389,163077.652432805,156955.864891337,172381.856696715,172792.237295006,180248.088010502,167228.950222595,181926.994896137,170819.243228693,148367.257867643,155927.019441948,177531.140099364,173207.348265513,166705.507027699,181400.38030253,152940.26427438,156287.859450218,172210.945829374,151647.708456655,161455.91879746,174287.116948389,162486.550583192,153831.435139203,161154.956784272,150151.068224588,148492.22278895,174332.49214356,169783.967377123,170122.333148106,185806.171825652,150470.401121105,150473.577642359
"17",84.275,27.375,93402.8415810886,185130.553883387,156009.457649821,150847.579326858,160982.571043487,163564.861204607,175761.299631301,158726.320882693,173613.648003241,162297.367241033,140740.780973439,148162.804899479,169074.032311103,164952.951130861,165398.224803014,161775.410127571,151091.138506367,149466.731524892,167359.614075984,148081.108829528,154403.297824146,165305.445159953,155100.559369166,148523.656471468,152369.026727716,143382.176250478,144392.138688163,165447.160177456,162487.863864061,162275.901270197,178309.177988723,143590.207346031,143491.414244421
"18",84.325,27.375,92433.2415918731,183296.505538508,157769.173493991,155277.527073896,164779.283950437,159823.92076474,177522.866374898,167208.224624053,177599.059375329,162564.841689364,146894.257256365,149971.574157251,171172.326384755,165148.477128362,170042.819076835,119137.203033171,156229.434489519,153010.048516479,168851.218416272,149555.205157386,155466.667992962,169461.841868878,158206.91855091,149756.659139982,155650.477844717,146229.421168919,148650.847349712,167309.258907623,164908.598395291,164082.057194822,180392.136348848,145172.705586733,145420.897008032
"19",84.375,27.375,98675.8198239886,186737.381615357,161578.356296331,159438.393605965,167097.968569424,164114.98637929,180409.404279911,168005.25348212,178934.842674369,167123.24284008,147684.589741774,150332.688383521,173494.232836321,171930.634671649,176945.550880579,100229.851253827,157935.123423131,154102.668407843,172282.361304577,151782.33660566,158667.00532039,172811.154741001,159389.173802002,153415.846586834,158611.289869501,155552.178727753,149062.805259589,174330.691668212,171928.603817426,169960.864453329,183103.012671817,148644.291387089,146429.147303978
"20",83.925,27.325,86910.1954133658,176137.926996576,148463.664978003,144762.048698613,152470.237045052,163720.636852631,168471.532862889,156162.220595686,171668.269994067,165101.937872463,138652.523615635,145204.793531187,158778.71969256,156728.855468207,147113.821907921,165242.315530488,135992.859976441,140975.57337912,160552.928843054,135498.125086632,151914.695588351,162473.760395572,150702.413611429,142924.964494277,146913.427066966,134736.027779814,125575.621585641,150579.950777122,152472.548115237,155199.192475318,168949.738430891,135369.02542316,138897.15485299
"21",83.975,27.325,85560.0568307304,182006.402950346,153203.196194449,145011.874641189,157961.190593689,169257.815586606,173775.722872779,163383.331849449,177672.787367122,167556.967849796,144094.68964053,146575.335968256,164393.931332215,161894.339540226,150881.585464277,171859.968708874,138138.962171272,148374.312747391,165369.069624114,140208.008776305,156513.362959332,163406.912815101,156059.243340398,146360.282689171,150830.347214849,139191.679683715,129276.519740677,156523.148980562,159273.888144173,162581.491705456,176683.589284559,142280.70070754,143387.487639526
"22",84.025,27.325,91283.313160348,175923.300240953,148665.649811643,142708.208179158,152561.449082053,159207.776666884,168473.835401809,158859.408927278,172667.819929925,159139.313892077,138052.443573317,141843.332562912,161462.952314313,154367.43131472,144180.042934739,167383.978730649,133549.804525085,144289.056027778,160606.165646675,136421.651837553,150308.872844665,160068.641536621,152511.344916239,142240.732748241,146214.966417308,136380.447805619,126185.308354462,155214.155136821,152996.743315924,154938.919940042,171404.342396788,135836.857028452,137544.318602679
"23",84.075,27.325,87290.6937462481,182197.681150817,153244.596940731,147626.208821186,157477.055065837,161956.450886803,172974.399345497,161533.915331208,177565.766692706,163862.497963496,142582.954003149,146084.883361024,165227.94801564,161124.628675827,152688.274122152,172411.867259822,137958.482966899,148816.115682279,165801.486298978,140621.183664203,146047.095528082,161944.084044566,155383.474833955,146021.626627102,150832.069949678,141107.230843802,129411.446704049,158367.607012821,159570.546813367,159533.267573564,176945.335804893,140098.044781476,141730.447417998
"24",84.125,27.325,117402.155299061,190612.304421634,158856.436779929,152824.137726758,163092.252005341,167799.104658478,181207.060752071,166852.53871513,167677.227127835,171025.389332293,149954.201135119,151463.724630194,175244.45818011,167772.36087689,160901.138197431,180064.859550452,145381.499123197,152802.708888444,174734.885595504,146591.676256651,151294.101155863,168651.76800926,162926.786331019,153264.829442325,157409.747542264,146881.778417981,144629.71578652,166306.167997324,167640.903988216,165924.741529729,184332.40806513,145972.731738098,146787.649475986
