"","x","y","layer.1","layer.2","layer.3","layer.4","layer.5","layer.6","layer.7","layer.8","layer.9","layer.10","layer.11","layer.12","layer.13","layer.14","layer.15","layer.16","layer.17","layer.18","layer.19","layer.20","layer.21","layer.22","layer.23","layer.24","layer.25","layer.26","layer.27","layer.28","layer.29","layer.30","layer.31","layer.32","layer.33"
"1",84.125,27.475,45497.6037359411,139044.642049988,142180.263964994,147090.923602784,158118.562572033,164147.028479293,153299.877112226,165065.056383193,161383.517339116,166083.079687224,138202.961731876,144456.217265573,167175.157017255,160518.913308464,157515.838489559,68346.383688442,147063.483835818,154152.453659843,156896.141068064,142915.131575117,160005.705025704,172342.693016843,170097.160190548,143321.564653734,155781.589577524,143894.583950654,144006.939929927,144985.852455099,136113.925508815,145719.047217289,172713.831586548,153737.877634045,141851.651027049
"2",83.925,27.425,43401.6325775339,162271.36240326,149746.811216423,140965.593947133,167166.414475823,165036.548534329,150191.661043767,168012.778425274,160882.57985235,161271.402375587,132193.123896853,151643.869745206,159170.883448927,159756.225446497,151355.172496293,159967.981409957,141805.810278536,154193.240865675,159110.461298783,138297.16077624,148478.155856422,169264.222943645,168287.647790174,145304.287003054,149984.962652245,133958.508847771,124640.729092888,153301.065182135,146659.793852551,155486.964456818,172488.01623139,152152.404648249,143429.913862959
"3",83.975,27.425,49587.5252556968,154316.357299008,154855.979486766,134919.121928228,160641.135638463,172471.717179767,165481.606297073,169583.347387053,164901.03525303,168546.836610973,134052.048131998,143316.885544757,162453.902515779,154146.855528645,159244.324879752,146727.413934209,143319.900885647,148848.154791197,167525.191283617,139112.43855102,151621.100829635,167997.23363127,160499.967642112,145747.275953911,142569.520855528,128472.404933255,122687.976220763,163155.633737462,148987.319201474,160609.870664992,172018.605257349,145929.574692989,139042.936183505
"4",84.025,27.425,44206.9500011058,147225.235107901,146019.84298149,140249.071665256,161359.562369961,163988.553851388,147133.050175699,167581.805564763,156951.108451756,162801.378737358,133983.73688202,149409.918662029,163308.090336582,156158.743997051,158826.03263936,132284.26328918,149163.268159734,151284.563876106,151894.550336206,141524.103799643,151009.74503862,170767.140393546,167157.086249998,141497.095329005,147253.978040979,134450.756966348,135900.562430321,149632.112926512,144595.917285603,149997.453565227,173357.160918629,148395.356720776,141558.984056646
"5",84.075,27.425,43181.8649974019,160972.980024422,140970.557393329,139873.765096779,163596.363775264,161272.863772558,140769.285400029,162743.005560709,157390.30416974,159449.109418756,131326.040545428,139974.116286606,166136.111663948,157747.527481792,152101.259629958,133225.481977462,146837.100703127,151474.092540017,150204.464568813,142045.261845722,151407.68271069,170220.821635978,161544.571284539,138139.173622811,152591.602256311,136512.417755491,142631.847993768,141700.242487236,133727.917364898,143927.533837181,168291.511854864,149344.243919164,142124.232048471
"6",84.125,27.425,48218.5968516416,143752.492927127,147352.47368294,145786.840609657,169560.558915084,169591.416083494,148782.025337268,170446.704285996,164008.696533751,165755.965792643,144549.602009598,151267.99280732,172723.057365187,163875.897802467,161247.782036347,95486.4249156985,153993.218379452,159094.094239725,162533.854338712,149400.404521459,162861.09855553,177755.505580017,168975.164074732,145309.355953256,163822.438367584,147954.580895267,149728.385823693,147429.606911662,140550.114958477,151449.272275532,178578.034748756,156708.270056862,149216.740722297
"7",84.175,27.425,50037.2885620533,142547.320743063,147311.085690468,154044.460996521,165707.32311531,168518.385101712,160012.297311074,169101.166098599,161762.168864909,162719.032060815,144383.757931754,153653.416029909,173187.475284079,166043.861685975,158425.893115977,72357.7146432969,151549.311752075,158470.324092348,168173.715095918,149843.320580055,163996.556569519,174438.794373973,172105.136126695,146112.670533036,162812.876073103,149215.652031735,149584.761122026,147992.570004954,140892.54856098,150157.674725288,178432.858624664,157261.894883259,149416.437916181
"8",84.225,27.425,57051.0620735434,155774.801865834,161649.415766352,156520.914546503,176529.46913126,180724.511672458,163631.034985292,170746.206028284,177533.391244409,165776.830556437,143187.943628535,150213.457801495,174469.881256676,168773.217810905,169812.714572534,89947.635776164,163103.961574227,164401.756053637,169632.712762947,150385.227995279,160324.308499078,175601.935021973,172999.937362811,157790.80286954,161444.123671232,149170.863144655,152949.19339732,155972.247134416,158876.817285218,168068.469265805,186693.309044833,157088.464189671,149154.005001172
"9",84.275,27.425,36278.4369803611,156750.150826572,136524.942921807,128941.380321621,153013.952242899,143011.889076894,147093.991990596,141719.24607591,151626.449533419,145335.050981307,120428.929983134,130686.633209667,154948.659631405,153547.049622181,145423.938020326,80302.5294905595,138024.821575805,144777.906693229,144900.478745647,137380.986107169,143711.871433377,149626.566140746,159507.777735185,125124.779018996,149218.77233525,129728.131549734,131079.412577958,144385.430951555,129336.974398717,142014.862810966,162474.254057926,139330.558826356,137348.106405795
"10",83.925,27.375,42035.6190253165,159818.188756964,141368.673138978,139566.851382478,164710.276407746,155674.475378788,155772.19132337,154806.269502014,150715.685078287,154790.96318979,132462.641865558,141645.535516895,164311.215017207,155595.628538812,148638.471584597,160348.798384525,139713.359103384,145519.457807094,154455.021943674,145435.568175227,156858.765823692,162007.880098466,164742.485977262,140822.598670136,148509.163215758,129595.83094759,127098.214668202,153003.064739732,142409.94434201,151954.44007749,167817.263853251,152235.003200226,144858.071897463
"11",83.975,27.375,44301.2384166958,159401.562236894,140151.122541294,135323.440609039,162170.049155311,156503.851661294,150132.371408458,155252.293722155,151043.787666359,150447.301419809,127248.782000542,140930.042454952,160649.15105655,155631.62914278,146476.570903959,161208.401096903,138541.457394335,144325.233108569,147358.800552736,143561.816193251,152997.94834095,161754.401776514,163994.337449598,137704.673435138,146486.427813655,127475.862134734,123425.145213814,144295.001626437,137440.814224982,149565.011371548,166716.885668248,150222.234516489,142771.037365636
