"","x","y","layer.1","layer.2","layer.3","layer.4","layer.5","layer.6","layer.7","layer.8","layer.9","layer.10","layer.11","layer.12","layer.13","layer.14","layer.15","layer.16","layer.17","layer.18","layer.19","layer.20","layer.21","layer.22","layer.23","layer.24","layer.25","layer.26","layer.27","layer.28","layer.29","layer.30","layer.31","layer.32","layer.33"
"1",84.125,27.475,67152.8820562536,147463.962118348,144606.983935697,151385.203693116,162599.082591565,166964.548620894,169918.236487226,167873.256456435,162875.037267094,176291.839452849,147009.601746524,153306.897197214,170868.196873212,171549.273415886,166288.878650692,77748.9435028951,155044.243723514,160987.373703788,158281.021133982,146688.09147502,162495.2249842,177273.372948484,172617.760166134,154260.684526781,157478.029549448,147665.903835908,146958.619922603,147122.052406271,145000.685762721,154871.647314945,188706.790570923,154678.437631603,147080.571315135
"2",83.925,27.425,70041.7107025339,179833.6829599,153957.611082145,146023.754042348,172303.334641838,174164.90851968,169639.422274236,170147.458448467,177436.659442194,171347.522370704,149540.643428103,161972.710077237,171619.683497755,169081.705182826,163944.612193558,176202.0609998,144512.570227266,158356.321004835,169653.461787065,141517.720773799,159412.95566111,175442.6232122,172174.007653456,158265.527237429,153015.96271328,138321.90881115,130466.648892693,163832.744869635,161668.913725598,171826.525003693,188915.655391546,154032.444626277,149600.634077803
"3",83.975,27.425,77630.8040642905,165224.437132993,159603.739496532,140409.402079595,166078.975604284,176311.917069904,178448.88657051,173005.187291839,167853.715306741,179743.516298473,144901.327917154,152931.765305499,168280.382618318,166150.695860677,165116.96465026,158809.293817021,146462.54096133,152559.194830259,171798.551268969,144674.318433832,161994.700683151,173606.233875411,164097.84758596,152367.556105279,147280.600872618,132478.084864896,127660.776208556,166834.753610509,166373.919543271,170492.950498976,184731.445833521,148143.694718623,145087.616359286
"4",84.025,27.425,68811.1101573558,163090.795410636,149163.162988814,144932.711801975,166372.80242123,168399.873736642,159119.850712809,170103.605491521,159288.148399266,173216.338454154,144053.136906434,153058.758688885,168664.570439121,167333.784280254,164045.432663774,149340.10313293,151395.668214666,154401.763888313,154851.550458276,146018.543802085,160752.785199752,175589.020276358,170204.446174314,153125.415641505,149576.098097131,139662.677132364,139769.842520653,158725.272716551,158511.797412557,158878.693799602,185280.801055347,150336.356781811,147234.424120123
"5",84.075,27.425,66159.9460520894,175950.29936036,144429.557332294,144210.605001564,168052.763921748,165539.663699315,152282.844970342,165550.565680338,159329.264130678,169570.66947735,139271.760760272,148917.595900864,169757.391571175,168527.647110698,156981.699693435,149684.361371993,148960.780665286,154444.692515603,152831.304473598,146072.221989765,160328.52255444,175037.94169213,164319.251155144,149101.773720467,154752.96227218,140296.577606565,146354.928132928,144450.882440849,142718.557623687,153627.333641869,184989.27186463,150390.643913061,147510.831779917
"6",84.125,27.425,70916.2384532041,146985.693000369,150952.033619463,150097.600497352,174175.998978561,173293.016120115,160261.305122425,172680.664246933,166141.616608214,176297.726046549,152870.081745926,154998.112741402,178345.61717964,174837.698339576,166284.342094941,111917.704212574,156192.578425839,167472.933961405,164211.294371671,153759.364482397,165872.698592152,182830.06551654,172012.523999049,156257.314937631,165551.318372466,150796.220909916,152825.905965294,150268.807045939,149727.874968243,161090.91229018,195060.715412818,157705.950034279,154567.380981086
"7",84.175,27.425,71961.9687378346,145759.200625876,150971.765622109,158614.020933044,170518.24322029,170818.505035794,177042.736764199,172068.926108364,164001.408824626,173478.232500268,152703.19762902,157473.696181276,178811.955264548,176878.661490662,162591.093006113,89017.7549265001,153895.151748413,166936.964106996,169628.115120332,154170.840721656,166979.676686706,179453.514222606,175111.495989976,157055.829712723,164496.356145124,152233.212151364,153387.081068315,150830.369992747,150072.628517035,159822.19498896,195053.459210602,158271.694916828,154731.837696455
"8",84.225,27.425,81477.1826790122,159612.441941517,165992.815729731,161688.35473205,181749.188979892,183974.751540622,176309.515209901,174866.486179652,180060.27127981,178112.190663859,152060.583399042,159345.298011456,180926.081207847,180151.538123405,173852.274509058,108536.634799601,165849.121486336,167897.316051195,179441.872919197,153308.948088052,169848.34841607,180903.134973145,176688.657455585,163663.683118564,165342.563612638,153048.463242311,157319.513526715,165847.647525041,173701.058007875,177457.109402524,199061.149621005,158673.064256809,154936.044796094
"9",84.275,27.425,79129.5209647361,174313.79096329,154141.502980401,141029.820263027,163745.431735086,154378.489418691,166097.431932002,152867.72630052,168789.209543184,164566.330278182,143140.690237041,146708.752350292,166127.979699764,165256.049866321,164550.417512514,104482.768748372,148982.302044555,155241.466263541,154399.798814006,141873.985985098,154451.831150174,162980.125711058,162627.577845048,139151.099819777,152025.132198531,140955.691364187,142631.092265458,161887.110639055,146739.054476842,160457.022234794,182014.854643864,147874.639026551,143960.586264193
"10",83.925,27.375,65884.3006659415,169405.869421027,145677.753033997,149548.451724275,167535.236429719,158406.555456913,172709.791421026,163358.069428772,152189.965016031,164427.203424165,147042.680928058,155119.014520801,173078.055227168,165103.668699945,159287.271633425,175430.717329838,147086.678805532,153138.577680141,156374.26190339,150072.088255793,166807.805740684,172840.519258622,166729.366012662,151970.718787324,151000.923164489,138829.871474934,130168.574775624,156488.264629869,152296.344488495,165719.919813818,183008.143980204,153512.603221588,150312.551877932
"11",83.975,27.375,66089.0387096646,168247.122539629,144839.5624827,145149.040584625,165026.769126014,159166.491736977,167058.611642833,164087.413961412,152318.70763401,166178.141263559,139529.981951714,148672.641942256,169448.551691316,164521.948966999,157044.930278959,176225.520237528,139975.17733452,152754.352981616,149264.040573488,147827.416168837,162633.348121223,171944.721600733,165774.137406874,148566.073581622,148900.587817317,136572.221998015,125422.065227241,153005.961099093,145599.814469123,164017.010883267,181719.445482701,151414.434528696,148185.517346105
"12",84.025,27.375,60531.8826300709,160332.822562201,139711.387696788,138307.342323432,155417.12148322,155827.65153167,159284.815531676,157637.306038973,154126.444825971,161682.223957211,138573.63963531,139572.304367158,165660.104899099,155479.885307237,149136.281826428,169718.362759442,132145.353391373,143620.837734785,142989.625704177,140608.061010504,155640.75283513,162332.381106581,154326.965378228,141044.445496943,142992.181641211,128996.236083786,128106.864676813,144252.305340508,146099.077209997,155904.007695599,171958.827046373,144097.661694514,141863.428034316
"13",84.075,27.375,63813.9733805743,165298.204152036,148367.73837137,142355.01754233,163422.185040104,160617.783019869,148926.033004347,159674.108561889,160836.183169942,163644.007879931,141019.92355034,140414.164734108,170676.813634179,158225.631811257,150454.900180257,171483.567766787,140204.568321834,150464.09677129,152476.092329884,141506.524534028,155540.528217745,167846.496166446,159442.259458013,140214.162892603,148873.411567339,134128.184672428,142215.130165051,140270.614778019,145295.704822897,155078.615995069,175567.379823654,141111.088114187,139091.385123639
"14",84.125,27.375,67210.655069237,174176.504981426,152783.239588514,141027.724557159,167151.878020194,163204.735920264,150366.895896609,162576.273671259,161762.474304521,164622.706373966,140436.256479368,143176.949864896,173572.278425774,161469.061301717,152279.350334437,174499.459894382,144275.717113377,152085.539216266,159971.211799339,148360.283632328,153694.848546888,170428.719106563,161337.158215386,144157.856932848,155503.162953267,138637.491799237,143182.900036086,143772.351293601,143525.639858386,156155.533792968,180594.889482619,143163.407035005,145430.871679752
"15",84.175,27.375,68950.3448106822,171097.53761067,151224.153065986,149624.095602732,169746.905005825,162201.401114725,156546.453001251,163468.342305545,160380.088543872,165539.802039286,141984.257901335,143554.837908884,175001.424309246,167640.284394429,157912.570560963,170486.326826077,146035.761942226,155266.742029568,162885.857416266,150778.672704898,156256.931919748,172174.662945233,161782.226191774,144507.873719786,160100.128085469,145528.414623327,144895.17390076,143286.71885036,142821.257699184,157008.477516358,184983.586659069,144948.884475144,147944.406875204
"16",84.225,27.375,68554.6151880908,169328.356941407,149514.553877276,149446.31219155,170566.314675996,161824.550323812,151796.643171955,162115.500871697,164087.461470387,166185.027813376,144510.177650119,143919.712658389,172747.257615817,174717.336585363,162002.890318063,157730.838721799,144714.376588521,155467.932269998,162564.326632463,146401.396675097,156479.168720555,172174.027980752,162927.326686192,145067.05074659,159496.977422131,143979.024813263,143399.35430048,142929.587922554,142906.624300774,156389.605703408,183606.086752452,145264.852490543,148681.095890974
