"","x","y","layer.1","layer.2","layer.3","layer.4","layer.5","layer.6","layer.7","layer.8","layer.9","layer.10","layer.11","layer.12","layer.13","layer.14","layer.15","layer.16","layer.17","layer.18","layer.19","layer.20","layer.21","layer.22","layer.23","layer.24","layer.25","layer.26","layer.27","layer.28","layer.29","layer.30","layer.31","layer.32","layer.33"
"1",84.125,27.475,124775.973399356,113288.463058866,100683.157684262,93078.4791413971,88558.2457353124,104086.864766583,99676.5886102489,97043.1178901321,92397.7986368499,100442.256447119,86636.3143129051,82252.5179696216,96583.0835978457,91406.2702270889,96115.7306757394,109626.731238243,82180.4865312536,90403.7637532144,93608.8434100887,99573.7214966755,93244.3851620489,91087.9138038256,88538.4187372473,90840.6099390674,97206.6400076701,81864.9500127414,77439.1544693522,97485.1034372002,107696.162569638,93231.0191427256,117209.562199382,97849.9959184769,86158.4778593303
"2",83.925,27.425,124172.92809581,105629.512125147,97407.3765328691,96554.1206236829,85040.8415850371,102833.208953835,92655.3559297562,97568.0604599693,94260.865050492,101098.732162742,82617.4311663803,81332.7480570548,94466.5957123477,85856.9811665337,87657.1092400113,86961.1100406655,75424.4001666028,88701.5104702284,87911.4539200709,96767.4925526566,93028.7373065907,89173.6729822454,90409.822873135,90884.9208697135,96694.2331592398,76387.9481772371,74494.3430287631,88596.2428379802,75857.7703015046,96049.3678443414,110953.109738089,96939.1508047536,86789.7738444786
"3",83.975,27.425,120508.625445783,112853.169711938,99396.9743262123,97313.5832714915,86744.2412579094,106557.157772024,93461.9002509325,98536.9514037111,94153.4817718955,105320.556209502,81090.5299980702,81335.2800148791,96031.9875304164,90200.5905913137,88508.0825934259,91507.3060662743,80439.206317013,90504.2564114256,89618.1168974235,97838.0800196156,93502.6326469658,90517.9098185991,86371.6830128125,91676.1032168895,98016.7984855155,77565.9866486549,76348.7753867243,91934.1848416501,84892.6072247694,96246.3614435315,115707.997611384,98149.1432771908,87730.5840825185
"4",84.025,27.425,123609.029460363,113492.852723904,97741.8316056245,97041.4554656668,85989.78653237,100221.122249488,98023.084902597,98285.1082470928,91164.3125924049,104378.911674454,81408.0806678286,78863.9441814025,95607.2685312624,88976.9416800152,88597.2343711519,91772.1043606624,78013.4203018832,89008.2032121776,87387.0474890275,96979.9984089421,92011.1109624243,90226.3721813318,85266.6338683064,90639.5566735492,94670.9981158066,78806.8443901302,73501.7601008163,96784.1514036889,98968.0965369473,92840.6838901418,116969.904044663,96403.4631613973,86829.424046692
"5",84.075,27.425,119773.650953799,112334.000260701,96467.6009785973,95828.9501315488,86194.9983457668,99469.5993880459,95906.228322668,96432.3581534594,86991.3493877325,103369.276727156,81076.9495279062,78188.9654098894,94987.2181307229,88863.5582568039,89279.7949558012,100328.067223572,76987.6170241151,88584.0431864627,86643.5792866934,95655.4242692684,92511.9908328584,88645.5983546295,84994.2095503167,89300.2589061531,93859.1384155034,80830.2435692814,73395.9363451219,96221.2892993434,105375.142545294,91187.7552200332,116136.131470952,95927.9781274429,84153.5080832801
"6",84.125,27.425,127780.545216115,117904.698202609,102184.334883454,101009.293024856,89736.0413487489,105892.72943543,106709.73075432,101212.348061231,92150.3182964633,104570.716191957,85134.4834194825,82348.9921588664,100847.529858497,93157.9653038401,94758.2669510068,109009.408449705,78576.0843736121,94255.7158125648,91764.1278701936,100916.087217042,95945.5636018123,94020.8001640846,90739.9210353428,92742.2194708247,99648.4479058993,84750.0991469109,78178.5354041962,103414.566641485,111705.379757465,96202.2200343404,123511.410909303,101735.376430526,88715.7446302525
"7",84.175,27.425,128514.1019981,119618.575169489,102664.796891332,101855.068709225,90478.4019428376,108643.449572763,102621.474533459,101088.499192209,93309.0037266133,105127.89987442,85408.4536042906,82534.7225953952,101333.664766988,93397.9896325217,96936.6475425807,109302.315415502,78206.4386000202,93710.4049351688,92097.3278922114,101674.291548804,93468.5953720115,95471.0064978837,90900.1840401261,93679.719523042,99849.8252290438,85649.3702034739,79343.7283643731,104505.889346883,113988.556017154,96529.9080486308,125201.766864813,102216.888902223,89703.5399204968
"8",84.225,27.425,131862.163085953,122152.024979025,106135.886265322,105351.036394744,92348.9940145823,112395.500998648,105488.89362639,103430.145806737,97474.0413804518,106656.006693366,88908.4617218099,85786.9081477452,105361.885639646,96867.3474101216,97581.8059346562,115071.946509893,83056.9287378134,97203.4405675235,97779.8265196006,104275.369345514,97207.2615939794,97430.4455375687,96043.4164321794,95767.5962842072,103515.718998558,87314.8997385597,81776.8603563483,107077.794470731,116231.594871135,100115.597247718,126854.600938218,106078.675642388,91954.8064407311
"9",84.275,27.425,112379.917768273,107025.734688886,94503.9780992023,92277.7712648924,81769.2067769771,91323.0772282116,92858.517512426,91597.3486973035,86118.7202751287,89407.2576069108,69588.9531711013,75921.9025772114,92538.1193636062,80618.9538494642,92055.3027096214,95533.8813098176,76655.373513962,85714.1127626365,84907.6325996141,92081.2999967224,83176.5868532048,86847.7105938187,82696.7755097261,83989.2015923878,90506.0840749584,76593.7380128948,70805.54786643,92560.7645076067,99658.0844220143,83825.3911166599,114568.547208719,87709.2908310092,79877.8896944499
"10",83.925,27.375,121734.725306883,114220.215905466,100458.097702101,95659.3005822323,84260.5179694758,110232.963825251,98431.6083798159,96623.0803715898,87232.8424603301,103182.244195059,82098.8690481107,77872.910883344,92446.4186850131,87799.2361899833,87145.7168149597,86216.5944546228,71899.0672189195,87467.3598310391,85754.2516876892,97344.7322407246,89585.3799131132,91266.5423816324,88756.4677709096,90837.7358522619,93696.9191280415,76645.862374715,72268.7786841074,86465.4341584816,73832.5115467786,96521.5915774042,112589.709272449,97695.5791207237,89537.9668626229
