"","x","y","layer.1","layer.2","layer.3","layer.4","layer.5","layer.6","layer.7","layer.8","layer.9","layer.10","layer.11","layer.12","layer.13","layer.14","layer.15","layer.16","layer.17","layer.18","layer.19","layer.20","layer.21","layer.22","layer.23","layer.24","layer.25","layer.26","layer.27","layer.28","layer.29","layer.30","layer.31","layer.32","layer.33"
"1",84.125,27.475,152821.093028262,136704.942551053,120617.997772153,112302.639297647,106834.205207969,123728.584737286,123191.508043843,115675.637421382,111133.878959116,118498.336769385,104546.314312905,99164.757959856,115868.523050971,108320.390100136,116522.529992146,133891.811804649,98965.3266191443,107387.123128214,111657.363917901,116491.321594332,108430.825591736,109843.713364372,104014.578405216,112545.050857036,113405.320427592,100387.829651413,94300.0748795084,116064.823896185,128623.08151495,112376.258400538,136921.401798991,114443.715400899,102545.677566362
"2",83.925,27.425,152510.967646591,127454.350992334,118200.696845369,115611.601092433,103464.841829178,127394.129363992,116146.596164131,115681.700596688,113680.144835648,126374.811264305,111042.592299193,98902.027842211,114133.675790473,108257.982143096,109777.748888449,109352.069513322,91093.5200396497,106468.110812025,106055.77398843,114661.452513594,108798.697023388,108854.07337287,105626.142453213,113151.161104089,113158.632573302,100612.867610831,91382.5034291537,105318.802652433,98673.8103405671,114478.767258404,130871.630245901,113324.031175847,103070.253580807
"3",83.975,27.425,145173.945270002,131797.129672875,116350.0944434,112952.543232429,101636.080857519,122305.757625539,113186.180036089,112358.031725977,108371.001303145,122014.516170439,103948.288787133,94251.4006203478,112518.427960104,103653.390884282,107370.963452801,110069.305577993,91175.3269224818,103930.456362598,103217.317336877,111368.160586022,105387.632646966,105629.789701412,98107.0431202344,109414.903265718,109763.918846844,97290.0271759987,89044.6152304743,103894.385036963,104654.806931801,111070.841424,132455.59770904,110212.022915863,100309.143652831
"4",84.025,27.425,150120.150065831,135017.174012966,117433.151185703,115810.495993011,103535.387118308,119571.921810035,120849.845156503,114989.668793968,109110.433197874,122232.711723282,102494.721292829,95234.9439372618,114646.509253919,105386.341094078,109622.754390683,113675.744497381,92757.1397843051,105764.603358662,104975.807254652,113394.998408942,106700.910767112,108549.052845394,99346.2334776814,111633.997591518,111053.278389244,100162.845366693,90134.2405695663,113393.230993533,118377.657083822,110629.803763189,136298.744376694,112610.262477804,102115.223607239
"5",84.075,27.425,148087.772047549,135321.160905232,116908.400539144,115229.870541705,105041.518121157,119732.118919296,115127.387990637,114607.797606584,105806.14919242,122204.677117781,102923.109195875,95178.3648239519,114616.578482285,106044.798491179,111097.075229239,119079.746911072,94012.4571120057,105793.603733338,104952.298769115,113044.184034893,108093.910998874,107648.637905411,100424.92976516,111052.058222559,110999.658435035,99603.6835106876,90850.4566087938,114789.609611843,126963.101529669,110359.594819643,136102.211793217,112727.338479005,100617.387477811
"6",84.125,27.425,156110.90654424,140851.817343234,122362.054610017,120508.21270259,108580.241788202,125675.169620977,126432.371135179,119460.548744824,111092.238462479,123592.156621644,106740.003439014,99608.2316608195,120184.369458107,110352.925020637,116723.027693194,132659.80884033,95671.3248521278,111538.676017643,110014.407411209,118311.607236574,111470.483035406,112925.160515647,106405.240859562,114467.739490356,116678.567534806,104130.25905902,95525.1760291962,122071.246328985,133347.059444965,115379.539370278,142980.411153444,118481.696010605,105534.544679081
"7",84.175,27.425,157020.461861381,142565.455052301,123324.63575852,121392.788435788,109873.64120065,128291.56968995,121574.114914319,120445.498703928,111855.243960988,124403.899630279,106975.814444134,99884.6823121921,120859.824434957,110607.589241897,117698.207601174,132824.954575658,96220.8380140827,111144.844632434,110712.447521118,118888.170943335,109241.915684512,114182.485990071,106570.424518642,115492.280558198,116732.544955606,105083.449793318,96971.6482862481,123163.049991414,135109.876817935,115700.90780449,144735.607196844,119372.728745973,106061.540408778
"8",84.225,27.425,157242.163085953,141825.384354025,124049.166294619,122137.036150603,108955.793330989,129390.300803336,126845.934642015,119600.226373143,112505.481810139,123286.126322272,107382.341116341,99729.1481379795,122287.005268552,110441.107175747,115177.965602625,136056.74631458,96273.2886010947,111249.280411274,112508.226177804,118323.089072076,109029.580929917,113486.566143037,107966.056813039,114451.556245145,116781.439213402,104044.579914341,95704.4201708014,122257.674841825,134343.154929729,115400.917071936,144127.201035875,119429.436140435,106111.046675106
"9",84.275,27.425,148436.038373741,131753.97443498,116208.697337484,113409.690210205,102199.166493774,114455.07673993,119622.638606176,112542.309634804,106486.239806379,115639.25711863,99764.0337375076,94485.8222549458,113284.559793294,105088.514396339,114111.342748684,127854.000938724,96745.2538850557,105049.713348574,105181.23245313,110536.019235004,101359.787536799,107678.589500069,100015.535275351,107742.602471294,109127.524504646,98301.8190675823,90443.5080715081,119674.963726357,128557.964793108,109343.831058066,135846.786954813,111619.410459915,98692.7700655437
"10",83.925,27.375,150823.245814696,138468.814538278,122076.576706007,115040.980269732,103760.43740307,130988.522907282,117532.407940363,116629.280322762,106391.362968143,122992.203911856,110303.988677017,96488.8703560002,112709.818343216,106363.996932171,109775.516619647,104944.554659701,89492.4265939195,105752.359831039,105109.571511908,116243.611635256,107054.060333035,111458.222069132,105435.668210363,113484.095715543,111785.678893666,100727.822823934,90155.8184790292,104598.594558872,97818.0730702161,115082.791528576,133218.58866698,115011.738788692,106259.686833326
