"","x","y","layer.1","layer.2","layer.3","layer.4","layer.5","layer.6","layer.7","layer.8","layer.9","layer.10","layer.11","layer.12","layer.13","layer.14","layer.15","layer.16","layer.17","layer.18","layer.19","layer.20","layer.21","layer.22","layer.23","layer.24","layer.25","layer.26","layer.27","layer.28","layer.29","layer.30","layer.31","layer.32","layer.33"
"1",84.125,27.475,126419.780454863,125862.580974653,110285.300597537,87457.3054308656,95687.800171046,119429.782304328,117957.035651889,112884.092398036,108683.884327825,115508.116687303,91962.0720068957,80043.4659840389,80260.7767180576,100372.566992721,111245.277479061,122418.541553355,94953.6759652744,91362.7177889574,71967.7370410783,68811.2757916134,92046.5195156044,91820.5408736305,104428.034483,95851.048945368,86782.5872566929,74914.2021199516,90335.4492297776,114053.365680947,123217.838422416,106487.980209509,133029.288642975,114645.253786763,75526.1579036567
"2",83.925,27.425,125400.157857326,123217.108068952,94925.7820285179,86494.9242890197,92456.4011648742,123253.019132278,110512.214726223,111986.959943634,108198.789397625,121710.900280753,97892.5786107607,87492.0501383049,86179.051353066,99396.9427505714,91008.487113965,88074.1145190026,73872.7163370953,93195.1104458503,67517.403599419,56152.9405432219,87338.4996836391,94528.1151764377,100861.961454439,96608.8760799144,77984.8454904435,68681.8994711899,67047.9868622705,93977.0009156873,85935.4079585169,107202.2755865,123345.722344424,113254.145997998,75249.4229645001
"3",83.975,27.425,124535.180755348,129629.36176073,95670.8491766822,80725.0316981956,91390.9593494759,116432.656089855,107233.480237406,108981.000763407,104130.473763016,116478.638029549,91962.3879363434,80646.5475696049,75517.1685287611,89842.8950577904,86856.2542955098,97975.4553755212,76812.7343474163,87273.8262341535,68791.4956596403,64502.200361383,87453.9019523932,88779.8729506255,95405.8842103382,92002.0820215822,76032.6455345143,67491.8165347648,69829.0785969866,99807.1057021717,97628.126023799,104841.385711856,121929.536400838,108184.550437296,73553.8472944298
"4",84.025,27.425,126728.448738207,125929.664895738,99980.0787797375,69017.0433622128,94189.027491465,116504.212716398,110561.711886116,112074.475819266,103354.310801519,118227.996488515,88895.8052059977,76920.6442182414,74235.5589716613,92331.5384945657,91903.2763397398,101820.865885312,77848.9041260685,85751.6670423324,74470.7695426681,73911.9222976584,98187.4574229688,90994.6737396808,97098.6714793318,93514.0802044139,75718.4214083829,67073.920869281,72047.2454960936,106323.818759314,109364.106793209,109090.602315989,126156.062052323,110928.851638907,72926.0303506474
"5",84.075,27.425,124572.012980717,124048.55088736,99879.9245609648,73233.7140775477,95157.5353723202,116379.956222745,110533.152360895,111419.396415229,103229.588026647,117970.704165934,79054.8267954435,75577.5594804192,74008.6132085508,92494.6403537591,91328.2573998026,108574.388507207,80837.7697142188,86164.4471991581,73163.5367656172,74567.8441219906,97067.1877725901,89050.0281886094,102169.548221018,93238.4334810785,79009.8459923117,73489.3498820331,80426.8342517989,110330.392673571,121595.703999841,105164.274169887,128213.361985009,111293.20960132,74240.8668646263
"6",84.125,27.425,134330.75674085,131521.393582836,104906.410170555,86131.5863103425,97902.7460673089,122014.758996834,116228.782115891,117149.266687211,104710.433322913,117807.470463498,86706.9151700967,74632.0582463382,80500.9084139869,101136.102576748,95899.5077652308,124842.589866191,84326.9897069025,95820.5362000877,73476.7325112863,75788.4181013744,91232.5074202933,93641.8347041101,106978.098804089,97426.8245301527,92952.6570499727,77341.7791966377,87180.1667406832,118374.340966151,127743.56732441,110022.828907025,134462.765730212,117159.708449355,78255.5088450723
"7",84.175,27.425,135103.318014182,132973.496247,105242.741841282,92972.4475797158,99073.6371486413,130846.046465147,116952.35118507,117128.350105206,105320.189178352,118467.995759777,85108.0962995032,73935.1063389296,80679.2364583361,101091.913486804,97644.6254118413,128894.556359092,85291.9861861203,98676.3523170614,71279.2540382605,70008.9366974689,92153.5659684312,94265.3538135375,107366.211075437,97441.3809414906,91397.547627238,75163.6889792035,86851.6400609928,119405.436703232,129500.729744085,110258.759669677,136125.138337112,117878.560862121,77888.6207027689
"8",84.225,27.425,137747.651904569,138121.843413346,102459.405329615,90764.9752586423,98632.9764894795,125473.107980314,116010.647915731,118793.69198415,106118.232364799,115716.179008909,81244.1855211232,77198.5825567337,83542.8853652033,100315.108273006,105868.08963068,127708.656321826,87534.1900775722,98899.0255880209,72546.5205604791,68819.3876074495,92405.1009681122,93808.3004080795,107633.20682835,97950.712005006,91928.8422762688,74613.4425302097,91433.9380329151,119757.220437263,128252.526125938,109353.710466683,135122.115763321,117671.131436854,78474.9883750922
"9",84.275,27.425,104790.090252485,117611.162206673,100315.297426925,69745.7842794331,92414.3851811321,102940.49730508,107574.251684247,109662.920318977,101991.625855739,107460.210757114,74853.4677230603,70030.8776236335,74747.9848858186,95842.2196289089,97364.696320338,118212.523128045,89285.6763979397,88541.6761256578,63689.0507887533,56641.4097092825,80567.87312193,86400.3663504575,98874.8961802951,89390.4698212547,87829.8512581941,72272.698854804,83742.2160165488,111220.458392633,110961.607260898,103521.761075391,126183.970966086,111751.435567092,70432.3560746835
"10",83.925,27.375,122976.771213856,124269.195628971,96961.4477745371,84959.6009914459,92602.2594757835,123943.175923002,112261.89068682,115524.49003513,101558.902900837,121123.561024486,98488.9746870229,83044.092994589,87637.5740738978,96805.8264578218,82641.3463560655,88765.8777078997,70424.0384916764,91285.9142044647,65970.6183899367,66595.1452952341,92967.0213250102,101600.695388911,102308.113308653,97135.0188400707,76091.6660382936,65629.664867892,62501.4257273116,93497.2784514431,86401.9408810374,108659.756186736,126679.229392932,112539.581156,74848.6882211892
