"","x","y","layer.1","layer.2","layer.3","layer.4","layer.5","layer.6","layer.7","layer.8","layer.9","layer.10","layer.11","layer.12","layer.13","layer.14","layer.15","layer.16","layer.17","layer.18","layer.19","layer.20","layer.21","layer.22","layer.23","layer.24","layer.25","layer.26","layer.27","layer.28","layer.29","layer.30","layer.31","layer.32","layer.33"
"1",84.125,27.475,144493.659849394,134448.461101607,111943.580626834,91638.1455797914,99795.1600953624,122020.862321418,122135.275703159,115947.212515223,110147.844288762,119032.676623827,95953.431870177,82859.0259815975,85444.2166594638,104390.04685112,114217.357557186,130902.341602183,97459.0758981358,93585.3578646409,74431.2570911272,71679.5158428829,93939.27952537,95788.4607955055,106580.19451718,100792.808894098,89911.6271736851,77897.9222127251,92766.2892261154,116141.245624795,126226.398297904,109661.980148473,137523.568733307,116022.253756246,80505.7178401801
"2",83.925,27.425,149393.878560451,127692.468176374,100557.542282424,91422.2842133361,97235.4410818664,126377.939176223,115845.694950832,115264.919843536,111374.869414715,125637.220166007,107910.218381269,91255.4900797111,91584.8112407613,104457.262879966,96586.8068161135,97726.8745287682,76846.4364298687,96437.990389698,71190.6436506886,60198.7806921477,90051.659778854,99620.9951202853,104480.441373873,102392.715801594,82785.8055734513,72340.2994345688,71618.9469452783,96993.8807984998,90693.8079218958,110938.155713453,129033.202202822,115543.145936963,81141.5829986798
"3",83.975,27.425,146774.580169411,134077.721746081,100396.169306077,85962.4316005393,95982.7192982063,119525.256187511,112701.280530374,111978.400665751,106881.473824051,119918.038053963,101915.348141421,83759.0274280033,80670.0487777846,94244.8552018334,91899.33443467,102986.93547806,79479.894381596,89938.3461926496,72483.0956962614,68642.4002515197,90155.9420524908,93118.113001895,98292.0441834827,97341.7219141603,80361.2856712331,70636.5766666008,73305.5187214983,102399.505604515,102361.165879756,109147.865814395,127462.976342245,110246.910361613,79222.6070600548
"4",84.025,27.425,146353.287605394,135651.344583238,102338.95878462,73639.1234403378,98096.3074597267,120467.292855559,115507.592013069,114615.075794852,105685.710795415,121660.356412832,93542.045135197,80076.8441694133,79029.4389765441,96331.6584286478,96449.2364227476,106271.186014707,80215.8241394962,88082.107105809,77033.4096183517,77480.8422805686,100824.617457149,94988.6337006183,99733.7114573591,98411.4801067576,79840.7813326993,71163.2809156677,74789.0454228514,108752.618808142,113484.146771236,112989.162191477,131209.581949784,112770.011612052,78251.2305459599
"5",84.075,27.425,143333.773234623,133010.950789704,102022.604614676,77555.9140897548,98870.7754235898,120309.556137296,114992.632341363,114144.676566597,105165.827955847,121302.424136637,86948.2270639982,78175.6795976067,79130.8531987851,96283.7202487787,95618.3373558572,112729.788592656,82999.7696837013,88481.2071478886,75476.8567729414,77752.4440365413,99144.4277628245,93067.1882227891,104516.628146555,98146.3134249262,82812.9261314718,76397.2698039081,83398.8743518966,112640.512607653,124881.704060876,108749.154235805,132903.561875146,112794.409552492,79385.4268011497
"6",84.125,27.425,152899.716701787,140405.033719555,106747.330122948,90387.2262639558,101978.746128344,125391.03890406,120693.782115891,119320.026727494,106822.993289954,121588.710392697,90610.3151334756,77670.8982731937,85521.908475022,105112.182593837,100428.14790195,128984.229880839,86569.2696751643,98125.2162232811,76493.8525674387,79248.4181013744,93491.5073592581,97565.834643075,109630.258838269,102346.144598512,96221.6170109102,79614.1391209541,89575.3667834078,120835.901024744,131068.167238961,113651.388782513,138974.56565697,118522.788435927,83311.2287547402
"7",84.175,27.425,153662.197408714,141909.135895438,107163.541859593,97450.3275235634,103518.597170614,132915.206468809,121326.511036144,120561.949958722,107469.9491576,122339.155732922,89168.9764264563,77023.4263462538,85685.6366048205,105139.27341112,101317.665267798,133263.436363975,87689.4661971066,101242.99233171,74102.1339821081,73209.7768463947,94227.805928148,98152.5138477172,109937.01094116,102383.381063561,94643.1875808513,77591.6490316937,90072.6801000553,121886.236721542,132749.929878362,113916.55965747,140705.658356643,119268.520884094,82904.3406124368
"8",84.225,27.425,158535.532763944,142076.203459733,106770.16521731,95689.1753929196,103289.296374733,128223.588021818,121101.607998739,122748.01205251,108521.832370902,120665.579033323,89710.7052965139,80062.9426031204,89168.9650771173,104656.548397518,109226.249725895,132706.256419482,90341.0699603847,101766.465468392,75524.20061419,72133.9475439729,94727.0609595673,98020.6603323959,110676.166728252,103206.952239381,95493.2822787102,77753.4825082371,94908.8580768605,122647.060525154,132179.566226036,113598.190447152,140120.155619278,119177.331388026,83961.6283897407
"9",84.275,27.425,140331.052166547,128469.602148079,102924.337343917,75558.9440694722,97562.7854496868,116002.657949611,118925.332006512,113252.160431281,104804.825928981,113175.210757114,85686.7880355603,73827.2374869147,80748.0648418733,101594.219750979,108877.696808619,127816.202937615,93301.6764589748,92575.3562404039,67538.8109205893,60845.5295823294,83740.7530657776,91739.8060477231,102717.736146115,96038.7498505516,91849.8512581941,76101.0188621282,88261.2159555136,114925.378436578,122460.166831211,107769.200955762,132004.531268821,113843.475514602,76874.0760453867
"10",83.925,27.375,141284.691135731,134052.795482487,100205.207845338,89300.4411403717,96673.4594269553,126449.255940092,116768.730591605,119043.529952122,103980.142830036,124334.001087962,107175.414506359,86487.012916464,92329.0141984095,101287.586406552,87291.6265074327,93121.9177469622,72646.798501442,93568.8742569549,69206.138409468,70036.6253977731,95652.381432432,106174.335525629,105328.673306211,102117.058940168,80370.6259992311,68428.184765353,66220.8257517257,95888.5183806423,90487.620812678,111547.116111052,131561.349449084,114347.061166986,80064.4883920876
