,CellID,CompID,BaseID,CompYield_Mean,CompYield_SD,CompYield_CV,CompYield_Max,CompYield_Min,CompCropFailureProb,CompMinPropSOSDBase,BaseYield_Mean,BaseYield_SD,BaseYield_CV,BaseYield_Max,BaseYield_Min,BaseCropFailureProb,BaseMinPropSOSDComp,Diff_Mean_CompBase,Diff_SD_CompBase,Diff_CV_CompBase,Diff_CropFailureProbCompBase,MinProp_CompSOSDBase_Divdbaseyield,MinProp_BaseSOSDComp_Divdbaseyield,Riskiness_Comp,RiceArea
1,1,1,1,4483.233324,3650.782065,0.814318997,8490.900391,0,0.363636364,2086.366659,2417.154534,633.0706385,0.261907391,5662,1785.300049,0,-2066.078792,2066.078791,3017.711426,0.552411606,0.363636364,0.863149885,-0.854756601,0,1
2,2,1,1,4433.778801,3614.401053,0.815196521,8434.900391,0,0.363636364,2077.483327,2376.478793,482.2465919,0.202924845,4674.600098,1777.5,0,-2057.300012,2057.300008,3132.154461,0.612271675,0.363636364,0.874185511,-0.865692561,0,1
3,3,1,1,4630.493954,3491.969612,0.754124646,8171.399902,0,0.303030303,2079.410026,2471.015155,845.1971044,0.342044484,6833.899902,1881.099976,0,-2185.165641,2159.478799,2646.772508,0.412080161,0.303030303,0.841520548,-0.884318996,0,1
4,4,1,1,4159.784842,3577.287496,0.859969357,8255.299805,0,0.363636364,2041.40002,2397.68487,816.9480613,0.3407237,6757.600098,1868.5,0,-1770.362485,1762.099972,2760.339435,0.519245657,0.363636364,0.851404638,-0.738363288,0,1
5,5,1,1,4704.112123,3550.199516,0.754701296,8930.700195,0,0.303030303,2042.350025,2412.251509,802.6737882,0.332748797,6679.799805,1818.599976,0,-2293.140621,2291.860614,2747.525728,0.421952499,0.303030303,0.846657165,-0.950622525,0,1
6,6,1,1,5208.312147,3370.426461,0.647124513,8483.799805,0,0.242424242,2042.874959,2417.654523,795.4270236,0.329007729,6661.700195,1808.699951,0,-2820.925063,2790.657624,2574.999438,0.318116784,0.242424242,0.844982168,-1.166802385,0,1
7,7,1,1,4797.245465,3561.803391,0.742468447,8731.400391,0,0.333333333,2056.772754,2413.418176,830.0312592,0.343923514,6863.299805,1797.900024,0,-2399.943752,2383.827289,2731.772132,0.398544933,0.333333333,0.852223943,-0.994416872,0,1
8,8,1,1,4560.47273,3636.122953,0.797312728,8670.400391,0,0.363636364,2041.1667,2380.818193,828.5111049,0.347994277,6853.100098,1790.800049,0,-2190.978113,2179.654537,2807.611848,0.449318451,0.363636364,0.857338333,-0.920262673,0,1
9,9,1,1,4285.739413,3686.982663,0.860290911,9139,0,0.393939394,2053.830776,2374.12122,825.1845011,0.347574713,6838.5,1778.5,0,-1911.618198,1911.618194,2861.798162,0.512716198,0.393939394,0.865090948,-0.805189803,0,1
10,10,1,1,4401.581828,3567.757702,0.810562621,8186.299805,0,0.363636364,2031.083337,2361.306056,810.6164281,0.343291555,6737.5,1776.099976,0,-2058.759402,2040.275772,2757.141274,0.467271066,0.363636364,0.860152513,-0.871873172,0,1
11,11,1,1,4476.3121,3640.34458,0.813246373,8577.599609,0,0.363636364,2021.324995,2390.033329,813.8711551,0.340527115,6726.399902,1761.800049,0,-2093.624998,2086.278772,2826.473425,0.472719258,0.363636364,0.845730882,-0.875981507,0,1
12,12,1,1,4304.206055,3581.347824,0.832057708,8270.299805,0,0.393939394,2084.869228,2621.427272,1030.18613,0.392986729,6941.799805,1844.699951,0,-1693.849999,1682.778783,2551.161693,0.439070978,0.393939394,0.795318356,-0.646155633,0,1
13,13,1,1,4598.718158,3439.057466,0.747829579,8588.299805,0,0.333333333,2064.327272,2595.25152,978.1333648,0.376893475,6931.200195,1938.199951,0,-2014.290614,2003.466638,2460.924101,0.370936104,0.333333333,0.795424742,-0.776144662,0,1
14,14,1,1,4700.699973,3376.286436,0.718251847,8521.700195,0,0.272727273,2042.188914,2599.663641,1012.453885,0.389455724,6913,1934.199951,0,-2116.42184,2101.036333,2363.832551,0.328796123,0.272727273,0.785558901,-0.814113721,0,1
15,15,1,1,4546.233295,3496.573613,0.769114426,8178.799805,0,0.333333333,2043.981826,2520.312115,984.5519707,0.390646843,6823.899902,1897.699951,0,-2046.890596,2025.92118,2512.021642,0.378467584,0.333333333,0.811003452,-0.812157583,0,1
16,16,1,1,4832.963638,3423.504428,0.708365443,8798.900391,0,0.303030303,2065.289993,2543.951512,968.5814903,0.380738975,6801.200195,2005.800049,0,-2298.115624,2289.012126,2454.922938,0.327626468,0.303030303,0.811843301,-0.903364554,0,1
17,17,1,1,4586.715184,3593.082404,0.783367238,8820.200195,0,0.363636364,2086.799984,2557.845463,960.5110888,0.375515684,6789.5,1995.300049,0,-2028.869724,2028.869721,2632.571316,0.407851554,0.363636364,0.81584287,-0.793194801,0,1
18,18,1,1,4356.890906,3594.248683,0.824957237,8411.099609,0,0.393939394,2073.538473,2561.996978,966.2445387,0.377145074,6766.299805,1977.400024,0,-1799.584376,1794.893928,2628.004144,0.447812163,0.393939394,0.809344621,-0.702414715,0,1
19,19,1,1,4305.781812,3680.413898,0.854760891,9544.900391,0,0.393939394,2067.969205,2429.945453,863.2345538,0.355248531,6676.399902,1880.599976,0,-1875.836364,1875.836359,2817.179344,0.499512359,0.393939394,0.851035237,-0.77196645,0,1
20,20,1,1,4145.587891,3652.780157,0.881124765,8779.799805,0,0.393939394,2075.115376,2440.027266,827.6196115,0.339184575,6684.899902,1860.199951,0,-1705.560626,1705.560625,2825.160546,0.54194019,0.393939394,0.850447618,-0.698992446,0,1
21,21,1,1,4075.806108,3683.835649,0.903829954,8628.700195,0,0.424242424,2070.364299,2399.775746,821.4084375,0.342285499,6812.5,1843.400024,0,-1676.030365,1676.030362,2862.427211,0.561544456,0.424242424,0.862732404,-0.698411244,0,1
22,22,1,1,3961.03941,3576.475044,0.902913269,8305.099609,0,0.424242424,2116.157108,3177.209103,1693.819802,0.53311562,7102.5,1869.199951,0,-783.8303131,783.8303075,1882.655242,0.369797649,0.424242424,0.666042756,-0.246704037,0,1
23,23,1,1,4158.596976,3527.33145,0.848202283,8127.299805,0,0.393939394,2102.515395,3176.303041,1685.734635,0.530722231,7101.100098,1875.400024,0,-987.4700103,982.2939342,1841.596815,0.317480053,0.393939394,0.66193791,-0.310886587,0,1
24,24,1,1,4400.306093,3504.229487,0.796360392,8144.5,0,0.363636364,2092.841667,3156.463664,1620.905128,0.513519337,7136.200195,1873.900024,0,-1266.322596,1243.842429,1883.324359,0.282841055,0.363636364,0.663033664,-0.401183961,0,1
25,25,1,1,4973.412132,3225.634204,0.64857569,8671.5,0,0.242424242,2073.074997,3175.227262,1594.284336,0.502100859,7191.600098,1868.599976,0,-1829.851646,1798.18487,1631.349868,0.146474831,0.242424242,0.652890274,-0.576289977,0,1
26,26,1,1,1651.890899,2952.97769,1.78763482,8119.299805,0,0.727272727,2313.887533,3185.742435,1596.927988,0.501273414,7306.799805,1784.800049,0,1533.851536,-1533.851537,1356.049702,1.286361406,0.727272727,0.726325992,0.481473806,-1,1
27,27,1,1,1254.869695,2560.785349,2.040678294,7298,0,0.787878788,2443.250009,3186.784849,1594.85718,0.500459634,7292.899902,1856.099976,0,1856.099971,-1931.915154,965.9281695,1.54021866,0.787878788,0.76668182,0.582436549,-1,1
28,28,1,1,4560.557573,3532.706542,0.77462163,8498.900391,0,0.363636364,2129.86666,3232.939387,1606.525758,0.496924181,7280.200195,1850.400024,0,-1339.312907,1327.618186,1926.180784,0.277697449,0.363636364,0.658801915,-0.414270961,0,1
29,29,1,1,4106.436346,3610.092681,0.879130316,8636.5,0,0.424242424,2147.464318,3254.584868,1626.611147,0.499790669,7259.100098,1852.300049,0,-851.8514789,851.8514774,1983.481534,0.379339647,0.424242424,0.659827414,-0.261738905,0,1
30,30,1,1,4269.209058,3518.768917,0.824220334,7749.299805,0,0.393939394,2085.876936,2970.842441,1356.780372,0.456698865,6863.700195,1836.099976,0,-1311.265589,1298.366618,2161.988545,0.367521469,0.393939394,0.702116311,-0.441378368,0,1
31,31,1,1,3766.081824,3531.952078,0.937832008,7709.399902,0,0.454545455,2101.653334,2829.884873,1215.237021,0.429429845,6860,1817.300049,0,-938.9093626,936.1969512,2316.715057,0.508402163,0.454545455,0.742663899,-0.33178359,0,1
32,32,1,1,4053.021188,3553.456918,0.876742744,7883.799805,0,0.424242424,2096.892842,2681.442405,1091.068211,0.406896008,6858.899902,1847.5,0,-1382.4125,1371.578783,2462.388707,0.469846736,0.424242424,0.78200182,-0.515548086,0,1
33,33,1,1,4068.266661,3582.282642,0.880542732,8376,0,0.424242424,2063.714266,2514.030292,894.5851029,0.355837042,6785,1827.199951,0,-1554.236371,1554.236369,2687.697539,0.52470569,0.424242424,0.820878838,-0.618224997,0,1
34,34,1,1,4729.139404,3534.84359,0.747460222,8451.099609,0,0.333333333,2068.045468,2484.924239,870.322932,0.350241234,6778.799805,1999.199951,0,-2262.087524,2244.215166,2664.520658,0.397218988,0.333333333,0.832236829,-0.910324544,0,1
35,35,1,1,5116.872684,3332.431735,0.651263367,8012.799805,0,0.272727273,2035.155577,2450.181811,846.258505,0.345386004,6665.100098,1863.5,0,-2707.909348,2666.690874,2486.17323,0.305877363,0.272727273,0.830614107,-1.105187107,0,1
36,36,1,1,5575.73331,3093.462045,0.554808107,8042.299805,0,0.212121212,1984.742856,2429.481815,870.7990932,0.35842997,6891.200195,1850.699951,0,-3208.599994,3146.251494,2222.662952,0.196378138,0.212121212,0.816940816,-1.320693151,0,1
37,37,1,1,4372.666726,3676.169782,0.840715749,9074.400391,0,0.393939394,2075.346121,2398.303023,818.7238626,0.341376321,6809.799805,1837.699951,0,-1974.363706,1974.363703,2857.445919,0.499339428,0.393939394,0.865339409,-0.823233631,0,1
38,38,1,1,4834.569713,3356.423683,0.694254894,8047.100098,0,0.303030303,2104.430008,3434.703051,1860.463548,0.541666491,7172.5,1911.699951,0,-1513.292581,1399.866662,1495.960135,0.152588403,0.303030303,0.612696346,-0.440589058,0,1
39,39,1,1,4378.224217,3481.79138,0.795251958,8195.799805,0,0.363636364,2116.941702,3452.996978,1857.643318,0.537980001,7174.299805,1911.699951,0,-951.6106666,925.2272394,1624.148062,0.257271957,0.363636364,0.61307372,-0.275589777,0,1
40,40,1,1,2586.509115,3502.677715,1.354210467,8588.400391,0,0.636363636,2264.695245,3457.436368,1818.428346,0.525947018,7159.799805,1908.900024,0,870.9272494,-870.9272535,1684.249369,0.828263449,0.636363636,0.655021526,0.251899719,-1,1
41,41,1,1,1966.787864,3282.252002,1.668838852,8588.5,0,0.727272727,2492.874983,3467.445446,1788.968542,0.515932715,7187.100098,1914.400024,0,1500.65758,-1500.657582,1493.28346,1.152906138,0.727272727,0.718937045,0.43278477,-1,1
42,42,1,1,1331.396958,2888.423419,2.169468243,8736.599609,0,0.818181818,2790.981482,3520.275746,1829.790457,0.519786116,7166.299805,1915.5,0,1915.499995,-2188.878788,1058.632961,1.649682127,0.818181818,0.792830359,0.544133509,-1,1
43,43,1,1,1314.242439,2858.508334,2.17502361,8526.400391,0,0.818181818,2783.707426,3499.721232,1810.825649,0.517419968,7311.100098,1911.599976,0,1911.599972,-2185.478793,1047.682685,1.657603641,0.818181818,0.795408332,0.546214925,-1,1
44,44,1,1,4039.112083,3558.573608,0.881028685,8587.099609,0,0.424242424,2114.471438,3489.930294,1817.447608,0.520769028,7289.100098,1908.599976,0,-549.1817946,549.1817886,1741.126,0.360259657,0.424242424,0.605877843,-0.157361823,0,1
