"","CellID","CompID","BaseID","CompYield_Mean","CompYield_SD","CompYield_CV","CompYield_Max","CompYield_Min","CompCropFailureProb","CompMinPropSOSDBase","BaseYield_Mean","BaseYield_SD","BaseYield_CV","BaseYield_Max","BaseYield_Min","BaseCropFailureProb","BaseMinPropSOSDComp","Diff_Mean_CompBase","Diff_SD_CompBase","Diff_CV_CompBase","Diff_CropFailureProbCompBase","MinProp_CompSOSDBase_Divdbaseyield","MinProp_BaseSOSDComp_Divdbaseyield","Riskiness_Comp","RiceArea"
"1",1,1,1,7045.08093843006,1540.87329490505,0.218716194799093,8490.900390625,1943.5,0,-29.800045680306,2264.12855747768,186.319723579321,0.0822920248781667,2621.69995117188,1913.69995117188,0,-4780.95238462068,4780.95238095238,1354.55357132573,0.136424169920927,0,-0.0131618169745203,-2.11160818091833,1,1
"2",2,1,1,6967.36668759301,1538.56242016517,0.220824091676548,8434.900390625,2046.30004882812,0,-147.400017887176,2375.0333484468,561.507584805361,0.236420926540914,4674.60009765625,1898.90002441406,0,-4633.93499478894,4592.3333391462,977.054835359806,-0.0155968348643653,0,-0.0620622939815018,-1.95110312780214,1,1
"3",3,1,1,6643.75219461192,1937.25101685059,0.291589896808869,8171.39990234375,865.299987792969,0,1149.70001746194,2495.33043902853,974.764447067083,0.390635417186099,6833.89990234375,2015,0,-4276.19093013114,4148.42175558339,962.486569783503,-0.0990455203772305,0,0.460740589494644,-1.71367722015843,0,1
"4",6,1,1,6874.97203369141,1791.84241989507,0.260632684920607,8483.7998046875,627.700012207031,0,1407.89996728307,2274.49998535156,214.659885852107,0.0943767365287221,2897.19995117188,2035.59997558594,0,-4600.47205023241,4600.47204833984,1577.18253404297,0.166255948391884,0,0.618993174917718,-2.02263006368907,0,1
"5",7,1,1,7195.8681973544,1117.87174147634,0.155349112965595,8731.400390625,3507.69995117188,0,-1505.69994987479,2264.89091907848,227.481760793153,0.100438285516068,2861.80004882812,2002,0,-4930.97727952653,4930.97727827592,890.389980683186,0.0549108274495271,0,-0.664800206134172,-2.17713676097602,1,1
"6",8,1,1,7166.45714750744,1242.88566271308,0.173430976719838,8670.400390625,2382,0,-393.499999869088,2222.79048665364,194.874095824915,0.0876709240007112,2592.30004882812,1988.5,0,-4943.66666202125,4943.6666608538,1048.01156688817,0.0857600527191272,0,-0.177029730076582,-2.22408125808736,1,1
"7",9,1,1,7071.47003173828,1469.31250209129,0.207780347720729,9139,2373.39990234375,0,-354.799924467304,2236.79500732422,198.753177521431,0.0888562326322387,2590.69995117188,2018.59997558594,0,-4834.67503114706,4834.67502441406,1270.55932456986,0.11892411508849,0,-0.158619776647184,-2.16142964165973,1,1
"8",10,1,1,6916.7714436849,1448.92744352018,0.209480312500866,8186.2998046875,1923.90002441406,0,-147.800043980778,2193.34759812128,220.405426233974,0.100488142610302,2593.89990234375,1776.09997558594,0,-4723.4238461818,4723.42384556362,1228.52201728621,0.108992169890564,0,-0.0673856000331991,-2.15352270211419,1,1
"9",17,1,1,7207.69528924851,905.868979224723,0.125680809589159,8820.2001953125,4836.2001953125,0,-2840.90014449772,2389.17142740886,604.100429431704,0.252849344547399,4824,1995.30004882812,0,-4859.64004572029,4818.52386183966,301.768549793019,-0.12716853495824,0,-1.18907337996202,-2.03402735775672,1,1
"10",53,1,1,6496.44008789063,1670.72380106559,0.25717528037853,7883.7001953125,2223,0,-393.900020425677,4072.01002197266,2145.71795805062,0.526943191807555,7239.89990234375,1829.09997558594,0,-3269.04001509294,2424.43006591797,-474.994156985029,-0.269767911429025,0,-0.0967335586848223,-0.802807458098857,1,1
"11",63,1,1,6203.22692871094,2302.81246003413,0.371228150525305,9295.900390625,1846.5,0,52.0000044241322,3140.89997746394,1561.46551502957,0.497139522504103,7022.2998046875,1886.19995117188,0,-3221.24764050847,3062.32695124699,741.346945004558,-0.125911371978798,0,0.0165557657987309,-1.02558109574358,0,1
"12",64,1,1,6104.67999511719,2295.71473964896,0.376058162178064,9278.099609375,1843,0,50.2666848975432,3119.52001464844,1546.51692782179,0.495754770144047,7008.5,1862.90002441406,0,-3151.11428409368,2985.15998046875,749.197811827169,-0.119696607965984,0,0.0161135958934401,-1.01012792650692,0,1
"13",65,1,1,6203.77084350586,2336.40104186605,0.376609823412773,9220.400390625,1798.19995117188,0,53.5000007291184,3083.22913106283,1501.45213494691,0.48697390661632,7000.5,1851.69995117188,0,-3258.5050367439,3120.54171244303,834.948906919144,-0.110364083203547,0,0.01735193800231,-1.05684816088276,0,1
"14",66,1,1,6845.16793457031,1926.53210378615,0.281444096361251,9074.099609375,1763.09997558594,0,82.900025800141,2920.75202148438,1398.95977696019,0.478972458692066,6873.5,1846,0,-4174.3149509564,3924.41591308594,527.572326825961,-0.197528362330815,0,0.0283831099628957,-1.42919183835228,0,1
"15",67,1,1,6852.39589436849,1706.47068311783,0.249032704680746,9097.400390625,2286.89990234375,0,-339.699948334548,2707.14582824707,1143.67515078305,0.422465291248681,6862.10009765625,1947.19995117188,0,-4291.68576447189,4145.25006612142,562.795532334776,-0.173432586567935,0,-0.125482692801411,-1.58531753985741,1,1
"16",71,1,1,6386.90002441406,1356.10688994384,0.212326306151669,8235.7998046875,5025.7001953125,0,-2512.07506754496,3874.82495117188,2368.43504781108,0.611236656534585,6998.89990234375,1924,0,-3419.65015305006,2512.07507324219,-1012.32815786724,-0.398910350382916,0,-0.648306723323134,-0.882530229401935,1,1
"17",72,1,1,6752.93994140625,906.840948898794,0.134288318386843,8224.099609375,5837.10009765625,0,-3445.41994249642,3307.51999511719,1884.89953213323,0.569883034695442,6259.5,1924.09997558594,0,-4163.80000935209,3445.41994628906,-978.058583234441,-0.435594716308598,0,-1.04169285373416,-1.25888883982531,1,1
"18",73,1,1,6837.1599609375,1002.5452114221,0.146631820397636,8238.400390625,5729.2998046875,0,-3082.73996259209,3754.41999511719,1765.24555565398,0.470177965691043,5946.2001953125,1841.40002441406,0,-3923.59991817114,3082.73996582031,-762.70034423188,-0.323546145293407,0,-0.821096192381606,-1.0450615336787,1,1
"19",74,1,1,7210.64990234375,923.754410425875,0.128109729765914,8220.2998046875,5979.5,0,-3490.17486288858,3720.4750366211,2084.60036471084,0.560304892303231,6127.10009765625,1827.5,0,-4662.84998079712,3490.17486572265,-1160.84595428497,-0.432195162537316,0,-0.938099255749428,-1.25329425272314,1,1
"20",75,1,1,6431.02595124421,1948.72017050453,0.30301855182648,8903.5,2191.5,0,-336.49999631187,3652.5740785952,1755.13602396154,0.480520308745272,7162.89990234375,1855,0,-3077.60592397224,2778.45187264902,193.58414654299,-0.177501756918792,0,-0.0921268094968494,-0.842585491149273,1,1
"21",76,1,1,6318.41999104818,2222.44815606547,0.351741125030338,9163.5,1736.90002441406,0,170.199952746744,3399.48334554037,1654.47776910538,0.486685063857076,7083,1907.09997558594,0,-3132.29999045073,2918.93664550781,567.970386960088,-0.134943938826738,0,0.0500664175837255,-0.921404717149109,0,1
"22",77,1,1,5839.00006103516,2627.92222116307,0.450063742711656,9006.7001953125,2026,0,-118.637524103607,3260.88748550415,1576.29162768749,0.483393442642437,7095,1868.40002441406,0,-2636.26212100389,2578.11257553101,1051.63059347558,-0.0333296999307816,0,-0.0363819741193139,-0.808449274230726,1,1
"23",78,1,1,6202.16884231567,2503.1621139104,0.403594642060052,8832.900390625,1897.30004882812,0,-66.6000938240554,3221.04998016357,1548.50582175536,0.480745667186674,7086.39990234375,1830.69995117188,0,-3101.52766094242,2981.1188621521,954.656292155043,-0.0771510251266217,0,-0.0206765167365311,-0.962893367083026,1,1
"24",79,1,1,6284.58707944808,2288.12011276125,0.364084399473736,9005.400390625,1835.69995117188,0,-12.5999755664979,3169.57096222908,1538.21338050512,0.485306496947249,7079.2998046875,1823.09997558594,0,-3271.63703349611,3115.016117219,749.906732256138,-0.121222097473513,0,-0.00397529372796771,-1.03220185712304,1,1
"25",80,1,1,6564.55515052532,2032.89745290678,0.309677869450773,8944.7001953125,2033.69995117188,0,-139.299924237789,3117.93792093211,1531.58828962136,0.491218339960884,7002.10009765625,1894.40002441406,0,-3657.8825919585,3446.61722959321,501.309163285416,-0.181540470510112,0,-0.0446769396217307,-1.17317364383732,1,1
