"","CellID","CompID","BaseID","CompYield_Mean","CompYield_SD","CompYield_CV","CompYield_Max","CompYield_Min","CompCropFailureProb","CompMinPropSOSDBase","BaseYield_Mean","BaseYield_SD","BaseYield_CV","BaseYield_Max","BaseYield_Min","BaseCropFailureProb","BaseMinPropSOSDComp","Diff_Mean_CompBase","Diff_SD_CompBase","Diff_CV_CompBase","Diff_CropFailureProbCompBase","MinProp_CompSOSDBase_Divdbaseyield","MinProp_BaseSOSDComp_Divdbaseyield","Riskiness_Comp","RiceArea"
"1",1,1,1,6390.19997336648,554.087228706275,0.0867089028536882,7308.7001953125,5142.89990234375,0,-3357.599850938,2417.15453361742,633.070638454976,0.261907391377061,5662,1785.30004882812,0,-4045.74372991901,3973.04543974905,-78.9834097487012,-0.175198488523373,0,-1.38907124233929,-1.67376296122213,1,1
"2",2,1,1,6375.29091205019,557.318916634414,0.0874185859630348,7279.7998046875,5123.10009765625,0,-3345.6000921305,2376.47879305753,482.246591883005,0.202924845486442,4674.60009765625,1777.5,0,-4042.36251373509,3998.81211899266,75.0723247514091,-0.115506259523407,0,-1.40779715851204,-1.70098825436362,1,1
"3",3,1,1,6155.62727864583,511.689326714778,0.083125456359233,6954.5,4892.2001953125,0,-3011.10021757282,2471.01515521425,845.197104430824,0.342044484287083,6833.89990234375,1881.09997558594,0,-3810.26999217202,3684.61212343158,-333.507777716046,-0.25891902792785,0,-1.21856808980669,-1.54198568314392,1,1
"4",4,1,1,6210.7363577178,540.421086257892,0.0870140117260549,7062.89990234375,4894.2001953125,0,-3025.70019041082,2397.68486993963,816.948061338422,0.340723700424815,6757.60009765625,1868.5,0,-3922.66872790919,3813.05148777817,-276.52697508053,-0.25370968869876,0,-1.26192571356844,-1.63602347292952,1,1
"5",5,1,1,6247.89997632576,543.470673792163,0.0869845349399728,7194.89990234375,4897.89990234375,0,-3079.2999230112,2412.25150923295,802.673788203975,0.332748797184589,6679.7998046875,1818.59997558594,0,-3939.41560414731,3835.6484670928,-259.203114411812,-0.245764262244616,0,-1.27652523429879,-1.63308659526965,1,1
"6",6,1,1,6224.19090317235,526.486039652395,0.0845870648639738,7035.5,4882.7001953125,0,-3074.0002406551,2417.65452252012,795.427023561308,0.329007728834708,6661.7001953125,1808.69995117188,0,-3913.80940249643,3806.53638065222,-268.940983908912,-0.244420663970735,0,-1.27148035917506,-1.61884560678121,1,1
"7",7,1,1,6208.61211233428,525.118717984221,0.0845790828099889,7059.7001953125,4977.60009765625,0,-3179.70006901621,2413.41817589962,830.031259170767,0.343923513736432,6863.2998046875,1797.90002441406,0,-3907.65623826209,3795.19393643466,-304.912541186546,-0.259344430926443,0,-1.31750895918854,-1.6191376518516,1,1
"8",8,1,1,6181.76060901989,528.193748064096,0.0854439020646322,7022.2998046875,4964.2001953125,0,-3173.40014004367,2380.81819291548,828.511104931178,0.347994276672007,6853.10009765625,1790.80004882812,0,-3914.43437919184,3800.9424161044,-300.317356867081,-0.262550374607375,0,-1.33290317987599,-1.64415510215769,1,1
"9",9,1,1,6158.07575757576,525.261864904019,0.0852964279073433,6997.7998046875,4949.7998046875,0,-3171.2998046726,2374.12121951941,825.184501124437,0.347574712841106,6838.5,1778.5,0,-3897.22499977797,3783.95453805634,-299.922636220418,-0.262278284933763,0,-1.33577838342836,-1.64154423444599,1,1
"10",10,1,1,6142.12118252841,540.615649990782,0.0880177440211685,7153.7998046875,4878.2998046875,0,-3102.19982258538,2361.30605616714,810.616428087467,0.343291555099492,6737.5,1776.09997558594,0,-3885.95623313293,3780.81512636127,-270.000778096685,-0.255273811078324,0,-1.31376439512498,-1.64568088197791,1,1
"11",11,1,1,6184.10307173295,533.561442722245,0.0862795196867129,7137.10009765625,4993.60009765625,0,-3231.80004872501,2390.03332889441,813.871155097954,0.340527115358026,6726.39990234375,1761.80004882812,0,-3899.80004456931,3794.06974283854,-280.309712375709,-0.254247595671313,0,-1.35219873700254,-1.63169274562932,1,1
"12",12,1,1,6091.84542199337,500.54584350697,0.0821665372039565,6908.2001953125,4861.5,0,-3016.80004367077,2621.42727198745,1030.18613017892,0.392986729476526,6941.7998046875,1844.69995117188,0,-3712.20355338058,3470.41815000592,-529.64028667195,-0.310820192272569,0,-1.15082347540528,-1.41610015011637,1,1
"13",13,1,1,6090.15144116951,496.391014068216,0.0815071708582821,6891.7998046875,4856.89990234375,0,-2918.69995008424,2595.25152033026,978.133364799084,0.376893475309327,6931.2001953125,1938.19995117188,0,-3704.85166383288,3494.89992083925,-481.742350730869,-0.295386304451045,0,-1.12463086033096,-1.42755013716799,1,1
"14",14,1,1,6072.16367779356,498.482981455601,0.0820931397614654,6866.5,4847,0,-2912.80004420636,2599.66364080256,1012.45388536112,0.389455723990724,6913,1934.19995117188,0,-3694.3103750636,3472.500036991,-513.970903905522,-0.307362584229259,0,-1.12045266106316,-1.42107244840456,1,1
"15",15,1,1,6039.61214192708,511.247052707339,0.0846489875000836,7003.7001953125,4829.5,0,-2931.80004613327,2520.31211529356,984.551970677883,0.390646842787249,6823.89990234375,1897.69995117188,0,-3720.6666854553,3519.30002663352,-473.304917970544,-0.305997855287166,0,-1.16326863976202,-1.47627218981246,1,1
"16",16,1,1,6026.45756392045,513.664000822705,0.0852348158722527,6986.2001953125,4819,0,-2813.19994794835,2543.95151219223,968.581490338788,0.38073897466077,6801.2001953125,2005.80004882812,0,-3677.87999879347,3482.50605172822,-454.917489516083,-0.295504158788518,0,-1.10583866652556,-1.44573510193364,1,1
"17",17,1,1,6011.46061197917,523.676477044484,0.0871130180909682,7000.7001953125,4809.2001953125,0,-2813.90014257372,2557.84546268348,960.511088802654,0.375515684123843,6789.5,1995.30004882812,0,-3644.1899961711,3453.61514929569,-436.83461175817,-0.288402666032875,0,-1.10010560982899,-1.42471077683791,1,1
"18",18,1,1,5997.34241832386,519.910414048822,0.0866901333597901,6988,4907.7998046875,0,-2930.39977748303,2561.99697783499,966.244538743652,0.37714507359028,6766.2998046875,1977.40002441406,0,-3628.37583446526,3435.34544048887,-446.334124694831,-0.29045494023049,0,-1.14379517338828,-1.4162295529058,1,1
"19",19,1,1,6024.52118844697,505.052902973476,0.0838328702274298,6990.39990234375,4929.2001953125,0,-3048.6002137837,2429.94545306581,863.234553764046,0.355248531474202,6676.39990234375,1880.59997558594,0,-3737.36773382723,3594.57573538116,-358.181650790571,-0.271415661246773,0,-1.25459615150511,-1.53804593807316,1,1
"20",20,1,1,6056.75454249527,503.99538408234,0.0832121197162968,6974.5,4935.39990234375,0,-3075.19994642514,2440.02726606889,827.619611514806,0.339184575116727,6684.89990234375,1860.19995117188,0,-3730.11999386549,3616.72727642637,-323.624227432466,-0.25597245540043,0,-1.26031376337018,-1.52872061953433,1,1
"21",21,1,1,6099.75455729167,522.266615208572,0.0856209229901312,6979.89990234375,4884.89990234375,0,-3041.49987148401,2399.77574573864,821.408437505286,0.342285498536223,6812.5,1843.40002441406,0,-3810.37190676646,3699.97881155303,-299.141822296714,-0.256664575546092,0,-1.26741003899423,-1.58780332434506,1,1
"22",22,1,1,5996.87273615057,451.956564199404,0.0753653752688302,6847.2001953125,4837.39990234375,0,-2819.66362903086,3177.20910274621,1693.81980153292,0.533115620268388,7102.5,1869.19995117188,0,-3568.50437817356,2819.66363340436,-1241.86323733351,-0.457750244999558,0,-0.887465551635771,-1.12315691626627,1,1
"23",23,1,1,5980.27880859375,455.032331945107,0.0760888156738143,6844.5,4816.5,0,-2803.97576484275,3176.30304140033,1685.7346353938,0.530722230663046,7101.10009765625,1875.40002441406,0,-3547.30872252874,2803.97576719342,-1230.70230344869,-0.454633414989231,0,-0.882779674450258,-1.11680424578281,1,1
"24",24,1,1,5972.08182410038,466.445551666635,0.0781043470945576,6843,4713.7998046875,0,-2815.61815716672,3156.46366373698,1620.90512775125,0.513519336963391,7136.2001953125,1873.90002441406,0,-3527.56521805717,2815.6181603634,-1154.45957608461,-0.435414989868833,0,-0.892016654433232,-1.11756877121178,1,1
"25",25,1,1,5947.20910274621,469.538841313708,0.0789511236618351,6837.60009765625,4802.39990234375,0,-2771.98183770407,3175.22726162997,1594.28433575272,0.50210085905294,7191.60009765625,1868.59997558594,0,-3477.39564638355,2771.98184111624,-1124.74549443902,-0.423149735391105,0,-0.873002657542408,-1.09516433308728,1,1
"26",26,1,1,5919.40002071496,484.562514018032,0.0818600723590741,6848.2001953125,4792.39990234375,0,-2733.65758224626,3185.74243533972,1596.92798817819,0.501273414467952,7306.7998046875,1784.80004882812,0,-3416.51304107907,2733.65758537524,-1112.36547416016,-0.419413342108878,0,-0.858091210363259,-1.07243856351329,1,1
"27",27,1,1,5909.22125059186,481.561912307386,0.0814932952898242,6841.7001953125,4787,0,-2722.43639653359,3186.78484922467,1594.85717967026,0.50045963412255,7292.89990234375,1856.09997558594,0,-3404.57830456904,2722.43640136719,-1113.29526736288,-0.418966338832726,0,-0.854289362269295,-1.06834269197601,1,1
"28",28,1,1,5883.78786399148,483.463582534735,0.082168765038847,6830.2998046875,4775.2998046875,0,-2650.84847702152,3232.93938654119,1606.52575818233,0.496924181402947,7280.2001953125,1850.40002441406,0,-3361.97825592299,2650.84847745028,-1123.06217564759,-0.4147554163641,0,-0.819949946496699,-1.0399137917398,1,1
"29",29,1,1,5870.66363340436,473.394587549899,0.0806373209420927,6822.7001953125,4762.5,0,-2616.07876052226,3254.58486845999,1626.61114712661,0.499790668508913,7259.10009765625,1852.30004882812,0,-3353.84091473693,2616.07876494437,-1153.21655957671,-0.41915334756682,0,-0.80381334832425,-1.03049729851534,1,1
"30",30,1,1,5900.10604580966,502.81039254171,0.0852205686877126,6818.7001953125,4779.7998046875,0,-2929.26360171741,2970.84244051847,1356.7803716637,0.456698865331585,6863.7001953125,1836.09997558594,0,-3440.87911424507,2929.26360529119,-853.969979121991,-0.371478296643873,0,-0.98600436083921,-1.15821662815769,1,1
