"","CellID","CompID","BaseID","CompYield_Mean","CompYield_SD","CompYield_CV","CompYield_Max","CompYield_Min","CompCropFailureProb","CompMinPropSOSDBase","BaseYield_Mean","BaseYield_SD","BaseYield_CV","BaseYield_Max","BaseYield_Min","BaseCropFailureProb","BaseMinPropSOSDComp","Diff_Mean_CompBase","Diff_SD_CompBase","Diff_CV_CompBase","Diff_CropFailureProbCompBase","MinProp_CompSOSDBase_Divdbaseyield","MinProp_BaseSOSDComp_Divdbaseyield","Riskiness_Comp","RiceArea"
"1",1,1,1,7457.53334369081,1528.66547153059,0.204982720301728,9209,2340.69995117188,0,-492.299923545221,2417.15453361742,633.070638454976,0.261907391377061,5662,1785.30004882812,0,-5087.04689964187,5040.37881007339,895.594833075612,-0.0569246710753325,0,-0.203669197272407,-2.10456006386517,1,1
"2",2,1,1,7395.34542199337,1508.23124447756,0.203943312775109,9144.099609375,2269.69995117188,0,-449.799980966656,2376.47879305753,482.246591883005,0.202924845486442,4674.60009765625,1777.5,0,-5036.03435244507,5018.86662893584,1025.98465259456,0.00101846728866656,0,-0.189271615753807,-2.11911604982841,1,1
"3",3,1,1,7349.86367335464,1253.76238790209,0.170583080669555,9039.7001953125,2300.80004882812,0,-419.700070092242,2471.01515521425,845.197104430824,0.342044484287083,6833.89990234375,1881.09997558594,0,-4962.38127925258,4878.84851814039,408.565283471261,-0.171461403617528,0,-0.169849249692623,-2.00823587373843,1,1
"4",4,1,1,7468.43939393939,1346.02765354447,0.1802287710384,9065.099609375,2170.5,0,-301.999998826436,2397.68486993963,816.948061338422,0.340723700424815,6757.60009765625,1868.5,0,-5157.10624698617,5070.75452399976,529.079592206051,-0.160494929386414,0,-0.125954833603316,-2.15086907860248,1,1
"5",5,1,1,7513.09092388731,1307.88872289424,0.174081311692356,9184.7998046875,2358.10009765625,0,-539.500119321619,2412.25150923295,802.673788203975,0.332748797184589,6679.7998046875,1818.59997558594,0,-5181.95940082556,5100.83941465436,505.214934690265,-0.158667485492233,0,-0.223650028720748,-2.14818371176947,1,1
"6",6,1,1,7417.56360233191,1240.48756776906,0.167236525936775,9084.2998046875,2324.19995117188,0,-515.499996135067,2417.65452252012,795.427023561308,0.329007728834708,6661.7001953125,1808.69995117188,0,-5080.45000155613,4999.90907981179,445.060544207755,-0.161771202897933,0,-0.213223184426581,-2.10139618966748,1,1
"7",7,1,1,7404.18485144413,1235.01757683169,0.166799938360643,9029.099609375,2318.5,0,-520.599973160287,2413.41817589962,830.031259170767,0.343923513736432,6863.2998046875,1797.90002441406,0,-5079.04689284785,4990.76667554451,404.986317660921,-0.177123575375788,0,-0.215710637451476,-2.10450345637038,1,1
"8",8,1,1,7278.5302808357,1343.89675602552,0.184638478397759,8946.5,2319.39990234375,0,-528.599849825763,2380.81819291548,828.511104931178,0.347994276672007,6853.10009765625,1790.80004882812,0,-4985.34684692917,4897.71208792022,515.385651094338,-0.163355798274248,0,-0.222024449997358,-2.09396368935851,1,1
"9",9,1,1,7252.26970880682,1523.96236443107,0.210135919597756,8921,1833.69995117188,0,-55.1999470172003,2374.12121951941,825.184501124437,0.347574712841106,6838.5,1778.5,0,-4965.51250894972,4878.14848928741,698.777863306637,-0.13743879324335,0,-0.0232506860068309,-2.09151599679265,1,1
"10",10,1,1,7329.95147520123,1408.21672462436,0.192118151039424,9004.400390625,2292.89990234375,0,-516.799926756461,2361.30605616714,810.616428087467,0.343291555099492,6737.5,1776.09997558594,0,-5053.07495535477,4968.64541903409,597.600296536888,-0.151173404060069,0,-0.218861898654226,-2.13994917861554,1,1
"11",11,1,1,7381.34545898438,1348.21512841605,0.182651677246055,9040.5,2285.5,0,-523.699947421349,2390.03332889441,813.871155097954,0.340527115358026,6726.39990234375,1761.80004882812,0,-5074.97500860333,4991.31213008996,534.343973318097,-0.15787543811197,0,-0.219118261276969,-2.12339089469975,1,1
"12",12,1,1,7232.25454249527,1246.19526883209,0.172310758907849,8679.5,2224.10009765625,0,-379.400145968615,2621.42727198745,1030.18613017892,0.392986729476526,6941.7998046875,1844.69995117188,0,-4754.84138426972,4610.82727050781,216.009138653174,-0.220675970568677,0,-0.144730372657247,-1.81383684952084,1,1
"13",13,1,1,7217.76062381629,1264.27777298383,0.175162053561616,8814.7001953125,2195.10009765625,0,-256.900145878622,2595.25152033026,978.133364799084,0.376893475309327,6931.2001953125,1938.19995117188,0,-4742.28669489861,4622.50910348603,286.144408184745,-0.201731421747711,0,-0.0989885349709499,-1.82729367760668,1,1
"14",14,1,1,7153.6757516572,1257.43057039738,0.175774051557493,8823.599609375,2091.60009765625,0,-157.400145630099,2599.66364080256,1012.45388536112,0.389455723990724,6913,1934.19995117188,0,-4687.24332327556,4554.01211085464,244.976685036255,-0.213681672433232,0,-0.0605463503661215,-1.80301914821124,1,1
"15",15,1,1,7204.69092536695,1257.99280613816,0.174607463272144,8780.2998046875,2108.30004882812,0,-210.600097541017,2520.31211529356,984.551970677883,0.390646842787249,6823.89990234375,1897.69995117188,0,-4810.71335724774,4684.37881007339,273.440835460275,-0.216039379515105,0,-0.0835611177929391,-1.90877682492408,1,1
"16",16,1,1,7223.12119732481,1218.11644318999,0.168641285382438,8806.5,2225.89990234375,0,-220.099850877454,2543.95151219223,968.581490338788,0.38073897466077,6801.2001953125,2005.80004882812,0,-4809.11331574123,4679.16968513258,249.534952851205,-0.212097689278332,0,-0.086518886001795,-1.89041076164105,1,1
