"","CellID","CompID","BaseID","CompYield_Mean","CompYield_SD","CompYield_CV","CompYield_Max","CompYield_Min","CompCropFailureProb","CompMinPropSOSDBase","BaseYield_Mean","BaseYield_SD","BaseYield_CV","BaseYield_Max","BaseYield_Min","BaseCropFailureProb","BaseMinPropSOSDComp","Diff_Mean_CompBase","Diff_SD_CompBase","Diff_CV_CompBase","Diff_CropFailureProbCompBase","MinProp_CompSOSDBase_Divdbaseyield","MinProp_BaseSOSDComp_Divdbaseyield","Riskiness_Comp","RiceArea"
"1",1,1,1,4638.92727568655,527.393630509595,0.113688704126439,6535.60009765625,3531.39990234375,0,-1746.099848212,2417.15453361742,633.070638454976,0.261907391377061,5662,1785.30004882812,0,-2263.90314203821,2221.77274206913,-105.677007945381,-0.148218687250622,0,-0.72237824430648,-0.936598430324657,1,1
"2",2,1,1,4612.30607836174,518.984627830166,0.11252172319286,6430.10009765625,3433.69995117188,0,-1656.19994674256,2376.47879305753,482.246591883005,0.202924845486442,4674.60009765625,1777.5,0,-2250.83751767981,2235.82728530421,36.7380359471611,-0.0904031222935819,0,-0.696913413063421,-0.947131329029841,1,1
"3",3,1,1,4560.6181566643,503.110387129798,0.110316270699975,6340.89990234375,3641.69995117188,0,-1744.49993673218,2471.01515521425,845.197104430824,0.342044484287083,6833.89990234375,1881.09997558594,0,-2181.84663353425,2089.60300145005,-342.086717301027,-0.231728213587108,0,-0.705985122370048,-0.882975820253548,1,1
"4",4,1,1,4561.16968513258,517.338872851228,0.113422413232625,6537.7001953125,3613.30004882812,0,-1744.80004229394,2397.68486993963,816.948061338422,0.340723700424815,6757.60009765625,1868.5,0,-2237.96559074311,2163.48481519294,-299.609188487194,-0.22730128719219,0,-0.727701986265556,-0.933386042011208,1,1
"5",5,1,1,4579.72119880445,486.808328715108,0.106296498756778,6292.5,3548.80004882812,0,-1730.20006939192,2412.25150923295,802.673788203975,0.332748797184589,6679.7998046875,1818.59997558594,0,-2247.30624113086,2167.4696895715,-315.865459488868,-0.226452298427811,0,-0.717255254176248,-0.931621861372762,1,1
"6",6,1,1,4571.68789210464,486.998146432931,0.106524801763914,6333.7001953125,3541.5,0,-1732.80004631089,2417.65452252012,795.427023561308,0.329007728834708,6661.7001953125,1808.69995117188,0,-2231.59691362261,2154.03336958452,-308.428877128377,-0.222482927070795,0,-0.716727733499593,-0.923042102515305,1,1
"7",7,1,1,4557.92126094934,490.282158716604,0.107567053190929,6255.39990234375,3507.69995117188,0,-1709.79992036576,2413.41817589962,830.031259170767,0.343923513736432,6863.2998046875,1797.90002441406,0,-2230.51568272719,2144.50308504972,-339.749100454163,-0.236356460545503,0,-0.708455723686764,-0.924214338402317,1,1
"8",8,1,1,4529.43938654119,504.493865623993,0.111381083302064,6336.60009765625,3467.39990234375,0,-1676.59985245725,2380.81819291548,828.511104931178,0.347994276672007,6853.10009765625,1790.80004882812,0,-2231.90623337776,2148.62119362571,-324.017239307185,-0.236613193369943,0,-0.704211626677856,-0.937453451934786,1,1
"9",9,1,1,4504.00609611742,499.441292476177,0.11088823634291,6316,3434.19995117188,0,-1655.69994543105,2374.12121951941,825.184501124437,0.347574712841106,6838.5,1778.5,0,-2212.77190898993,2129.88487659801,-325.74320864826,-0.236686476498196,0,-0.697394864178926,-0.932038301497453,1,1
"10",10,1,1,4496.62727864583,508.407248954659,0.113064129501916,6305,3395.10009765625,0,-1619.00011792415,2361.30605616714,810.616428087467,0.343291555099492,6737.5,1776.09997558594,0,-2215.56563997951,2135.32122247869,-302.209179132808,-0.230227425597577,0,-0.685637557950495,-0.938279743192548,1,1
"11",11,1,1,4528.52726976799,503.993939273101,0.111293122299984,6327.5,3387.80004882812,0,-1625.99999394025,2390.03332889441,813.871155097954,0.340527115358026,6726.39990234375,1761.80004882812,0,-2217.78750466287,2138.49394087358,-309.877215824853,-0.229233993058042,0,-0.680325238264527,-0.927931622480251,1,1
"12",12,1,1,4485.22121360085,496.790048961939,0.110761548941106,6236.2998046875,3528.80004882812,0,-1684.10009132579,2621.42727198745,1030.18613017892,0.392986729476526,6941.7998046875,1844.69995117188,0,-2093.51429658776,1863.7939416134,-533.396081216981,-0.282225180535419,0,-0.642436320596062,-0.798616203836372,1,1
