"","CellID","CompID","BaseID","CompYield_Mean","CompYield_SD","CompYield_CV","CompYield_Max","CompYield_Min","CompCropFailureProb","CompMinPropSOSDBase","BaseYield_Mean","BaseYield_SD","BaseYield_CV","BaseYield_Max","BaseYield_Min","BaseCropFailureProb","BaseMinPropSOSDComp","Diff_Mean_CompBase","Diff_SD_CompBase","Diff_CV_CompBase","Diff_CropFailureProbCompBase","MinProp_CompSOSDBase_Divdbaseyield","MinProp_BaseSOSDComp_Divdbaseyield","Riskiness_Comp","WheatArea"
"1",1,1,1,4580.7458190918,514.35398807912,0.112286079252723,5475.7001953125,3568.69995117188,0,-346.879128133227,4233.86668904622,628.235703163397,0.148383439844423,5429.5,2978.60009765625,0,-590.099853764179,346.879130045573,-113.881715084277,-0.0360973605917003,0,-0.0819296292513568,-0.139376106312198,1,1
"2",2,1,1,4539.27498372396,505.953983255119,0.111461408500095,5300.60009765625,3555,0,-394.362452631503,4144.91252644857,582.432737067888,0.140517497860667,5108.10009765625,2928.69995117188,0,-629.949951348963,394.362457275391,-76.478753812769,-0.0290560893605717,0,-0.0951437334600158,-0.151981482680098,1,1
"3",3,1,1,4522.33046025815,566.964137101023,0.125369904318903,5423.7001953125,3126,0,-266.499992194475,4036.38262143342,608.154166016306,0.150668116245217,4954,2859.5,0,-602.485703284343,485.947838824728,-41.1900289152826,-0.0252982119263147,0,-0.0660244622943683,-0.149263773975517,1,1
"4",6,1,1,4491.03077110877,498.060452773793,0.110901144560813,5335.5,3191.5,0,-339.399900631257,4137.56922325721,632.338602065216,0.152828525142456,5342,2852.10009765625,0,-633.540044679784,353.461547851562,-134.278149291424,-0.0419273805816431,0,-0.08202881506453,-0.15311889916395,1,1
"5",7,1,1,4436.04802734375,552.568349232706,0.12456320261338,5327.89990234375,3175.39990234375,0,-332.99999717563,4074.56399414062,628.948549641855,0.154359718130899,5254.5,2842.39990234375,0,-536.349980150437,361.484033203125,-76.3802004091494,-0.0297965155175182,0,-0.0817265350733222,-0.131633711219588,1,1
"6",8,1,1,4379.2999979655,540.655061165928,0.123456959198297,5323.5,3149.69995117188,0,-338.566634615981,4040.7333577474,646.976999397824,0.160113757112273,5181.89990234375,2804.5,0,-566.400027539502,338.566640218099,-106.321938231896,-0.0366567979139756,0,-0.0837884128055217,-0.140172581903611,1,1
"7",9,1,1,4432.37613932292,545.997944938731,0.123184027658388,5316.89990234375,3139.39990234375,0,-401.099845910016,3957.96192568824,648.841794233152,0.163933308711737,4896.2998046875,2738.30004882812,0,-680.219971767319,474.414213634673,-102.843849294421,-0.0407492810533494,0,-0.101339996048666,-0.171861171112463,1,1
"8",10,1,1,4402.38258958899,577.537761656776,0.13118754444981,5265.39990234375,3134.10009765625,0,-443.999997620725,3928.34349524456,639.494322529377,0.162789817973788,4850.39990234375,2690.10009765625,0,-570.874940830301,474.03909434443,-61.9565608726004,-0.0316022735239779,0,-0.11302473883921,-0.145322052799449,1,1
"9",17,1,1,4409.26191638765,479.521234086187,0.108753175288585,5268.10009765625,3435.30004882812,0,-503.38095773062,3905.88095238095,688.80378868092,0.176350430819208,4887.7998046875,2653.10009765625,0,-934.399969900998,503.380964006697,-209.282554594733,-0.0675972555306233,0,-0.128877701053272,-0.239228993738635,1,1
"10",53,1,1,4318.7636274858,496.623987213284,0.11499216675176,5183.10009765625,3311.39990234375,0,256.700195724311,4059.41819069602,452.250442889806,0.111407699735479,4902.5,3568.10009765625,0,-309.29999296854,259.345436789773,44.3735443234783,0.00358446701628092,0,0.0632357110466359,-0.076193182973225,0,1
"11",63,1,1,4251.95000751202,621.988358388105,0.146283083594403,5002.7998046875,2696.10009765625,0,-297.999997862467,3557.53076171875,699.338363202767,0.196579709366981,5002.7998046875,2398.10009765625,0,-777.745019811355,694.41924579327,-77.3500048146619,-0.0502966257725777,0,-0.0837659651658204,-0.218619337935283,1,1
"12",64,1,1,4259.663984375,613.496590996948,0.144024644490113,5001.2001953125,2699.5,0,-301.699951138216,3572.12400390625,693.598290479075,0.19416971239537,5001.2001953125,2397.80004882812,0,-779.824989341357,687.53998046875,-80.1016994821266,-0.0501450679052571,0,-0.0844595402646426,-0.218308487748071,1,1
"13",65,1,1,4292.59585571289,630.466881281178,0.146873104870124,5156,2704,0,-310.399901718966,3597.69169108073,687.266941590223,0.191029971604869,5000.7001953125,2393.60009765625,0,-785.957103890362,694.904164632163,-56.8000603090456,-0.0441568667347449,0,-0.0862775157995052,-0.218461494585231,1,1
"14",66,1,1,4292.7159765625,640.279996330833,0.149154987151876,5139.5,2763.39990234375,0,-344.099848010566,3615.236015625,677.219468190529,0.18732372250763,4996.7998046875,2419.30004882812,0,-749.674987889818,677.4799609375,-36.9394718596959,-0.0381687353557543,0,-0.0951804658183785,-0.207365434690774,1,1
"15",67,1,1,4280.79587809245,555.205816202865,0.12969686759516,5199.10009765625,2870.80004882812,0,-453.999991393285,3547.69167073568,644.252791669492,0.181597740577014,4995.60009765625,2416.80004882812,0,-875.528569843867,733.104207356771,-89.0469754666266,-0.0519008729818537,0,-0.127970532258555,-0.246788236155345,1,1
"16",71,1,1,4706.30004882812,112.661704242748,0.0239384873624454,4850.2001953125,4575.39990234375,0,-712.600029429167,3993.70001220703,394.649189715014,0.0988179353754013,4485.89990234375,3522.30004882812,0,-1053.09985376954,712.600036621095,-281.987485472265,-0.0748794480129559,0,-0.178431035693981,-0.263690274820509,1,1
"17",72,1,1,4268.72001953125,654.491302173768,0.153322611738223,4697.7998046875,3141,0,776.199958254218,4078.07993164063,223.129727403102,0.0547144075504515,4464.2998046875,3917.19995117188,0,-190.640093004919,190.640087890623,431.361574770666,0.0986082041877712,0,0.190334660248297,-0.0467475126041054,0,1
"18",73,1,1,4289.2,659.686104640145,0.153801665727908,4692.2998046875,3127.10009765625,0,41.6999549253197,3908.38002929687,458.865634980783,0.117405582758372,4427.5,3168.80004882812,0,-409.82501678464,380.819970703126,200.820469659362,0.0363960829695363,0,0.0106693705864682,-0.104858026525729,0,1
"19",74,1,1,4445.40002441406,220.0574538793,0.0495022838598885,4659.60009765625,4158.7001953125,0,-764.825011939971,3680.57501220703,411.547878502181,0.111816190985712,4048,3107,0,-1051.70019903812,764.82501220703,-191.490424622881,-0.0623139071258235,0,-0.207800414175324,-0.285743449202922,1,1
"20",75,1,1,4303.26666485822,616.295986955681,0.143215848552575,5237,2716.89990234375,0,-339.699941676309,3603.35183376736,671.942874034367,0.186477175983074,5071.60009765625,2377.19995117188,0,-767.433295460676,699.914831090856,-55.6468870786862,-0.0432613274304981,0,-0.0942733203271875,-0.212977619412288,1,1
"21",76,1,1,4248.66669108073,569.174818794115,0.133965514402198,5080.39990234375,2703.5,0,-344.39989860405,3554.85331217448,657.78089916771,0.18503742388328,5057.2998046875,2359.10009765625,0,-797.48006217333,693.81337890625,-88.6060803735952,-0.0510719094810816,0,-0.0968816061761442,-0.224335575097336,1,1
"22",77,1,1,3960.30624389648,656.894351886567,0.165869584681476,5153.5,2693.89990234375,0,-225.266676391299,3548.87810516357,635.940917553474,0.179194917015659,5045.60009765625,2384.69995117188,0,-427.989995421126,411.42813873291,20.9534343330927,-0.0133253323341823,0,-0.0634754617419908,-0.120598674493329,1,1
