"","CellID","CompID","BaseID","CompYield_Mean","CompYield_SD","CompYield_CV","CompYield_Max","CompYield_Min","CompCropFailureProb","CompMinPropSOSDBase","BaseYield_Mean","BaseYield_SD","BaseYield_CV","BaseYield_Max","BaseYield_Min","BaseCropFailureProb","BaseMinPropSOSDComp","Diff_Mean_CompBase","Diff_SD_CompBase","Diff_CV_CompBase","Diff_CropFailureProbCompBase","MinProp_CompSOSDBase_Divdbaseyield","MinProp_BaseSOSDComp_Divdbaseyield","Riskiness_Comp","WheatArea"
"1",1,1,1,4678.62422318892,494.125018062655,0.105613315900344,5667.60009765625,3740.69995117188,0,-417.402986332046,4261.22123579545,580.981624426708,0.136341577279842,5429.5,2978.60009765625,0,-776.899908283888,417.402987393465,-86.8566063640532,-0.0307282613794972,0,-0.0979538407500986,-0.182318604290646,1,1
"2",2,1,1,4676.263634884,482.108126722149,0.103096866294218,5693.7998046875,3845.60009765625,0,-460.266640521992,4215.99698893229,588.027236333733,0.139475250546289,5368.5,2928.69995117188,0,-925.800054606387,460.266645951704,-105.919109611584,-0.0363783842520713,0,-0.109171482268671,-0.219592200145486,1,1
"3",3,1,1,4613.97877456203,512.950323285929,0.111173099909767,5910.60009765625,3412.39990234375,0,-482.228087361641,4128.09093128551,603.77844448503,0.146260936237906,5307.60009765625,2859.5,0,-744.733317621444,485.887843276516,-90.8281211991012,-0.0350878363281394,0,-0.116816246392972,-0.180406228936805,1,1
"4",4,1,1,4621.38787286932,517.108714217196,0.111894679356601,5973.5,3420.30004882812,0,-457.54686124046,4158.9424198035,607.394082396323,0.146045321402892,5354.2998046875,2854.39990234375,0,-764.000003734722,462.445453065814,-90.2853681791267,-0.0341506420462908,0,-0.110015194983651,-0.183700548508873,1,1
"5",5,1,1,4645.40302438447,509.248296536845,0.1096241367786,5606.7998046875,3427.30004882812,0,-443.781781271408,4201.62124171402,603.986718951683,0.143750872390699,5433.10009765625,2895.80004882812,0,-708.40002988712,443.781782670455,-94.7384224148385,-0.0341267356120995,0,-0.10562155790377,-0.168601591893641,1,1
"6",6,1,1,4621.31213008996,501.697953200612,0.108561797835293,5511.60009765625,3422.30004882812,0,-466.993961431399,4154.31816702178,607.162130250152,0.146152053318878,5342,2852.10009765625,0,-763.15003156955,466.993963068182,-105.46417704954,-0.0375902554835857,0,-0.112411698540217,-0.183700429501925,1,1
"7",7,1,1,4623.27875680634,491.054901778513,0.106213561329303,5494.7998046875,3648.80004882812,0,-513.066626785552,4110.21212861032,598.344321938814,0.145575046546592,5254.5,2842.39990234375,0,-858.850103347598,513.066628196023,-107.289420160301,-0.0393614852172892,0,-0.124827286459062,-0.208955177123176,1,1
"8",8,1,1,4611.45762310606,505.433061117126,0.109603752745036,5610.10009765625,3687.10009765625,0,-535.978836010281,4075.47878196023,602.632596944892,0.147867926490599,5181.89990234375,2804.5,0,-912.750123392957,535.978841145833,-97.1995358277654,-0.0382641737455636,0,-0.131513096910907,-0.223961446550322,1,1
"9",9,1,1,4597.3818359375,493.380517410621,0.107317715825536,5556.7001953125,3745.19995117188,0,-567.148495965801,4030.23333925189,606.492054461768,0.150485593118126,5086.89990234375,2738.30004882812,0,-1029.54993035221,567.148496685606,-113.111537051147,-0.0431678772925904,0,-0.140723488747447,-0.255456655654414,1,1
"10",10,1,1,4580.03329930161,508.245746038972,0.110969880091586,5532.5,3674.39990234375,0,-588.499973973259,3991.53332149621,608.521203369754,0.152452993463086,4991,2690.10009765625,0,-1018.84986028448,588.499977805398,-100.275457330781,-0.0414831133715001,0,-0.147437069059131,-0.25525275081571,1,1
"11",11,1,1,4562.71819513494,478.777668502221,0.104932552927052,5368.7001953125,3671.39990234375,0,-569.445500561471,3993.27269028172,605.681198424542,0.15167539143985,4971.7998046875,2705.30004882812,0,-1001.99988195004,569.44550485322,-126.903529922321,-0.0467428385127976,0,-0.142601205759704,-0.250921977952713,1,1
"12",12,1,1,4566.83030746922,517.37803119609,0.113290399765872,5648.39990234375,3275.69995117188,0,-521.300048497565,4022.39698005445,617.706952908905,0.153566879642134,5192.10009765625,2754.39990234375,0,-779.333418253456,544.433327414772,-100.328921712814,-0.0402764798762615,0,-0.129599353590035,-0.19374850918939,1,1
"13",13,1,1,4578.49089281487,499.981219153742,0.109202187108939,5674.5,3279.19995117188,0,-497.599849212598,4035.93639026989,611.644219099961,0.151549519109011,5264.5,2781.60009765625,0,-831.133226679811,542.554502544981,-111.662999946219,-0.0423473320000726,0,-0.123292292319633,-0.205933182862734,1,1
"14",14,1,1,4552.73030598958,516.229810028648,0.113389060043705,5803.5,3270.89990234375,0,-519.699944905594,4010.30302290483,617.947642754002,0.154090012456564,5170.5,2751.19995117188,0,-851.199954464671,542.427283084754,-101.717832725354,-0.0407009524128593,0,-0.129591190974181,-0.21225327602504,1,1
"15",15,1,1,4537.22728012547,509.153005994816,0.112216773496243,5769.2001953125,3455.60009765625,0,-562.340667278208,3970.94844193892,618.025479780269,0.155636742409705,5076.89990234375,2724.80004882812,0,-899.550053952108,566.278838186552,-108.872473785453,-0.0434199689134622,0,-0.141613691414142,-0.226532796158108,1,1
"16",16,1,1,4535.2060398911,507.953784860946,0.112002361170154,5777.5,3504.39990234375,0,-597.659339998535,3933.30303030303,618.003676669598,0.157120789298043,5039.7998046875,2692.80004882812,0,-948.999880521229,601.903009588068,-110.049891808652,-0.0451184281278895,0,-0.151948460465425,-0.241273014870689,1,1
"17",17,1,1,4528.77878639915,507.798246346944,0.112126970712715,5769.2998046875,3553.39990234375,0,-627.134386718273,3897.49393347538,617.724316651819,0.158492694843273,5005.2001953125,2653.10009765625,0,-1004.94995586574,631.284852923769,-109.926070304875,-0.0463657241305572,0,-0.160907084763326,-0.257845162306547,1,1
"18",18,1,1,4506.80909682765,496.654264962521,0.110200865910233,5761.39990234375,3547.5,0,-640.724956328963,3858.25762014678,611.488390433603,0.158488222051471,4862.39990234375,2609.30004882812,0,-1021.55005439224,648.551476680871,-114.834125471081,-0.0482873561412382,0,-0.166065882429227,-0.264769788584873,1,1
