"","Statistics","Rice_Wheat_farmerpractice","Rice_Wheat_medium_long","Rice_Wheat_onset_long","Rice_Wheat_onset_long_suppl","Rice_Wheat_onset_medium","Rice_Wheat_onset_medium_suppl"
"1","WeightedMean_UB",-15.3141490206052,40.4022357263721,12.3044677552891,7.83663202295966,23.7953462754177,25.4033713944665
"2","WeightedSD_UB",22.824989210175,28.9839716174521,42.8848143716718,46.2745725675756,31.3441500656274,34.6198911549722
"3","Min_UB",-97.7687915732281,-25.0053863851338,-80.6496190290789,-95.6868233997001,-62.8918414404199,-82.8988587453008
"4","Percentile10_UB",-36.4017292606193,-10.727211386303,-42.5205772869994,-49.4350143622721,-21.5796219493832,-17.5377696889624
"5","Percentile25_UB",-26.8834558098569,24.8835371162293,-16.264165621918,-27.2467440975708,7.19174033146721,-1.90907936335794
"6","Median_UB",-18.737907313506,47.1456430196643,2.00473152581616,1.42728666544249,24.0443367935899,23.2206141920444
"7","Percentile75_UB",-8.08800057814211,62.1365356201303,48.4359983774677,41.7429338002966,48.2118198389193,52.5478300793283
"8","Percentile90_UB",6.10364484663684,72.2132369685913,77.3323930411135,79.2243851984296,63.9273153994372,74.1468417761521
"9","Max_UB",99.8473433471725,96.5723074815498,103.13144497945,112.415595649489,137.491182399763,129.419472297187
"10","WeightedMean_LB",-50.404202978619,3.50555752078266,-16.1228747511753,-24.1937944080758,-8.78096067155028,-5.70050921532607
"11","WeightedSD_LB",26.6257591078034,25.8339724771933,44.0833426123514,47.5654901921261,28.3254857259483,32.8148700434447
"12","Min_LB",-126.28708080256,-54.1955384841935,-115.695511616206,-112.725368374418,-103.659520314686,-118.823251340607
"13","Percentile10_LB",-79.5695924753386,-23.4277533731387,-73.366136717162,-82.8167404228267,-38.0980036477113,-47.7219334703318
"14","Percentile25_LB",-66.271179272618,-16.2720913159361,-54.8319770547702,-66.1114054302465,-23.1861462449054,-23.2261882440442
"15","Median_LB",-52.7469272532213,-0.93517339850967,-13.8650122112069,-28.3316732309819,-12.8661648692125,-6.42960365942637
"16","Percentile75_LB",-35.9396679730096,20.9783437821595,16.2353450674192,13.9730479391589,6.85034333804783,12.3115037525856
"17","Percentile90_LB",-21.1899976639266,41.4410881377991,44.4949927488348,43.6706183911522,29.0453277476982,36.9210238849685
"18","Max_LB",89.6633298063344,76.4019139795957,90.4422511367334,97.0789561956232,120.333015684055,99.985738021662
"19","PropLandinGreen",0.0215843857634904,0.488117106773864,0.370436280137782,0.312227324913885,0.316016073478754,0.380424799081527
"20","PropLandinYellow",0.127497129736136,0.374339839265171,0.175258323765746,0.212284730195147,0.475200918484521,0.349885189437435
"21","PropLandinRed",0.850918484500374,0.137543053960965,0.454305396096473,0.475487944890968,0.208783008036725,0.269690011481038
"22","TotalAcres",17420,17420,17420,17420,17420,17420
"23","NumberofCells",17420,17420,17420,17420,17420,17420
