"","CellID","CompID","BaseID","CompYield_Mean","CompYield_SD","CompYield_CV","CompYield_Max","CompYield_Min","CompCropFailureProb","CompMinPropSOSDBase","BaseYield_Mean","BaseYield_SD","BaseYield_CV","BaseYield_Max","BaseYield_Min","BaseCropFailureProb","BaseMinPropSOSDComp","Diff_Mean_CompBase","Diff_SD_CompBase","Diff_CV_CompBase","Diff_CropFailureProbCompBase","MinProp_CompSOSDBase_Divdbaseyield","MinProp_BaseSOSDComp_Divdbaseyield","Riskiness_Comp","RiceArea"
"1",1,1,1,4638.92727568655,527.393630509595,0.113688704126439,6535.60009765625,3531.39990234375,0,-155.693950233965,4483.23332445549,3650.78206458433,0.814318997110804,8490.900390625,0,0.363636363636364,-4190.46663643235,155.693951231061,-3123.38843407474,-0.700630292984366,-0.363636363636364,-0.034728049817232,-0.934697423302479,1,1
"2",2,1,1,4612.30607836174,518.984627830166,0.11252172319286,6430.10009765625,3433.69995117188,0,-178.527274663094,4433.77880119555,3614.40105277728,0.815196520810347,8434.900390625,0,0.363636363636364,-4177.80839223212,178.527277166193,-3095.41642494712,-0.702674797617487,-0.363636363636364,-0.0402652641613414,-0.942268114752497,1,1
"3",3,1,1,4560.6181566643,503.110387129798,0.110316270699975,6340.89990234375,3641.69995117188,0,69.8758021300335,4630.49395382043,3491.96961223474,0.75412464567709,8171.39990234375,0,0.303030303030303,-4082.85998587852,-69.8757971561317,-2988.85922510494,-0.643808374977116,-0.303030303030303,0.0150903559807873,-0.881733142640197,0,1
"4",4,1,1,4561.16968513258,517.338872851228,0.113422413232625,6537.7001953125,3613.30004882812,0,-401.384839544328,4159.78484182647,3577.28749619084,0.859969357121878,8255.2998046875,0,0.363636363636364,-4123.26668537746,401.384843306108,-3059.94862333961,-0.746546943889253,-0.363636363636364,-0.0964917308963723,-0.991221142958689,1,1
"5",5,1,1,4579.72119880445,486.808328715108,0.106296498756778,6292.5,3548.80004882812,0,124.39092545811,4704.11212343158,3550.19951580167,0.754701295940168,8930.7001953125,0,0.303030303030303,-4103.59001643931,-124.390924627131,-3063.39118708656,-0.64840479718339,-0.303030303030303,0.0264430188299527,-0.872341030308139,0,1
"6",6,1,1,4571.68789210464,486.998146432931,0.106524801763914,6333.7001953125,3541.5,0,636.624256748706,5208.31214673591,3370.42646132322,0.647124512964433,8483.7998046875,0,0.242424242424242,-4047.75009441189,-636.624254631274,-2883.42831489029,-0.540599711200519,-0.242424242424242,0.122232354515787,-0.777171179524762,0,1
"7",7,1,1,4557.92126094934,490.282158716604,0.107567053190929,6255.39990234375,3507.69995117188,0,239.324208387573,4797.24546490294,3561.80339098044,0.742468447161794,8731.400390625,0,0.333333333333333,-4106.18188829952,-239.324203953599,-3071.52123226384,-0.634901393970865,-0.333333333333333,0.0498878387896741,-0.855945754358558,0,1
"8",8,1,1,4529.43938654119,504.493865623993,0.111381083302064,6336.60009765625,3467.39990234375,0,31.0333449389823,4560.47273023201,3636.12295298235,0.797312727884103,8670.400390625,0,0.363636363636364,-4080.74164146437,-31.0333436908149,-3131.62908735835,-0.68593164458204,-0.363636363636364,0.00680485264899358,-0.894806719139569,0,1
"9",9,1,1,4504.00609611742,499.441292476177,0.11088823634291,6316,3434.19995117188,0,-218.266678494865,4285.73941317472,3686.98266311947,0.860290910778519,9139,0,0.393939393939394,-4089.31539573921,218.266682942708,-3187.5413706433,-0.749402674435609,-0.393939393939394,-0.050928593050687,-0.954167997981473,1,1
"10",10,1,1,4496.62727864583,508.407248954659,0.113064129501916,6305,3395.10009765625,0,-95.0454488712498,4401.58182779948,3567.75770203827,0.810562620807149,8186.2998046875,0,0.363636363636364,-4054.61670083642,95.0454508463536,-3059.35045308361,-0.697498491305233,-0.363636363636364,-0.0215934753889982,-0.921172628264753,1,1
