"","CellID","CompID","BaseID","CompYield_Mean","CompYield_SD","CompYield_CV","CompYield_Max","CompYield_Min","CompCropFailureProb","CompMinPropSOSDBase","BaseYield_Mean","BaseYield_SD","BaseYield_CV","BaseYield_Max","BaseYield_Min","BaseCropFailureProb","BaseMinPropSOSDComp","Diff_Mean_CompBase","Diff_SD_CompBase","Diff_CV_CompBase","Diff_CropFailureProbCompBase","MinProp_CompSOSDBase_Divdbaseyield","MinProp_BaseSOSDComp_Divdbaseyield","Riskiness_Comp","RiceArea"
"1",1,1,1,4615.02119584517,491.685882797957,0.106540330354412,6413.5,4018,0,-131.787868175913,4483.23332445549,3650.78206458433,0.814318997110804,8490.900390625,0,0.363636363636364,-4198.65830811369,131.787871389678,-3159.09618178638,-0.707778666756393,-0.363636363636364,-0.0293957192584705,-0.936524602726011,1,1
"2",2,1,1,4566.14242276278,497.747162911863,0.109008243026002,6366.7998046875,3717.39990234375,0,-132.363616781588,4433.77880119555,3614.40105277728,0.815196520810347,8434.900390625,0,0.363636363636364,-4140.78330933445,132.363621567235,-3116.65388986542,-0.706188277784345,-0.363636363636364,-0.0298534551939978,-0.93391743138334,1,1
"3",3,1,1,4490.39091352983,532.844864656366,0.118663358027666,6361.60009765625,3533.5,0,140.103041783674,4630.49395382043,3491.96961223474,0.75412464567709,8171.39990234375,0,0.303030303030303,-3952.25007326761,-140.103040290601,-2959.12474757837,-0.635461287649425,-0.303030303030303,0.0302566082972812,-0.853526667496623,0,1
"4",4,1,1,4493.54848780777,504.924640342531,0.11236657214505,6396.2998046875,3635.5,0,-333.76364133515,4159.78484182647,3577.28749619084,0.859969357121878,8255.2998046875,0,0.363636363636364,-4054.64168554188,333.763645981297,-3072.36285584831,-0.747602784976828,-0.363636363636364,-0.0802357944043572,-0.974723895518013,1,1
"5",5,1,1,4522.05452473958,481.786958581732,0.106541607569289,6462.89990234375,3824,0,182.057598970625,4704.11212343158,3550.19951580167,0.754701295940168,8930.7001953125,0,0.303030303030303,-4084.18999312043,-182.057598691998,-3068.41255721994,-0.648159688370879,-0.303030303030303,0.0387017983826917,-0.86821697399106,0,1
"6",6,1,1,4526.83334073153,458.621665270053,0.10131180689677,6209.10009765625,3877.80004882812,0,681.478810792122,5208.31214673591,3370.42646132322,0.647124512964433,8483.7998046875,0,0.242424242424242,-4050.1874717772,-681.47880600438,-2911.80479605316,-0.545812706067663,-0.242424242424242,0.130844463924692,-0.777639157882555,0,1
"7",7,1,1,4498.61510860559,449.604905071751,0.099942958936781,6247,3845.30004882812,0,298.630361172174,4797.24546490294,3561.80339098044,0.742468447161794,8731.400390625,0,0.333333333333333,-4097.40907132475,-298.630356297349,-3112.19848590869,-0.642525488225013,-0.333333333333333,0.0622503816736042,-0.854117034723729,0,1
"8",8,1,1,4485.84245531487,472.974569783483,0.10543717807635,6321.39990234375,3843.60009765625,0,74.6302794535636,4560.47273023201,3636.12295298235,0.797312727884103,8670.400390625,0,0.363636363636364,-4082.25006514729,-74.6302749171409,-3163.14838319886,-0.691875549807754,-0.363636363636364,0.0163645928543392,-0.895137479517306,0,1
"9",9,1,1,4456.34238873106,500.248941667047,0.112255499696802,6297.39990234375,3526.69995117188,0,-170.602974684021,4285.73941317472,3686.98266311947,0.860290910778519,9139,0,0.393939393939394,-4034.69227073135,170.602975556345,-3186.73372145243,-0.748035411081717,-0.393939393939394,-0.0398071273674675,-0.941422676873066,1,1
"10",10,1,1,4444.263634884,497.421576162371,0.11192440796221,6361,3488,0,-42.681806114691,4401.58182779948,3567.75770203827,0.810562620807149,8186.2998046875,0,0.363636363636364,-4019.26666494766,42.6818070845165,-3070.3361258759,-0.698638212844939,-0.363636363636364,-0.00969692437503298,-0.913141416470508,1,1
"11",11,1,1,4473.69093276515,515.361762014938,0.115198338410114,6272.89990234375,3501.10009765625,0,2.62116887682123,4476.31210049716,3640.34458028921,0.813246373032144,8577.599609375,0,0.363636363636364,-4019.25004112369,-2.62116773200705,-3124.98281827428,-0.69804803462203,-0.363636363636364,0.000585564370395467,-0.897893165375419,0,1
"12",12,1,1,4454.01820697206,472.804659223396,0.106152385835176,6190.7001953125,3666.80004882812,0,-149.812147812971,4304.2060546875,3581.34782367239,0.832057707779143,8270.2998046875,0,0.393939393939394,-4050.80001387593,149.812152284564,-3108.543164449,-0.725905321943968,-0.393939393939394,-0.0348059888187318,-0.941125950386228,1,1
"13",13,1,1,4450.5303178267,463.741506755532,0.10419915687306,6216.39990234375,3802.89990234375,0,148.18784162688,4598.71815814394,3439.05746606997,0.747829579418711,8588.2998046875,0,0.333333333333333,-4027.25457554075,-148.187840317234,-2975.31595931444,-0.643630422545651,-0.333333333333333,0.0322237276847358,-0.875734158312969,0,1
"14",14,1,1,4443.60609759706,455.369344385785,0.102477432604126,6218.2998046875,3797.89990234375,0,257.093878244399,4700.69997336648,3376.28643606281,0.718251846574422,8521.7001953125,0,0.272727272727273,-3980.21113115685,-257.093875769413,-2920.91709167702,-0.615774413970296,-0.272727272727273,0.0546926797500495,-0.846727328633646,0,1
"15",15,1,1,4416.0575949929,446.828905210373,0.101182762135395,6217,3807.80004882812,0,130.175707795517,4546.23329486269,3496.57361304819,0.769114426441636,8178.7998046875,0,0.333333333333333,-4010.81820903529,-130.175699869791,-3049.74470783781,-0.667931664306241,-0.333333333333333,0.0286337500415162,-0.882228858243498,0,1
"16",16,1,1,4401.86666222775,434.945620257277,0.0988093583091758,6109.39990234375,3824.60009765625,0,431.096978043338,4832.96363784328,3423.50442817309,0.708365442968829,8798.900390625,0,0.303030303030303,-3984.53005624226,-431.096975615531,-2988.55880791582,-0.609556084659653,-0.303030303030303,0.0891993009564037,-0.824448589896772,0,1
"17",17,1,1,4385.18786991004,442.443745038573,0.100895049006794,6093.2998046875,3750.30004882812,0,201.527317342794,4586.71518406723,3593.08240431503,0.783367237799338,8820.2001953125,0,0.363636363636364,-3999.22501864636,-201.527314157197,-3150.63865927646,-0.682472188792544,-0.363636363636364,0.0439371770985116,-0.871914836251088,0,1
"18",18,1,1,4354.79999704072,473.581223848652,0.108749247765792,6087.39990234375,3300.10009765625,0,2.09091206285257,4356.89090613163,3594.24868291333,0.824957236788968,8411.099609375,0,0.393939393939394,-3957.27689722667,-2.09090909090901,-3120.66745906468,-0.716207989023176,-0.393939393939394,0.000479909207712762,-0.908280005739284,0,1
"19",19,1,1,4407.34544418797,518.494814812245,0.117643334605412,6257.7998046875,3306.19995117188,0,-101.563630422545,4305.78181226326,3680.41389817097,0.85476089096963,9544.900390625,0,0.393939393939394,-3955.94615868117,101.563631924715,-3161.91908335873,-0.737117556364218,-0.393939393939394,-0.0235877326931158,-0.918752117772033,1,1
