"","CellID","CompID","BaseID","CompYield_Mean","CompYield_SD","CompYield_CV","CompYield_Max","CompYield_Min","CompCropFailureProb","CompMinPropSOSDBase","BaseYield_Mean","BaseYield_SD","BaseYield_CV","BaseYield_Max","BaseYield_Min","BaseCropFailureProb","BaseMinPropSOSDComp","Diff_Mean_CompBase","Diff_SD_CompBase","Diff_CV_CompBase","Diff_CropFailureProbCompBase","MinProp_CompSOSDBase_Divdbaseyield","MinProp_BaseSOSDComp_Divdbaseyield","Riskiness_Comp","WheatArea"
"1",1,1,1,4261.22123579545,580.981624426708,0.136341577279842,5429.5,2978.60009765625,0,-929.769725247281,3331.45150479403,2117.11532474798,0.63549336428923,5475.7001953125,0,0.272727272727273,-3541.01115403566,929.769731001421,-1536.13370032127,-0.499151787009389,-0.272727272727273,-0.279088476572245,-1.06290340680033,1,1
"2",2,1,1,4215.99698893229,588.027236333733,0.139475250546289,5368.5,2928.69995117188,0,-914.706091040807,3301.29089725379,2097.29708209495,0.635296054594766,5300.60009765625,0,0.272727272727273,-3490.21110519023,914.706091678504,-1509.26984576121,-0.495820804048477,-0.272727272727273,-0.277075277371562,-1.05722616207302,1,1
"3",3,1,1,4128.09093128551,603.77844448503,0.146260936237906,5307.60009765625,2859.5,0,-976.16364024969,3151.92729048295,2162.26466395328,0.686013497355127,5423.7001953125,0,0.303030303030303,-3412.00000406415,976.163640802557,-1558.48621946825,-0.53975256111722,-0.303030303030303,-0.309703730538821,-1.08251228204612,1,1
"4",4,1,1,4158.9424198035,607.394082396323,0.146045321402892,5354.2998046875,2854.39990234375,0,-1322.10302544571,2836.83939245975,2223.5147912062,0.78380002657755,5423.10009765625,0,0.363636363636364,-3535.95831498597,1322.10302734375,-1616.12070880987,-0.637754705174659,-0.363636363636364,-0.466047894343201,-1.24644289852448,1,1
"5",5,1,1,4201.62124171402,603.986718951683,0.143750872390699,5433.10009765625,2895.80004882812,0,-1096.70303816587,3104.91819809422,2126.50925163748,0.684884147009965,5424.7998046875,0,0.303030303030303,-3499.800002896,1096.70304361979,-1522.52253268579,-0.541133274619265,-0.303030303030303,-0.353214792853164,-1.12717945517668,1,1
"6",6,1,1,4154.31816702178,607.162130250152,0.146152053318878,5342,2852.10009765625,0,-615.930280049209,3538.38788026752,1915.71353643875,0.541408573978587,5335.5,0,0.212121212121212,-3286.77141737839,615.930286754261,-1308.5514061886,-0.395256520659708,-0.212121212121212,-0.174070876594412,-0.9288895193508,1,1
"7",7,1,1,4110.21212861032,598.344321938814,0.145575046546592,5254.5,2842.39990234375,0,-749.569676712155,3360.64244495739,1988.96748529747,0.591841446352586,5327.89990234375,0,0.242424242424242,-3312.31250378117,749.569683652936,-1390.62316335866,-0.446266399805994,-0.242424242424242,-0.223043566517134,-0.985618838669155,1,1
"8",8,1,1,4075.47878196023,602.632596944892,0.147867926490599,5181.89990234375,2804.5,0,-890.533328857034,3184.94545306581,2032.95940482989,0.638302738551762,5323.5,0,0.272727272727273,-3328.68886181073,890.533328894413,-1430.326807885,-0.490434812061162,-0.272727272727273,-0.279607089659828,-1.04513214146464,1,1
"9",9,1,1,4030.23333925189,606.492054461768,0.150485593118126,5086.89990234375,2738.30004882812,0,-1209.63034039641,2820.60299775095,2207.8408303303,0.782754904568545,5316.89990234375,0,0.363636363636364,-3397.30835342964,1209.63034150095,-1601.34877586853,-0.632269311450419,-0.363636363636364,-0.428855227538552,-1.20446172543195,1,1
"10",10,1,1,3991.53332149621,608.521203369754,0.152452993463086,4991,2690.10009765625,0,-923.206056982262,3068.32725941051,2109.63268511199,0.687551394213829,5265.39990234375,0,0.303030303030303,-3282.26999554744,923.206062085701,-1501.11148174224,-0.535098400750743,-0.303030303030303,-0.30088252618778,-1.06972617913581,1,1
"11",11,1,1,3993.27269028172,605.681198424542,0.15167539143985,4971.7998046875,2705.30004882812,0,-1053.39692988589,2939.87575461648,2157.21117713324,0.733776307976887,5268.2001953125,0,0.333333333333333,-3319.32728229502,1053.39693566525,-1551.5299787087,-0.582100916537038,-0.333333333333333,-0.358313417916298,-1.12907060003563,1,1
"12",12,1,1,4022.39698005445,617.706952908905,0.153566879642134,5192.10009765625,2754.39990234375,0,-1294.76364421472,2727.63333037405,2265.36873851184,0.83052539110936,5222.2998046875,0,0.393939393939394,-3427.25383438915,1294.7636496804,-1647.66178560293,-0.676958511467226,-0.393939393939394,-0.474683906299518,-1.25649360426284,1,1
"13",13,1,1,4035.93639026989,611.644219099961,0.151549519109011,5264.5,2781.60009765625,0,-1024.76667255579,3011.16971472538,2200.63910279873,0.730825330779945,5220.2998046875,0,0.333333333333333,-3354.9727482843,1024.76667554451,-1588.99488369877,-0.579275811670934,-0.333333333333333,-0.3403217917424,-1.11417590708277,1,1
"14",14,1,1,4010.30302290483,617.947642754002,0.154090012456564,5170.5,2751.19995117188,0,-791.84848544641,3218.45453065814,2042.08348310467,0.634491947502232,5285.2998046875,0,0.272727272727273,-3229.05555576704,791.848492246685,-1424.13584035067,-0.480401935045668,-0.272727272727273,-0.246033764933906,-1.00329382472485,1,1
"15",15,1,1,3970.94844193892,618.025479780269,0.155636742409705,5076.89990234375,2724.80004882812,0,-995.081753461996,2975.86668442235,2172.17482476617,0.729930153167402,5279.10009765625,0,0.333333333333333,-3278.31816006977,995.081757516573,-1554.1493449859,-0.574293410757696,-0.333333333333333,-0.334383848131004,-1.10163475307232,1,1
"16",16,1,1,3933.30303030303,618.003676669598,0.157120789298043,5039.7998046875,2692.80004882812,0,-829.869693008137,3103.43333481297,2113.57823382887,0.681045154126451,5272.89990234375,0,0.303030303030303,-3210.08003217144,829.869695490057,-1495.57455715927,-0.523924364828407,-0.303030303030303,-0.267403744007973,-1.03436410125591,1,1
"17",17,1,1,3897.49393347538,617.724316651819,0.158492694843273,5005.2001953125,2653.10009765625,0,-1091.59997985435,2805.89394679214,2187.04901158894,0.779448209042007,5268.10009765625,0,0.363636363636364,-3249.83331560122,1091.59998668324,-1569.32469493712,-0.620955514198735,-0.363636363636364,-0.389038217607025,-1.15821673136172,1,1
"18",18,1,1,3858.25762014678,611.488390433603,0.158488222051471,4862.39990234375,2609.30004882812,0,-1153.94852447032,2704.30908942945,2251.02621231312,0.832384959660081,5353.2998046875,0,0.393939393939394,-3251.84617690639,1153.94853071733,-1639.53782187952,-0.67389673760861,-0.393939393939394,-0.426707334964355,-1.20246838263316,1,1
"19",19,1,1,3854.44545306581,612.819162792173,0.158990228362095,4852.7001953125,2616.80004882812,0,-1257.72725562003,2596.71819513494,2175.18154191497,0.83766561423194,5269.2001953125,0,0.393939393939394,-3243.87693805608,1257.72725793087,-1562.36237912279,-0.678675385869845,-0.393939393939394,-0.484352617845262,-1.24922178468715,1,1
"20",20,1,1,3855.21212861032,613.143131227631,0.15904264428859,4844.2998046875,2609.60009765625,0,-1264.59999657974,2590.61212713068,2173.50099162379,0.83899128274024,5271.89990234375,0,0.393939393939394,-3242.30769676913,1264.60000147964,-1560.35786039616,-0.67994863845165,-0.393939393939394,-0.488147177007307,-1.25156045662469,1,1
"21",21,1,1,3855.34238873106,614.662218012442,0.159431291967495,4836.39990234375,2600.69995117188,0,-1243.1575274298,2612.18485884233,2184.26386621041,0.836182729877103,5325.10009765625,0,0.393939393939394,-3238.43074454145,1243.15752988873,-1569.60164819797,-0.676751437909608,-0.393939393939394,-0.475907179088676,-1.23974026324334,1,1
"22",22,1,1,3863.45455285275,647.525730146868,0.16760278173034,5251.2001953125,2646.60009765625,0,-1292.95756346366,2570.49698893229,2273.98526686952,0.884648095936523,5173.2998046875,0,0.424242424242424,-3267.14285794974,1292.95756392045,-1626.45953672265,-0.717045314206183,-0.424242424242424,-0.502999057781709,-1.27101602219998,1,1
"23",23,1,1,3873.87275834517,648.232373354101,0.167334451540172,5240.2001953125,2633.80004882812,0,-1162.73641388147,2711.13634144176,2255.41159143754,0.831906369650937,5168,0,0.393939393939394,-3242.62311017883,1162.73641690341,-1607.17921808344,-0.664571918110765,-0.393939393939394,-0.42887419422925,-1.19603837719737,1,1
