"","CellID","CompID","BaseID","CompYield_Mean","CompYield_SD","CompYield_CV","CompYield_Max","CompYield_Min","CompCropFailureProb","CompMinPropSOSDBase","BaseYield_Mean","BaseYield_SD","BaseYield_CV","BaseYield_Max","BaseYield_Min","BaseCropFailureProb","BaseMinPropSOSDComp","Diff_Mean_CompBase","Diff_SD_CompBase","Diff_CV_CompBase","Diff_CropFailureProbCompBase","MinProp_CompSOSDBase_Divdbaseyield","MinProp_BaseSOSDComp_Divdbaseyield","Riskiness_Comp","WheatArea"
"1",1,1,1,4643.08783883759,508.338382175034,0.10948282690734,5712.7998046875,3552.80004882812,0,-1311.63633011159,3331.45150479403,2117.11532474798,0.63549336428923,5475.7001953125,0,0.272727272727273,-4026.81111958759,1311.63633404356,-1608.77694257295,-0.52601053738189,-0.272727272727273,-0.393713169236928,-1.20872572024324,1,1
"2",2,1,1,4617.74846117424,512.842487910894,0.111058991675888,5693.2001953125,3533.89990234375,0,-1316.45755907382,3301.29089725379,2097.29708209495,0.635296054594766,5300.60009765625,0,0.272727272727273,-3994.07774923603,1316.45756392045,-1584.45459418405,-0.524237062918878,-0.272727272727273,-0.398770541599024,-1.20985331906332,1,1
"3",3,1,1,4626.25455729167,508.165854150062,0.109843902417587,5522.2998046875,3630,0,-1474.32726500928,3151.92729048295,2162.26466395328,0.686013497355127,5423.7001953125,0,0.303030303030303,-4033.75005015358,1474.32726680871,-1654.09880980322,-0.57616959493754,-0.303030303030303,-0.467754211672624,-1.27977255767709,1,1
"4",4,1,1,4631.7363577178,508.053778934354,0.109689701592749,5625.60009765625,3591.39990234375,0,-1794.89696238393,2836.83939245975,2223.5147912062,0.78380002657755,5423.10009765625,0,0.363636363636364,-4102.50834239518,1794.89696525805,-1715.46101227184,-0.674110324984801,-0.363636363636364,-0.632710109410747,-1.44615460194875,1,1
"5",5,1,1,4637.70302882339,508.000383415393,0.109537066142046,5699.10009765625,3585.89990234375,0,-1532.78482822888,3104.91819809422,2126.50925163748,0.684884147009965,5424.7998046875,0,0.303030303030303,-4062.9399191048,1532.78483072917,-1618.50886822209,-0.575347080867919,-0.303030303030303,-0.493663513959784,-1.30854974588335,1,1
"6",6,1,1,4605.92121656013,520.717354698469,0.113053899581756,5682.60009765625,3564.30004882812,0,-1067.53333068563,3538.38788026752,1915.71353643875,0.541408573978587,5335.5,0,0.212121212121212,-3909.78574928522,1067.53333629261,-1394.99618174028,-0.42835467439683,-0.212121212121212,-0.301700482482128,-1.10496245227632,1,1
"7",7,1,1,4579.36971028646,500.796257220094,0.109359210743604,5479.5,3542.39990234375,0,-1218.7272651894,3360.64244495739,1988.96748529747,0.591841446352586,5327.89990234375,0,0.242424242424242,-3923.13748720847,1218.72726532907,-1488.17122807738,-0.482482235608982,-0.242424242424242,-0.362647108447402,-1.16737723559229,1,1
"8",8,1,1,4545.59090169271,523.964058173168,0.115268634926661,5462.89990234375,3358.69995117188,0,-1360.64544490117,3184.94545306581,2032.95940482989,0.638302738551762,5323.5,0,0.272727272727273,-3896.36662302786,1360.64544862689,-1508.99534665672,-0.523034103625101,-0.272727272727273,-0.42721153782757,-1.22336996989296,1,1
"9",9,1,1,4506.16368519176,525.230291343336,0.116558191853829,5444.7001953125,3333.5,0,-1685.5606855874,2820.60299775095,2207.8408303303,0.782754904568545,5316.89990234375,0,0.363636363636364,-3943.6500096033,1685.56068744081,-1682.61053898696,-0.666196712714717,-0.363636363636364,-0.597588773369172,-1.39815848339799,1,1
"10",10,1,1,4474.91814630682,515.064066399048,0.115100220732335,5425.7001953125,3452.30004882812,0,-1406.59088087734,3068.32725941051,2109.63268511199,0.687551394213829,5265.39990234375,0,0.303030303030303,-3868.50000655091,1406.59088689631,-1594.56861871295,-0.572451173481494,-0.303030303030303,-0.458422704606671,-1.26078468151866,1,1
"11",11,1,1,4470.08184629498,504.469036478643,0.11285454133167,5504.2998046875,3513.89990234375,0,-1530.20608835958,2939.87575461648,2157.21117713324,0.733776307976887,5268.2001953125,0,0.333333333333333,-3915.01818189013,1530.2060916785,-1652.7421406546,-0.620921766645218,-0.333333333333333,-0.520500257861816,-1.33169511525866,1,1
"12",12,1,1,4576.31213008996,511.585498748303,0.111789905103839,5489.10009765625,3591,0,-1848.67879932278,2727.63333037405,2265.36873851184,0.83052539110936,5222.2998046875,0,0.393939393939394,-4049.15381434632,1848.67879971591,-1753.78323976353,-0.718735486005522,-0.393939393939394,-0.677759278982435,-1.48449345051486,1,1
"13",13,1,1,4583.02120324337,509.421565093798,0.111154093010367,5489,3588.10009765625,0,-1571.85148692636,3011.16971472538,2200.63910279873,0.730825330779945,5220.2998046875,0,0.333333333333333,-4000.0818147578,1571.85148851799,-1691.21753770493,-0.619671237769578,-0.333333333333333,-0.522006939442707,-1.32841460087633,1,1
