"","CellID","CompID","BaseID","CompYield_Mean","CompYield_SD","CompYield_CV","CompYield_Max","CompYield_Min","CompCropFailureProb","CompMinPropSOSDBase","BaseYield_Mean","BaseYield_SD","BaseYield_CV","BaseYield_Max","BaseYield_Min","BaseCropFailureProb","BaseMinPropSOSDComp","Diff_Mean_CompBase","Diff_SD_CompBase","Diff_CV_CompBase","Diff_CropFailureProbCompBase","MinProp_CompSOSDBase_Divdbaseyield","MinProp_BaseSOSDComp_Divdbaseyield","Riskiness_Comp","WheatArea"
"1",1,1,1,3899.51814778646,672.333321101542,0.172414461382412,5277.2001953125,2676.30004882812,0,-568.06664063116,3331.45150479403,2117.11532474798,0.63549336428923,5475.7001953125,0,0.272727272727273,-3090.02219137586,568.066642992424,-1444.78200364644,-0.463078902906819,-0.272727272727273,-0.170516256896941,-0.92753029330586,1,1
"2",2,1,1,3890.02422910748,674.963070504969,0.173511276730487,5272.89990234375,2659.19995117188,0,-588.733326984974,3301.29089725379,2097.29708209495,0.635296054594766,5300.60009765625,0,0.272727272727273,-3085.61108747848,588.733331853694,-1422.33401158998,-0.461784777864279,-0.272727272727273,-0.178334277501785,-0.934668038507383,1,1
"3",3,1,1,3671.97577829072,577.734506710993,0.157336143153952,4961.5,2529.19995117188,0,-520.048483150854,3151.92729048295,2162.26466395328,0.686013497355127,5423.7001953125,0,0.303030303030303,-3039.75003118983,520.048487807765,-1584.53015724229,-0.528677354201174,-0.303030303030303,-0.164993807033908,-0.964409947008666,1,1
"4",4,1,1,3702.55456912879,600.037594891901,0.162060432517296,4968.2001953125,2557.60009765625,0,-865.715174093178,2836.83939245975,2223.5147912062,0.78380002657755,5423.10009765625,0,0.363636363636364,-3095.52502478836,865.715176669034,-1623.4771963143,-0.621739594060255,-0.363636363636364,-0.305168906069983,-1.09118797243728,1,1
"5",5,1,1,3724.73637991241,652.137394232003,0.175082832102963,5140.7001953125,2578.10009765625,0,-619.818180843798,3104.91819809422,2126.50925163748,0.684884147009965,5424.7998046875,0,0.303030303030303,-2999.76003613565,619.818181818182,-1474.37185740548,-0.509801314907001,-0.303030303030303,-0.199624641069204,-0.966131744783769,1,1
"6",6,1,1,3728.236365116,664.469949992582,0.178226347505708,5141.2001953125,2561.60009765625,0,-189.848484792115,3538.38788026752,1915.71353643875,0.541408573978587,5335.5,0,0.212121212121212,-2842.47144134391,189.848484848485,-1251.24358644617,-0.363182226472879,-0.212121212121212,-0.053653949543192,-0.803323868814802,1,1
"7",7,1,1,3737.99090021307,685.86419768121,0.183484715717771,5143.39990234375,2560.30004882812,0,-377.348451660906,3360.64244495739,1988.96748529747,0.591841446352586,5327.89990234375,0,0.242424242424242,-2875.8750008756,377.348455255682,-1303.10328761626,-0.408356730634815,-0.242424242424242,-0.112284617551955,-0.855751555834458,1,1
"8",8,1,1,3742.47578568892,692.035006329786,0.18491368974947,5143.89990234375,2571.19995117188,0,-557.530329412179,3184.94545306581,2032.95940482989,0.638302738551762,5323.5,0,0.272727272727273,-2912.82224038448,557.530332623106,-1340.9243985001,-0.453389048802291,-0.272727272727273,-0.175051767017078,-0.914559537457891,1,1
"9",9,1,1,3727.69395862926,696.066472065155,0.186728438490458,5144,2556.10009765625,0,-907.090960723216,2820.60299775095,2207.8408303303,0.782754904568545,5316.89990234375,0,0.363636363636364,-3003.33337591749,907.090960878314,-1511.77435826514,-0.596026466078088,-0.363636363636364,-0.321594694980648,-1.0647841537119,1,1
"10",10,1,1,3733.28483812737,706.855955472882,0.189338876116253,5144.5,2457.30004882812,0,-664.957574199065,3068.32725941051,2109.63268511199,0.687551394213829,5265.39990234375,0,0.303030303030303,-2918.22000239653,664.957578716856,-1402.77672963911,-0.498212518097576,-0.303030303030303,-0.216716640038852,-0.951078472299978,1,1
"11",11,1,1,3740.99698153409,680.737373136937,0.181966833038658,5138.2001953125,2566.30004882812,0,-801.121225893435,2939.87575461648,2157.21117713324,0.733776307976887,5268.2001953125,0,0.333333333333333,-3015.51820279322,801.121226917614,-1476.47380399631,-0.55180947493823,-0.333333333333333,-0.272501728903147,-1.02572981122007,1,1
"12",12,1,1,3575.23333925189,656.056592659908,0.18350035659412,5113.89990234375,2415.10009765625,0,-847.600008220768,2727.63333037405,2265.36873851184,0.83052539110936,5222.2998046875,0,0.393939393939394,-2954.14615227421,847.600008877841,-1609.31214585193,-0.647025034515241,-0.393939393939394,-0.310745582546659,-1.08304372122814,1,1
"13",13,1,1,3587.83030746922,675.131291800972,0.188172581739852,5115.89990234375,2427.80004882812,0,-576.660589956553,3011.16971472538,2200.63910279873,0.730825330779945,5220.2998046875,0,0.333333333333333,-2895.85451619091,576.660592743844,-1525.50781099776,-0.542652749040093,-0.333333333333333,-0.191507169833881,-0.961704184931672,1,1
"14",14,1,1,3598.3545365767,687.025118662294,0.190927578613723,5110.89990234375,2423.60009765625,0,-379.900000280439,3218.45453065814,2042.08348310467,0.634491947502232,5285.2998046875,0,0.272727272727273,-2780.77778036964,379.900005918561,-1355.05836444237,-0.443564368888509,-0.272727272727273,-0.118038020006687,-0.864010273838169,1,1
