"","CellID","CompID","BaseID","CompYield_Mean","CompYield_SD","CompYield_CV","CompYield_Max","CompYield_Min","CompCropFailureProb","CompMinPropSOSDBase","BaseYield_Mean","BaseYield_SD","BaseYield_CV","BaseYield_Max","BaseYield_Min","BaseCropFailureProb","BaseMinPropSOSDComp","Diff_Mean_CompBase","Diff_SD_CompBase","Diff_CV_CompBase","Diff_CropFailureProbCompBase","MinProp_CompSOSDBase_Divdbaseyield","MinProp_BaseSOSDComp_Divdbaseyield","Riskiness_Comp","RiceArea"
"1",1,1,1,6390.19997336648,554.087228706275,0.0867089028536882,7308.7001953125,5142.89990234375,0,-1906.96664346454,4483.23332445549,3650.78206458433,0.814318997110804,8490.900390625,0,0.363636363636364,-5832.44161113716,1906.96664891098,-3096.69483587806,-0.727610094257116,-0.363636363636364,-0.42535520805091,-1.3009453644364,1,1
"2",2,1,1,6375.29091205019,557.318916634414,0.0874185859630348,7279.7998046875,5123.10009765625,0,-1941.51210768797,4433.77880119555,3614.40105277728,0.815196520810347,8434.900390625,0,0.363636363636364,-5814.82507744976,1941.51211085464,-3057.08213614287,-0.727777934847312,-0.363636363636364,-0.437891061945728,-1.31148289939088,1,1
"3",3,1,1,6155.62727864583,511.689326714778,0.083125456359233,6954.5,4892.2001953125,0,-1525.13331828837,4630.49395382043,3491.96961223474,0.75412464567709,8171.39990234375,0,0.303030303030303,-5565.2900434224,1525.1333248254,-2980.28028551996,-0.670999189317857,-0.303030303030303,-0.329367305842187,-1.20187826588796,1,1
"4",4,1,1,6210.7363577178,540.421086257892,0.0870140117260549,7062.89990234375,4894.2001953125,0,-2050.9515155425,4159.78484182647,3577.28749619084,0.859969357121878,8255.2998046875,0,0.363636363636364,-5636.94995522492,2050.95151589134,-3036.86640993295,-0.772955345395823,-0.363636363636364,-0.493042691756618,-1.35510613398694,1,1
"5",5,1,1,6247.89997632576,543.470673792163,0.0869845349399728,7194.89990234375,4897.89990234375,0,-1543.78785038824,4704.11212343158,3550.19951580167,0.754701295940168,8930.7001953125,0,0.303030303030303,-5639.82998112042,1543.78785289418,-3006.72884200951,-0.667716761000195,-0.303030303030303,-0.328178370302549,-1.19891487131609,1,1
"6",6,1,1,6224.19090317235,526.486039652395,0.0845870648639738,7035.5,4882.7001953125,0,-1015.87875560451,5208.31214673591,3370.42646132322,0.647124512964433,8483.7998046875,0,0.242424242424242,-5574.83752723349,1015.87875643643,-2843.94042167082,-0.562537448100459,-0.242424242424242,-0.195049514503689,-1.07037315932135,1,1
"7",7,1,1,6208.61211233428,525.118717984221,0.0845790828099889,7059.7001953125,4977.60009765625,0,-1411.36664546368,4797.24546490294,3561.80339098044,0.742468447161794,8731.400390625,0,0.333333333333333,-5642.10001246422,1411.36664743134,-3036.68467299622,-0.657889364351805,-0.333333333333333,-0.294203549889069,-1.17611242821371,1,1
"8",8,1,1,6181.76060901989,528.193748064096,0.0854439020646322,7022.2998046875,4964.2001953125,0,-1621.28787364019,4560.47273023201,3636.12295298235,0.797312727884103,8670.400390625,0,0.363636363636364,-5641.5583184897,1621.28787878788,-3107.92920491825,-0.711868825819471,-0.363636363636364,-0.355508731121765,-1.23705559756799,1,1
"9",9,1,1,6158.07575757576,525.261864904019,0.0852964279073433,6997.7998046875,4949.7998046875,0,-1872.33634371264,4285.73941317472,3686.98266311947,0.860290910778519,9139,0,0.393939393939394,-5647.35385643831,1872.33634440104,-3161.72079821545,-0.774994482871176,-0.393939393939394,-0.436875918763731,-1.31770817401494,1,1
"10",10,1,1,6142.12118252841,540.615649990782,0.0880177440211685,7153.7998046875,4878.2998046875,0,-1740.53935148675,4401.58182779948,3567.75770203827,0.810562620807149,8186.2998046875,0,0.363636363636364,-5601.52498886119,1740.53935472893,-3027.14205204749,-0.722544876785981,-0.363636363636364,-0.395434963969968,-1.27261634748742,1,1
