"","CellID","CompID","BaseID","CompYield_Mean","CompYield_SD","CompYield_CV","CompYield_Max","CompYield_Min","CompCropFailureProb","CompMinPropSOSDBase","BaseYield_Mean","BaseYield_SD","BaseYield_CV","BaseYield_Max","BaseYield_Min","BaseCropFailureProb","BaseMinPropSOSDComp","Diff_Mean_CompBase","Diff_SD_CompBase","Diff_CV_CompBase","Diff_CropFailureProbCompBase","MinProp_CompSOSDBase_Divdbaseyield","MinProp_BaseSOSDComp_Divdbaseyield","Riskiness_Comp","RiceArea"
"1",1,1,1,7585.5273289536,1501.16475139407,0.197898535763519,9395.400390625,2252.80004882812,0,-2252.80004248547,4483.23332445549,3650.78206458433,0.814318997110804,8490.900390625,0,0.363636363636364,-6399.10001988315,3102.29400449811,-2149.61731319026,-0.616420461347285,-0.363636363636364,-0.502494489902348,-1.42734039403589,1,1
"2",2,1,1,7553.27881599195,1512.88437636136,0.200295052415946,9367.2998046875,2220.30004882812,0,-2220.30004749269,4433.77880119555,3614.40105277728,0.815196520810347,8434.900390625,0,0.363636363636364,-6364.07509417192,3119.5000147964,-2101.51667641592,-0.614901468394401,-0.363636363636364,-0.500769241553954,-1.4353614331089,1,1
"3",3,1,1,7573.4423606179,1262.33696584009,0.166679418120916,9084.099609375,2241.30004882812,0,-2241.30004286811,4630.49395382043,3491.96961223474,0.75412464567709,8171.39990234375,0,0.303030303030303,-6304.65448324089,2942.94840679747,-2229.63264639465,-0.587445227556174,-0.303030303030303,-0.484030443667657,-1.36155117491065,1,1
"4",4,1,1,7580.92127574574,1310.72530616079,0.17289789175813,9651.7001953125,2225.19995117188,0,-2225.19994948754,4159.78484182647,3577.28749619084,0.859969357121878,8255.2998046875,0,0.363636363636364,-6441.63075782276,3421.13643391927,-2266.56219003005,-0.687071465363748,-0.363636363636364,-0.534931501051027,-1.54854902423135,1,1
"5",5,1,1,7621.60913825758,1235.93571249549,0.16216204348391,9231.5,2328.5,0,-2328.49999663039,4704.11212343158,3550.19951580167,0.754701295940168,8930.7001953125,0,0.303030303030303,-6420.4818378889,2917.49701482599,-2314.26380330618,-0.592539252456258,-0.303030303030303,-0.494992452461312,-1.3648658172725,1,1
"6",6,1,1,7579.14540423769,1202.14879721584,0.158612710681562,9076.599609375,2309.89990234375,0,-2309.89989619624,5208.31214673591,3370.42646132322,0.647124512964433,8483.7998046875,0,0.242424242424242,-6294.94447068208,2370.83325750177,-2168.27766410737,-0.48851180228287,-0.242424242424242,-0.443502584161333,-1.20863425488566,1,1
"7",7,1,1,7554.06665778883,1157.60618675117,0.153242781562906,9038.400390625,2341,0,-2340.99999604717,4797.24546490294,3561.80339098044,0.742468447161794,8731.400390625,0,0.333333333333333,-6558.91814853311,2756.82119288589,-2404.19720422927,-0.589225665598888,-0.333333333333333,-0.48798837023749,-1.36722587920896,1,1
"8",8,1,1,7569.76058682528,1183.13905069767,0.156298080649586,9138.2001953125,2339.19995117188,0,-2339.1999459073,4560.47273023201,3636.12295298235,0.797312727884103,8670.400390625,0,0.363636363636364,-6560.33335915964,3009.28785659328,-2452.98390228467,-0.641014647234518,-0.363636363636364,-0.512929269459373,-1.43852046645741,1,1
"9",9,1,1,7521.58481297348,1167.78132861874,0.155257350366443,9028.2998046875,2328,0,-2327.99999492977,4285.73941317472,3686.98266311947,0.860290910778519,9139,0,0.393939393939394,-6602.44610860585,3235.84539979877,-2519.20133450073,-0.705033560412076,-0.393939393939394,-0.543196814013775,-1.54056172624714,1,1
"10",10,1,1,7507.31215228456,1201.92927508673,0.160101145484002,9012.2001953125,2319.30004882812,0,-2319.30004517967,4401.58182779948,3567.75770203827,0.810562620807149,8186.2998046875,0,0.363636363636364,-6471.33331569943,3105.73032448508,-2365.82842695154,-0.650461475323147,-0.363636363636364,-0.526924214047653,-1.47022901512993,1,1
