"","CellID","CompID","BaseID","CompYield_Mean","CompYield_SD","CompYield_CV","CompYield_Max","CompYield_Min","CompCropFailureProb","CompMinPropSOSDBase","BaseYield_Mean","BaseYield_SD","BaseYield_CV","BaseYield_Max","BaseYield_Min","BaseCropFailureProb","BaseMinPropSOSDComp","Diff_Mean_CompBase","Diff_SD_CompBase","Diff_CV_CompBase","Diff_CropFailureProbCompBase","MinProp_CompSOSDBase_Divdbaseyield","MinProp_BaseSOSDComp_Divdbaseyield","Riskiness_Comp","RiceArea"
"1",1,1,1,7457.53334369081,1528.66547153059,0.204982720301728,9209,2340.69995117188,0,-2340.69994518984,4483.23332445549,3650.78206458433,0.814318997110804,8490.900390625,0,0.363636363636364,-6166.10003878516,2974.30001923532,-2122.11659305375,-0.609336276809076,-0.363636363636364,-0.522100853511596,-1.37536897871227,1,1
"2",2,1,1,7395.34542199337,1508.23124447756,0.203943312775109,9144.099609375,2269.69995117188,0,-2269.69994504864,4433.77880119555,3614.40105277728,0.815196520810347,8434.900390625,0,0.363636363636364,-6149.74166265639,2961.56662079782,-2106.16980829972,-0.611253208035239,-0.363636363636364,-0.511910956053249,-1.38702040367872,1,1
"3",3,1,1,7349.86367335464,1253.76238790209,0.170583080669555,9039.7001953125,2300.80004882812,0,-2300.80004531074,4630.49395382043,3491.96961223474,0.75412464567709,8171.39990234375,0,0.303030303030303,-6037.22728153696,2719.36971953421,-2238.20722433266,-0.583541565007536,-0.303030303030303,-0.496880045251423,-1.30379768157475,1,1
"4",4,1,1,7468.43939393939,1346.02765354447,0.1802287710384,9065.099609375,2170.5,0,-2170.49999323105,4159.78484182647,3577.28749619084,0.859969357121878,8255.2998046875,0,0.363636363636364,-6238.79998621543,3308.65455211293,-2231.25984264637,-0.679740586083477,-0.363636363636364,-0.521781792992455,-1.4997891053125,1,1
"5",5,1,1,7513.09092388731,1307.88872289424,0.174081311692356,9184.7998046875,2358.10009765625,0,-2358.1000942839,4704.11212343158,3550.19951580167,0.754701295940168,8930.7001953125,0,0.303030303030303,-6141.90002965738,2808.97880045573,-2242.31079290743,-0.580619984247812,-0.303030303030303,-0.501284840243923,-1.30564490566967,1,1
"6",6,1,1,7417.56360233191,1240.48756776906,0.167236525936775,9084.2998046875,2324.19995117188,0,-2209.25144922418,5208.31214673591,3370.42646132322,0.647124512964433,8483.7998046875,0,0.242424242424242,-5993.28884281055,2209.251455596,-2129.93889355415,-0.479887987027657,-0.242424242424242,-0.424178003733654,-1.15071613873346,1,1
"7",7,1,1,7404.18485144413,1235.01757683169,0.166799938360643,9029.099609375,2318.5,0,-2318.49999928568,4797.24546490294,3561.80339098044,0.742468447161794,8731.400390625,0,0.333333333333333,-6233.89089200646,2606.93938654119,-2326.78581414875,-0.575668508801151,-0.333333333333333,-0.483298179392325,-1.29947298665748,1,1
"8",8,1,1,7278.5302808357,1343.89675602552,0.184638478397759,8946.5,2319.39990234375,0,-2319.39989784202,4560.47273023201,3636.12295298235,0.797312727884103,8670.400390625,0,0.363636363636364,-6065.31663048529,2718.05755060369,-2292.22619695683,-0.612674249486345,-0.363636363636364,-0.508587603751337,-1.32997541905633,1,1
"9",9,1,1,7252.26970880682,1523.96236443107,0.210135919597756,8921,1833.69995117188,0,-1833.69995042898,4285.73941317472,3686.98266311947,0.860290910778519,9139,0,0.393939393939394,-6060.8846202324,2966.5302956321,-2163.0202986884,-0.650154991180763,-0.393939393939394,-0.42786081318711,-1.41419811983919,1,1
"10",10,1,1,7329.95147520123,1408.21672462436,0.192118151039424,9004.400390625,2292.89990234375,0,-2292.89989716939,4401.58182779948,3567.75770203827,0.810562620807149,8186.2998046875,0,0.363636363636364,-6096.03330699104,2928.36964740175,-2159.54097741391,-0.618444469767725,-0.363636363636364,-0.520926336683761,-1.38496421184079,1,1
"11",11,1,1,7381.34545898438,1348.21512841605,0.182651677246055,9040.5,2285.5,0,-2285.4999957862,4476.31210049716,3640.34458028921,0.813246373032144,8577.599609375,0,0.363636363636364,-6159.23333858707,2905.03335848722,-2292.12945187316,-0.630594695786089,-0.363636363636364,-0.510576551517122,-1.37596155055922,1,1
"12",12,1,1,7232.25454249527,1246.19526883209,0.172310758907849,8679.5,2224.10009765625,0,-2224.10009381995,4304.2060546875,3581.34782367239,0.832057707779143,8270.2998046875,0,0.393939393939394,-6131.4692030427,2928.04848780777,-2335.1525548403,-0.659746948871295,-0.393939393939394,-0.516727142139906,-1.42452966357529,1,1
"13",13,1,1,7217.76062381629,1264.27777298383,0.175162053561616,8814.7001953125,2195.10009765625,0,-2195.10009738073,4598.71815814394,3439.05746606997,0.747829579418711,8588.2998046875,0,0.333333333333333,-5963.77277617346,2619.04246567235,-2174.77969308614,-0.572667525857095,-0.333333333333333,-0.477328686363046,-1.29683371998176,1,1
"14",14,1,1,7153.6757516572,1257.43057039738,0.175774051557493,8823.599609375,2091.60009765625,0,-2091.60009225695,4700.69997336648,3376.28643606281,0.718251846574422,8521.7001953125,0,0.272727272727273,-5728.06668392575,2452.97577829072,-2118.85586566543,-0.542477795016929,-0.272727272727273,-0.4449550288484,-1.21855611214929,1,1
"15",15,1,1,7204.69092536695,1257.99280613816,0.174607463272144,8780.2998046875,2108.30004882812,0,-2108.30004506165,4546.23329486269,3496.57361304819,0.769114426441636,8178.7998046875,0,0.333333333333333,-5971.7454534634,2658.45763050426,-2238.58080691003,-0.594506963169492,-0.333333333333333,-0.463746558594795,-1.31355895444511,1,1
"16",16,1,1,7223.12119732481,1218.11644318999,0.168641285382438,8806.5,2225.89990234375,0,-2225.89989658188,4832.96363784328,3423.50442817309,0.708365442968829,8798.900390625,0,0.303030303030303,-5946.16001095679,2390.15755948153,-2205.3879849831,-0.53972415758639,-0.303030303030303,-0.46056624120913,-1.23033410895065,1,1
"17",17,1,1,7257.16356682055,1207.51430195941,0.166389291193617,8712.2998046875,2190.69995117188,0,-2190.69995072456,4586.71518406723,3593.08240431503,0.783367237799338,8820.2001953125,0,0.363636363636364,-6148.25828320597,2670.44838275331,-2385.56810235562,-0.616977946605721,-0.363636363636364,-0.477618483557546,-1.34044910932404,1,1
"18",18,1,1,7195.26672733191,1174.40779637757,0.163219494270652,8682.900390625,2165.80004882812,0,-2165.80004322675,4356.89090613163,3594.24868291333,0.824957236788968,8411.099609375,0,0.393939393939394,-6234.08464784873,2838.37582120028,-2419.84088653576,-0.661737742518315,-0.393939393939394,-0.497097606960674,-1.43085626474495,1,1
"19",19,1,1,7275.27579752604,1185.67776398872,0.162973582993501,8819.2001953125,2240.30004882812,0,-2240.30004458922,4305.78181226326,3680.41389817097,0.85476089096963,9544.900390625,0,0.393939393939394,-6276.38467424853,2969.49398526278,-2494.73613418225,-0.691787307976129,-0.393939393939394,-0.520300410533725,-1.45766435641788,1,1
"20",20,1,1,7202.63634883996,1206.74245707598,0.167541772016622,8799.2001953125,2177.10009765625,0,-2177.100097317,4145.587890625,3652.78015726971,0.881124765327072,8779.7998046875,0,0.393939393939394,-6241.34285015667,3057.04845821496,-2446.03770019373,-0.713582993310451,-0.393939393939394,-0.525160762419339,-1.50553866298942,1,1
"21",21,1,1,7176.43937914299,1340.42284003012,0.186781044082365,8680.5,2178.69995117188,0,-2178.69994673165,4075.80610795455,3683.83564857255,0.903829954369762,8628.7001953125,0,0.424242424242424,-6192.18572603667,3100.63327118845,-2343.41280854243,-0.717048910287397,-0.424242424242424,-0.534544551194325,-1.51925424370695,1,1
"22",22,1,1,7090.86668442235,1220.94377043815,0.172185407620255,8652,2291.5,0,-2291.49999600556,3961.03941021544,3576.47504369939,0.902913269298895,8305.099609375,0,0.424242424242424,-6063.90712871928,3129.82727420691,-2355.53127326124,-0.73072786167864,-0.424242424242424,-0.578509769454915,-1.53088785561704,1,1
"23",23,1,1,7068.41520552202,1267.68876617704,0.179345543423467,8655.400390625,1942.40002441406,0,-1942.4000216868,4158.59697561553,3527.33145025771,0.848202283351975,8127.2998046875,0,0.393939393939394,-5971.75391786604,2909.81822990649,-2259.64268408067,-0.668856739928508,-0.393939393939394,-0.467080612301773,-1.43600208264523,1,1
"24",24,1,1,7074.17275168679,1286.67716783199,0.181883764080428,8737,1792.90002441406,0,-1792.90002234758,4400.30609315814,3504.22948705996,0.796360392407371,8144.5,0,0.363636363636364,-5894.82504778429,2673.86665852865,-2217.55231922797,-0.614476628326943,-0.363636363636364,-0.407448932958389,-1.33963977118544,1,1
