"","CellID","CompID","BaseID","CompYield_Mean","CompYield_SD","CompYield_CV","CompYield_Max","CompYield_Min","CompCropFailureProb","CompMinPropSOSDBase","BaseYield_Mean","BaseYield_SD","BaseYield_CV","BaseYield_Max","BaseYield_Min","BaseCropFailureProb","BaseMinPropSOSDComp","Diff_Mean_CompBase","Diff_SD_CompBase","Diff_CV_CompBase","Diff_CropFailureProbCompBase","MinProp_CompSOSDBase_Divdbaseyield","MinProp_BaseSOSDComp_Divdbaseyield","Riskiness_Comp","WheatArea"
"1",1,1,1,3224.89999112216,1156.80100548893,0.358709109948679,5236.89990234375,1316.69995117188,0,106.551518470908,3331.45150479403,2117.11532474798,0.63549336428923,5475.7001953125,0,0.272727272727273,-1808.07777458362,-106.551513671875,-960.314319259046,-0.276784254340551,-0.272727272727273,0.0319835117868527,-0.542729729663407,0,1
"2",2,1,1,3231.30000073982,1143.37994141953,0.353845183411552,5215.89990234375,1139.90002441406,0,69.9909005557203,3301.29089725379,2097.29708209495,0.635296054594766,5300.60009765625,0,0.272727272727273,-1780.2777654151,-69.990896513968,-953.917140675415,-0.281450871183214,-0.272727272727273,0.0212010703491604,-0.539267159672613,0,1
"3",3,1,1,2922.29697672526,1128.6141072849,0.386207875610792,4915.2998046875,676.099975585938,0,229.630318120343,3151.92729048295,2162.26466395328,0.686013497355127,5423.7001953125,0,0.303030303030303,-1556.14001137909,-229.630313757695,-1033.65055666838,-0.299805621744334,-0.303030303030303,0.0728539388626436,-0.493710630977356,0,1
"4",4,1,1,2911.68789210464,1139.89504975164,0.391489435678386,4923.7998046875,806.200012207031,0,-74.848492734094,2836.83939245975,2223.5147912062,0.78380002657755,5423.10009765625,0,0.363636363636364,-1690.19167525028,74.8484996448865,-1083.61974145456,-0.392310590899164,-0.363636363636364,-0.0263844660832895,-0.595800974754779,1,1
"5",5,1,1,2947.10303474195,1146.80375163265,0.389129167902698,5384.39990234375,1094.09997558594,0,161.484393096365,3104.91819809422,2126.50925163748,0.684884147009965,5424.7998046875,0,0.303030303030303,-1596.7600174984,-157.815163352273,-979.705500004826,-0.295754979107266,-0.303030303030303,0.0520092262641517,-0.514267982479693,0,1
"6",6,1,1,2931.25454249526,1136.33558880646,0.3876618602488,5139,1379.80004882812,0,641.443338906682,3538.38788026752,1915.71353643875,0.541408573978587,5335.5,0,0.212121212121212,-1478.02860253745,-607.133337772255,-779.377947632292,-0.153746713729787,-0.212121212121212,0.181281238974339,-0.41771243078803,0,1
"7",7,1,1,2980.63939319958,1122.60011662644,0.376630638106605,5047.2001953125,1306.90002441406,0,394.803375677875,3360.64244495739,1988.96748529747,0.591841446352586,5327.89990234375,0,0.242424242424242,-1619.96249728777,-380.003051757811,-866.367368671029,-0.21521080824598,-0.242424242424242,0.117478542315703,-0.482039527804724,0,1
"8",8,1,1,3000.25758685488,1133.77553560713,0.377892731802286,5043.60009765625,1114.19995117188,0,184.687872531732,3184.94545306581,2032.95940482989,0.638302738551762,5323.5,0,0.272727272727273,-1628.86666053114,-184.687866210937,-899.183869222765,-0.260410006749475,-0.272727272727273,0.0579877662752285,-0.511426862574114,0,1
"9",9,1,1,3027.70605653705,1153.79049892994,0.381077448531974,5029.5,970.299987792969,0,-207.103055836689,2820.60299775095,2207.8408303303,0.782754904568545,5316.89990234375,0,0.363636363636364,-1775.20832408776,207.103058786103,-1054.05033140035,-0.401677456036571,-0.363636363636364,-0.0734250995272381,-0.629371919941675,1,1
"10",10,1,1,3054.2363725142,1159.72075871293,0.379708908305045,5082.39990234375,959.400024414062,0,14.0908884708468,3068.32725941051,2109.63268511199,0.687551394213829,5265.39990234375,0,0.303030303030303,-1685.03000752142,-14.0908868963074,-949.911926399065,-0.307842485908784,-0.303030303030303,0.00459236817964261,-0.549168933122587,0,1
"11",11,1,1,3032.42423502604,1118.44401393174,0.368828345655975,4960.10009765625,839.799987792969,0,-92.5484776984759,2939.87575461648,2157.21117713324,0.733776307976887,5268.2001953125,0,0.333333333333333,-1728.58181476795,92.548480409564,-1038.76716320151,-0.364947962320913,-0.333333333333333,-0.0314804044195226,-0.587977846360875,1,1
"12",12,1,1,2762.20300477924,1127.82357009734,0.408305822615481,4949.7001953125,768.700012207031,0,-34.569670776901,2727.63333037405,2265.36873851184,0.83052539110936,5222.2998046875,0,0.393939393939394,-1656.64612925096,34.5696744051847,-1137.5451684145,-0.422219568493879,-0.393939393939394,-0.0126738701980007,-0.607356608677229,1,1
"13",13,1,1,2749.61513080019,1150.1822983492,0.418306651525617,4960.39990234375,905.700012207031,0,261.606299036883,3011.16971472538,2200.63910279873,0.730825330779945,5220.2998046875,0,0.333333333333333,-1491.3727399852,-261.554583925189,-1050.45680444953,-0.312518679254328,-0.333333333333333,0.0868786298419389,-0.495280200478906,0,1
"14",14,1,1,2703.74545750473,1157.01490183035,0.427930409875991,4979.7998046875,977.099975585938,0,528.074176172813,3218.45453065814,2042.08348310467,0.634491947502232,5285.2998046875,0,0.272727272727273,-1357.73336464866,-514.70907315341,-885.068581274318,-0.206561537626241,-0.272727272727273,0.164076941632239,-0.421858799531034,0,1
"15",15,1,1,2747.71211196437,1192.60834892987,0.434036864246766,4972,1015.79998779297,0,228.154580382235,2975.86668442235,2172.17482476617,0.729930153167402,5279.10009765625,0,0.333333333333333,-1431.62728598838,-228.154572457979,-979.566475836299,-0.295893288920636,-0.333333333333333,0.0766682800599055,-0.481079106628823,0,1
"16",16,1,1,2773.736365116,1173.95819142676,0.42324072546731,4935,896.099975585938,0,329.741940327174,3103.43333481297,2113.57823382887,0.681045154126451,5272.89990234375,0,0.303030303030303,-1418.69000638681,-329.69696969697,-939.62004240211,-0.257804428659141,-0.303030303030303,0.106250692298839,-0.457135647307954,0,1
"17",17,1,1,2800.15153179747,1175.9595318544,0.4199628193334,4933.5,773.700012207031,0,5.74242154294575,2805.89394679214,2187.04901158894,0.779448209042007,5268.10009765625,0,0.363636363636364,-1543.0916642249,-5.7424149946728,-1011.08947973454,-0.359485389708608,-0.363636363636364,0.00204655687343808,-0.549946538781001,0,1
"18",18,1,1,2839.68786436139,1168.63943845149,0.411537990889117,4927.7998046875,769.799987792969,0,-135.378768255719,2704.30908942945,2251.02621231312,0.832384959660081,5353.2998046875,0,0.393939393939394,-1672.96152893561,135.378774931936,-1082.38677386163,-0.420846968770964,-0.393939393939394,-0.0500603902064614,-0.618628076012041,1,1
"19",19,1,1,2852.41819069602,1216.88053713525,0.426613650517465,4963.60009765625,712,0,-255.699990023144,2596.71819513494,2175.18154191497,0.83766561423194,5269.2001953125,0,0.393939393939394,-1629.5000245327,255.699995561079,-958.301004779713,-0.411051963714475,-0.393939393939394,-0.0984704426156862,-0.627522858501025,1,1
"20",20,1,1,2845.07880563447,1191.01031763264,0.418621204893844,4834.10009765625,652.400024414062,0,-254.466678085098,2590.61212713068,2173.50099162379,0.83899128274024,5271.89990234375,0,0.393939393939394,-1620.73077213701,254.466678503787,-982.490673991152,-0.420370077846396,-0.393939393939394,-0.0982264675673162,-0.62561691700722,1,1
"21",21,1,1,2858.28181596236,1194.04045247028,0.417747629293251,4926.7001953125,660.5,0,-246.096952839081,2612.18485884233,2184.26386621041,0.836182729877103,5325.10009765625,0,0.393939393939394,-1619.64614216495,246.09695712003,-990.22341374013,-0.418435100583852,-0.393939393939394,-0.0942111550819363,-0.620035039512001,1,1
"22",22,1,1,2733.70909164891,1098.38128407172,0.401791575931439,4789.2001953125,749.299987792969,0,-163.212096658365,2570.49698893229,2273.98526686952,0.884648095936523,5173.2998046875,0,0.424242424242424,-1734.93571782861,163.212102716619,-1175.6039827978,-0.482856520005084,-0.424242424242424,-0.0634943737966247,-0.674941742899783,1,1
"23",23,1,1,2685.25453879616,1138.39046077912,0.423941359871782,5002.2998046875,760.299987792969,0,25.8818067643766,2711.13634144176,2255.41159143754,0.831906369650937,5168,0,0.393939393939394,-1592.33078452409,-25.8818026455965,-1117.02113065842,-0.407965009779155,-0.393939393939394,0.00954647922671896,-0.587329659591115,0,1
"24",24,1,1,2645.24847597064,1117.70437668557,0.422532849688324,4842,770.700012207031,0,172.812130110707,2818.06059866241,2201.20382910174,0.781105924459732,5163.2998046875,0,0.363636363636364,-1488.06665200603,-172.812122691761,-1083.49945241617,-0.358573074771408,-0.363636363636364,0.0613230709775127,-0.528046363769587,0,1
"25",25,1,1,2614.69091796875,1169.6606476272,0.447341840516992,4862.10009765625,716.599975585938,0,701.58387157793,3292.10303474195,1952.04066890015,0.592946407904015,5158.2998046875,0,0.242424242424242,-1142.36248951407,-677.412116773202,-782.380021272943,-0.145604567387023,-0.242424242424242,0.213111152407453,-0.347000831219005,0,1
"26",26,1,1,2579.87273430102,1218.70527993541,0.472389689511411,4806.89990234375,568.299987792969,0,-568.299987775707,1198.03636215672,2000.47309118379,1.66979330041578,5079.2001953125,0,0.727272727272727,-1993.24166989666,1381.83637214429,-781.767811248374,-1.19740361090437,-0.727272727272727,-0.474359548446964,-1.66375723881068,1,1
"27",27,1,1,2592.83634994969,1212.74339338672,0.467728475578587,4804.39990234375,541.599975585938,0,-541.599973136319,913.327274206913,1804.71455950368,1.97597795496779,5140.39990234375,0,0.787878787878788,-2130.87691977345,1679.50907574278,-591.971166116965,-1.5082494793892,-0.787878787878788,-0.59299660530407,-2.33309239738165,1,1
"28",28,1,1,2636.89700224905,1177.08239113389,0.446389218134017,4683.2001953125,497.200012207031,0,181.915106887109,2818.81210789536,2205.98157139982,0.782592626596489,5379.39990234375,0,0.363636363636364,-1397.48331985131,-181.915105646307,-1028.89918026593,-0.336203408462472,-0.363636363636364,0.0645360882258073,-0.495770298395208,0,1
"29",29,1,1,2648.51818385269,1180.10772283389,0.445572822580073,4678.89990234375,494.100006103516,0,-124.184835022528,2524.33334073153,2244.91919689031,0.889311708825169,5605.7001953125,0,0.424242424242424,-1541.72143862849,124.184843121152,-1064.81147405642,-0.443738886245095,-0.424242424242424,-0.0491951015417558,-0.61074399872313,1,1
"30",30,1,1,2631.9696932706,1188.18919052446,0.451444860312188,4680.10009765625,473.299987792969,0,15.2454576220845,2647.21514707623,2205.42600875949,0.833111736760543,5188.2001953125,0,0.393939393939394,-1440.70770159463,-15.245453805634,-1017.23681823504,-0.381666876448354,-0.393939393939394,0.00575905499744613,-0.544235213819265,0,1
"31",31,1,1,2651.08484349106,1200.1413758924,0.45269821478516,4678.39990234375,418.899993896484,0,-192.187864908767,2458.89697265625,2185.25829854153,0.888714868025105,5144.39990234375,0,0.424242424242424,-1495.05713714133,192.187870834813,-985.116922649128,-0.436016653239944,-0.424242424242424,-0.0781601942033194,-0.60801943056861,1,1
"32",32,1,1,2693.97878750888,1227.22420226686,0.455543379909713,4677.2001953125,527.799987792969,0,-200.51515756542,2493.46362304688,2207.19966609591,0.885194251760865,5148.7001953125,0,0.424242424242424,-1508.20000577637,200.515164462003,-979.97546382905,-0.429650871851152,-0.424242424242424,-0.0804163155668586,-0.604861443269596,1,1
