"","rice_yield_1983","rice_yield_1984","rice_yield_1985","rice_yield_1986","rice_yield_1987","rice_yield_1988","rice_yield_1989","rice_yield_1990","rice_yield_1991","rice_yield_1992","rice_yield_1993","rice_yield_1994","rice_yield_1995","rice_yield_1996","rice_yield_1997","rice_yield_1998","rice_yield_1999","rice_yield_2000","rice_yield_2001","rice_yield_2002","rice_yield_2003","rice_yield_2004","rice_yield_2005","rice_yield_2006","rice_yield_2007","rice_yield_2008","rice_yield_2009","rice_yield_2010","rice_yield_2011","rice_yield_2012","rice_yield_2013","rice_yield_2014","rice_yield_2015"
"1",2252.80004882812,7532.89990234375,7833.39990234375,7247.10009765625,7977.5,8509.2001953125,8339.2998046875,8636.7001953125,8740.099609375,9314.7001953125,7253.2001953125,7739.60009765625,8409.400390625,8317.7001953125,7888.2001953125,2450.30004882812,6947.7001953125,7418.2998046875,7783.7001953125,7309.39990234375,8255,8330,9116.2998046875,7197.5,7664.60009765625,6805.7001953125,7672.2001953125,7921.2001953125,7280,8123.2001953125,9395.400390625,7094.2998046875,7565.7998046875
"2",2272.10009765625,7539.7001953125,7832,7230.7001953125,7749.2001953125,8507.7998046875,8287.099609375,8899.5,8667.099609375,9024.7998046875,7031.7001953125,7706.7001953125,8374.900390625,8494.7998046875,7866.5,2220.30004882812,7035.10009765625,7470.2998046875,7762.39990234375,7278.60009765625,8060,8288.900390625,8965.5,7176.2001953125,7677.5,6717.7001953125,7803.10009765625,7946.10009765625,7214.7001953125,8068.39990234375,9367.2998046875,7183.10009765625,7538.39990234375
"3",2241.30004882812,8475.400390625,7483.39990234375,6667.60009765625,8582.7998046875,8390.599609375,7912.10009765625,8881.2001953125,9084.099609375,8473.599609375,7356.10009765625,8063.10009765625,7959.60009765625,8317.2998046875,7123.7998046875,8997.2998046875,5982.2998046875,7325,7872.10009765625,6859.2998046875,7542.7998046875,8245.5,8908.2001953125,7087.7998046875,7389.39990234375,6330.5,6732.2998046875,7410.39990234375,6809.7001953125,8040.7998046875,8996.2998046875,7172.7998046875,7209.10009765625
"4",2225.19995117188,8496.2001953125,7475.2998046875,6489.2001953125,8660.900390625,8375.2001953125,7877,9023.2001953125,8792.2998046875,9651.7001953125,7375.7001953125,7801.10009765625,8075.7001953125,8362.400390625,7290.2001953125,8900.2001953125,5715.2998046875,7288.7001953125,7851,6870.2998046875,7683.10009765625,8368.900390625,8808.5,7025.2001953125,7292.39990234375,6415.7998046875,6846.5,7015.2998046875,6799.2998046875,8005,8917,7203.39990234375,7193.2001953125
"5",2328.5,8540.599609375,7525.10009765625,6872.5,8227.400390625,8418.2001953125,8122.10009765625,8939.7001953125,8944.5,9231.5,7287.39990234375,7607.2001953125,8140.7998046875,8062.10009765625,7326.5,8690.900390625,6174.5,7248.10009765625,7913.5,6993.10009765625,7967.10009765625,8396.5,8861.2001953125,7047.2001953125,7297.39990234375,6644.2001953125,6708.39990234375,7599.2998046875,7078.7998046875,7934.5,9079.400390625,6870.5,7434.39990234375
"6",2309.89990234375,8436.5,7504.2001953125,6965.10009765625,8471.7998046875,8383.2998046875,8061.2998046875,8894.7998046875,9076.599609375,8832,6998.39990234375,7498.7998046875,8329.7998046875,8044.89990234375,7194.5,7860.7001953125,6461.10009765625,7255.39990234375,7890.2998046875,6951.5,7863.2998046875,8157.5,8988.599609375,7152.10009765625,7288.5,6748,6897,7320.10009765625,7098.5,7843.89990234375,9062.400390625,6852.7001953125,7418.2998046875
"7",2341,7929.10009765625,7482.39990234375,6987.89990234375,8429.400390625,8337.2001953125,8036.7998046875,8854.599609375,8944.2001953125,8951.7001953125,7089.39990234375,7440.7001953125,8425.099609375,8020.2001953125,7300.7998046875,7382.7998046875,6597.2998046875,7232.89990234375,7864.10009765625,6922,7839.10009765625,8007.2001953125,8493.099609375,7107.7001953125,7273.7001953125,6719.89990234375,7639,7674.7998046875,7046.5,7729.89990234375,9038.400390625,6829.7998046875,7315.5
"8",2339.19995117188,8475.7998046875,7463.2998046875,6979.2001953125,8406.099609375,8265.900390625,7977.10009765625,9138.2001953125,9050.7998046875,8578.400390625,6915.2998046875,7415.5,8434.7998046875,8106.5,7284.2998046875,6725.5,6676.2001953125,7460.2998046875,7829.7001953125,6911,7966.7998046875,7968,8568.5,7116.39990234375,7254,6689.7001953125,7607.7001953125,7878.7998046875,7026.60009765625,7965.5,9022.099609375,6806.60009765625,7498.2998046875
"9",2328,8456.2001953125,7505.2998046875,6957.89990234375,8042.2998046875,7712.10009765625,8069.5,8994.7998046875,9028.2998046875,8566.2998046875,6895.39990234375,7386.7998046875,8453.400390625,8094.60009765625,7266.39990234375,6652.5,6693.39990234375,7445.5,7801.60009765625,6874,7952.39990234375,7934.7998046875,8553,7100.5,7246.2998046875,6657.2001953125,7557.2998046875,7850,7005.89990234375,7918.39990234375,9001.400390625,6767.5,7443.2998046875
"10",2319.30004882812,8447.5,7488,6941.89990234375,8497.400390625,8247.7001953125,7988.7998046875,8891.7998046875,8671.2001953125,8569.7001953125,7050.7998046875,7294.39990234375,8470.7998046875,8381,7342.39990234375,5657.60009765625,7047.2998046875,7427.2001953125,7772.7001953125,6872.10009765625,7923,7919,8475.7998046875,6817.89990234375,7233.5,6633.5,7482.2001953125,7760.60009765625,7037.60009765625,7881.10009765625,9012.2001953125,6750.10009765625,7435.2001953125
