"","rice_yield_1983","rice_yield_1984","rice_yield_1985","rice_yield_1986","rice_yield_1987","rice_yield_1988","rice_yield_1989","rice_yield_1990","rice_yield_1991","rice_yield_1992","rice_yield_1993","rice_yield_1994","rice_yield_1995","rice_yield_1996","rice_yield_1997","rice_yield_1998","rice_yield_1999","rice_yield_2000","rice_yield_2001","rice_yield_2002","rice_yield_2003","rice_yield_2004","rice_yield_2005","rice_yield_2006","rice_yield_2007","rice_yield_2008","rice_yield_2009","rice_yield_2010","rice_yield_2011","rice_yield_2012","rice_yield_2013","rice_yield_2014","rice_yield_2015"
"1",2340.69995117188,7464.2001953125,7666.2998046875,6418.7998046875,8353.7001953125,8518.900390625,7988.60009765625,8955.099609375,9209,9044.7998046875,6997.7001953125,7487.7998046875,8301.099609375,8435.2001953125,7625.60009765625,2342.89990234375,7065.7998046875,7465.2001953125,7789.7998046875,6682.10009765625,8006.7001953125,8338.7001953125,8980.099609375,7180.7001953125,7147.10009765625,6210.60009765625,7626.5,7744.7001953125,7308.2001953125,7978.60009765625,9124.7998046875,7129.89990234375,7168.7001953125
"2",2269.69995117188,7463.7998046875,7601.2998046875,6420.2998046875,7862.89990234375,8469.7998046875,7766,8791.7001953125,9144.099609375,8912.400390625,7061.39990234375,7435.39990234375,8231.2001953125,8353.5,7593,2306.30004882812,6940.60009765625,7518,7807.10009765625,6565.7998046875,7887.89990234375,8287.099609375,8988.099609375,7158.10009765625,7334.39990234375,6375.89990234375,7498.7998046875,7722.2998046875,7199.5,7877.7001953125,9037.400390625,7103.7001953125,7061.2001953125
"3",2300.80004882812,7919.7998046875,7487.39990234375,6184.89990234375,8507.900390625,8397.7001953125,7604.2998046875,8775.5,9039.7001953125,6592.60009765625,7269.89990234375,7663.5,8014.7001953125,7957.7001953125,7006,8855.599609375,6011.89990234375,7319.2001953125,7877.89990234375,6306.5,7533.89990234375,8288.7001953125,8697.400390625,6928.39990234375,6717.60009765625,5983.2001953125,6493.5,7203.60009765625,6933,7923.10009765625,8743.7001953125,6822.39990234375,7183.5
"4",2170.5,8369.2998046875,7644.60009765625,6046.7998046875,8600,8508.2001953125,7745.2001953125,8690.7998046875,9006.5,9065.099609375,7216.2998046875,7703,8158.89990234375,8119.10009765625,7127.60009765625,8911.400390625,5705.2001953125,7343,7829.39990234375,6147.2998046875,7642,8226.2001953125,8895.7998046875,7119,6727.7998046875,5887.7001953125,6617.39990234375,7224.5,6879,8055.2998046875,8979.400390625,6878.2001953125,7218
"5",2358.10009765625,8505.2001953125,7573.7001953125,6003.39990234375,8369.599609375,8404.5,8179.7001953125,9184.7998046875,9000.599609375,9146.2001953125,7129.39990234375,7493.2998046875,8351.099609375,8065,7225,7851.2001953125,6262.39990234375,7326.10009765625,7904.60009765625,6680.5,8059.5,8362.400390625,8727.400390625,6919.2001953125,6634.7001953125,5748,6539.60009765625,7644,7126.60009765625,8030,9156.5,6786.89990234375,7182.7998046875
"6",2324.19995117188,7909.60009765625,7492.10009765625,6208.89990234375,8377.2998046875,8146.10009765625,7759,9084.2998046875,8891.2998046875,8556.7998046875,6935.7001953125,7405.39990234375,8236,7983.10009765625,7301.7001953125,6816.7001953125,6410.89990234375,7302.39990234375,7740.7001953125,6586.89990234375,7920.60009765625,8322.599609375,9079.099609375,6898.89990234375,6612.2001953125,5939.2998046875,7158.2998046875,7539.7998046875,7009.60009765625,7846.7998046875,9006.400390625,6769.2998046875,7207.60009765625
"7",2318.5,8481.400390625,7455.60009765625,6061.7998046875,8386.5,8347.7998046875,7619.2001953125,9029.099609375,8990.400390625,8539.599609375,6710.60009765625,7166.2998046875,8255.900390625,7984.7001953125,7172.60009765625,7028.7001953125,6533.60009765625,7256.89990234375,7654.2998046875,6558.60009765625,7860.7998046875,8245.2001953125,8590.2998046875,6846,6861.89990234375,5944.7998046875,7448.60009765625,7391,6961.2998046875,7752.60009765625,8959.5,6747,7177
"8",2319.39990234375,8233.099609375,7414.7001953125,6004.2998046875,8376.2001953125,8297.099609375,7667.39990234375,8735.7001953125,8676.400390625,8366.7998046875,6999.10009765625,6929.60009765625,8301.099609375,7813.60009765625,7340.5,3685.80004882812,6634.2998046875,7515.60009765625,7572.7998046875,6582.89990234375,7680.60009765625,8156.10009765625,8419.7001953125,6815.7998046875,7295.39990234375,6028,7404.89990234375,7449.5,6928.2001953125,7744,8946.5,6724.89990234375,7131.5
"9",2274.69995117188,8214.7001953125,7395.5,6435.10009765625,8372,8425.7001953125,7794.60009765625,8709.7001953125,8619.7001953125,8311.099609375,6968.2998046875,7075.7001953125,8300,8068.2001953125,7241,1833.69995117188,6665,7429.2001953125,7772.5,6584,7744,7950.5,8611.099609375,6828.60009765625,7279,6095.5,7467.10009765625,7447,6979.89990234375,7700.7998046875,8921,6706.2998046875,7103.7001953125
"10",2292.89990234375,8401.7998046875,7465.10009765625,6566.39990234375,8600.2001953125,8392.099609375,7791.89990234375,8456.900390625,8813.900390625,8525.599609375,6851.60009765625,7223.10009765625,8319.599609375,8064.2998046875,7489.2998046875,3041.19995117188,6774.39990234375,7410.89990234375,7602.2998046875,6476.2998046875,7853.5,7906.39990234375,8574.7998046875,6869.39990234375,7265.60009765625,6232.2001953125,7460.39990234375,7611.2998046875,7040.2998046875,7725.7001953125,9004.400390625,6688.7001953125,7095.89990234375
