"","rice_yield_1983","rice_yield_1984","rice_yield_1985","rice_yield_1986","rice_yield_1987","rice_yield_1988","rice_yield_1989","rice_yield_1990","rice_yield_1991","rice_yield_1992","rice_yield_1993","rice_yield_1994","rice_yield_1995","rice_yield_1996","rice_yield_1997","rice_yield_1998","rice_yield_1999","rice_yield_2000","rice_yield_2001","rice_yield_2002","rice_yield_2003","rice_yield_2004","rice_yield_2005","rice_yield_2006","rice_yield_2007","rice_yield_2008","rice_yield_2009","rice_yield_2010","rice_yield_2011","rice_yield_2012","rice_yield_2013","rice_yield_2014","rice_yield_2015"
"1",6535.60009765625,4831.60009765625,4427.39990234375,4308.60009765625,4300,4979.89990234375,4766.7001953125,4298.89990234375,4395.39990234375,5089.60009765625,5213.39990234375,4134.89990234375,4640.7998046875,4611.2001953125,4261.89990234375,5557.10009765625,4070.30004882812,4630.89990234375,4707.7001953125,4627.7001953125,5017.7001953125,3947.69995117188,4998.5,4437,5062.2998046875,3531.39990234375,4403.5,4352.10009765625,4413.7001953125,4656.2998046875,4907.5,4686.39990234375,4280.89990234375
"2",6430.10009765625,4817.7001953125,4397.89990234375,4274.60009765625,4366.2001953125,4925.89990234375,4765.10009765625,4286.5,4377.5,4871.7998046875,5131.7001953125,4262.2001953125,4609.2998046875,4578.89990234375,4251.60009765625,5681.39990234375,4040.5,4561.39990234375,4690.39990234375,4584.89990234375,4982.60009765625,3959.19995117188,4957.5,4461.2001953125,5025.2998046875,3433.69995117188,4313.2001953125,4321.2001953125,4406.7001953125,4622.60009765625,4894.2001953125,4675.7998046875,4247.2998046875
"3",6340.89990234375,4316,4354,4254.89990234375,4274.89990234375,5015.2998046875,4581.2998046875,4360.60009765625,4525.7998046875,5483,5149.7001953125,4389.60009765625,4858.39990234375,4639.60009765625,3888.89990234375,4185.5,4196,4652.2998046875,4573.39990234375,4662.7001953125,4896.39990234375,4116.10009765625,4936,4429.7998046875,4925.39990234375,3641.69995117188,4211.2001953125,4529.89990234375,3743.39990234375,4710.2998046875,4710,4618.7001953125,4328.7001953125
"4",6537.7001953125,4536.7998046875,4336.7998046875,4263.5,4253.2001953125,5012.2001953125,4554.39990234375,4349,4525.7001953125,5256.60009765625,5146.89990234375,4315.2998046875,4844.39990234375,4607.7998046875,3890.5,4430,4158.89990234375,4592.5,4576.7998046875,4651.5,4895.7998046875,4009.10009765625,4877.60009765625,4433.7998046875,5070.89990234375,3613.30004882812,4208.2001953125,4470.2001953125,3756.30004882812,4695,4668.2998046875,4654.5,4325.10009765625
"5",6292.5,4850.7998046875,4324,4324.39990234375,4326.2001953125,4988.5,4567.7001953125,4337.39990234375,4478.89990234375,5214.2998046875,5208.7998046875,4155.10009765625,4843.10009765625,4490,3927.5,4583.5,4210.60009765625,4621,4566.7998046875,4646,4875,3929.80004882812,4916,4402.7998046875,5065.39990234375,3548.80004882812,4205.7998046875,4575.7001953125,4086.19995117188,4682.7998046875,4899.5,4662.2001953125,4323.7001953125
"6",6333.7001953125,4787.5,4294.7001953125,4302.2001953125,4303.2998046875,4981,4705,4310.2998046875,4363.7998046875,5062.89990234375,5132.39990234375,4099.7001953125,4816.60009765625,4462.2998046875,3849.5,4656.2001953125,4198.10009765625,4604.2998046875,4535.7998046875,4616.89990234375,4886.60009765625,3922.30004882812,4938.2001953125,4385.10009765625,5030.89990234375,3541.5,4182.7001953125,4685,4318.5,4720.5,4887,4657.7001953125,4293.5
"7",6255.39990234375,4824.2001953125,4273.7001953125,4274.7001953125,4281.7998046875,4972.5,4490.7001953125,4281.60009765625,4184.10009765625,5089.39990234375,5128.60009765625,4086,4787.60009765625,4498.10009765625,3974.10009765625,4976.60009765625,4248.5,4577.89990234375,4506.60009765625,4588.2001953125,5010.7001953125,3866,4967.2001953125,4362.60009765625,4999.7998046875,3507.69995117188,4207.39990234375,4328.7001953125,4381.39990234375,4692.10009765625,4874.5,4648.7998046875,4264.2001953125
"8",6336.60009765625,4768.5,4247,4248.89990234375,4259.10009765625,4918.60009765625,4662,4216.89990234375,4181.5,4598.7998046875,5029.7001953125,4072.30004882812,4761.5,4418.89990234375,3973.39990234375,5227.2998046875,3999.30004882812,4597.10009765625,4479,4562,4966.60009765625,3858.80004882812,4931,4343.39990234375,5009.2001953125,3467.39990234375,4205.2998046875,4339.2998046875,4380.2001953125,4662.7998046875,4865.39990234375,4644.7001953125,4239
"9",6316,4759.2998046875,4221.7001953125,4222.7998046875,4287.10009765625,4874.7998046875,4449.7001953125,4190.60009765625,4166.7998046875,4579.60009765625,5042.39990234375,4055.5,4730.7001953125,4387.7001953125,3935.19995117188,5147.7001953125,3982.10009765625,4509.5,4467.60009765625,4537.7001953125,4925,3851.89990234375,4914.5,4354,4973.7001953125,3434.19995117188,4282.2001953125,4318.5,4375.60009765625,4634.2001953125,4854.2998046875,4637.10009765625,4212.5
"10",6305,4750.60009765625,4318.39990234375,4185.7001953125,4219,4861.7001953125,4620.89990234375,4134.60009765625,4224.5,4535.89990234375,5018.10009765625,4041,4704.10009765625,4368.7001953125,3931.89990234375,5303.5,3947.10009765625,4490.89990234375,4441.7998046875,4503.39990234375,4899.7998046875,3847.5,4898.7998046875,4303,4941.7001953125,3395.10009765625,4254.89990234375,4281.7001953125,4376.5,4610.2998046875,4849.7001953125,4630.5,4192.39990234375
"11",6327.5,4743.10009765625,4264.10009765625,4202.89990234375,4217.60009765625,4821.2001953125,4798.2998046875,4128,4302.7998046875,4522.5,5008.7001953125,4167.10009765625,4590.5,4527.2998046875,4201.7001953125,5458,3975.60009765625,4548,4443.39990234375,4481.60009765625,4914.60009765625,3894.30004882812,4891.7998046875,4344,4944.10009765625,3387.80004882812,4253.7998046875,4392.5,4404.39990234375,4651.60009765625,4843,4620.2998046875,4169.2998046875
