"","rice_yield_1983","rice_yield_1984","rice_yield_1985","rice_yield_1986","rice_yield_1987","rice_yield_1988","rice_yield_1989","rice_yield_1990","rice_yield_1991","rice_yield_1992","rice_yield_1993","rice_yield_1994","rice_yield_1995","rice_yield_1996","rice_yield_1997","rice_yield_1998","rice_yield_1999","rice_yield_2000","rice_yield_2001","rice_yield_2002","rice_yield_2003","rice_yield_2004","rice_yield_2005","rice_yield_2006","rice_yield_2007","rice_yield_2008","rice_yield_2009","rice_yield_2010","rice_yield_2011","rice_yield_2012","rice_yield_2013","rice_yield_2014","rice_yield_2015"
"1",6413.5,4769.89990234375,4464.89990234375,4184.2001953125,4316.60009765625,5013.2998046875,4620.2001953125,4316.89990234375,4394.10009765625,5098.60009765625,5120.2998046875,4072.30004882812,4727.89990234375,4633.60009765625,4139.39990234375,5574,4107.7998046875,4523.2001953125,4587.7998046875,4069.60009765625,5015.89990234375,4018,4975.5,4442.60009765625,4796.89990234375,4073.10009765625,4392.2998046875,4354.7998046875,4380.39990234375,4655,4954.2001953125,4738.10009765625,4350.7998046875
"2",6366.7998046875,4756.89990234375,4428.2001953125,4223,4213.39990234375,4964.5,4703.7001953125,4285.39990234375,4377.60009765625,4633.7001953125,5125.39990234375,4039,4714.2998046875,4593.10009765625,4130.2998046875,5514.7001953125,4045.69995117188,4555,4447.39990234375,4067.19995117188,4999.10009765625,3938.19995117188,4938.89990234375,4421.7998046875,4792.5,3717.39990234375,4408,4327,4373.2001953125,4584.60009765625,4939.89990234375,4727.2001953125,4329.60009765625
"3",6361.60009765625,4081.60009765625,3739.30004882812,4344.89990234375,4272.10009765625,5068.39990234375,4593.89990234375,4328.60009765625,4455,5276.5,5032.7998046875,4412.10009765625,4857.10009765625,4644.60009765625,3920.10009765625,4138.7001953125,4181.10009765625,4601.39990234375,4598.39990234375,3692.69995117188,5106.5,4041.30004882812,4881.5,4411.89990234375,4635.60009765625,3922.10009765625,4278.2001953125,4458.2998046875,3533.5,4679.7998046875,4599.39990234375,4649.39990234375,4384.5
"4",6396.2998046875,4554.7001953125,4164.2001953125,4267.7998046875,4281.89990234375,5017.60009765625,4573.2998046875,4315.89990234375,4472.7998046875,5194.7001953125,5054.2998046875,4253.7001953125,4710.10009765625,4553.2001953125,3891.30004882812,4189.60009765625,4167.2998046875,4648.60009765625,4512.7998046875,3635.5,4860.2001953125,3970.89990234375,4887,4380.10009765625,4767.7998046875,3965.60009765625,4199.10009765625,4495.89990234375,3668.80004882812,4663.7001953125,4576.2998046875,4654.2001953125,4341.89990234375
"5",6462.89990234375,4770.2998046875,4230.7998046875,4208.7998046875,4390.60009765625,4974.2998046875,4568.89990234375,4302.7001953125,4383.7001953125,5054.2998046875,5160.39990234375,4107.60009765625,4578.2001953125,4387.39990234375,3824,4481.39990234375,4158.7001953125,4629.2998046875,4480.60009765625,4088.60009765625,4874.60009765625,3885.10009765625,4951.39990234375,4393.60009765625,4774.89990234375,4038,4266.2998046875,4552,4034,4651.10009765625,4680,4566.2998046875,4317
"6",6209.10009765625,4838,4219.39990234375,4057.69995117188,4651.7001953125,5052.2998046875,4527.60009765625,4274.89990234375,4198.89990234375,5078.60009765625,5078.7998046875,3939,4554.60009765625,4440.5,3923.19995117188,4538.10009765625,4149.7998046875,4577.39990234375,4459.60009765625,4326.60009765625,5067.2998046875,3877.80004882812,4986,4375.39990234375,4750.7001953125,4065.5,4219.60009765625,4577.39990234375,4189.60009765625,4654.10009765625,4667.2001953125,4560.39990234375,4298.7001953125
"7",6247,4740.89990234375,4196,3996.5,4589.2001953125,5017.39990234375,4519.39990234375,4245.7001953125,4192.7998046875,4871.2998046875,4842.7998046875,3909.39990234375,4498.2001953125,4411.89990234375,3845.30004882812,4758.2001953125,4183.39990234375,4549.7998046875,4418.39990234375,4299.89990234375,5043.10009765625,3889.10009765625,4945.2998046875,4357.39990234375,4585.39990234375,4059.89990234375,4253.5,4341.5,4357.39990234375,4634.7998046875,4776.5,4549.7998046875,4327.10009765625
"8",6321.39990234375,4786.2001953125,4171.2001953125,4129.7001953125,4321.39990234375,4937.7001953125,4471.2998046875,4178.2998046875,4101.10009765625,4571.7998046875,4878.10009765625,3899.10009765625,4617.39990234375,4467,3843.60009765625,5140.7998046875,4118.2001953125,4548.10009765625,4409.7001953125,4206.89990234375,4794.39990234375,3882.80004882812,4916,4336.89990234375,4963,3934.89990234375,4211.5,4344.10009765625,4355.39990234375,4602.7001953125,4718.7001953125,4543.7001953125,4309.7001953125
"9",6297.39990234375,4775.89990234375,4146.10009765625,4196,4194.60009765625,4900.89990234375,4472.10009765625,4168.39990234375,4085.5,4553.10009765625,4817.39990234375,3878.19995117188,4594.7998046875,4436.10009765625,3841.5,5180.60009765625,3984.89990234375,4575.60009765625,4427.2001953125,4072.69995117188,4945.5,3877.19995117188,4897.2998046875,4319.7998046875,4927.39990234375,3526.69995117188,4189.39990234375,4322.39990234375,4350.2998046875,4572,4707.89990234375,4534.60009765625,4289.7998046875
"10",6361,4768.7001953125,4124.39990234375,4159.60009765625,4215.7998046875,4845.7001953125,4432.10009765625,4112.5,4164.7001953125,4528.5,4762.10009765625,3895.5,4515.39990234375,4375,4021.19995117188,5092.89990234375,3947.60009765625,4550.89990234375,4414.89990234375,3958,4923.39990234375,3873.89990234375,4880.39990234375,4381.10009765625,4895.5,3488,4270,4309.7998046875,4339.60009765625,4547,4703.39990234375,4526.2001953125,4275.89990234375
