"","wheat_yield_1983","wheat_yield_1984","wheat_yield_1985","wheat_yield_1986","wheat_yield_1987","wheat_yield_1988","wheat_yield_1989","wheat_yield_1990","wheat_yield_1991","wheat_yield_1992","wheat_yield_1993","wheat_yield_1994","wheat_yield_1995","wheat_yield_1996","wheat_yield_1997","wheat_yield_1998","wheat_yield_1999","wheat_yield_2000","wheat_yield_2001","wheat_yield_2002","wheat_yield_2003","wheat_yield_2004","wheat_yield_2005","wheat_yield_2006","wheat_yield_2007","wheat_yield_2008","wheat_yield_2009","wheat_yield_2010","wheat_yield_2011","wheat_yield_2012","wheat_yield_2013","wheat_yield_2014","wheat_yield_2015"
"1",4941,4973.39990234375,4576.89990234375,5080.89990234375,4346.7001953125,4983.5,5712.7998046875,4180.2998046875,4293.2998046875,4351.7998046875,3681.69995117188,4838.7001953125,4881.7998046875,4592.60009765625,5449.39990234375,4647.5,5022.7001953125,4865.7998046875,5027.7001953125,4750.7998046875,4403.2998046875,4318.2001953125,4157,3612.19995117188,4385.2998046875,5136.2998046875,4173.10009765625,4272.7001953125,5385.39990234375,5023,4712,4891.2998046875,3552.80004882812
"2",4929,4973.7998046875,4487.2001953125,5089.7998046875,4324.2998046875,4957.5,5693.2001953125,4167,4276.39990234375,4309.10009765625,3654.5,4815.60009765625,4847.10009765625,4574.60009765625,5418.2998046875,4643.60009765625,5010.7998046875,4845.7001953125,5014,4734.60009765625,4385,4269.60009765625,4145.2001953125,3584.89990234375,4351.2998046875,5076.10009765625,4162.39990234375,4152.7998046875,5375.89990234375,4999.2998046875,4708.2998046875,4874.89990234375,3533.89990234375
"3",4871.89990234375,5106.89990234375,4289.2001953125,5200.2001953125,4439,4836.89990234375,5440.7001953125,4066.60009765625,4231.7001953125,4413,3840.10009765625,5026.10009765625,4996.2001953125,4555.7001953125,5522.2998046875,4394.10009765625,4838.7998046875,5064.39990234375,4931.7998046875,4594.7001953125,4209.7998046875,4406.5,4119.89990234375,3680.5,4401.7998046875,5091.39990234375,4024.60009765625,4245.10009765625,5405.89990234375,5233.10009765625,4745.7998046875,4811.7001953125,3630
"4",4874.2001953125,5151.60009765625,4310.89990234375,5121.2001953125,4322.89990234375,4842.10009765625,5625.60009765625,4116.60009765625,4151.2001953125,4467.2998046875,3821.30004882812,4934.2001953125,4969.7998046875,4545.2998046875,5507.10009765625,4395.39990234375,4963.39990234375,5198.7001953125,4935.2998046875,4590.7998046875,4201.10009765625,4429.5,4136.2001953125,3764.19995117188,4371,5093.5,4152.89990234375,4290.39990234375,5402.2001953125,5018.89990234375,4749.2998046875,4801.7998046875,3591.39990234375
"5",4880,5195.10009765625,4408.89990234375,5120.39990234375,4328.7001953125,4837.10009765625,5699.10009765625,4110.39990234375,4183.39990234375,4314.5,3805.19995117188,4917.7001953125,4960.39990234375,4535.2001953125,5370.60009765625,4458.7001953125,4976.39990234375,5245.89990234375,4977.39990234375,4582.2001953125,4264.89990234375,4449.89990234375,4142.7998046875,3762.39990234375,4382.2998046875,5121.5,4162.7998046875,4297.10009765625,5399.10009765625,5015.60009765625,4756,4796.60009765625,3585.89990234375
"6",4872.2001953125,5156.2001953125,4345,5101.5,4306.89990234375,4816.7001953125,5682.60009765625,4096.10009765625,3998,4279.7998046875,3778.60009765625,4894.89990234375,4929.10009765625,4519.7998046875,5343.39990234375,4457.2001953125,4960,5222.2998046875,4962.89990234375,4571,4169.2001953125,4404.2998046875,4131.39990234375,3648.5,4345.89990234375,5076.89990234375,4151.60009765625,4285.7001953125,5393.39990234375,4995.10009765625,4755.5,4779.39990234375,3564.30004882812
"7",4864.39990234375,5109.7001953125,4288.2998046875,5081.7001953125,4307.60009765625,4791.10009765625,5479.5,4081.80004882812,3980.19995117188,4472.2001953125,3748.19995117188,4870.7001953125,4896.7998046875,4502.7001953125,5314.7001953125,4454.2001953125,4945.5,5045.10009765625,4948.7998046875,4558.7998046875,4153.39990234375,4350,4121.60009765625,3616,4314,4957.7998046875,4141.5,4277.60009765625,5408.7998046875,4973.89990234375,4758.2001953125,4762,3542.39990234375
"8",4856.10009765625,5059,4198,5063,4288.89990234375,4766.60009765625,5462.89990234375,4066.39990234375,3949.89990234375,4438.10009765625,3720.69995117188,4926.60009765625,4867.39990234375,4486.89990234375,5283.89990234375,4450.7001953125,4936,5027.10009765625,4934,4546.89990234375,4131.10009765625,4255.39990234375,4117.39990234375,3517.19995117188,4282,4897.7001953125,4007.89990234375,4248.10009765625,5402.39990234375,4953.7001953125,4758.2998046875,4745.5,3358.69995117188
"9",4849,4797.2001953125,4097,5042.2001953125,4266.60009765625,4741.2001953125,5444.7001953125,3885.39990234375,3935.19995117188,4352.39990234375,3691.5,4905.2001953125,4835.2001953125,4470.2001953125,5257.60009765625,4446.60009765625,4804.60009765625,5007.7998046875,4917.2998046875,4580,4114.10009765625,4200.7998046875,4106,3486,4250,4848.89990234375,3998.10009765625,4226.2001953125,5395.2001953125,4931.10009765625,4758,4728.60009765625,3333.5
"10",4839.89990234375,4751.39990234375,4023.69995117188,5023.39990234375,4112.5,4590.7998046875,5425.7001953125,3869.69995117188,3921.10009765625,4328.5,3544.69995117188,4883.7001953125,4804,4454,5229.60009765625,4445.2998046875,4792.60009765625,4989.7998046875,4743.5,4565.2001953125,4097.10009765625,4156.2001953125,4102.89990234375,3452.30004882812,4217.7998046875,4791.39990234375,3987.30004882812,4196.7998046875,5387.2998046875,4907.7998046875,4751.2998046875,4711.2998046875,3573.69995117188
"11",4838.89990234375,4584,4170.7001953125,5019,4124.5,4581.39990234375,5504.2998046875,3869,3961.80004882812,4153.60009765625,3562.60009765625,4876.7001953125,4682.2001953125,4452.10009765625,5217.2001953125,4509.10009765625,4789.5,5041.2001953125,4730.2001953125,4582.60009765625,4194.39990234375,4158.7998046875,4102.60009765625,3513.89990234375,4217.5,4820.2001953125,3985.39990234375,4059.30004882812,5265.10009765625,4916.5,4744.2998046875,4710.39990234375,3573.69995117188
"12",4656.60009765625,4889.2998046875,4010,5244.89990234375,4294.60009765625,4836.2001953125,5489.10009765625,3928.19995117188,4138.2998046875,4450,3994.39990234375,5046.2001953125,5026.39990234375,4601.5,5351.60009765625,4538.10009765625,4823.10009765625,5125.39990234375,4907.10009765625,4586.2001953125,4061.80004882812,4416.5,4113.39990234375,3591,4309.39990234375,4924.60009765625,4043,4118.89990234375,5427.60009765625,5049.60009765625,4697.2998046875,4708.5,3619.5
"13",4656.2001953125,4924.89990234375,4085.30004882812,5238.89990234375,4295.7001953125,4829.39990234375,5489,3922.39990234375,4154.2998046875,4485.60009765625,3976.19995117188,5030.5,5003.2998046875,4595.5,5338.7001953125,4537.2001953125,4836.39990234375,5111,4951.10009765625,4586,4041.5,4429.5,4132.5,3588.10009765625,4305.10009765625,4949,4045,4148.7998046875,5423.39990234375,5045.39990234375,4775.2998046875,4697.39990234375,3611.10009765625
"14",4651.7998046875,4865.10009765625,4026,5190.7998046875,4277,4805.7998046875,5472.60009765625,3907.89990234375,4129.89990234375,4462.60009765625,3949.5,5009.39990234375,4972.2001953125,4579.5,5315.5,4533.10009765625,4833.2998046875,5093.5,4939.10009765625,4572.7001953125,4023.80004882812,4391.2001953125,4123,3557.10009765625,4273.5,4890.89990234375,4036.19995117188,4130.39990234375,5418,5029,4704.2001953125,4679.60009765625,3588
"15",4647.60009765625,4824.89990234375,3978.80004882812,5173.39990234375,4254.10009765625,4779,5455.60009765625,3891.89990234375,4106.2001953125,4440.89990234375,3917.89990234375,4988.39990234375,4944.39990234375,4527.89990234375,5290.2998046875,4530.7001953125,4824,5076.2998046875,4922.7001953125,4563.2998046875,4006.60009765625,4352.5,4003.69995117188,3523.60009765625,4218.7001953125,4839.60009765625,4006.80004882812,4115,5410.39990234375,5010.2001953125,4752.60009765625,4662.39990234375,3564.80004882812
"16",4640,4795.2998046875,3938.69995117188,5155.7001953125,4235.2998046875,4754.2998046875,5440.2998046875,3879,4092.80004882812,4419.5,3664.60009765625,4963.7001953125,4756,4513.10009765625,5266.2001953125,4523.5,4814.89990234375,5058.7001953125,4742,4554.89990234375,3988.80004882812,4316.39990234375,4102.39990234375,3493.30004882812,4186.39990234375,4780.89990234375,3995.39990234375,4091.89990234375,5403.2998046875,4990.7998046875,4729.7001953125,4645,3544
"17",4632.60009765625,4755.7001953125,3912.10009765625,5137.2001953125,4215.39990234375,4605.10009765625,5423.2001953125,3862,4068.60009765625,4374.5,3637.10009765625,4934.7001953125,4727.2001953125,4499.2998046875,5240.2001953125,4284.39990234375,4809.10009765625,5041.2998046875,4725.10009765625,4542.2998046875,3968.89990234375,4274.7998046875,4090.19995117188,3547.10009765625,4154.89990234375,4730.5,3982.69995117188,4073.80004882812,5217.60009765625,4968.39990234375,4702,4624.89990234375,3519.39990234375
"18",4807.39990234375,4753.7998046875,3895.89990234375,5093.89990234375,4060.5,4572,5407.2998046875,3845.39990234375,4037.10009765625,4350.2001953125,3603,4851.5,4732.89990234375,4484.5,5208.5,4278,4799.7998046875,5023.39990234375,4710.39990234375,4532.89990234375,3857.60009765625,4234.2998046875,4081.60009765625,3518.19995117188,4123.10009765625,4672.7998046875,3968.5,4061.89990234375,5267.10009765625,4945.5,4675.2998046875,4605.2001953125,3341.69995117188
"19",4804.2001953125,4689.5,3881.10009765625,5079,4070.10009765625,4571,5404.60009765625,3846.19995117188,4074.80004882812,4348.89990234375,3619.69995117188,4823.10009765625,4728.2001953125,4491.5,5253.10009765625,4286.10009765625,4799.60009765625,5072,4696.60009765625,4532.60009765625,3966.60009765625,4121.7998046875,4077.5,3508.69995117188,4122.7001953125,4702.89990234375,3984.69995117188,3961.89990234375,5270.2001953125,4955.39990234375,4617.5,4604.89990234375,3338
"20",4804.10009765625,4639.10009765625,3889.89990234375,5062.60009765625,4095.19995117188,4566.89990234375,5284.2998046875,3844.80004882812,4105.60009765625,4353.5,3636.69995117188,4751.60009765625,4725.5,4478.89990234375,5128.2001953125,4289.7998046875,4773.60009765625,5076.60009765625,4685.7998046875,4435.7001953125,3978.80004882812,4128.7001953125,3963.30004882812,3504.80004882812,4118.7998046875,4631.7001953125,3984.80004882812,3942.39990234375,5273.2001953125,4963.7998046875,4604.5,4604.7001953125,3338.19995117188
"21",4689.10009765625,4405.60009765625,3964.60009765625,4884.10009765625,4103,4561.2998046875,5283.7998046875,3845.30004882812,4005.19995117188,4225.7001953125,3652.60009765625,4745,4720,4475.60009765625,5116.5,4318.7998046875,4770,5126.39990234375,4671.7001953125,4436.2001953125,3991.80004882812,4133.5,3962.80004882812,3475.10009765625,4144.7998046875,4643.39990234375,3985.5,3928.10009765625,5274.7001953125,4971.2998046875,4534.2998046875,4604.7001953125,3339.19995117188
