"","wheat_yield_1983","wheat_yield_1984","wheat_yield_1985","wheat_yield_1986","wheat_yield_1987","wheat_yield_1988","wheat_yield_1989","wheat_yield_1990","wheat_yield_1991","wheat_yield_1992","wheat_yield_1993","wheat_yield_1994","wheat_yield_1995","wheat_yield_1996","wheat_yield_1997","wheat_yield_1998","wheat_yield_1999","wheat_yield_2000","wheat_yield_2001","wheat_yield_2002","wheat_yield_2003","wheat_yield_2004","wheat_yield_2005","wheat_yield_2006","wheat_yield_2007","wheat_yield_2008","wheat_yield_2009","wheat_yield_2010","wheat_yield_2011","wheat_yield_2012","wheat_yield_2013","wheat_yield_2014","wheat_yield_2015"
"1",4758.7001953125,5284.89990234375,4840,4908.60009765625,4327.5,4766.89990234375,5667.60009765625,3986.10009765625,4900.2001953125,4405.89990234375,3775.39990234375,4303.7998046875,4525.60009765625,4441,5374.5,4529.39990234375,5034.89990234375,4402.2998046875,5251,4497,4155.60009765625,4931.7998046875,3933,4753,4411.39990234375,5099,3740.69995117188,5069.39990234375,5479.39990234375,5227.7001953125,5009.7998046875,4411.89990234375,4190.60009765625
"2",4749.60009765625,5227,4819.10009765625,4891.89990234375,4301.89990234375,4842.2001953125,5535.39990234375,4054.80004882812,4886.7001953125,4412.10009765625,3865,4148.2998046875,4499.39990234375,4467.60009765625,5352.89990234375,4470.7998046875,5070.10009765625,4481.60009765625,5252,4483,4202.89990234375,4936,3901.89990234375,4745.5,4393.2001953125,4878.89990234375,3845.60009765625,5061.2998046875,5693.7998046875,5206.10009765625,5015.2001953125,4437.60009765625,4187.2998046875
"3",4624.5,5910.60009765625,4700.2998046875,4910.7998046875,4227,4882.7001953125,5405.7001953125,3910.30004882812,4880,4323.7998046875,3988.39990234375,4482.5,4540.39990234375,4447.2001953125,5364.60009765625,4178.89990234375,4949.60009765625,4441.7998046875,5108.7001953125,4436.5,4085.60009765625,4802.5,3800.39990234375,4649.39990234375,4529.2998046875,4667,3412.39990234375,4870.60009765625,5213.60009765625,4975.2998046875,5017.7998046875,4518.2001953125,4004.89990234375
"4",4592,5973.5,4685,4906.39990234375,4229.10009765625,4828.2001953125,5430.39990234375,3943.89990234375,4833.2998046875,4531,3905.80004882812,4354,4526.2001953125,4436.7001953125,5395.10009765625,4187.89990234375,4960.2998046875,4383.39990234375,5142.39990234375,4402.2998046875,4230.39990234375,4796.7001953125,3889.39990234375,4652.2998046875,4525,4703.89990234375,3420.30004882812,4901,5351.89990234375,4973.7001953125,4894.2001953125,4509.5,4010.60009765625
"5",4609.10009765625,5606.7998046875,4699.5,4896.2998046875,4225.7001953125,4820.2998046875,5456.60009765625,4052.19995117188,4958.5,4486.7001953125,3835,4209.2998046875,4617.5,4638.7001953125,5383.2998046875,4275,4910.39990234375,4344.60009765625,5123.89990234375,4388.60009765625,4312.2001953125,4901.10009765625,3866.5,4665,4507.89990234375,4908.2001953125,3427.30004882812,5068,5568.39990234375,4979.5,4990.39990234375,4509.89990234375,4055.89990234375
"6",4601.2998046875,5415,4680.60009765625,4881.7998046875,4220.2001953125,4797.10009765625,5476.2998046875,3943.10009765625,4942.89990234375,4446.7001953125,3903.39990234375,4074.60009765625,4478.60009765625,4626.10009765625,5366.89990234375,4438.2001953125,4910.2001953125,4333.7998046875,5124.89990234375,4371.7001953125,4205.2001953125,4855.5,3855.5,4662.2001953125,4490,4902.7998046875,3422.30004882812,5057.89990234375,5511.60009765625,4963.39990234375,4994.89990234375,4496.7998046875,4051.80004882812
"7",4598,5494.7998046875,4661.60009765625,4898.10009765625,4214,4776.7998046875,5429.2001953125,3929.69995117188,4917,4418.2998046875,3979,4092.5,4473.10009765625,4612.7998046875,5339.7998046875,4450.2001953125,4944.60009765625,4322.7998046875,5125.7998046875,4355,4150,4811.39990234375,3772.30004882812,4657.2998046875,4472,4898.10009765625,3648.80004882812,5071.7998046875,5491.89990234375,5031.2998046875,4999.89990234375,4483.2001953125,4047.10009765625
"8",4725.5,5610.10009765625,4642.7001953125,4883,4208.7001953125,4755.7998046875,5445.60009765625,3889.5,4901.7998046875,4092.89990234375,3870.60009765625,4077.80004882812,4449.39990234375,4470.5,5319.5,4630.39990234375,4951.10009765625,4390.2001953125,5126.10009765625,4338.39990234375,4162.2001953125,4805.2998046875,3766.10009765625,4646.7001953125,4454.10009765625,4893.10009765625,3687.10009765625,5067.7001953125,5488,4896.10009765625,5004.2001953125,4469.2001953125,4058.69995117188
"9",4722.2001953125,5556.7001953125,4623.5,4868,4200.60009765625,4724.7001953125,5429.2998046875,3874.5,4886.10009765625,4072.5,3845.30004882812,4064.30004882812,4425.5,4456.89990234375,5304.2001953125,4628,4957.7001953125,4446.39990234375,5127.2998046875,4321.60009765625,4110.89990234375,4799.2001953125,3878.30004882812,4640.7998046875,4342.2998046875,4888.10009765625,3745.19995117188,5055.60009765625,5482.60009765625,4879.2998046875,4847.10009765625,4455.39990234375,4053.5
"10",4717.2998046875,5518,4604.60009765625,4853.10009765625,4184.7998046875,4540.7998046875,5410.89990234375,3810,4797.2001953125,4010.69995117188,3821.80004882812,4049.19995117188,4525.89990234375,4357,5381.2998046875,4626.2001953125,4864,4434.39990234375,5128,4304.7001953125,4093.5,4792.60009765625,3869.89990234375,4655.89990234375,4324.39990234375,4883.2998046875,3674.39990234375,5066.89990234375,5532.5,4860.89990234375,4968,4431,4047.89990234375
"11",4716,5280.2001953125,4574,4846.5,4198.2001953125,4757.5,5359.89990234375,3888.39990234375,4867.89990234375,4012,3833.80004882812,3994.60009765625,4527.60009765625,4407.2001953125,5192.2998046875,4600.89990234375,4914.2998046875,4367.10009765625,5111.39990234375,4300.2001953125,4102.60009765625,4794,3782.69995117188,4641.7001953125,4293.2998046875,4877.60009765625,3671.39990234375,4949.10009765625,5368.7001953125,4936.89990234375,4968.2998046875,4391.10009765625,4042.30004882812
