"","wheat_yield_1983","wheat_yield_1984","wheat_yield_1985","wheat_yield_1986","wheat_yield_1987","wheat_yield_1988","wheat_yield_1989","wheat_yield_1990","wheat_yield_1991","wheat_yield_1992","wheat_yield_1993","wheat_yield_1994","wheat_yield_1995","wheat_yield_1996","wheat_yield_1997","wheat_yield_1998","wheat_yield_1999","wheat_yield_2000","wheat_yield_2001","wheat_yield_2002","wheat_yield_2003","wheat_yield_2004","wheat_yield_2005","wheat_yield_2006","wheat_yield_2007","wheat_yield_2008","wheat_yield_2009","wheat_yield_2010","wheat_yield_2011","wheat_yield_2012","wheat_yield_2013","wheat_yield_2014","wheat_yield_2015"
"1",2892.89990234375,2512.19995117188,3565.89990234375,4802.2998046875,4307.7001953125,4682.2001953125,4256.89990234375,4024.80004882812,3354.10009765625,4501.5,3888.39990234375,4098.7998046875,4516.5,4441,3877.60009765625,3990.39990234375,4853.89990234375,4372.5,4266.2001953125,4354.7001953125,4214,4908.39990234375,3914.30004882812,4662.2001953125,4437.89990234375,4690,3611.5,3893.5,4233.7001953125,4069.69995117188,5063.89990234375,4411.89990234375,3961.60009765625
"2",2682.10009765625,3536.89990234375,3200.69995117188,4809.39990234375,4248.10009765625,3986.60009765625,4867.10009765625,3746.60009765625,3052.30004882812,4238.2998046875,3886,3984.60009765625,4494.10009765625,4427.10009765625,4769.89990234375,3410.39990234375,4579.2001953125,4459.2998046875,3990.10009765625,4333.10009765625,4216.89990234375,4902.2998046875,3901.89990234375,4316.39990234375,4380.7998046875,4583.7001953125,3467.30004882812,3267,3610.30004882812,3677.60009765625,5013.7001953125,4398.10009765625,3891.30004882812
"3",3114.39990234375,4518.89990234375,4344.7001953125,4746.7998046875,4110.7998046875,4399.10009765625,4898.39990234375,3933.10009765625,3642.5,3293.10009765625,3971.39990234375,4363.2998046875,4540.39990234375,4561.39990234375,5220.5,4269.7998046875,4946,4390.89990234375,4544.7998046875,4037.69995117188,3914.80004882812,4612.60009765625,3893.39990234375,4551.7001953125,4635.60009765625,4430.60009765625,3194.39990234375,4907.2001953125,5013,4653.39990234375,4970.7001953125,4396.39990234375,3865.69995117188
"4",2974.10009765625,4948.7001953125,3775.80004882812,4738.10009765625,4183,4405.7001953125,4812,3940,4163.2001953125,3667,3868.30004882812,4298.7001953125,4557.5,4412.39990234375,4994.10009765625,4165.39990234375,4957.2001953125,4383.39990234375,4732.10009765625,4316,4172.39990234375,4769,3889.39990234375,4592.10009765625,4588.7998046875,4334.60009765625,3065.89990234375,4892.89990234375,5068.60009765625,4672,5018.5,4517.7001953125,3871
"5",3503.39990234375,4125.89990234375,4599,4675.89990234375,4318.7998046875,5044.2001953125,5417.39990234375,4053.60009765625,3847.60009765625,4590.10009765625,3933.30004882812,4181.10009765625,4499.7001953125,4615.10009765625,5340.89990234375,4275,4877.2998046875,4313.2001953125,5187.10009765625,4345.2998046875,4312.2001953125,4883.7998046875,3830.10009765625,4687.7001953125,4582.2998046875,4331.7998046875,3218.39990234375,5068,5528.10009765625,4970.5,4950.10009765625,4500.89990234375,3896.10009765625
"6",2718.80004882812,4375.10009765625,3779.19995117188,4594.60009765625,4197.2998046875,4535.60009765625,4232.39990234375,3844.10009765625,3268.30004882812,4512.2001953125,3908,4121.2001953125,4476.2998046875,4602.89990234375,4964.39990234375,4373.2998046875,4864,4302.10009765625,3955.30004882812,4343.39990234375,4205.2001953125,4876.7998046875,3855.5,4562.2001953125,4565.7001953125,4465.2998046875,3422.30004882812,4394.2001953125,4836.39990234375,4140.2001953125,4952.60009765625,4482.5,3892
"7",2546.19995117188,4685.2998046875,3401.19995117188,4641.7001953125,4217.5,4076.30004882812,3804,3463.19995117188,3062.19995117188,4185.89990234375,3711.10009765625,3976.30004882812,4454.60009765625,4612.7998046875,4535.60009765625,4154,4549.39990234375,4281.89990234375,3810.80004882812,4324.5,4150,4834.2001953125,3772.30004882812,4277.7998046875,4659.39990234375,4472.89990234375,3542.39990234375,3460.89990234375,3726.69995117188,3778,4887.7998046875,4457.2998046875,3868.10009765625
"8",2636.30004882812,2358.80004882812,3365.69995117188,4587.10009765625,4046,4058.69995117188,3758.69995117188,3620.19995117188,3237,4196.2998046875,3870.60009765625,4075.80004882812,4392.7001953125,4600.2001953125,4457.5,4137.5,4423.2998046875,4378.2001953125,4108.39990234375,4307.2998046875,4121.7001953125,4823.7998046875,3862,4263.10009765625,4449.39990234375,4612.2998046875,3499.80004882812,3288.5,3724.89990234375,3744.69995117188,4924.60009765625,4442.2998046875,3864
"9",2676.5,2331.39990234375,3368.10009765625,4681.89990234375,3787.89990234375,3761.19995117188,4701.7998046875,3598.30004882812,3156.89990234375,4030.30004882812,3845.30004882812,4059.89990234375,4382.60009765625,4456.89990234375,4247.2001953125,4150.39990234375,4181.7001953125,4365.2998046875,4244.2001953125,4268.7998046875,4098.39990234375,4723.2001953125,3878.30004882812,4244.7001953125,4337.10009765625,4562.7001953125,3462,3314.89990234375,3666.30004882812,3675.39990234375,4894.5,4427.60009765625,3859.69995117188
"10",3324.10009765625,2888.19995117188,4183,4728,4184.7998046875,4526.5,4570.10009765625,3857.30004882812,3873.80004882812,4010.69995117188,3819.80004882812,3962.69995117188,4389.7998046875,4574.60009765625,4686.2001953125,4440.2998046875,4813.5,4360.60009765625,4955.2998046875,4251.10009765625,4080.89990234375,4771.2001953125,3869.89990234375,4579.2998046875,4324.39990234375,4459.89990234375,3607.30004882812,4037.80004882812,5092.2001953125,4708.2001953125,4968,4413,3785.69995117188
"11",3437.5,4670.10009765625,3969,4481,3800.69995117188,3705.80004882812,4640.89990234375,3138.89990234375,3874.60009765625,3980.39990234375,3823.80004882812,3943.89990234375,4307,4434.5,4749.7001953125,3692.19995117188,4230.5,4279.5,4072.5,4176.7998046875,4008.60009765625,4531.10009765625,3873.60009765625,3727,4256,4350.89990234375,3380.10009765625,4481.89990234375,4069.80004882812,4286.2001953125,4819.2998046875,4413.5,3786.10009765625
"12",2456.39990234375,4428.7998046875,3427.60009765625,4835.2998046875,4041.69995117188,3620,4990,3458.80004882812,2951.19995117188,3564.19995117188,3880.30004882812,3984.30004882812,4476,4490.5,4821.60009765625,4205.60009765625,4745.7998046875,4237.2998046875,3823.60009765625,4439,4266.2998046875,4629.2998046875,3716.10009765625,4241.5,4370.7001953125,4353.5,3258.60009765625,4409,4334,4296.60009765625,4915.60009765625,4375.5,3798.69995117188
"13",2525.89990234375,4455.2998046875,3430.30004882812,4563.2001953125,4102.10009765625,3564.69995117188,4943.89990234375,3649.19995117188,3132.19995117188,3999.80004882812,3514.5,3989.69995117188,4404.10009765625,4453.89990234375,4837.10009765625,4301.89990234375,4615.7001953125,4185.2001953125,3558.19995117188,4285.10009765625,4145.2998046875,4683.39990234375,3824.19995117188,4245.89990234375,4365.10009765625,4350.7001953125,3027.89990234375,4319.10009765625,4005.39990234375,4349.5,4948,4364.2998046875,3793.69995117188
"14",2529.5,4425.10009765625,3448.10009765625,4793,4097.2998046875,3954.89990234375,4874.5,3605.80004882812,3417.69995117188,4209.2998046875,3924.89990234375,3979.80004882812,4647.60009765625,4441.7001953125,4834.10009765625,4290.2998046875,4611.7998046875,4127.10009765625,3582.69995117188,4401.89990234375,4204.10009765625,4709,3791.30004882812,4233.39990234375,4432.2001953125,4344.7001953125,3572.10009765625,3754.69995117188,4447.7998046875,4313,4797.7998046875,4348.2998046875,3785.39990234375
"15",2659.30004882812,4546.10009765625,3882.80004882812,4781.89990234375,4056.69995117188,4095.5,3874.69995117188,3356.69995117188,3423,4179.39990234375,3982.19995117188,3917.39990234375,4590.39990234375,4430.2001953125,4696.10009765625,4208.10009765625,4694.7001953125,4161.60009765625,4031.89990234375,4250.60009765625,4176.2001953125,4716.89990234375,3784.89990234375,3983.69995117188,4515.2998046875,4336.7998046875,3455.19995117188,3358.80004882812,4266.39990234375,4051.60009765625,4835.89990234375,4257.89990234375,3676
"16",2714.19995117188,4619.7998046875,3949.5,4493.39990234375,4083.39990234375,4068.89990234375,3766.30004882812,3366,3655.60009765625,4180.10009765625,3871.5,3923.30004882812,4569.5,4450.39990234375,4683,4154.7998046875,4785.60009765625,4193.2001953125,4308.7998046875,4433.7001953125,4138.2001953125,4727.7998046875,3761.10009765625,3879.5,4408.2001953125,4320.2001953125,3451.89990234375,3405.69995117188,3773.39990234375,3952.5,4850.39990234375,4237.10009765625,3712.19995117188
"17",2706.19995117188,4376.7998046875,3833.5,4680.7001953125,3946.30004882812,3955.10009765625,3874.69995117188,3435.89990234375,3444,4160.7998046875,3851.39990234375,3815.89990234375,4549.7001953125,4632.10009765625,4788.2998046875,4208.89990234375,4654.7001953125,4208,4311.7998046875,4415.60009765625,4147.39990234375,4725.60009765625,3752.89990234375,3790.69995117188,4374.2998046875,4516.2001953125,3391.5,3230.80004882812,3760,3916.69995117188,4907.39990234375,4220.89990234375,3761.60009765625
"18",2705.19995117188,4319.89990234375,3694.10009765625,4656.10009765625,3999.5,3893.69995117188,3655.69995117188,3475.80004882812,3562.10009765625,4109.39990234375,3877.19995117188,3804.69995117188,4301,4655.2998046875,4885.39990234375,4195.10009765625,4476.10009765625,4195.10009765625,4232.10009765625,4094.19995117188,4118,4758.39990234375,3746.30004882812,3764,4353.89990234375,4356,3314.80004882812,3214.10009765625,3640.60009765625,3820.5,4697.10009765625,4205.2001953125,3753.30004882812
"19",3791.30004882812,3587.19995117188,4398.39990234375,4370,3882.10009765625,4499.2998046875,5063.5,3793.60009765625,4684.89990234375,4109.2998046875,3925.5,3954.10009765625,4426.89990234375,4647.10009765625,5070,4350.2001953125,4752.7998046875,4172.89990234375,4717.7998046875,4128.5,4074.19995117188,4819.2998046875,3710.19995117188,4505.7998046875,4393.2998046875,4344.7001953125,3545.89990234375,4895.60009765625,5199.89990234375,4726.2001953125,4795.2001953125,4204.5,3746.30004882812
"20",2282.69995117188,4753.60009765625,3984.5,4093.89990234375,3745.5,3763.39990234375,4622,3007.80004882812,3508.39990234375,4074.30004882812,3963.10009765625,3954.19995117188,4384.7001953125,4527.60009765625,4803.2998046875,3737.80004882812,4352.39990234375,4175.2998046875,3862.69995117188,4123.10009765625,4081.80004882812,4534.10009765625,3714.89990234375,3536.89990234375,4295.2998046875,4252.89990234375,3324.19995117188,4341.39990234375,3920.5,4199.10009765625,4624.10009765625,4248.7001953125,3738.89990234375
