"","wheat_yield_1983","wheat_yield_1984","wheat_yield_1985","wheat_yield_1986","wheat_yield_1987","wheat_yield_1988","wheat_yield_1989","wheat_yield_1990","wheat_yield_1991","wheat_yield_1992","wheat_yield_1993","wheat_yield_1994","wheat_yield_1995","wheat_yield_1996","wheat_yield_1997","wheat_yield_1998","wheat_yield_1999","wheat_yield_2000","wheat_yield_2001","wheat_yield_2002","wheat_yield_2003","wheat_yield_2004","wheat_yield_2005","wheat_yield_2006","wheat_yield_2007","wheat_yield_2008","wheat_yield_2009","wheat_yield_2010","wheat_yield_2011","wheat_yield_2012","wheat_yield_2013","wheat_yield_2014","wheat_yield_2015"
"1",4914,5277.2001953125,4528,4050.30004882812,3556.60009765625,4082.10009765625,4341.2998046875,4276.39990234375,3861.69995117188,4080.39990234375,2676.30004882812,3119.39990234375,3965.60009765625,3468.39990234375,4360.7998046875,4184.2998046875,3170.89990234375,3410.19995117188,3587.80004882812,4056.39990234375,3129.69995117188,4163.2998046875,2784.19995117188,4006.5,3513.80004882812,3973.89990234375,2699.60009765625,4265.7998046875,5085,3721.69995117188,5213,3808,3351.5
"2",4903.5,5272.89990234375,4512.7998046875,4031,3550.30004882812,4235.7998046875,4349.7001953125,4262.60009765625,3849.19995117188,3910.5,2659.19995117188,3096.69995117188,3970.19995117188,3455.5,4356.7001953125,4250.7998046875,3292.69995117188,3404.89990234375,3590,4038.19995117188,3080.39990234375,4153.2001953125,2786.19995117188,3871.39990234375,3398.10009765625,3970.89990234375,2698,4257.7001953125,5080.89990234375,3706.10009765625,5215.89990234375,3804.5,3354.30004882812
"3",4531.2998046875,4649.5,4366.7001953125,4255.10009765625,3366,4416.7001953125,3819.10009765625,4166.7001953125,3850.5,4124.7998046875,3381.89990234375,2972.10009765625,3577.80004882812,3386.69995117188,4064.5,3596.89990234375,2534.30004882812,3262.89990234375,3233.60009765625,3793.10009765625,3146.39990234375,3991.10009765625,2939.80004882812,3922.30004882812,3308.10009765625,3761.80004882812,2529.19995117188,3293,3467.19995117188,3615.80004882812,4961.5,3710.69995117188,3178.10009765625
"4",4735,4847.7001953125,4371.39990234375,4254.7998046875,3387.19995117188,4386.5,4013.89990234375,4177.7001953125,3863.30004882812,4078,3075.80004882812,2997.89990234375,3589.80004882812,3392.69995117188,4191.7998046875,3642.60009765625,2584.10009765625,3278.10009765625,3263.39990234375,3813.30004882812,3155,4011.10009765625,2943.30004882812,3913.39990234375,3301.69995117188,3796.10009765625,2557.60009765625,3312.60009765625,3518.60009765625,3758.30004882812,4968.2001953125,3713.80004882812,3289.60009765625
"5",4753,5138.39990234375,4496.2998046875,4244,3403.19995117188,4303.10009765625,4028.89990234375,4187.5,3756.69995117188,4065.80004882812,2731.5,3019.10009765625,3716.30004882812,3396.30004882812,4209.2998046875,3782.69995117188,2738,3291.69995117188,3290.60009765625,3819.30004882812,3157.10009765625,4078,2578.10009765625,3906.80004882812,3299.69995117188,3823.60009765625,2584.60009765625,3332.30004882812,3856.30004882812,3762.10009765625,5140.7001953125,3718.10009765625,3307.19995117188
"6",4843,5139,4357.10009765625,4239.2998046875,3396.10009765625,3912.5,4238,4176,3726.5,4024.5,2610.30004882812,3002,3716.19995117188,3386.10009765625,4204.7998046875,3787.80004882812,2747.19995117188,3289.69995117188,3294.60009765625,3802.39990234375,3110.69995117188,4068.39990234375,2561.60009765625,3881.30004882812,3285,3821.10009765625,2580.5,3743.60009765625,4401.39990234375,3523.39990234375,5141.2001953125,3713.39990234375,3307.10009765625
"7",4738.89990234375,5134,4340,4221.5,3501.30004882812,3908.19995117188,4019.69995117188,4171.7001953125,3642.89990234375,3976.10009765625,2589.89990234375,2986.69995117188,3716.39990234375,3376.69995117188,4202.7998046875,3858.80004882812,2758.60009765625,3287.19995117188,3292.5,3785.89990234375,3058.39990234375,4058.60009765625,2560.30004882812,3849.60009765625,3271.80004882812,3817.80004882812,2574.10009765625,4142,4947.39990234375,3504.19995117188,5143.39990234375,3709.10009765625,3207.19995117188
"8",4687.7001953125,5089.5,4326.7001953125,4201.10009765625,3394.80004882812,3939.30004882812,4222.5,4160.10009765625,3633,4090,2573.30004882812,2964.60009765625,3714.80004882812,3368.39990234375,4197.89990234375,4126.2001953125,2767.69995117188,3286.10009765625,3291.30004882812,3770.5,2946.60009765625,4048,2640.39990234375,3711.80004882812,3256,3815.10009765625,2571.19995117188,4223.60009765625,4940,3483.19995117188,5143.89990234375,3706.89990234375,3209.5
"9",4681.5,5085.89990234375,4309.7998046875,4184.7001953125,3389.30004882812,4069.60009765625,4002,4151.39990234375,3619.69995117188,4072.60009765625,2556.10009765625,2945.69995117188,3715.39990234375,3350.30004882812,4193.60009765625,4127.2001953125,2773.10009765625,3280.5,3288.60009765625,3754,2802.30004882812,4039,2639.60009765625,3693.10009765625,3242,3812,2564.30004882812,4216.5,4935.39990234375,3466.5,5144,3700,3208.19995117188
"10",4672.89990234375,5082.39990234375,4294.10009765625,4289.2001953125,3376.80004882812,4147.7998046875,4200.7998046875,4166.89990234375,3609.10009765625,4041.5,2531,2924.69995117188,3818.80004882812,3337.39990234375,4059,4184.2001953125,2780.60009765625,3278.19995117188,3407.89990234375,3739.69995117188,2750.80004882812,4024.10009765625,2680.60009765625,3666.5,3230.39990234375,3811.89990234375,2457.30004882812,4208.2998046875,4928.7001953125,3445.19995117188,5144.5,3695.89990234375,3211.19995117188
