"","wheat_yield_1983","wheat_yield_1984","wheat_yield_1985","wheat_yield_1986","wheat_yield_1987","wheat_yield_1988","wheat_yield_1989","wheat_yield_1990","wheat_yield_1991","wheat_yield_1992","wheat_yield_1993","wheat_yield_1994","wheat_yield_1995","wheat_yield_1996","wheat_yield_1997","wheat_yield_1998","wheat_yield_1999","wheat_yield_2000","wheat_yield_2001","wheat_yield_2002","wheat_yield_2003","wheat_yield_2004","wheat_yield_2005","wheat_yield_2006","wheat_yield_2007","wheat_yield_2008","wheat_yield_2009","wheat_yield_2010","wheat_yield_2011","wheat_yield_2012","wheat_yield_2013","wheat_yield_2014","wheat_yield_2015"
"1",4728.39990234375,5236.89990234375,3874.89990234375,2489.5,3078.30004882812,4048.30004882812,4257.89990234375,4276.39990234375,3789.80004882812,4037.5,2192.30004882812,2281,1583.19995117188,3173.10009765625,4309.7001953125,4184.2998046875,3170.89990234375,2035.5,1396.69995117188,1316.69995117188,2191.5,3178.10009765625,2697.19995117188,3095.60009765625,1910.90002441406,1951.59997558594,2334.5,4265.7998046875,4993.2001953125,3561.89990234375,5213,3872.80004882812,1694.30004882812
"2",4363.89990234375,5168.10009765625,3859.39990234375,2591.89990234375,3188.39990234375,4076.19995117188,4331.89990234375,4283.2001953125,3778.10009765625,4174.89990234375,2046.40002441406,2134.30004882812,1679.69995117188,3159,4305.7998046875,4193.7001953125,3179.30004882812,2417.10009765625,1139.90002441406,1302.5,2021.19995117188,3161,2988.60009765625,3062.5,1927.19995117188,2082.19995117188,2497.60009765625,4257.7001953125,4940.10009765625,3546.69995117188,5215.89990234375,3869.39990234375,1689.09997558594
"3",4508.10009765625,4865.2998046875,2564.5,2644.80004882812,3031.5,4394.10009765625,3819.10009765625,4074.30004882812,3716,3994.60009765625,3320.19995117188,2592.5,2299.5,3196.60009765625,3228.69995117188,2854.30004882812,1499.09997558594,2478.80004882812,676.099975585938,729.200012207031,1638.80004882812,3533.30004882812,2839.69995117188,3566.19995117188,1590.09997558594,1487.30004882812,1324.59997558594,2922.80004882812,2883,3520.89990234375,4915.2998046875,3888.60009765625,1837.90002441406
"4",4645.7001953125,4847.7001953125,3262.69995117188,2503.19995117188,2909.60009765625,4307.89990234375,3974,4179.39990234375,3747.60009765625,4084.19995117188,2938.5,2504.69995117188,2089.89990234375,3170.60009765625,3238.10009765625,3033.80004882812,1546.80004882812,2499.60009765625,806.200012207031,855.200012207031,1834.90002441406,3380.80004882812,2851.5,3187.80004882812,1398.80004882812,1415.09997558594,1138.59997558594,2686.5,3026.19995117188,3532.60009765625,4923.7998046875,3874.39990234375,1689.30004882812
"5",4708.89990234375,5384.39990234375,3402.39990234375,2353.19995117188,2922.5,4110.5,3991.80004882812,4192.5,3737.19995117188,4063.19995117188,2627,2286.5,1607.90002441406,2796.69995117188,3161,3355.10009765625,1920.40002441406,2246.30004882812,1094.09997558594,1183.80004882812,2028.09997558594,3193,2558,3020.39990234375,1397.09997558594,1380,1359.80004882812,3244.10009765625,3736.10009765625,3649.80004882812,4980.2001953125,3812.30004882812,1750.09997558594
"6",4691.89990234375,5139,3386.30004882812,1556.40002441406,2722.69995117188,3912.5,4024.30004882812,4180.7998046875,3633.60009765625,3971.69995117188,2042.19995117188,2100.39990234375,1498.09997558594,2783.60009765625,3237.39990234375,3381.5,1928.30004882812,2099.60009765625,1443,1588.30004882812,2551.80004882812,3176.30004882812,2547,2982.39990234375,1384.80004882812,1379.80004882812,1495.80004882812,3517.89990234375,4176.7001953125,3742.5,4981.39990234375,3808.19995117188,1665.19995117188
"7",4413.39990234375,5047.2001953125,3367.10009765625,1832.69995117188,2792,3908.19995117188,3984.39990234375,4171.60009765625,3590.19995117188,4109.39990234375,1728.19995117188,1954.59997558594,1491,2770.5,3234.39990234375,3610.69995117188,2045.69995117188,2099.60009765625,1306.90002441406,1573.09997558594,2402.19995117188,3016.19995117188,2866.69995117188,2950.10009765625,1670.40002441406,1694.40002441406,2010.5,3979.89990234375,4823.2001953125,3443,5007.60009765625,3803,1663
"8",4486.89990234375,5043.60009765625,3352,2296.39990234375,2897.19995117188,3903,4011.89990234375,4185.7001953125,3420.60009765625,3980.60009765625,1632.90002441406,1655.69995117188,1529.19995117188,2974.60009765625,3226.69995117188,3959,2051.69995117188,2434.19995117188,1114.19995117188,1482.09997558594,1901.30004882812,2999.89990234375,2869.5,2907.69995117188,1930.90002441406,1753.09997558594,2168,4136.7001953125,4810.2001953125,3422.19995117188,5009.2001953125,3801.19995117188,1660.40002441406
"9",4481.60009765625,5029.5,3335.89990234375,2668.89990234375,3060.10009765625,4344.39990234375,3966.89990234375,4177.89990234375,3407.5,3962.60009765625,1604.40002441406,1628.30004882812,1571.19995117188,2957.39990234375,3221.10009765625,4127.2001953125,2222.39990234375,2587.5,970.299987792969,1216.59997558594,1819.80004882812,2987.10009765625,2870.69995117188,2879.89990234375,1862,1965.90002441406,2200.39990234375,4131.10009765625,4805.39990234375,3405.10009765625,5010.39990234375,3781.10009765625,1653.69995117188
"10",4707.5,5082.39990234375,3318.30004882812,2544.60009765625,3000.80004882812,4084.60009765625,3991.60009765625,4397.89990234375,3398.10009765625,3873.10009765625,1586.40002441406,1744.30004882812,1778.80004882812,2944.69995117188,3578.19995117188,4155.2998046875,2383.39990234375,2588.39990234375,959.400024414062,1156.09997558594,1772.40002441406,2965.30004882812,2878.89990234375,2842.10009765625,1849.5,1967.5,2390.10009765625,4208.2998046875,4818.2001953125,3383.30004882812,5012.10009765625,3775.69995117188,1652.5
"11",4253.5,4708,3456.80004882812,1828.69995117188,2891.19995117188,3710.60009765625,4200.60009765625,4119.2998046875,3556.60009765625,3883,1749.09997558594,1746.90002441406,1816.59997558594,3104.80004882812,3905.89990234375,4065,2987.19995117188,2486.80004882812,839.799987792969,978.200012207031,1639.90002441406,2968.89990234375,2880.19995117188,2836.60009765625,2109.39990234375,2224.19995117188,2407.80004882812,4198.89990234375,4620.2998046875,3432.19995117188,4960.10009765625,3829.10009765625,1673.80004882812
